Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.614146329,0.967000723,219.8012982,134.669383,0.97937274,223.0435101,141.3163355,0.999437749,224.1944396,122.7680487,0.317353785,219.2632744,152.2917398,0.986252546,214.4356176,112.2482761,0.697022498,189.9311895,146.9353006,0.716694593,167.5071688,102.5578379,0.73961556,190.1077267,152.7239023,0.923745453,122.3130267,81.53771409,0.967927277,29.50299857,191.3963015,0.977212906,166.503638,138.1409225,0.375560373,6.574724557,146.6122669,0.349270463,9.790231083,114.6559355,0.229301751,117.1762714,80.28743368,0.125530839,166.6122425,160.658503,0.046504825,-5.693289653,63.1117841,0.042683512,-5.321827863,63.95747991
1,0.625593464,0.967236042,219.4079666,133.4452906,0.983723104,224.1970974,142.1366237,0.999410272,224.3545422,123.5306209,0.35962981,218.7738715,153.0424372,0.993297815,213.6631213,111.2263357,0.846888065,187.9002565,147.86679,0.869508862,172.0947205,110.5974466,0.692997992,189.7070678,153.3060115,0.974730492,123.0051059,81.87773096,0.977593064,201.6524023,166.0277193,0.978101015,167.4086103,140.9410966,0.380011052,161.2890991,160.7603898,0.26607129,7.347828154,115.6684272,0.142348498,164.925435,164.1752375,0.128579199,165.4916828,159.7761587,0.033187747,-0.843857231,46.1549467,0.041774571,-1.131192135,46.42935954
2,0.648474439,0.967908442,220.8028539,134.6333075,0.975432515,223.8221023,141.9704983,0.999475598,224.4184515,122.7679268,0.26271683,217.7080163,153.6323004,0.995391011,214.1788585,111.2463303,0.834326744,185.8368933,149.7046051,0.867153287,174.5773228,111.8636982,0.677188575,187.9207631,157.3724129,0.926219523,123.1703535,81.10447878,0.970765233,201.9766552,165.579232,0.976869702,166.6396131,137.7280962,0.457165122,0.951340541,16.60021531,0.560510039,7.942263333,115.6929083,0.144153029,-1.866670339,32.70756525,0.145624727,121.2204227,78.28434672,0.124321222,-0.524694417,47.31371552,0.138843864,0.152441339,47.69886641
3,0.671525433,0.956055522,221.6622776,134.2984843,0.976863027,224.1969267,141.4928361,0.999135613,225.2743397,123.0431687,0.388079226,218.804034,152.8536229,0.994735181,215.4137406,111.4607473,0.700763881,186.5833967,150.2402271,0.6375072,175.3578169,126.5008949,0.873646677,172.8249844,122.7038346,0.963587165,123.2240705,80.50453291,0.967878401,32.84235465,193.6541481,0.986775041,168.7783825,141.8808155,0.4930197,11.1686937,110.5829871,0.546333134,9.892639084,113.1647818,0.194884896,120.9654436,78.61293988,0.238059282,119.4930165,78.18766581,0.238432795,0.4257987,45.59715395,0.260175616,0.719131917,46.15136231
4,0.706758127,0.96993351,219.5712147,132.7867631,0.982223392,223.6105991,141.0104923,0.999312043,225.1262338,122.9166667,0.444085568,218.7571932,152.9361857,0.990901947,215.1313056,111.652829,0.824788928,185.9669676,149.5838698,0.483731866,0.090228038,-3.322296714,0.564353704,189.878265,154.8159405,0.963071585,122.0579988,80.8525354,0.969757318,32.3423327,193.7450014,0.987381816,166.9979664,137.4805907,0.611410022,3.125677216,16.20119016,0.543892562,0.922218637,16.32150486,0.51597631,0.399966817,32.55878882,0.305995703,-3.659229064,37.30316962,0.430528313,1.825227392,47.05495694,0.427543581,-0.125984794,47.70941231
5,0.65357118,0.977501869,219.7480201,132.3594774,0.992246985,222.5448902,140.4391118,0.999376416,224.9752019,122.8207782,0.405962944,218.8305146,152.250239,0.993351161,215.3389562,111.9055039,0.826417208,186.6118036,150.1285624,0.688825965,171.4426547,108.7111691,0.465545207,173.2412487,122.4612301,0.939327717,123.5575282,80.7943196,0.934059262,29.69230661,193.8873771,0.990521312,167.4360053,136.6950126,0.401789218,17.14731738,104.1191187,0.357327044,12.08026938,110.6070659,0.178804338,158.703025,164.3877892,0.136168927,-2.361673077,24.20407718,0.399798155,4.353888008,45.40139035,0.423686326,1.22797048,45.76789999
6,0.587212605,0.952808261,222.5904631,133.1953466,0.984330177,222.7390323,140.3731785,0.999268413,225.3308852,123.0675767,0.270485461,216.3379272,152.8549031,0.982257724,217.4077081,111.7661761,0.755082548,188.7723232,140.3717643,0.623659432,176.7536673,125.1440704,0.384116769,121.9048699,78.48925415,0.975280762,124.8944557,81.02728035,0.953748107,32.78880221,193.7458548,0.980093598,168.9554439,136.9320454,0.371708035,15.25771923,105.6623678,0.290764034,123.77225,150.5839868,0.143528312,156.7334899,162.045173,0.136014938,-5.035191606,29.25626414,0.07631737,-2.335432341,47.15241812,0.103150338,-2.644869534,47.42372815
7,0.593144937,0.976967335,221.8317191,133.1521145,0.987620533,223.1718409,140.6532484,0.999123573,224.8041998,123.5962006,0.375674814,219.3991154,151.6823819,0.989495814,217.1166901,111.7918398,0.682810187,187.0778958,149.5967565,0.517120242,173.3788941,115.6037863,0.412574768,117.4049772,79.59170909,0.866135895,122.8521111,79.91582787,0.953475952,32.90168295,193.2766659,0.98390007,169.8669876,136.6594613,0.341818929,161.8982863,160.5627975,0.315437287,119.6252609,157.1165316,0.202273905,117.5459143,78.75899754,0.21433872,120.5152983,79.12534869,0.114087045,-1.535299732,44.17165311,0.150608867,-1.399696912,44.44702301
8,0.595516699,0.977971673,222.4589868,132.1959001,0.990764499,222.6322566,142.047587,0.999086142,225.052571,122.3461152,0.333732069,215.0243836,153.5628072,0.958855391,218.4303068,112.7140269,0.831166744,191.0170271,144.9687768,0.813782334,179.5563529,118.5429468,0.546312451,117.7843613,79.15132939,0.86908412,125.078759,80.11201818,0.970283806,34.03199004,193.7680195,0.975444496,170.5171392,136.6668739,0.169044405,132.0295675,167.6023379,0.287580818,121.594284,161.0193435,0.150892556,118.2348602,78.69688036,0.13519761,119.554134,79.32036858,0.055295527,8.974116369,111.6919524,0.059289247,131.0046768,182.1920841
9,0.614980363,0.976760268,222.5495718,132.523201,0.989205837,222.507437,141.8436183,0.999098957,224.8643297,122.226148,0.3545883,221.4128823,152.1443532,0.97575736,217.9972788,112.1228591,0.821916103,190.1656377,149.8526134,0.804951072,177.2527383,113.6858834,0.500157714,117.2407659,79.13969842,0.898608744,124.3797792,80.2706212,0.901054144,33.7244521,194.3984326,0.981953561,170.583109,135.4783937,0.309462011,8.767995084,109.8200248,0.377940655,125.5256735,148.8199077,0.229031742,117.0622537,79.05767205,0.189845502,119.7081773,79.87177893,0.056791186,-1.282064412,52.53930024,0.087543011,-1.117281015,52.51715995
