Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.57598644,0.977261543,235.236984,118.8937046,0.968499064,239.5706539,127.3066138,0.998605609,239.1140225,108.7352967,0.581124425,222.5455973,133.3081207,0.971960843,229.3193079,98.27784849,0.822771311,194.4553927,121.9047358,0.540571332,187.2298665,109.9535858,0.56191349,184.1526705,106.6748596,0.293276072,111.6705315,60.52577101,0.93758291,45.24802676,183.8379516,0.768712401,36.27173796,62.11901871,0.279469848,11.526727,159.5425762,0.258035928,12.504005,202.1832573,0.253174961,35.33826735,87.15158298,0.256240875,38.979099,83.83197761,0.171260625,32.98223717,62.52349358,0.151308239,31.40418044,60.019897
1,0.579694527,0.924022675,236.1984287,122.1516074,0.928034008,243.2988793,129.5711781,0.997123718,240.3384197,108.8327091,0.508876741,236.1131349,138.0518371,0.909778476,230.5939109,98.90626219,0.660537302,184.5985487,164.1817967,0.394075215,178.3600334,92.13377077,0.8387568,186.844423,113.7253238,0.266714096,110.2116373,61.41107185,0.913545132,43.13267473,183.7497318,0.715781093,31.39039458,61.03707646,0.273453265,12.20991308,159.2508754,0.360374093,12.01211956,205.2110399,0.558879852,35.25573197,87.66211425,0.240711153,39.20231547,81.82229489,0.231105387,32.70728484,62.36521974,0.133037955,34.28906006,60.6942128
2,0.610132694,0.880806804,236.1398594,122.5275778,0.897410691,240.1006554,129.7921178,0.997054219,239.5760426,108.227155,0.616913497,234.7552864,137.9121801,0.932347775,231.2445381,98.67949487,0.764572024,195.4504989,118.8202003,0.569543183,194.6661887,111.6676542,0.888067365,187.1773442,114.309713,0.243943661,106.0099192,61.15095998,0.931029439,43.05021555,183.5361804,0.701309323,30.97961654,61.06749498,0.156201661,7.309776811,160.4035483,0.462308228,17.38872095,202.5746381,0.502434134,37.56228786,89.6456212,0.272032678,38.95559018,82.38937168,0.338716447,111.0306819,64.02481517,0.217564672,109.6695293,64.11090141
3,0.598380389,0.850190759,238.2597193,120.812973,0.875505745,239.9967082,126.5567211,0.973238587,238.359058,107.8974036,0.88579917,230.0833187,132.6492153,0.982340217,229.2923397,98.01638333,0.750839353,181.625812,162.0658991,0.532414615,180.3874551,93.91044398,0.777566075,189.1755057,113.9345837,0.33652097,28.11039119,172.0001122,0.926034153,43.11673092,182.5783688,0.859500349,33.85216416,60.74438202,0.145889759,2.356287353,104.5742383,0.161946267,23.75089,200.8644956,0.159518033,129.6623483,67.6823892,0.237250328,-12.17701735,191.4740851,0.467866093,107.5864398,63.60939207,0.250046134,108.1139542,62.68541277
4,0.599551243,0.952922344,238.2611092,117.4962084,0.888291359,241.489398,129.4962352,0.99744004,240.7202423,107.718099,0.536048532,229.5898194,140.5654919,0.970087647,228.4010953,98.07159995,0.719036579,197.9225553,118.7297129,0.550989628,177.9111072,94.91835157,0.955314517,183.7944757,108.8083255,0.203555703,28.32301908,174.920924,0.925170302,41.03780187,182.9258593,0.762161791,32.40102094,62.60617831,0.143187165,28.7930736,220.4956939,0.358536422,16.93409057,201.143712,0.137735844,130.4115339,67.96942055,0.187780082,35.86617192,88.30165906,0.639322877,108.065309,63.72411683,0.264790297,108.9555048,62.63059847
5,0.622605576,0.989223003,235.1809506,118.0112994,0.98129195,238.8282957,127.5112286,0.999411404,239.1343584,107.240132,0.443618208,232.179112,135.7535624,0.973024428,228.4661019,97.75946571,0.620161176,180.1872293,164.4256447,0.441356003,182.2990183,84.0567089,0.947038651,189.4525764,113.3280787,0.112050593,30.98862018,174.2808062,0.954577446,42.61826038,182.3184642,0.735905349,30.06307119,61.61513806,0.281129897,3.324181108,101.3418286,0.284372658,21.34489329,199.2881457,0.600491703,38.03237591,88.62408318,0.319652617,-12.31250091,189.7626502,0.64016819,107.190231,64.03670217,0.260821521,110.0855132,63.60953837
6,0.580159135,0.993026257,233.3349183,119.1789926,0.984879494,237.1075462,127.3490534,0.999559641,237.8556833,108.462993,0.384946644,232.2391688,135.3570366,0.981469512,227.0577306,98.82457719,0.810373187,198.4239549,121.3129706,0.60772562,182.8264474,82.4076106,0.564352989,188.6613413,115.302137,0.248057932,103.772506,63.45943303,0.942152619,40.12048233,182.6410834,0.774812758,11.70456333,180.2630989,0.127006441,9.282127504,158.0246859,0.349078238,21.31644526,203.2094891,0.426908255,35.80031796,89.15886392,0.384376317,19.53135668,229.2132149,0.206134528,108.5504082,63.68229898,0.077844858,110.7082943,63.95654114
7,0.579966515,0.995239735,233.3555468,119.1654963,0.986034513,237.0474895,128.3115344,0.999130011,237.3549421,108.6872488,0.282327354,226.327808,139.0429566,0.968194127,229.303044,97.55834991,0.646331072,196.4513352,119.7478006,0.583830237,180.2152948,118.2622674,0.958217263,183.5852036,106.2126444,0.135730445,111.2778826,63.23092228,0.944876552,41.36062832,183.2351163,0.874323308,30.30516054,62.48779602,0.102784902,90.35339127,203.4591282,0.332365036,18.5846915,201.8368153,0.701824367,35.76105125,89.56626483,0.123396248,141.0776081,63.91747864,0.137396514,109.3836927,63.45727509,0.087429076,34.69793008,62.32454793
8,0.57139837,0.993477583,233.1457992,119.1767005,0.976599574,236.8836318,129.1553039,0.999564171,237.4162912,108.7467692,0.497770578,232.159532,139.128165,0.948926687,230.3919661,97.78333723,0.609119058,201.2242266,128.6633651,0.454301655,174.6840741,85.12542915,0.827216625,185.4977543,109.5565114,0.167224258,105.8448912,64.99364808,0.944568157,43.46420917,182.4129506,0.771637797,8.634567356,181.5900291,0.17791912,133.3508164,183.1743036,0.412070215,18.46886186,203.2039053,0.424200892,36.15673889,88.60675864,0.171852499,38.91651244,82.95193752,0.163560867,134.8578559,65.20456607,0.17376256,34.14342606,62.91814187
9,0.582233822,0.989083052,234.2366963,118.2537819,0.976257503,237.3597212,130.5361584,0.997652948,237.0888684,108.5647701,0.449078083,233.0595301,139.7332192,0.93439436,229.6974485,98.87753833,0.584057748,186.0752794,106.7225295,0.616750836,178.9104684,97.07126346,0.860028625,185.2027251,112.3358741,0.210850805,134.7434116,64.57457963,0.944362044,43.62497013,183.1781806,0.818588793,13.88229465,177.111155,0.075325847,-0.95823538,158.681665,0.293553382,24.02852148,202.3610867,0.516161919,34.93684652,88.27028958,0.400976211,18.35542334,231.5180975,0.111517608,33.7868314,63.78479537,0.119335204,31.93295978,62.71634334
10,0.543028446,0.985695958,233.9505306,120.0771253,0.964541435,236.9205729,129.2708333,0.998139322,237.4172665,109.913487,0.44052884,226.8736833,137.1733819,0.965522289,228.9375585,98.96756252,0.562778592,196.100614,131.0365705,0.702977777,177.7467375,94.14189295,0.835392177,184.6404519,106.2135587,0.177770555,88.12936466,64.02619284,0.914717436,44.03541289,183.8851094,0.691866994,30.11660229,62.57469911,0.094690651,2.309687658,116.4182467,0.139646649,5.580404713,114.3349256,0.452842385,35.89174116,90.13869382,0.095659554,34.93680385,87.50347466,0.109056205,35.89150647,62.2054768,0.099656761,33.35902753,62.68197468
11,0.527898547,0.980626345,233.3036097,118.8023394,0.949376225,237.4669359,128.5483965,0.997620821,240.3455885,110.0267244,0.37254566,230.148179,138.6971608,0.923207343,230.1260631,99.28601211,0.660584807,179.5158274,162.0850158,0.524580836,177.3882135,92.86857005,0.709664047,180.5654553,106.4849358,0.154367626,96.71609219,63.7841614,0.92531848,53.35154177,190.1385719,0.80870688,30.77193547,62.9896955,0.142565489,71.58776139,193.2538429,0.158687919,34.53055507,201.2972798,0.345382988,34.20021238,90.58271887,0.141315609,37.04816001,83.23468955,0.090187162,31.74672711,63.344818,0.089537054,114.7487272,64.57976114
12,0.571139527,0.982874155,233.6788487,120.2475665,0.923920989,237.3859824,128.7184355,0.99899447,237.4208509,109.20095,0.357271433,230.6593077,138.668059,0.958585441,229.1303839,99.34558121,0.493753463,179.5942938,161.2974505,0.565975904,180.1033254,96.47151266,0.856487811,189.4634027,113.5667086,0.380691439,110.1293061,62.66850275,0.933381498,53.95599251,190.2053585,0.883450508,32.74558535,62.57750322,0.186968565,119.6932423,189.7349017,0.172399431,34.86234858,201.0210138,0.267063141,131.2372718,67.53244236,0.361010849,17.10596587,227.7939441,0.204861015,37.23508151,61.72510192,0.181681842,35.20016483,61.88590556
13,0.542383089,0.970068395,234.1221422,121.4470315,0.962412715,237.9869402,129.7447161,0.999161899,240.5984219,110.2470057,0.550256848,232.6742451,139.2821473,0.923086345,229.507159,99.61003336,0.672773778,175.3891986,164.9056599,0.57894212,186.2709333,110.4099856,0.530640602,104.729074,63.47078359,0.302517265,109.1911966,62.16260436,0.925421834,61.9067779,194.9077813,0.723702908,31.06990895,62.54435374,0.213558227,111.8336454,208.6177191,0.305140525,44.4061226,202.1185432,0.112786502,106.8528719,64.18808764,0.262245148,152.6302205,165.0180926,0.093638331,34.21308996,63.11243026,0.094159067,34.74965375,63.58606917
14,0.605210257,0.943782806,232.0222037,123.3344306,0.956288099,235.5365851,129.1042691,0.999064445,238.7900866,111.5083563,0.72829473,229.9934652,140.3565611,0.896322966,231.2996206,99.01324516,0.804457009,177.99367,158.2994767,0.670072556,174.1310301,91.12060852,0.692738533,187.4110243,112.7340092,0.610539436,108.5367412,62.31834231,0.964158654,70.02863242,197.1328808,0.840916514,31.56558452,62.31455066,0.157084107,10.92894974,115.3954651,0.185568184,54.44595013,127.4936603,0.317049205,-1.653093393,195.5456314,0.443757415,0.503959132,192.2836932,0.041894644,148.643907,63.79745045,0.036585063,33.97299396,61.51167242
15,0.548948207,0.942945957,232.6397179,123.0820605,0.948521852,235.1914599,129.9413209,0.999497533,238.5363023,110.8052678,0.403191715,229.259495,139.3021662,0.984299064,226.8698551,99.98447985,0.706777573,175.3762753,68.26260875,0.492880046,183.4000468,111.7905597,0.681649864,133.1080534,64.11158415,0.2783328,107.0712391,61.51220276,0.911303282,82.19548562,196.7400613,0.799529135,32.79620567,62.27295227,0.193384469,148.2421387,152.5984731,0.389458686,48.88282652,123.0277827,0.114691556,133.8799889,65.89464585,0.245347649,158.0439246,163.1196478,0.123959959,109.0060276,62.88845486,0.116348386,108.9645999,62.6973851
16,0.579883795,0.931102216,233.215073,124.2130564,0.875109911,234.663726,130.1252341,0.998373389,238.2659371,111.3399754,0.414650559,227.8049655,137.3601602,0.969901621,226.9274003,101.0182828,0.690423727,180.3459909,159.9404309,0.559957027,171.4052625,72.11080144,0.828531981,185.9379877,111.1466258,0.730368197,109.5114018,62.24117436,0.798618913,81.19643536,188.4322575,0.832516134,35.04295778,62.05968735,0.38780272,129.0009193,190.5823531,0.263885111,57.87814061,125.5507154,0.209266037,107.2711723,64.9686671,0.273675203,38.39974507,86.02775583,0.050128847,35.48752231,63.26401081,0.043712914,36.77119909,64.17392078
17,0.544176212,0.938959241,232.5368192,124.0350563,0.928943396,233.768946,129.4180736,0.99955833,236.5781299,112.2819742,0.538243353,229.9117558,138.5467019,0.973949015,228.0144448,100.9882179,0.522055328,192.9088639,130.4390264,0.610190928,189.038409,112.0694956,0.873379946,184.4659142,114.8664145,0.525898755,107.3956261,62.31929327,0.608739018,140.8484268,182.8746538,0.885446191,32.07790189,65.14069327,0.277384877,136.2532552,187.9617763,0.223290235,49.97496416,186.8881671,0.124773324,174.1594613,165.0113627,0.077806652,125.9105074,193.3461835,0.10694173,36.84402371,63.87541696,0.035435289,40.08423918,131.1785439
18,0.584565208,0.957712173,232.5179463,124.4281806,0.892282426,233.2488442,131.9601719,0.999583185,237.0113286,112.8072088,0.427719682,229.883032,139.9891371,0.924938083,228.3702501,100.5931794,0.693472981,198.8569342,118.1164779,0.772992611,177.7922616,78.94753141,0.858714402,187.7063705,115.2611726,0.384494126,31.75855315,175.3983058,0.636100531,202.9748459,117.8376273,0.766727209,36.33220925,62.23766922,0.247678518,7.121152271,112.7139416,0.087591827,43.82117263,106.5718511,0.657694042,133.6776295,194.1495982,0.505512595,132.3091497,193.7367353,0.081335723,36.27096074,63.4263567,0.043058425,41.68645394,61.22562861
19,0.53304249,0.966748953,232.5178732,123.9036166,0.940611482,236.6294329,133.8052166,0.999554873,236.6991212,112.5801123,0.395216167,228.4776841,141.0477382,0.909225583,226.7803917,102.6033986,0.744600296,179.9773111,159.6383793,0.734638572,171.6046592,81.49476241,0.833325565,179.8803985,120.6269873,0.479818583,107.8716424,65.67143853,0.401223511,132.9124971,164.9794203,0.839361012,35.89705983,64.61141103,0.125739753,6.073834328,164.8766191,0.203956664,59.79646414,126.5815314,0.271511167,131.5883344,195.4467316,0.101999342,131.1874805,195.0593984,0.046376228,37.33431355,61.87868802,0.067814589,139.3835221,164.0412619
20,0.545851904,0.962662458,232.7632208,123.944325,0.923480749,235.6378989,133.4648462,0.999477506,235.7353845,112.7376912,0.510216117,227.9906221,141.9343131,0.98726064,224.6055468,102.2689899,0.445230901,189.1443557,135.2894331,0.479254037,174.0982829,83.17499854,0.884446144,180.5405962,117.8669242,0.210154563,93.65207553,67.59538858,0.532867849,201.6499517,118.7423192,0.901314139,39.49253192,58.78997079,0.611950159,160.4216897,150.8218974,0.393125713,59.06367041,146.4737803,0.085112154,136.4272199,193.0494597,0.161944836,140.0513153,191.2290057,0.056604534,40.74162973,59.41277627,0.134379864,39.23922611,58.92251385
21,0.537796112,0.904262066,232.7609775,126.0049938,0.923890591,236.12935,135.5290628,0.99893105,236.211035,113.7409171,0.425040871,223.8474856,135.2822156,0.993345499,222.1268824,102.1602148,0.673329353,183.6157684,154.222627,0.527811766,185.4952793,111.8738174,0.296957791,137.7073092,188.0172733,0.51925993,134.8938826,191.0576623,0.168981522,162.8855288,138.3802961,0.928848028,34.44353311,54.79813441,0.57267642,171.2632647,152.6496664,0.30624795,159.0737408,132.2240022,0.251516491,170.7096598,163.5656357,0.336454391,166.4626248,173.1173923,0.11298424,164.1115598,136.3678946,0.201995939,159.8838976,143.2630842
22,0.630880577,0.937333465,232.3690602,125.9598354,0.859262466,232.1608975,134.039043,0.998154283,233.5347173,114.3481049,0.440325677,219.7754272,137.550791,0.999064922,221.1733624,102.7546621,0.528453648,188.6276919,134.5524028,0.743803263,173.6380794,96.79877692,0.611041307,142.2796456,187.2549206,0.480919331,111.3522769,60.77633061,0.50226891,161.0864715,137.1239564,0.86490798,162.555302,136.3511919,0.774151444,178.435086,162.7792164,0.596273422,171.7961313,145.7580368,0.226065576,108.4808174,64.15793734,0.348529667,109.4120387,62.83132413,0.518353701,54.35392649,48.80936793,0.296060741,53.63369031,51.02196473
23,0.551137882,0.937209606,229.3350841,127.9815758,0.670061588,234.7436066,135.4360028,0.998722196,232.7611482,114.9456856,0.459985554,226.8686359,142.4449663,0.989539027,222.7268405,103.5423128,0.763296664,189.7851684,129.0564041,0.498144805,170.0028895,127.8056604,0.811203599,184.3536522,118.55548,0.598648965,143.2036858,185.3613891,0.411994636,166.1865661,132.9974129,0.722967327,169.836569,126.2994743,0.198041469,11.20503058,141.1474061,0.637087703,167.564775,138.7236901,0.255150765,113.4157742,63.24366271,0.094645649,113.2234609,60.54100465,0.198175371,170.956251,129.498576,0.124469072,161.5537951,121.5373727
24,0.638137633,0.979727089,230.6534313,126.6622776,0.980884254,232.6366456,135.4630686,0.999119699,232.0785298,114.6870611,0.533267736,226.1138665,143.2587927,0.994093537,221.6685198,103.8982766,0.498789489,191.672665,123.6453822,0.612668991,176.3569952,97.77809476,0.949088573,182.8747269,116.0685861,0.735472083,142.2285132,183.8570927,0.785007,167.6408274,126.9498698,0.85200578,171.154587,119.3606746,0.408423215,15.05312573,133.3660561,0.406707734,169.7547743,137.6940933,0.398284078,117.497269,62.78920149,0.178857386,118.2903695,60.54961815,0.217028409,73.27609287,26.35182584,0.318914711,166.6015259,120.1428878
25,0.670985031,0.946978569,231.4917632,127.0898925,0.976917624,234.4915535,135.368692,0.999286234,232.7693898,114.8696332,0.491424054,226.2249093,144.4128677,0.986855388,223.0142498,104.4227309,0.617884815,194.9711664,138.7458426,0.270147264,184.195805,93.88346354,0.962155998,181.2124859,113.8037536,0.852433443,140.2582587,181.8712205,0.665714622,197.9601304,128.1338025,0.895569861,86.06235614,13.36265459,0.418273687,13.38148939,129.8021394,0.617621362,167.214261,129.2395248,0.324821353,116.5090634,54.19951135,0.505785942,119.3682214,53.92945708,0.327475011,142.734948,64.68100178,0.547400296,161.6701779,118.9051405
26,0.528662845,0.95624876,231.6511099,124.8997103,0.968946815,233.832319,135.1675396,0.999025643,232.1567767,114.4507232,0.387890935,219.1580349,137.7700848,0.957315445,225.2208909,105.1952028,0.662274241,169.8993324,75.0313451,0.364864707,202.0531465,114.7712332,0.938692331,180.1644307,118.6160732,0.454550415,141.1979289,180.2290838,0.437860519,167.4227284,112.3404948,0.87013042,150.3753853,64.65204627,0.285856783,168.1193552,155.2169529,0.20555827,166.3203588,136.9663043,0.105740041,178.0131891,162.6290135,0.059493601,179.3870577,161.083387,0.113860041,229.4499551,133.9990905,0.218959391,148.8833294,63.29611179
27,0.553897486,0.98557663,230.6043471,128.22963,0.970182419,233.6143785,134.9823097,0.999673128,232.8253745,114.7542744,0.384770095,231.1309106,141.9658898,0.99081254,222.615505,104.7960801,0.663974643,181.9996001,156.9099051,0.5178262,189.9887957,111.9006759,0.757124662,177.0230205,117.6002165,0.33421275,126.2752858,41.41729576,0.338018656,193.9804005,123.8475099,0.62785399,158.242285,111.3548006,0.708096266,167.0718365,132.6987262,0.128973842,7.566812541,123.1476523,0.238466322,145.2864218,62.55229059,0.234923631,152.1110453,67.71489252,0.331172764,146.8718789,60.06459211,0.204598725,142.8378224,58.0118175
28,0.578339189,0.99098897,229.8734004,127.5227011,0.983411551,232.7342775,135.3428332,0.999614835,231.801386,113.8521672,0.446296155,229.6595564,142.384812,0.965576231,223.1760592,105.0907313,0.821688175,184.3573951,161.7266869,0.529026747,181.7441821,115.8244455,0.885975897,174.0650725,118.3513406,0.367352486,43.88156467,174.1371381,0.383440852,149.5278485,109.1211425,0.694774508,149.63499,110.1328174,0.213300705,167.0873079,123.2805429,0.124089181,160.4012197,127.1744792,0.286064386,140.9157011,45.19740339,0.158805251,143.1238784,175.8660561,0.430202276,145.5950204,52.4429668,0.551158011,144.374939,53.86740086
29,0.591584465,0.98917985,230.4575336,124.8811056,0.983470559,233.3283103,133.8498508,0.999438167,231.8492753,112.9990344,0.601902664,221.0084562,135.894085,0.964910269,222.4620348,104.5806633,0.555536628,193.0410351,121.8077135,0.955102205,161.3163965,65.67457182,0.946950197,137.2429239,174.5123771,0.544947267,39.20737506,171.4137845,0.303077012,144.5381262,102.276683,0.595348895,143.2010646,100.8266035,0.348462701,14.96187627,134.7878872,0.09044683,8.703778632,123.7574858,0.538725674,144.0568552,36.83952798,0.263499469,136.4044822,176.118036,0.173018575,144.7960801,88.11157684,0.202918947,139.3134315,91.52880189
30,0.624285828,0.923951507,231.4454344,121.1971852,0.968582153,233.5315962,133.0761841,0.999011755,233.1400447,111.8582729,0.64349699,227.1345876,141.5731191,0.844212592,220.1263557,105.9759529,0.957434118,173.7102182,71.84822683,0.531389832,164.8911517,68.18548348,0.963808715,175.5172733,119.5827847,0.623831511,149.5442099,34.2517288,0.709786057,199.2880847,121.4286585,0.656170368,139.6433291,96.37334435,0.495721459,12.93476081,140.1862296,0.213659704,13.49151573,107.4536102,0.368412614,147.6884607,34.25659332,0.58115536,131.9778621,173.241139,0.061680526,171.2529382,67.47260504,0.070553809,189.118948,27.51034474
31,0.66701845,0.92534405,229.7725743,121.4787058,0.98631233,231.8616378,131.670312,0.997634172,233.8613111,111.9091736,0.309856385,222.4554024,139.769185,0.649467826,218.9119558,104.5682643,0.943321943,175.4807101,71.41206548,0.962626338,169.9540979,67.43873625,0.969105601,179.3966039,116.7770633,0.962400913,152.2517873,30.42847442,0.684384644,197.3078939,123.7467326,0.936912179,199.4556365,48.20110116,0.540042579,171.3160917,149.7271721,0.283430994,160.7463205,71.28113784,0.422403395,130.6683052,168.7937198,0.587190449,130.8806497,169.9514523,0.088740408,201.4720369,47.07485394,0.090139449,132.8905762,94.1181921
32,0.700081203,0.92197144,223.2493807,123.5391064,0.957824111,229.4145989,132.016437,0.953764319,231.2548279,118.4834021,0.673700452,175.5905216,57.32333485,0.766946077,219.4853113,99.00317474,0.908886254,180.3592677,79.35122601,0.966020346,178.1087483,72.23442621,0.936038017,127.14656,164.02245,0.655238211,129.9666311,164.9846627,0.872344971,204.0357024,67.75083392,0.668270469,125.0160078,48.75804049,0.500409782,169.8875185,150.9041555,0.231469363,157.2190036,80.2957119,0.204140782,176.8016908,160.0285776,0.504539967,127.6153953,168.2298982,0.658907413,137.7802527,94.27642937,0.520908475,132.7627331,92.39851553
33,0.61850748,0.685881615,206.4862525,88.94988442,0.239577562,208.7406855,126.30073,0.969030023,189.4625493,74.48648174,0.524025857,201.3942167,120.9283562,0.680134892,245.9755628,125.2893966,0.788883209,185.860582,106.9066133,0.926947355,175.8001107,83.09850724,0.931720257,128.2122201,163.1138811,0.824864268,130.1832792,161.9232429,0.849137068,184.8826662,120.1741475,0.542764843,124.4626102,45.75750649,0.421855569,167.9140698,80.62495123,0.248476088,163.5089073,75.0083148,0.235833049,161.6058296,37.25112286,0.584193468,127.8967209,165.8312607,0.691072464,130.9559949,84.73451155,0.370229572,130.6431048,81.67883407
34,0.576098954,0.770726681,187.2341336,73.14771331,0.732476711,233.6536605,126.2673489,0.669115663,236.5840063,120.6860443,0.646631539,228.6922109,127.4686183,0.743160009,224.1900749,106.842265,0.415843368,206.2143024,124.9750312,0.431178629,3.422032427,93.65575745,0.773590326,132.7471032,162.5986194,0.670131445,131.287697,166.0267683,0.727575839,210.9035093,101.1644624,0.810798883,210.6632091,102.7406782,0.503397524,9.70724613,149.3680263,0.336410344,171.0580646,126.5146838,0.515535235,165.9479849,41.96528022,0.353891551,170.6271701,40.13523745,0.356600523,131.5003828,78.86104284,0.336617947,129.0551727,76.15832992
35,0.622156141,0.99357301,228.1593077,115.1927644,0.991315067,229.3152602,126.414004,0.994562685,233.0161029,108.3371006,0.570765734,221.0716585,138.6806897,0.867218733,224.8883963,101.1268141,0.212642431,204.8302171,127.8851509,0.711073756,197.2619797,104.5765547,0.805088997,134.0877126,160.5336469,0.660855353,132.4951111,161.4917267,0.421101004,200.8228484,112.1969608,0.402055383,129.1024281,45.04162278,0.308013797,158.9294632,161.5488452,0.359051913,171.9369709,124.4371416,0.308765858,167.0276534,46.43702208,0.596039891,170.1842667,47.02920787,0.829204559,132.1339171,83.23706695,0.545326233,131.0572965,82.10092609
36,0.72104713,0.996043444,225.4734804,115.6298645,0.999331594,229.3521038,125.4472071,0.999359965,230.1338415,108.2244241,0.760406375,215.7182428,145.7044051,0.938041568,219.6911332,100.0580573,0.292101711,199.5485258,137.0203871,0.949148774,197.8207295,110.3920392,0.815934896,135.1836571,162.0506106,0.733195484,132.1820137,160.0692006,0.759437442,191.545334,122.2123103,0.624937415,195.478479,120.8184715,0.532809854,168.6368724,125.5297333,0.298184216,168.1145638,127.1547285,0.553966165,165.2380325,47.3228045,0.586955428,170.9642244,48.08693723,0.742643952,133.9141137,84.03817738,0.675302923,133.2468082,83.55678449
