Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.517197399,0.975987673,129.0932233,107.2086893,0.991361678,134.1428927,116.2319318,0.9997347,133.8291735,93.53709474,0.439365566,125.7172431,126.6161561,0.996694565,116.3006813,80.21122279,0.638927162,2.392210085,22.34919973,0.255648732,79.9992624,81.54228601,0.356035888,77.36016015,92.02918959,0.163676053,8.682155728,21.82075872,0.534015954,22.36992578,176.8382296,0.918563664,68.80508861,104.2336728,0.726022542,56.69442738,70.10104557,0.43993938,59.52276451,80.9591892,0.136614382,9.460568851,186.475987,0.033034146,71.68600285,57.15053449,0.149815202,14.69080855,178.4819269,0.036918491,17.4696973,177.8800669
1,0.484857756,0.978716373,128.8507773,104.8495045,0.996407151,134.6421587,115.2366671,0.999722481,133.9149062,93.77356673,0.527746022,126.0390089,126.6898555,0.996707916,116.5316426,80.00651042,0.495981961,6.851930083,27.8019541,0.48787114,79.28812129,70.10017995,0.246575058,29.26001921,48.47527627,0.267203152,8.566707082,21.82328242,0.283509523,29.756344,170.81151,0.944013476,68.18676971,94.64243914,0.486156374,59.66545724,71.01856322,0.302104652,14.41232365,101.4613447,0.06576556,2.357898193,21.02672563,0.026150465,0.953805378,197.767878,0.116172045,26.44519363,171.8255745,0.021778494,8.131012077,143.3367227
2,0.490251669,0.984580994,129.0447244,105.4699692,0.995965004,131.4797055,115.8475977,0.99975878,134.5046109,93.20019897,0.298415601,128.4325014,123.9716346,0.993449628,116.8931536,79.78866749,0.439120293,2.988742633,25.22826082,0.384149373,76.51906674,70.78958919,0.305674434,35.46067294,54.63829393,0.211548805,5.593254861,24.15876639,0.743070543,28.94748873,170.6642332,0.970672131,68.10587718,99.45866007,0.418822318,67.09491554,81.33957309,0.418452561,26.50684142,100.6807653,0.116959661,1.57313048,23.74474534,0.023557812,1.581537292,22.00756744,0.021332622,31.51256242,177.3109541,0.008747816,23.13484182,170.0091926
3,0.457751676,0.98246932,129.2996547,106.2424289,0.997498453,132.9820269,114.7267332,0.999829113,134.1519268,92.40469677,0.248812854,126.6768834,124.7505559,0.98099792,115.5710635,79.88243455,0.550996363,1.169707623,25.07266917,0.249486148,80.9138845,69.74995855,0.376565427,37.8621785,51.85713903,0.19349727,2.805634497,22.89288658,0.284211397,74.41177044,97.45791394,0.949819684,72.28772872,102.0266903,0.291082442,66.45335299,129.9279587,0.405302435,24.99555609,113.6615486,0.162988603,41.97251604,162.7708772,0.013620853,43.7601009,164.0152934,0.030072868,30.57582441,172.9201535,0.064527333,3.355242745,139.9158157
4,0.557900972,0.984449923,129.2677488,105.7047221,0.996727288,133.4246499,113.6917964,0.999826491,134.3796695,92.26137006,0.245642126,126.6061344,127.1424879,0.946213782,114.5061471,78.58683725,0.630688369,6.487153204,26.36637065,0.458473921,81.29075716,86.13322702,0.229891181,30.04929141,49.16933057,0.463894308,4.563124677,26.0490366,0.694831729,75.19223407,101.2943781,0.96755898,73.25993265,101.3948873,0.580537617,45.71346974,103.3370274,0.704610348,18.01371638,102.5369655,0.326599956,44.37335106,163.3852582,0.093660772,4.781861418,22.83573146,0.097799242,15.77042521,144.881508,0.062910497,8.429566192,146.3164696
5,0.592015214,0.986899912,129.9105854,105.2471032,0.995834708,133.3401851,113.0876931,0.99975419,134.9762626,91.8818274,0.256987751,130.3002594,122.3925294,0.933058262,114.6454017,79.2084967,0.341292202,94.65353976,124.0846647,0.612188995,81.01299767,88.66396253,0.815683305,19.47152241,180.7701799,0.460275024,1.199282147,25.30427664,0.535399795,87.96582397,112.8821029,0.976614594,76.06425196,102.6544822,0.492610306,55.26751229,113.9780231,0.400304258,52.34524959,106.40358,0.76833868,52.98558686,162.2995426,0.400238872,11.34334036,174.8880306,0.048870385,6.15350578,194.9497454,0.039907396,8.509453668,142.9215434
6,0.639403853,0.965948462,129.6768322,105.1680029,0.979355812,134.7542257,112.7847393,0.999574006,135.8549128,92.82092453,0.34644413,128.9304629,122.3767288,0.968344033,115.4017195,79.17846832,0.332296431,84.83699575,138.7043905,0.775425196,85.32192425,97.26745377,0.617336452,30.11349339,173.3821249,0.156948149,22.85508136,34.10665867,0.713746369,85.64286097,114.0702784,0.985816061,75.91840765,102.2708797,0.633239746,49.65286922,104.5201677,0.658522248,16.52109972,102.7210006,0.806897998,60.16348583,160.4856844,0.768616438,34.82327693,172.2755247,0.10070917,14.84318613,148.4037775,0.060644805,9.052983545,138.660878
7,0.579724328,0.980248749,131.3584704,105.2613432,0.993658781,134.6065099,112.7981625,0.999670923,136.172192,90.28800669,0.13666901,125.8276642,125.3908079,0.983613789,115.2480542,79.64547489,0.417001456,83.10415204,94.89178566,0.735455096,85.95789687,96.45185949,0.875139773,9.036263265,196.8401071,0.390633404,8.16615263,26.04680551,0.685207605,87.91425269,110.5420105,0.990590215,75.81856298,102.7119543,0.537104547,62.20103289,114.0784103,0.612239659,21.86352448,101.3797207,0.226728827,2.879746874,25.83333333,0.206277966,37.64645694,174.6574594,0.030326992,49.29322356,168.790111,0.054746777,47.2486144,170.9717346
8,0.595761864,0.981163621,131.8882769,104.7387177,0.993193626,133.1271579,112.8673021,0.999452591,134.7912765,90.06667691,0.464574397,124.8234629,126.2079383,0.987619698,115.1569205,80.31440192,0.567448199,89.88768312,129.4013952,0.8907336,86.13190421,95.53385417,0.691398144,9.684954964,199.0197556,0.44521156,14.30372831,28.50072663,0.648816705,87.74304946,110.2656348,0.990717232,78.35307794,104.8097105,0.530082285,75.21569718,122.7244509,0.425406337,23.33291576,112.5209089,0.267905831,8.773985826,26.7991,0.040945441,25.98345086,173.2769097,0.021225363,54.16057077,167.6337927,0.182057053,1.598435115,24.88303805
9,0.584305078,0.98838377,131.4360467,103.4196756,0.99309206,132.6972144,112.434713,0.999759316,134.4533566,89.79378804,0.559445441,124.7555912,124.548733,0.990661621,115.8630447,80.65179756,0.516171277,91.81803385,123.1745474,0.918293953,86.54494382,95.29584601,0.50096947,9.022691515,200.4821366,0.314714313,12.98541466,27.71385012,0.435768008,83.47683682,101.0494694,0.995256424,79.36833719,104.4187929,0.76125741,74.61698877,121.5743626,0.357351542,17.13586472,100.8544861,0.244164616,7.767023094,27.44625249,0.199628979,37.54020853,174.2843175,0.040383458,20.90901236,145.5039233,0.117884666,0.639303115,24.51006067
