Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.517279327,0.968569994,196.1960513,128.3303585,0.99678725,202.9920485,141.4801566,0.99820888,207.3715717,114.0463703,0.281872392,209.6807701,97.98826906,0.990953565,189.9972934,97.18832904,0.430668533,131.0714878,190.5413399,0.842467427,117.9641049,69.7299762,0.996446133,9.814559041,51.97906913,0.392357111,82.99203023,206.7356966,0.729621828,56.28135119,51.04333694,0.464538872,49.8064675,58.14824365,0.03817609,108.2028934,227.1379769,0.106189728,111.6445873,233.6468331,0.071921974,114.3938851,236.7865364,0.07958445,113.085523,234.8064675,0.139717251,-1.385351745,203.5000927,0.265667081,-1.633108761,203.1814724
1,0.469337225,0.980538309,198.4958987,126.488886,0.999407649,203.6095993,140.3520136,0.998157859,208.9564314,113.566099,0.408521593,212.2432653,99.82031738,0.995341897,189.6312715,94.90967102,0.295049816,133.0384139,188.2624015,0.869638801,118.1655743,70.075455,0.942890465,13.65739725,47.82079651,0.436787933,88.02007744,208.6258388,0.283930779,145.1161756,146.140664,0.210884839,165.730459,117.9268712,0.057328463,126.6095725,223.8251502,0.108683646,118.8199931,231.3351962,0.183764458,12.79259995,41.95311281,0.069894075,111.4493602,228.0827676,0.076279491,-4.171128862,205.7476007,0.061632752,-10.42473611,201.8453983
2,0.53463188,0.931423843,198.5300723,133.1913599,0.975616336,206.237223,144.2603728,0.985871077,209.9883446,113.1744987,0.65476501,198.8150798,152.7395565,0.962274313,190.5691372,95.58291394,0.569197834,143.2776412,141.0148813,0.820323288,124.0679497,67.2041296,0.908961058,131.9357273,119.2060218,0.358397007,77.11817138,203.0080807,0.506823897,156.2666296,122.7048465,0.702642798,162.5587279,124.3726226,0.068619162,92.05253077,183.4665165,0.286521852,116.8206246,228.2069532,0.164031655,12.01696503,46.79595452,0.065347642,131.9013099,74.15749844,0.088806152,56.44998196,51.04394653,0.039119035,13.60463879,43.62458304
3,0.55412506,0.867602408,200.8339185,127.948536,0.959837079,206.1815065,141.919622,0.947096109,207.4727392,110.9591404,0.39454034,203.6306667,147.885541,0.984532535,189.1104625,95.9617129,0.568450809,133.8012787,190.4794544,0.761674643,129.6879023,66.03959406,0.715386271,129.0938207,118.2407123,0.779706597,83.89028485,206.7617139,0.84520781,64.093839,48.14943845,0.558607757,13.01047793,42.65242787,0.044698745,132.1761738,220.2750712,0.100252986,119.2621284,229.3469589,0.354939789,13.29507854,39.57446381,0.211050123,15.74958487,39.61806165,0.188473582,60.90599031,46.91492202,0.138068438,59.52971993,46.4819976
4,0.541279761,0.985034943,199.2726499,129.6782708,0.969599247,202.7897257,141.9121118,0.995195985,207.3321678,113.4004735,0.514095485,204.9731781,147.0008193,0.993041873,188.4168471,97.49252643,0.449707031,130.0248347,104.2201642,0.722779334,123.406606,71.19339351,0.915272176,130.756842,115.1299401,0.893550754,80.01013747,203.7943781,0.48993966,12.71202211,40.05797806,0.378325164,13.83943441,41.19520399,0.038654208,115.5438636,227.5074126,0.069127649,103.6491861,173.2169505,0.516343057,14.33729841,38.7430202,0.106339216,110.8197883,226.2243485,0.097827703,62.92578613,48.61292769,0.066922456,66.61271799,49.70039282
5,0.520129256,0.975144386,201.1042106,130.6807531,0.97787261,204.6417076,144.7716965,0.998528838,206.3766971,113.1368992,0.342149913,193.4672967,154.7561154,0.992164016,190.5757817,96.83269448,0.520849586,147.8123293,142.2542866,0.775557876,122.0565358,70.70410034,0.930239081,126.3116661,111.9175981,0.804325402,83.9833387,208.658269,0.436231256,161.7437797,119.8975524,0.156342685,10.91084265,41.68762436,0.039350897,116.9705349,187.740861,0.237272531,101.9820927,170.4074984,0.307257175,19.89640178,35.69990027,0.157715201,19.90002883,34.96595442,0.116865516,68.51383281,46.85564553,0.074330389,65.4363747,46.99816148
6,0.520529062,0.98685813,200.7197302,131.1054907,0.979184985,206.9566606,144.6452554,0.997725606,209.0703027,113.2620479,0.416555911,195.954983,156.6011236,0.996315539,190.1195161,97.65721315,0.479690343,147.9155084,147.2550425,0.740549505,122.4863452,73.67211884,0.942006469,128.07783,109.5950618,0.389942139,21.42606471,38.72478738,0.499079555,159.6559233,118.6565621,0.298854291,22.62582843,31.64208801,0.035958588,113.9401676,172.5660551,0.210851669,104.4931141,184.2652251,0.38903451,19.57011134,36.35333762,0.288686454,18.20611961,35.43980669,0.09366706,24.04374293,35.11885778,0.104033291,62.71512416,49.61222178
7,0.485537059,0.991114914,201.9656216,130.4991685,0.998936415,206.2500732,144.4045285,0.998301387,210.9560071,112.937222,0.467844874,201.374405,151.9956987,0.995544016,188.74644,98.54083762,0.319986939,130.2276573,100.2841663,0.578243077,122.659493,71.8086035,0.880091667,131.7643839,110.9539345,0.665808797,79.89226114,205.8505725,0.287194967,153.4650413,136.3830734,0.329466343,165.5051547,118.0167247,0.028974503,109.3143458,183.9955671,0.269544542,107.3712059,180.9191879,0.210247517,20.99145477,32.33179595,0.153894752,107.6388035,233.6738988,0.045667678,46.5965852,44.61493446,0.033267617,-10.59382407,203.2818108
8,0.488815692,0.990363359,200.8417822,130.3778968,0.999091744,206.8085791,144.2437919,0.997624397,211.6952442,112.788153,0.441273868,203.2717648,152.6500078,0.997468233,188.7454403,98.38361228,0.705638289,151.3598237,148.318691,0.826341152,117.7104181,73.38858653,0.892000198,126.2744202,111.2035493,0.473187923,83.75599836,206.7027544,0.265268773,154.9429424,122.6405957,0.077899218,166.3559345,116.4587235,0.03814137,124.5008071,213.2217297,0.212640762,115.7350919,181.1713386,0.182155907,19.91650299,30.41319201,0.150947452,133.5641361,73.97657225,0.022770107,204.4806175,146.1941738,0.037054002,-16.2700875,202.252848
9,0.514994665,0.984151781,203.7058901,130.508922,0.996035874,207.3962479,145.0077052,0.99932462,210.6642332,113.8041925,0.413260937,223.5184535,147.6730991,0.996224105,189.3153943,97.84017537,0.580180466,152.3042608,142.8354206,0.771455169,117.5017069,77.03490754,0.98429811,128.3789794,111.0012996,0.301499546,81.6911173,210.2654641,0.47651878,152.8619499,123.5485916,0.152374774,163.3635934,118.3289199,0.111346424,88.98039438,89.32014913,0.172420353,103.775615,179.3548835,0.151166171,19.13684554,27.16440265,0.630126297,23.43315515,27.37788702,0.028172404,208.1547967,146.0490549,0.006353498,53.78511846,38.37282255
