Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.552869076,0.905450106,246.9419086,136.3678337,0.845585585,250.7891259,144.6752472,0.987888813,253.0990071,121.5179634,0.697589219,248.1596978,151.571656,0.997518182,235.3668266,108.0392917,0.560641408,64.52434945,94.43081402,0.898029625,186.6635943,87.68825345,0.90314424,190.9333426,126.7095574,0.521058381,99.62068898,69.58528402,0.885625839,14.52366975,77.84001687,0.266211301,9.600621294,76.70727752,0.136682183,32.63543861,73.91512562,0.323277116,26.60716463,93.49866622,0.068855733,6.112596224,78.14678673,0.073255479,17.46396106,115.071834,0.195047051,6.882688449,192.0463434,0.132914037,132.6459845,71.82565982
1,0.513878819,0.914072335,247.0549752,135.2123444,0.945271075,254.1730795,145.6535654,0.999422431,251.1395911,120.2410195,0.534167707,246.6358946,157.4937944,0.996438026,235.3703379,107.7153924,0.391945273,180.3675094,179.6437802,0.916887641,184.6204817,86.98048338,0.712835848,194.996123,131.9216946,0.45516181,126.9974665,73.56800094,0.902976036,8.405940024,191.1508807,0.269295931,9.240028486,75.05220525,0.14923507,43.10408193,213.0078613,0.249137044,20.74821177,113.9192464,0.061824024,93.87277744,68.2614993,0.113240182,18.32695855,114.7681121,0.052913576,2.164266065,190.6043715,0.071115911,124.9726172,71.59677113
2,0.523589497,0.969223499,244.7718916,134.2037053,0.954444051,251.1053566,144.705361,0.999548197,252.7442504,120.0826116,0.596251547,245.6135397,154.4234136,0.998676896,233.9954451,108.1727065,0.426380873,213.1077852,139.4540516,0.622231007,183.3178376,86.41772248,0.893999517,194.4728635,128.0924845,0.344266653,9.765013886,74.9508427,0.903915048,8.808061883,78.43682945,0.464530945,7.84336733,78.68294515,0.226842314,31.75725473,69.25630072,0.232095808,22.84128634,104.149525,0.073980123,11.7326113,75.34610058,0.045494884,18.81873122,109.0989291,0.077598989,6.336883278,192.5366973,0.071541101,134.6543993,70.95498303
3,0.514384377,0.972825706,246.5064421,133.6566962,0.977756381,252.5160688,145.0590936,0.999555767,253.3991934,119.0070152,0.529210508,245.7260456,153.8388416,0.998381138,234.7630647,108.8536424,0.573399425,17.67990208,70.36889923,0.798591495,188.2330558,88.3182277,0.614529133,189.5519151,127.6786707,0.363064587,25.45473554,75.33620084,0.938931704,10.42129117,79.15312159,0.281621218,11.96407094,75.1794144,0.100979209,169.5432223,196.6371381,0.088889122,174.3858873,169.2520092,0.04770124,6.076481089,71.92524237,0.031383991,13.86155642,58.36733014,0.234186023,135.0945352,71.66322858,0.193527758,132.9771745,70.65534537
4,0.546837782,0.974419594,245.1021184,134.2095696,0.959245205,251.8265254,145.5390479,0.999468505,252.9902807,119.6833548,0.70948267,244.8674752,154.5514396,0.999234259,233.4995075,108.0835967,0.395586193,179.4005296,177.8565855,0.776362479,190.6251829,89.87722866,0.608870804,196.6265801,130.016276,0.259055853,98.00667257,72.58932926,0.946800113,7.834338547,79.6542286,0.354627669,10.74052942,76.26697097,0.2032125,28.45663197,65.98289004,0.130909175,27.11373966,111.7015596,0.124959081,10.21299517,73.59646877,0.058927655,13.65652553,58.7045551,0.478159398,135.1382793,72.48593067,0.316921145,134.0363974,70.95037453
5,0.537174025,0.974807978,246.9929922,134.3065553,0.954473972,252.9946941,145.0484136,0.999623239,251.0881174,120.7143658,0.546808481,245.8672021,155.7006135,0.990859628,235.9775135,108.0276242,0.662141204,186.7037297,182.3679873,0.533976316,201.6035741,121.1542091,0.889408469,193.0685886,129.8036756,0.413925827,99.59717711,73.31146126,0.936437964,6.309973708,190.8128024,0.205912322,13.77030238,76.99850285,0.204408556,26.921341,67.05651139,0.384287715,18.14527343,98.04980103,0.07685855,11.27631751,74.83395999,0.111199349,129.1772735,71.72902768,0.147384942,133.7820035,71.90171222,0.099443913,131.438924,71.00882198
6,0.565284505,0.97793591,245.7656689,133.6224982,0.956967831,251.7827569,145.5345735,0.999357462,254.1316275,119.8812276,0.557583213,244.8852509,155.7697653,0.979444385,237.2449965,109.4153061,0.674086213,210.5162492,141.0021896,0.66827774,180.3410044,89.12259334,0.785128415,190.0965468,132.0991095,0.61595279,99.97441553,72.83966331,0.912813902,5.413778736,190.5611638,0.406733513,12.8210373,77.25566431,0.116286159,30.37308101,74.40911263,0.367895842,17.92670661,76.21320517,0.189121962,22.01831299,74.1156684,0.169540495,23.12743226,62.03937583,0.131660551,135.7043929,72.32258505,0.101050198,133.1799972,71.56855932
7,0.622708307,0.989307046,245.5725997,133.4434252,0.98619473,251.8998713,145.4364905,0.999781966,252.6911429,120.1380233,0.734708786,244.0752526,154.9856625,0.982438087,236.9936749,108.7116324,0.752951741,208.9681599,142.7104913,0.642378032,190.5452535,89.80056667,0.895203114,184.6495957,134.1690075,0.529790699,100.9265274,198.5251102,0.855500579,7.559146953,191.0077735,0.802106619,22.34123849,76.25158493,0.164314419,174.8896399,215.9477411,0.085431814,15.62742007,137.4635831,0.098195374,20.94952873,60.03827003,0.168070257,17.92651001,58.54989003,0.538653255,133.0917896,73.00230181,0.361014694,131.880657,72.72901061
8,0.547466862,0.971976995,245.3669242,135.7013694,0.947716951,252.8333236,145.4913048,0.999448657,250.8180692,121.3580193,0.71720624,245.5978611,156.7477055,0.974892914,236.9895541,109.8708524,0.469790727,15.50568656,64.91755911,0.512058139,12.85562694,138.4677722,0.876770854,190.6458845,129.9971471,0.335778803,104.3598334,73.29564851,0.864673734,7.359022505,191.5788126,0.927177191,28.89707568,77.10549801,0.180681825,172.5886709,215.6398008,0.105095029,176.2595218,172.2474348,0.084665835,106.6907942,73.2840663,0.038043708,101.5422372,194.9064158,0.22153762,136.9285829,72.21546797,0.079421431,135.7861145,71.87061096
9,0.582638809,0.971803308,245.0648847,133.0746601,0.977187157,251.1968926,144.3773164,0.998865247,250.9212849,121.3389147,0.492973536,241.8584435,155.876346,0.990681708,235.3226923,109.9579383,0.549303174,188.662914,179.8772774,0.631669521,191.6861248,88.81756691,0.685769916,188.3419042,138.2390298,0.618516207,109.5001853,72.07382374,0.847604871,6.584045182,193.08228,0.937879801,39.60120955,75.02136002,0.126483768,167.6329881,218.9473363,0.107443899,36.12618931,134.0291798,0.103901446,110.6527119,74.74580115,0.093977809,100.9205595,195.1214302,0.474350333,103.6008212,197.8002351,0.296448052,109.4400676,200.74209
