Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.557177197,0.98244065,227.1629945,123.7033542,0.965807974,233.23675,136.2190328,0.999325633,236.0277193,107.1999478,0.322283268,224.0680595,147.9332963,0.996619463,218.1422636,90.56139542,0.695466518,179.7069947,139.980676,0.744443059,156.1240588,60.38895472,0.663693786,168.4385729,110.4067791,0.861495376,67.61371284,53.74146575,0.704412282,182.0994387,130.3403948,0.688206792,5.224418116,62.90871762,0.044673204,131.7741617,229.6776734,0.176866204,0.161044041,148.5035307,0.132234573,69.87906962,54.48287297,0.083782017,65.43426552,54.40578427,0.209166676,1.965236021,64.26029963,0.201094866,0.771235205,67.39333402
1,0.55064452,0.959683716,226.4277319,121.3802205,0.965105057,231.0362535,135.0199945,0.998536885,235.2286449,108.0983244,0.430957824,224.4949916,144.8512358,0.995454192,215.6170753,91.30560676,0.369819522,183.9098344,123.0074102,0.674368858,160.381725,65.50070469,0.856783688,163.0072883,112.0395892,0.988733768,64.38214439,50.85880199,0.612603009,185.8199102,122.7832397,0.43980509,-6.276005853,59.35707807,0.133737445,6.189271163,150.7782142,0.09443593,13.07465095,199.7551157,0.131812692,70.78262767,48.04596062,0.116897583,65.77686705,51.12808818,0.206378847,-8.758109065,60.44032484,0.385842741,-7.815348307,57.40373361
2,0.548434582,0.961354375,225.7721793,121.7958387,0.795432806,230.2677074,136.6466843,0.998670757,235.093633,105.2002258,0.823305011,222.8986228,146.3544349,0.992922127,215.606054,90.59656874,0.625189602,176.9995757,135.0659454,0.724211574,153.1964683,61.12745421,0.752428055,162.6034474,114.0323863,0.426490754,63.42263821,45.97907401,0.628674626,181.3838903,124.3672094,0.148058385,-3.492800442,51.21646038,0.178951681,7.934289901,156.7915472,0.140951812,-5.85622266,152.7627209,0.257849514,66.93798279,44.78417481,0.169815391,65.06542115,46.43760119,0.273350954,-10.30995877,49.02271818,0.425730467,-6.9125591,50.33974256
3,0.583978562,0.966976523,225.8827832,124.2454988,0.488491565,229.0479186,135.9257593,0.997557998,234.0546241,106.5219013,0.660554528,220.7475275,150.7658762,0.996228933,216.2622649,90.77013109,0.786801755,183.2232658,128.979352,0.610990465,150.7466375,62.0931843,0.925244868,165.0671524,108.3485121,0.784776211,65.24868816,45.80487769,0.589037955,176.3820737,128.0950813,0.545782983,-1.989835246,47.12655933,0.186794609,117.6128228,151.4238671,0.144872874,141.1388231,170.5836211,0.140731603,68.01142127,45.88979352,0.17501691,67.18152602,40.91910868,0.49157235,-1.100498347,47.10369972,0.43620342,0.176095129,46.81106015
4,0.558352355,0.958935142,226.3949116,122.2106278,0.401198864,230.8116807,134.1547919,0.997091532,232.9991807,107.1708216,0.533831954,220.1231615,138.2593535,0.998687863,217.7741446,89.54122289,0.51577276,181.9354469,129.2849392,0.576469004,158.4097149,62.31338025,0.863141537,164.5610345,112.1005969,0.553604066,70.07884432,41.44013708,0.654626548,179.7844004,128.4963864,0.885553002,5.579004943,39.9569203,0.093548775,111.7050708,156.1377502,0.177337736,134.1475377,176.3079598,0.304231167,72.57744226,39.5971954,0.209540427,93.15347393,44.97796943,0.501918793,8.309990625,41.86225348,0.26650086,8.631547602,40.21055834
5,0.539246675,0.979055882,225.580378,122.5785151,0.85822618,229.3016054,134.232417,0.998321295,234.0377019,107.6160293,0.278591037,217.9149842,139.2997645,0.997294903,216.6951955,91.62778704,0.794142425,158.3991934,176.2465619,0.565930426,159.9015513,66.59427181,0.818889976,157.1083143,113.4810247,0.342049479,73.35927137,36.57722159,0.430258811,178.5039696,124.684769,0.847901285,16.91656487,36.10404597,0.053225636,115.5222354,148.0741358,0.087991208,24.89009405,213.4108244,0.227039129,67.75367461,41.27149413,0.144676208,97.69149647,44.21337342,0.347103119,17.23285042,37.95096218,0.396496475,83.28873576,40.34290023
6,0.481135701,0.955581665,228.4563973,123.6789219,0.970414102,231.6232883,136.7123127,0.998864293,234.7795236,107.8222778,0.446047246,219.3405704,139.986016,0.997207701,218.5818264,90.11545627,0.688938379,178.1310593,125.277217,0.433911771,188.4315504,106.3951799,0.936206639,161.2348334,107.6016795,0.105143964,141.7528382,129.4156352,0.405557603,182.5404524,122.9107293,0.699404359,78.0226621,31.69146477,0.09210664,-4.430931749,165.0512299,0.069006503,2.974898473,176.5472115,0.149515957,152.6208085,228.3196054,0.107036799,100.3468626,222.9108146,0.0498873,107.4680331,211.1446629,0.074476004,91.02125761,245.5964956
7,0.472703872,0.985593557,223.7522189,125.1406445,0.961583614,228.4667359,135.7390298,0.999135852,233.6436632,112.2663687,0.232224852,220.3051118,145.7144999,0.996833682,217.1862564,90.95838454,0.530401707,182.5109238,130.8277739,0.568660617,155.8129852,65.47338288,0.932672262,163.111394,109.8856654,0.489982665,89.91478547,227.9701155,0.335008591,172.0065372,134.1459162,0.450508982,90.41447824,28.74904904,0.223162383,-4.86116826,159.6155806,0.123125076,-2.943392407,158.4568362,0.095171779,101.4071888,224.2339654,0.053105444,105.4824658,222.2316831,0.033609778,114.8394463,219.9255569,0.025184989,121.8447522,240.0951691
8,0.527103971,0.946933985,225.6946639,124.6400374,0.949198127,229.7803283,136.2619723,0.999345124,235.7969286,111.2029885,0.448392659,213.4573726,139.1960245,0.994796634,217.9293949,91.26977509,0.831444502,182.299189,125.6090288,0.671178102,158.5674401,68.19071376,0.951706707,164.3485072,110.3966599,0.461560845,66.31741451,20.90210113,0.298926413,191.7616529,113.2188158,0.089409113,199.248754,107.8106956,0.210402757,141.3134949,157.49199,0.210828871,70.13013518,23.44875912,0.196545452,67.45120235,21.57672172,0.577366233,69.26497518,19.42262723,0.09117201,129.7470569,172.5260904,0.031559974,97.72551766,29.80012167
9,0.616032111,0.980237663,225.4728952,124.7438748,0.986372828,230.0678595,136.3543739,0.999560714,235.7000771,111.2975602,0.583932102,215.9559096,141.7574467,0.992653966,216.9981859,95.00705905,0.86739099,183.7549377,129.5770546,0.667723417,198.6018941,100.92949,0.967464805,162.1381964,108.064675,0.662603021,120.4919632,227.9417818,0.598456264,190.17227,112.8230825,0.830241203,109.0135987,46.35914701,0.468383968,149.1584128,162.3062237,0.18602249,136.2444405,154.0748381,0.409399807,127.023813,181.8006788,0.149103761,139.9488798,192.9636294,0.050333291,241.6371869,139.8414214,0.072665602,205.2300347,222.7690728
