Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.428081779,0.98458004,143.5107849,115.9262226,0.85982126,147.9620689,128.0478747,0.998264194,151.7855854,102.7721208,0.284768701,4.084714587,166.1089897,0.99840492,134.8001643,81.10006535,0.805771351,87.79524862,92.27719501,0.353776902,68.85559311,46.01719165,0.909955978,87.94714005,100.2708041,0.091224849,3.431579742,194.4336181,0.142159671,-9.714346325,190.0119236,0.140422463,-5.361356319,189.1972924,0.111126512,61.68886792,163.4795129,0.335187733,58.52918227,166.6853201,0.037877887,38.14793886,138.7183989,0.0426085,60.48561125,223.8565806,0.12242049,144.5426615,124.8970769,0.059018791,15.02418699,175.799684
1,0.416777442,0.989610314,143.1318396,115.1690636,0.961518526,149.1444288,130.5594082,0.998522878,151.1797387,101.437083,0.5234707,4.050634339,187.6809018,0.995578051,134.975397,81.26555673,0.590803146,88.42820985,89.91230444,0.30007121,4.624009722,52.21361482,0.688061237,86.811877,101.0521516,0.078929543,-8.990750545,40.43482024,0.094571382,-8.148319849,187.2419485,0.075256348,15.65746369,187.6378892,0.090681553,65.14822171,153.8945581,0.360322833,54.72394126,156.5406401,0.067456841,39.5437222,138.3742002,0.097148359,60.08344062,222.0897706,0.134765774,140.9370245,127.8177181,0.038447827,5.412276098,167.2986648
2,0.404786117,0.985216856,144.8162087,114.9051966,0.997215509,149.417842,129.4563802,0.998903751,151.5937232,101.3240651,0.668345511,2.906686923,178.5778519,0.995192945,134.1831865,81.67053146,0.431104898,71.89804858,46.92553498,0.239763081,86.20105605,70.57001502,0.769133568,87.58372103,103.0332933,0.059330225,-0.040006709,197.6164316,0.166237891,-6.395674383,187.81606,0.058907777,-2.873482579,187.4151451,0.063908637,70.11715702,195.63568,0.205499977,56.84895224,167.0955251,0.032656491,58.45233131,224.8192933,0.040706903,55.18666852,226.7685657,0.136330098,144.8338868,129.0375312,0.03290987,12.95862319,183.572707
3,0.406241368,0.9887743,144.4310579,114.9294583,0.998080313,150.2488467,129.2453769,0.999441028,151.0942377,101.3998737,0.341000229,2.84946856,184.4901149,0.99723959,135.3939777,81.55933013,0.413489968,75.7099524,47.51342926,0.199804306,87.51520926,94.10484209,0.65809381,88.97993719,102.8428454,0.035269856,113.1676591,102.0836016,0.138043165,16.01917281,188.0278314,0.115202397,10.67779655,190.9023876,0.331860662,62.00693347,160.7168773,0.435475349,53.4749227,165.1376209,0.066673428,-1.034439506,193.75712,0.090565592,53.89445444,211.9904319,0.067002743,4.392820589,184.6661644,0.030086517,2.04077217,192.2025934
4,0.391567349,0.9837991,145.2106985,114.8050776,0.996056795,151.9639269,129.1098529,0.999854028,151.0433126,101.4948721,0.636972189,149.1524023,138.1319371,0.997842908,135.589022,81.79147404,0.24496004,92.00740286,98.93221852,0.278042555,75.75447073,52.37060242,0.534303248,89.12124615,102.0005998,0.083174348,86.42344043,76.37596559,0.182813138,-0.070673279,188.7060852,0.188344121,0.542184446,188.4181882,0.102007091,65.4599902,164.8033708,0.21336633,53.23632325,167.5640557,0.05817014,59.81492251,223.8437793,0.0480721,54.49764333,224.6487545,0.078503191,6.062402618,188.8864993,0.030363619,10.72820199,190.4055234
5,0.411003507,0.975907922,141.9927483,119.7510436,0.970703959,153.5175269,130.9401578,0.999561429,151.0590887,101.4080422,0.367223442,146.9490773,139.2197132,0.997045517,132.4424426,84.10556141,0.407279134,75.73687188,174.1399666,0.275983661,79.04056697,98.04025486,0.708497047,87.05355488,97.16033669,0.04921481,3.436992898,191.0188924,0.148257554,9.361864107,191.8629057,0.122144818,18.77132802,190.894975,0.164131105,56.00699931,155.0486209,0.496662766,57.62719696,167.2365842,0.088601679,38.63649137,141.5132695,0.042007327,50.96582763,214.4296924,0.13802141,12.76281921,187.8460762,0.035816044,35.9303678,191.060759
6,0.445140644,0.975309372,143.9598817,116.6630945,0.96767956,147.8306048,129.4140137,0.994483948,152.5978147,102.5308696,0.856975734,148.3676288,133.0019117,0.992904305,132.0473797,84.4592209,0.410474569,81.10231473,47.39294388,0.34886086,66.13404387,47.04241768,0.878729224,84.91071951,98.7140586,0.079456359,26.96035473,191.8079208,0.293392599,6.689065274,189.0021994,0.119489342,11.34287707,189.1771028,0.085649967,58.7682633,161.8907274,0.25170362,55.08114856,165.2232561,0.029130369,-2.12777127,192.3224387,0.043728858,56.07096964,228.3228484,0.069190055,10.35139181,189.191733,0.170232207,9.96644057,169.2412317
7,0.393507693,0.973391473,143.9057014,115.9804273,0.967558146,146.9387387,130.1119938,0.996209681,151.9177688,102.8523428,0.646110177,126.1814577,142.9083884,0.991613507,131.5980391,84.34959231,0.293168306,79.38527158,47.17833787,0.25230372,82.17722232,56.89611009,0.914331317,90.47862535,102.0008924,0.071207881,4.153552871,192.5952667,0.128142118,7.662267411,194.0770814,0.094754338,77.09268444,81.64951282,0.051482499,59.41090483,154.6943152,0.194817245,52.04494138,154.3507018,0.017974079,56.98931024,228.7100841,0.05409205,57.9019146,226.5647677,0.020661741,53.02280231,232.0665574,0.021812499,17.2207013,187.7314246
8,0.45079551,0.946224451,140.6683418,120.0166662,0.967001617,146.9396896,129.1598393,0.988827109,153.3771141,102.80538,0.882433176,147.0592058,132.9331134,0.993787527,131.8272082,84.06925425,0.681373477,75.07717404,173.7178381,0.411634535,60.93248308,44.85188192,0.962927639,88.74620835,100.9757578,0.096452504,3.793583369,200.4943284,0.105833828,110.2485053,106.5726558,0.076076299,77.6929351,94.69231576,0.083646804,54.69229137,158.3321385,0.207891732,55.13130559,154.6617266,0.076944053,54.39932262,229.4542466,0.078672945,57.74841994,229.7853026,0.049473733,6.378164684,187.070093,0.054322243,-1.893963189,23.10015313
9,0.437919615,0.946821749,144.0006754,117.0643507,0.932675004,151.1818723,133.661195,0.999341249,152.7430556,102.240388,0.678641081,145.6102723,140.3161088,0.995987833,133.7311027,83.40494792,0.473291487,70.46159951,175.043671,0.635422587,61.82558667,44.24263982,0.874009848,74.52633061,100.3570976,0.077065915,5.819538702,188.9082982,0.098710716,108.6821283,106.1595247,0.032227188,81.59150427,84.00274803,0.128231108,37.61918695,148.1663667,0.255245179,56.07313368,157.8782625,0.105921477,9.414144795,172.8416384,0.079631507,14.49767076,170.564992,0.091528118,-0.454522179,183.0670646,0.039881408,35.05811827,187.5309672
