Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.459429695,0.982680202,138.780065,127.5359658,0.981140733,143.1239271,138.9543222,0.99968791,146.6748717,114.597488,0.274766326,134.6283698,145.3608892,0.997831345,131.2185452,100.8608258,0.699863434,81.09520692,170.4069864,0.434720397,88.4981054,104.4180736,0.560897708,53.74503184,180.5110799,0.223159105,5.961223702,228.3321873,0.331260741,9.891829854,39.54349056,0.820594072,9.947563105,38.69692913,0.106526852,13.58023388,199.3969452,0.137722492,-5.888336601,191.0772911,0.041090131,5.122960694,225.3324214,0.037479401,-5.345903223,222.8968184,0.130516171,5.028298672,221.9104293,0.050367802,2.822880358,219.3364252
1,0.489525848,0.974687576,139.6908893,128.5053473,0.986798525,143.7488052,138.8954725,0.999568224,146.7317586,114.7497025,0.447789907,135.2966751,145.4153378,0.99584198,130.4277002,101.1933691,0.666969061,84.1804251,168.6818235,0.591213048,88.57294471,103.6759227,0.747248352,88.19389581,107.8127804,0.451030582,37.7265052,51.20902948,0.226431757,8.465911446,39.44755945,0.836123884,11.00855376,39.687945,0.137451023,41.09431082,185.2203544,0.088309377,-8.020713701,196.4936651,0.060435832,12.42974633,223.2824448,0.045871019,-6.631350095,220.4140089,0.034193546,-3.845244561,218.5502009,0.031975716,38.09417306,58.83104493
2,0.487086887,0.967581451,139.8940046,127.4765064,0.972424686,144.4065524,138.6826769,0.999450922,146.490288,114.1853933,0.233174413,137.0788955,145.5262587,0.997790217,130.9901807,100.8968282,0.753471017,77.25100095,167.1344901,0.399156541,88.81011163,102.8682653,0.785651445,49.10025798,181.1654134,0.541105032,42.8361917,51.27305468,0.37981081,10.61441143,39.22398637,0.834085286,4.952032158,40.04101928,0.082909495,16.13759168,213.2659127,0.140032053,-7.392290856,199.2417437,0.015691519,13.50397574,221.8298416,0.02749005,-2.071505391,222.6749766,0.12873283,4.711955972,221.5587205,0.02191931,1.52454181,219.8091253
3,0.44437491,0.941174567,139.9974397,129.1924279,0.889638901,144.007259,138.539972,0.999653816,146.6850275,114.2557399,0.175924838,136.9579408,146.4047016,0.990491867,131.6361018,100.6099919,0.726500392,82.13100324,165.5520931,0.479848772,82.47684169,101.8659903,0.31508404,82.61470037,108.2177917,0.344690442,38.6699426,51.60365949,0.089960426,39.86905711,53.33562539,0.929842114,6.295381658,38.95218867,0.096606225,54.06522487,181.8865578,0.110546678,3.812372062,184.33762,0.201866537,7.31711246,225.4694815,0.167581469,5.41680992,224.5103777,0.033334523,145.2602704,142.2159678,0.061627865,38.02639584,54.18079086
4,0.475391458,0.83811301,142.4413819,128.8103494,0.784402013,146.5620123,135.7697044,0.998426199,148.8927049,113.2018571,0.939472318,135.3767507,142.3012006,0.982315063,132.7598924,101.1815187,0.629745364,86.61568059,166.7619089,0.627890706,81.83938778,100.5470213,0.584696412,51.71186164,181.3595311,0.308077335,42.31615388,52.92851709,0.122146875,9.350015971,38.56453237,0.678680539,4.788954755,39.83020492,0.197692603,43.24022462,143.73932,0.04482463,-6.903850351,194.3398876,0.175000936,3.816226192,223.9284391,0.080623537,-1.817482366,222.3329237,0.052233487,-4.75941633,218.0968613,0.037313759,6.119031585,35.8835879
5,0.474477135,0.874533772,145.3472344,128.4968374,0.830515862,146.3209318,134.0460533,0.996239007,149.8982351,112.2427166,0.956474304,141.2371011,137.7318513,0.978623986,133.0558604,99.96041325,0.791124582,85.97924469,169.5605103,0.586795568,83.27193547,75.00225548,0.389361322,47.08134607,188.4127507,0.252140641,41.90216941,51.63760753,0.162632734,1.586439059,36.92010963,0.865601361,11.66834913,39.68069698,0.074207813,48.87514264,137.7405075,0.052965432,13.01911429,180.5158591,0.076525658,11.85139593,226.3515332,0.108251154,1.466380392,228.8026442,0.050017446,-4.092319217,228.6534654,0.020100653,42.63985204,57.34712103
6,0.456583265,0.906640291,143.7010256,128.1667081,0.815437198,147.418376,135.1225763,0.999617934,148.1669885,113.5461167,0.859858513,137.4366149,142.337459,0.965330482,132.930736,100.5423884,0.718511879,83.30140303,166.8387416,0.446850806,84.33003667,101.5165613,0.452207595,44.86031255,188.838488,0.131631732,5.503047033,227.683267,0.229849249,10.64763101,38.7774803,0.83495605,10.65057685,38.69469803,0.089552999,50.11262472,169.3771458,0.12431705,-6.816195942,194.3883866,0.039012015,3.103089636,223.4534225,0.069902569,-1.91881387,225.7318732,0.056424707,142.1539238,133.0803049,0.021814436,0.924846159,215.2571493
7,0.445442652,0.962521076,143.3452813,128.1679883,0.979789615,145.8834416,137.9369294,0.999858618,147.3154163,113.148201,0.402510494,135.8633983,147.1386841,0.939929962,132.6898018,98.95399306,0.601120412,84.67911205,169.3007276,0.56060946,89.05587986,109.8733029,0.630684674,66.70752746,106.7316245,0.173668265,30.66301705,50.88675776,0.194803983,11.83078342,39.4260897,0.813590348,10.64090191,39.19526251,0.097505659,30.02209457,185.7475031,0.063371122,-5.251875555,192.7241095,0.021131724,9.10668991,223.9693059,0.025635093,8.161051127,225.6536263,0.066818833,10.0359734,214.6501687,0.038975745,40.28388891,56.22993231
8,0.46180257,0.951919317,142.727889,129.0780689,0.954736233,145.2027739,137.2484955,0.999858737,147.4917462,113.7033054,0.313724697,135.9049723,143.9713664,0.987230957,133.7285059,99.64141503,0.442495286,84.91520609,172.6032401,0.28778863,95.21331368,108.5616978,0.797846019,84.63965941,107.5655918,0.207122415,39.85617344,50.91161073,0.499111205,12.04858978,212.0692396,0.918034196,13.11192583,39.52788507,0.091368139,57.66852713,180.7872484,0.030775905,-7.998988691,195.2137221,0.017939776,76.14966156,76.25193849,0.023260444,40.89811442,59.40497352,0.212728053,11.69475732,212.8987447,0.114703685,13.13740972,212.3884207
9,0.456304938,0.986152291,142.7505657,127.3306072,0.985824466,145.2189646,135.8064992,0.999851465,147.131308,113.3253477,0.317363739,134.4511255,141.9234868,0.982140183,134.6487667,98.98780089,0.559241652,83.1710484,173.5513469,0.545820594,93.00872688,105.7616212,0.588152707,89.31207207,109.5809072,0.04780063,92.15281435,105.6457139,0.488696218,11.83297032,211.2698239,0.719662607,2.838267351,38.47495928,0.154133409,38.49595964,209.2711016,0.073504984,0.739132313,102.9468779,0.100907594,27.76272092,55.10895804,0.031708449,85.26671982,76.28307633,0.158173889,14.94134682,214.7424606,0.018049061,6.910177128,37.09228211
10,0.46448472,0.928772569,142.6659181,127.4168764,0.95647341,145.3135241,138.0277461,0.999842048,147.3943947,113.9699521,0.636795759,131.652829,143.1903724,0.904672503,137.7678049,99.01785366,0.696195602,90.49731537,163.7789921,0.677476883,88.44410186,111.4283537,0.634721935,34.51582129,50.69437739,0.31309098,38.77126248,52.5534732,0.367837757,15.67930224,203.2285083,0.261729628,7.16338235,38.90056863,0.166249245,37.03044534,209.0998556,0.079456151,0.718399791,106.9042237,0.058600962,6.263135893,214.9999268,0.057594836,2.968774384,219.4415184,0.110475212,5.911109724,209.4646584,0.046254754,8.627962453,208.4877058
11,0.50047324,0.929778099,4.490329776,160.7290569,0.953439832,145.0022555,137.5028041,0.999496281,148.3788941,114.1638991,0.484473795,134.218811,142.1948882,0.873417616,141.1575496,98.31552113,0.524692774,85.1032279,158.8933511,0.630601764,122.5150934,98.97104937,0.817364872,87.76984092,116.719384,0.370360821,5.150745787,209.1535727,0.435703039,103.9558218,125.6829598,0.799479127,8.318569836,39.49265079,0.073316932,37.10000561,204.5028431,0.056836575,128.1509563,234.0308501,0.083594233,8.717850246,203.8641152,0.22855863,4.625210613,210.8109004,0.209143162,15.82988001,198.2756174,0.037787527,30.05187607,184.0686447
12,0.41839662,0.968587756,142.8523915,127.4948916,0.996316075,143.2648886,138.4035581,0.999793887,148.6975631,114.0035039,0.245962739,134.9135358,146.4362662,0.88429904,138.8168232,99.20631437,0.427044928,90.47874727,159.5911117,0.604195595,88.2568908,104.5498791,0.836039305,84.70163029,111.3295271,0.105677933,9.215722626,41.87144,0.329628348,97.97641864,131.667959,0.122417331,34.79291023,177.5045597,0.066834956,74.92821473,173.6448092,0.281836957,67.04480118,155.8670924,0.017351151,67.47480566,163.4209801,0.025778145,66.24810418,163.402095,0.103527874,145.230876,141.9976616,0.097450525,19.6039466,201.0423494
13,0.557833056,0.917126536,141.9186832,129.65279,0.975155115,143.0433881,139.0730703,0.999139071,149.3401437,115.4760529,0.397614896,135.6574302,144.5794929,0.908971786,136.689636,100.1731112,0.635310948,82.55405231,168.3313339,0.324423254,82.17328437,92.03415165,0.826453567,85.47657103,108.2873581,0.241810322,2.077710631,207.9509012,0.782976627,40.42400308,159.2545939,0.845236063,13.85206358,159.9472461,0.578517735,55.62504877,157.5524003,0.090465814,36.02029446,158.5997971,0.104878962,14.88511065,200.4259812,0.027823925,11.32822253,208.6145248,0.501201034,15.03576767,197.4850772,0.326056302,12.38233854,199.6526559
14,0.520125317,0.940495372,142.6985311,132.3832148,0.850306869,145.0638118,139.0175611,0.999524713,150.2948585,117.0574258,0.27109915,137.1309423,147.0592302,0.968470216,135.2320708,98.95480991,0.655753791,90.33725543,160.9682843,0.446851134,91.45687641,104.5313232,0.928001642,88.28891864,111.544383,0.712522507,3.888457223,207.0120357,0.337327659,110.5894975,117.887955,0.892350435,10.20050316,167.4739583,0.384686798,68.51184554,165.7111472,0.162219167,38.61815492,159.2811354,0.055404037,33.77766317,54.98555882,0.062006742,4.695030717,203.7035737,0.112926275,40.20324936,51.34099344,0.062183887,39.32259358,54.92353308
15,0.485652254,0.936709642,142.4596696,131.7473519,0.940297186,145.1430829,143.5314865,0.999692738,149.0251931,118.384868,0.258025646,125.0855986,140.2124664,0.985571027,134.7177356,100.4707373,0.528381228,88.08542544,165.683862,0.523569643,81.42182501,73.7406489,0.796317041,88.43792671,112.3503701,0.115928411,8.043851436,43.58370396,0.723177791,42.17456146,159.5729094,0.743195951,16.29860562,162.5723461,0.286291987,57.40546485,165.7558423,0.172145665,-0.708991109,105.2656469,0.066050947,14.2586705,189.8102957,0.09224543,6.811872428,151.9951867,0.073877484,3.848788182,39.54991563,0.014610499,16.90924674,45.77128321
16,0.503783275,0.950135708,142.7067972,130.4736023,0.969519496,145.1242344,142.7457865,0.999509692,149.9853089,118.1098578,0.503181577,137.7842882,148.0297455,0.975177884,136.4960547,99.23356303,0.731205106,104.3000449,135.3703622,0.415297806,81.10862399,74.00218721,0.754658341,88.38185666,112.8206319,0.089219987,1.780198534,197.9356615,0.867253006,42.11403226,162.1678956,0.916001558,8.44604797,168.3080719,0.12046507,55.09135309,171.7194815,0.114079952,66.12913667,170.5391454,0.034031391,-0.84414469,196.7468887,0.040822953,27.43624912,180.6491397,0.053000301,147.3272911,140.9688085,0.030755848,12.03169805,166.0745845
17,0.52596074,0.939810276,143.4646999,131.7270526,0.957880378,145.2482127,139.9022218,0.999652624,150.9061183,118.1693903,0.450180888,139.7194059,149.8733395,0.91814667,137.1039131,99.0725948,0.894586325,101.7996669,132.2802795,0.344547153,112.4966716,102.222783,0.911063492,85.10739749,114.6556794,0.169946253,-0.477073184,201.433267,0.731743455,40.26975558,160.8137899,0.95516026,4.829301203,171.3625059,0.176635265,83.37640084,180.0723461,0.094049811,35.02381971,161.0443367,0.13213709,7.377267521,34.5453559,0.144991368,10.17903951,34.39377536,0.059857398,143.0344638,139.9415404,0.060943872,17.34706922,50.08679946
18,0.501359668,0.962792456,142.9245426,129.4422621,0.98039186,146.4707568,142.7523457,0.999563813,151.191772,118.4793422,0.519691467,139.3032269,151.4930312,0.957166314,137.1544237,99.87722866,0.686181486,104.6150564,141.3737833,0.465612084,106.0051523,106.8327189,0.784604907,84.84962644,109.1481595,0.141075909,33.13910285,180.0518395,0.56831789,31.03261121,52.32164019,0.884910941,27.62744689,50.19728147,0.091385335,30.10748588,112.4298362,0.109929591,42.82592011,166.2847222,0.029349208,82.697696,79.84212849,0.042994469,48.10458789,62.98130755,0.068947196,7.492343555,157.8652661,0.230199426,29.59833228,51.40139157
19,0.488444269,0.945958734,143.8053629,128.8217609,0.991336286,145.7549401,141.308289,0.99963367,150.9606034,117.9983151,0.629746854,138.8763192,151.7339654,0.950701237,137.7888113,100.9636026,0.428175569,79.75809657,63.99220213,0.299999535,111.3901446,105.8044997,0.939781904,86.80090439,109.2436091,0.162397891,7.224477704,38.54679331,0.625272691,40.91370162,159.749349,0.715718269,15.20777556,159.5846744,0.193805486,78.6035461,169.3993592,0.143683255,33.43322068,167.3049557,0.030130893,2.797493429,32.80917774,0.029889554,0.557024571,179.583504,0.160302252,149.0562822,142.1129838,0.057018489,35.2556131,52.15208285
