Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.432099253,0.996432066,145.6748035,129.564875,0.996863067,152.3666828,144.7666613,0.999165416,156.9307896,118.6319103,0.20135209,134.3110419,160.59385,0.999011993,137.8861872,98.40962956,0.765617251,75.59837922,60.36833231,0.203579783,75.31690733,60.93157479,0.965030491,79.29814904,123.9710372,0.482939988,8.422808891,25.59517278,0.322535276,111.0843745,129.1534264,0.037796706,-9.222293239,19.10876785,0.169697523,46.49595415,237.8504896,0.082442462,17.0024408,102.8435037,0.019978762,48.47238681,235.4649218,0.031697422,45.3512638,235.949131,0.057202756,153.6192674,141.8806082,0.014344245,85.57632427,98.2292642
1,0.468538707,0.99371624,146.0943718,129.2634329,0.995695353,153.1437388,144.7168822,0.998447537,157.0129501,118.9751336,0.677333772,66.08303342,35.66165462,0.999416351,137.8242041,99.40511373,0.337721884,100.924022,160.3362252,0.297127664,74.2526127,50.78846754,0.977088451,75.5894975,123.0427786,0.602240026,13.35721553,23.82830788,0.417031556,125.6981142,17.18977987,0.187532842,129.307238,16.76902285,0.092099339,50.37992975,243.0068128,0.128715783,69.14422767,161.8590288,0.060279369,17.45301284,23.60536878,0.070424587,89.62129857,81.64763528,0.117956609,140.8717375,146.1833353,0.012330651,43.54000858,235.7362623
2,0.444209591,0.994266272,145.5052522,129.8655489,0.996137917,152.3522721,145.3284956,0.998225331,157.4402968,119.319503,0.147507936,129.5780787,158.1187334,0.998374522,138.0098485,99.48934681,0.387401193,70.65819825,193.129511,0.64966917,65.64141625,53.81676835,0.945703566,76.4274881,122.910266,0.125967354,145.8043047,90.38317582,0.786104679,104.4280221,131.0093828,0.134546906,140.0833553,91.32685705,0.107999086,49.94403663,241.056053,0.04610768,49.03577864,235.2208665,0.070777297,75.87743714,74.60003609,0.037119448,88.53376029,72.86546114,0.08852914,125.8203003,19.30027651,0.037125558,131.9800689,21.70190094
3,0.436677151,0.992647529,148.1486033,129.8432867,0.998298407,153.6184506,142.92781,0.999057174,158.2189012,117.8081719,0.411175668,144.2623844,160.4670919,0.997110128,139.3314997,99.79716516,0.309463918,69.65382627,98.1304985,0.525468707,73.57921738,56.43701599,0.814041257,72.83478659,120.9894126,0.115884662,25.52172791,22.7051208,0.410856545,125.578342,19.35343272,0.292236447,124.4293022,17.96691514,0.116350323,47.47465936,213.3900008,0.063936383,46.66926657,150.6108819,0.056756496,22.91883681,19.12237998,0.110211849,24.08960997,20.54962425,0.064459682,37.91537129,45.92393054,0.14555639,27.00811608,34.82688266
4,0.481278428,0.995329201,146.9852869,129.4158669,0.996522427,155.5257344,144.7743056,0.998157084,158.3925245,116.6570473,0.373782039,148.0557384,158.0517639,0.998754263,139.789143,99.70299577,0.42199257,71.73587337,194.0787151,0.804785728,73.74952452,52.78148408,0.877102852,74.56098578,120.1815845,0.367683709,31.59301301,26.28485024,0.811824679,138.9544198,25.97123469,0.134697407,135.0763206,26.28112564,0.098775655,47.31256035,211.990822,0.054496646,24.54454058,145.7155362,0.095639437,52.85834114,229.3394,0.072053522,45.93114198,228.3252136,0.0440889,44.79581492,50.54883788,0.036047161,44.04274625,47.91474036
5,0.530888971,0.994227409,148.866139,127.452513,0.999729455,155.0710781,144.3824126,0.998083889,156.5909922,114.7000819,0.828774214,145.0642507,160.6482132,0.998502135,138.8933999,99.22851563,0.516177177,67.61379818,196.5234131,0.836046696,76.56196966,58.27160629,0.965805531,75.02113447,120.1761714,0.361016005,31.42325145,24.36806287,0.622608721,129.827669,26.81451043,0.137238026,126.3483878,26.81801557,0.155571163,51.36573668,145.4306141,0.118127018,65.51077511,69.74047333,0.119516164,34.1983318,19.62239583,0.071626663,42.45474102,225.036234,0.102908999,139.2564836,28.77125029,0.199153244,33.32660346,44.03917101
6,0.521436164,0.989122987,149.0063202,126.2009646,0.999719501,154.3227582,141.1212425,0.998296559,157.1892678,114.0865056,0.882433832,145.7320074,156.0620879,0.997123837,139.0855791,100.1169193,0.445132852,75.33843804,196.8016054,0.891001225,74.59891444,55.44480532,0.957553387,78.53307755,118.2594755,0.24630478,28.14728355,22.52096988,0.679455042,128.8335503,37.04525227,0.251778305,126.2585952,35.38484609,0.133811176,61.84889737,159.7081895,0.089004844,53.74310554,143.8306609,0.079727948,51.66486228,228.7146926,0.096750796,43.5538676,227.8702403,0.067858726,131.3825735,38.82510144,0.059338987,138.1306936,45.60961396
7,0.605792259,0.988464057,149.9935871,124.245194,0.999810994,154.5042086,141.3596286,0.998428047,156.9064426,113.1120645,0.419453949,145.5077515,155.8582534,0.984389424,136.822173,95.3004667,0.665422201,75.80277461,201.8207953,0.833549559,85.31401788,71.50527173,0.919512033,72.76118475,118.4157986,0.805023074,30.68696783,27.78536107,0.766431689,126.3399876,42.28431502,0.50328511,125.6581251,40.75996923,0.387886494,53.14211118,160.0629096,0.077620924,28.13178168,130.6606488,0.136610091,53.2147072,228.2517946,0.11577189,43.44224261,228.5605396,0.513994098,46.00681033,54.02164531,0.182814777,59.42960703,41.94624273
8,0.529438208,0.99011004,149.4162204,124.0024067,0.999628901,155.5098241,139.6914258,0.995342255,157.963983,114.1212644,0.32865274,141.7935954,155.2424216,0.896571994,141.7673952,93.88293929,0.487474144,75.27510168,192.4926362,0.648852348,76.91545236,56.21070586,0.94987154,75.67281621,118.9710128,0.667199969,31.64453247,28.63155065,0.424694717,132.4298606,50.75261148,0.58275646,50.52527419,34.22630281,0.131949604,77.32316416,143.5313036,0.096356422,26.74120118,130.8812471,0.124023676,21.98919746,-26.90855181,0.155741483,45.62862096,228.5206968,0.253087223,170.3092814,67.76464722,0.268136024,145.1016064,58.25994484
9,0.533837657,0.9425475,150.4117656,126.1090995,0.992027104,157.6015332,140.2547841,0.993770123,158.6138421,112.7498098,0.695779324,158.7554741,149.8492973,0.892728925,129.7165408,103.8999103,0.528719485,86.12322366,60.77134417,0.78654927,68.70426859,54.64385948,0.853938043,73.78412482,117.3050289,0.469894201,28.0450188,30.75884758,0.434044003,133.5051888,54.91009163,0.555658102,41.77952303,34.6797826,0.115388602,50.99762382,158.2469911,0.122475177,79.48792647,67.79604108,0.061522007,21.72962203,-27.10244397,0.214642346,97.02197814,79.6672982,0.159104407,143.4818659,62.52588317,0.256451547,148.5849719,61.40515883
