Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.435720929,0.990301013,143.4658947,122.6907284,0.915310979,146.2331266,135.558762,0.999648035,149.4768624,109.4371172,0.196888238,121.241673,138.6372015,0.981653452,133.0582377,92.31563573,0.710831821,100.6759739,139.0567089,0.553834379,98.31321688,113.30083,0.866996646,87.04994002,120.4818806,0.462158233,10.75515118,190.1490568,0.117527932,91.95858692,132.3644395,0.163893223,113.2187305,114.5663014,0.167992651,71.66922694,190.3446132,0.148049265,56.17906206,217.5172636,0.029450774,13.46575295,185.3439061,0.037881076,58.91012089,227.7498342,0.035556138,-4.96455008,37.93287565,0.029281944,-7.415963505,37.44417988
1,0.43136038,0.993238807,142.7215614,122.5274193,0.967926979,146.0780348,134.5530002,0.999527454,150.2095281,110.421202,0.371025801,123.9719638,145.3713132,0.977624953,133.5091268,92.09106293,0.620985925,98.80892293,141.7932784,0.557350278,93.96975704,108.3615817,0.863672614,79.72697093,121.8680873,0.332001328,10.46487987,197.8715327,0.117697477,109.3188568,114.8086376,0.188966006,7.448530828,42.78722032,0.093863577,70.5999032,189.0425055,0.097322285,48.04094065,183.3076818,0.027516603,62.96098383,238.3377468,0.062135726,60.64867646,234.9845164,0.02868861,4.756695275,45.17334899,0.033582032,7.464500551,46.47716356
2,0.435064554,0.961120307,144.2367695,121.7409147,0.973412156,146.8647955,134.435959,0.999442458,148.9317552,109.3609063,0.506177604,126.3852923,149.5126819,0.993445635,134.2446088,92.36702413,0.514613628,91.53676313,139.7803161,0.473795742,73.93821688,65.39634295,0.799744427,81.13950579,121.3698941,0.248357385,3.681767115,43.41882218,0.109542847,90.36442484,131.618058,0.330551714,7.138110291,43.56205744,0.151312858,70.59255764,189.5409303,0.118700832,49.40980147,181.6373088,0.03385067,58.89559437,221.3720398,0.082822561,56.3582814,223.0553117,0.056534559,4.411057985,46.87634719,0.042672038,0.837475875,45.17167871
3,0.471436821,0.950394452,143.3981937,122.4236428,0.916499972,144.2566543,136.4146867,0.994721055,149.5279704,106.9563436,0.740553975,135.6931399,144.4856283,0.990345895,133.198358,92.09992636,0.410859972,92.00236155,141.9645487,0.539712906,100.4083945,112.964934,0.855401278,80.32288131,122.3566977,0.344903141,2.348238865,44.15581597,0.144739121,95.9842799,135.7133905,0.406619966,7.645156994,43.68482268,0.219598919,70.04600573,191.3160551,0.166974187,52.91250927,172.3297294,0.036811411,62.69134407,237.6032889,0.102230042,60.7136648,229.4599036,0.102073044,5.718275587,42.24745313,0.091986626,2.536536894,44.80615051
4,0.467763252,0.917528629,152.936905,131.9959791,0.90572679,151.1957587,136.0704637,0.990383148,154.2570932,105.9170178,0.887920141,138.7504389,140.9470706,0.966382623,134.17692,93.06209036,0.34631902,65.56545529,63.30496303,0.278189003,67.34590795,74.86837742,0.920813024,79.63022906,118.3697624,0.286030829,1.905953816,199.0654748,0.2190153,12.26695848,40.98460908,0.25769788,7.399318662,43.96116183,0.207110345,68.0941121,176.3316606,0.111169934,59.00714317,223.2275086,0.016856104,65.63577145,233.0176635,0.050455451,57.68930195,224.4809467,0.272722483,8.529331622,42.03195712,0.31765458,9.064880447,43.20305795
5,0.470028425,0.946487725,143.5407279,122.5964371,0.937683463,145.7374083,137.7176357,0.989869893,151.9998439,104.850809,0.91128993,138.5847159,138.1921646,0.974610984,133.6897116,92.99688865,0.577788055,83.7699092,101.8843389,0.222047061,76.89245255,76.25001219,0.714149058,80.94601597,119.8492607,0.07642445,84.23891522,109.7300859,0.231495917,5.782818931,39.82373717,0.289942533,8.065918578,41.83142044,0.136980772,63.6356349,166.5802512,0.158027023,50.91398813,219.0990022,0.080218285,9.927402453,45.06155636,0.067501277,52.38214195,216.6364066,0.392949641,10.56193415,42.50976563,0.283017159,11.02937734,46.3711986
6,0.453908836,0.928943753,145.5499717,121.8956529,0.980143964,147.0767376,137.0662648,0.997270107,149.0652675,107.6922036,0.937364697,138.8713937,138.9182345,0.991391003,133.7555595,92.62313709,0.441545516,95.41249098,143.452118,0.236727715,113.0994704,102.7710601,0.810903907,79.34119826,119.7147243,0.117800981,2.917879559,199.6555331,0.177839279,6.501379501,43.96456334,0.427560449,11.02671953,44.57726792,0.150528044,67.38322702,179.910561,0.054930598,57.95706417,160.0281874,0.040744931,58.24059647,232.8767751,0.045094758,58.03277519,232.0780909,0.179978192,10.55430894,42.9876168,0.197682321,9.384314529,45.70227157
7,0.450420781,0.958937883,144.8090156,122.3840317,0.982778192,146.8370348,134.0144034,0.999670863,152.1494982,106.8445693,0.67752409,130.771204,152.5240544,0.99861896,134.682477,92.71781855,0.322622955,65.50613613,71.33395268,0.344899565,91.06069805,107.4860648,0.707936764,79.43408142,123.8997762,0.166889578,-2.75352678,46.55302088,0.427331388,102.090685,128.1128326,0.56324923,11.69020521,44.66200696,0.149693727,59.44176225,167.23912,0.066869467,22.57728377,160.1546773,0.030140191,54.5416496,231.5716438,0.030298442,56.76129935,232.4768844,0.117219329,10.66568934,44.5692762,0.112472653,9.339358821,46.52262675
8,0.436974809,0.98163265,143.3907932,125.0712854,0.994982362,146.847093,135.482673,0.999584675,151.3780992,110.0339298,0.245474845,130.1852055,151.3904007,0.989671946,135.2234268,92.12421241,0.590359509,95.72441796,138.1185505,0.328807771,112.230915,100.0995947,0.864506185,79.206863,105.6384597,0.175939173,-5.254488789,203.5239154,0.457859725,109.3139313,125.4536931,0.452942371,9.405493957,43.17192011,0.108783215,62.35246713,169.9226309,0.131951571,55.75173977,206.6630335,0.025862604,53.06582104,231.591297,0.030174106,53.08315168,221.8678068,0.030762553,12.01954131,45.44754847,0.0192765,13.42333466,48.18802547
9,0.414998999,0.982818902,144.7420095,123.1908844,0.987405777,145.7725207,136.930497,0.999621153,151.613291,110.0291993,0.247121751,114.2470106,150.6949931,0.99825722,134.0761792,92.03490754,0.479197085,95.38734541,140.5873152,0.203494042,60.72063241,76.25201165,0.874998927,78.73044437,112.70876,0.216873169,-6.55698169,46.85971149,0.191902459,106.4883983,121.6601563,0.321934104,11.27810056,42.1298755,0.127625793,62.73510041,170.0669329,0.081579566,59.48014201,205.9961913,0.01926288,10.11087139,40.73807277,0.035596669,61.17297226,225.1088483,0.189043641,14.8491281,44.43874478,0.098249853,11.84370824,45.24990125
