Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.409480547,0.985603452,142.4675698,134.5478674,0.996345937,147.7440309,151.1805799,0.999290943,150.9992027,121.3382808,0.192920327,140.6831061,158.1780709,0.999549031,130.5234058,105.8802108,0.826395571,87.05824263,163.0215039,0.763691187,55.02949804,85.85886294,0.597790003,73.72481785,131.1452847,0.021019578,-10.3341069,225.1652719,0.374561012,105.0649091,132.5784664,0.043552369,111.5811047,128.2046002,0.062440246,57.27091014,208.8786966,0.043766737,68.53310803,185.6160268,0.023357183,41.846267,149.5886368,0.017556429,64.34698326,186.7891942,0.005599082,134.3942021,146.5944181,0.007730216,57.7126919,179.453442
1,0.403410151,0.982904017,143.402729,134.2191523,0.997143626,146.7608604,151.5802512,0.999301314,151.3790379,121.2741032,0.58348155,140.1829134,158.3223485,0.999475598,130.525454,106.4028851,0.5016523,92.87522067,162.6628092,0.638124526,62.98528817,87.15091243,0.589338541,74.15153056,130.6037009,0.058268875,84.939992,146.0075906,0.19111526,104.4503697,135.1740988,0.075496912,107.433823,128.9778036,0.116842091,53.24062695,199.7147365,0.077298105,27.58717436,210.9941918,0.01260376,42.52887016,149.2752711,0.014219254,80.50851353,90.79972056,0.007322252,14.77197997,186.0960664,0.013384581,66.41776515,172.9436593
2,0.393085559,0.985389948,143.3314802,134.7028373,0.993544042,147.4450882,151.3483146,0.999395311,151.2257261,121.0770351,0.183953196,139.1380891,157.7230488,0.999101281,130.4771014,106.2930248,0.539610624,91.27080529,169.4078691,0.713053763,62.73157698,87.40946376,0.318883568,78.80622245,126.7069605,0.095843315,85.55944474,138.2998303,0.293060511,102.2737325,135.6076633,0.053952277,102.4327257,129.2024374,0.109294742,53.19430424,201.1970632,0.300971627,53.49311286,188.3284078,0.016846031,38.06088642,156.3377931,0.007723302,81.25858912,91.5613052,0.00495857,9.253296965,163.2420656,0.066872388,57.86280333,175.865349
3,0.415886776,0.962335408,142.6487642,135.4387338,0.986690044,147.1364408,148.3924879,0.999664783,150.8300537,120.9728196,0.182958722,139.6269068,158.5247688,0.999289632,130.3730566,105.8473539,0.49652198,86.95822726,167.5273096,0.7264992,62.22479469,87.42088746,0.576834083,78.99955378,131.1459065,0.096257567,87.43170158,137.4505867,0.388817489,86.75114969,150.5317206,0.060196459,102.8703013,129.1307618,0.305977643,58.24287024,201.9893102,0.236492664,42.99815965,206.0812656,0.012887388,38.50068091,156.2591438,0.011635482,64.45942816,192.6572253,0.013773203,50.34165057,239.0533318,0.013243437,59.02587586,181.4545051
4,0.425255346,0.974347711,142.4955256,134.8016639,0.996954203,146.6269092,149.9696912,0.999253154,151.2428312,121.1692172,0.343906611,140.962103,158.040072,0.998548985,130.7744348,106.001641,0.610856593,85.81415565,167.2292935,0.669549823,59.90920163,85.47035932,0.842478991,77.08728957,125.0109482,0.062132001,84.24778475,135.786334,0.205264747,105.0574477,136.2643254,0.055235326,106.6971461,132.6537019,0.31394434,62.10055424,204.1990724,0.09793362,54.59193464,182.6812188,0.009973496,39.72371572,156.1361287,0.017551243,73.36338,202.2025203,0.019775629,59.91577301,182.6795851,0.011634409,58.08408435,183.2210225
5,0.387298531,0.964500546,142.8605113,138.7073165,0.997187614,147.9499137,149.9642902,0.99877882,151.2474763,120.9337205,0.312470734,139.1300913,159.6457187,0.998745084,131.0989193,106.1810432,0.44384405,85.86689734,113.8458031,0.649959862,62.5224207,82.56378745,0.541538,74.51151149,130.6354971,0.046658754,79.53062212,104.2681633,0.267040431,103.2621942,135.1615656,0.022345304,101.5348673,138.1118816,0.168236047,57.32779094,193.055458,0.103944033,62.70743724,183.3041706,0.022522807,79.63725153,192.1034254,0.013264477,76.27774242,192.2731839,0.019415826,58.4597805,177.0557067,0.013622642,57.15776422,175.536195
6,0.39375399,0.95927,143.4449004,138.539911,0.981200874,148.2259846,150.5287702,0.998558164,151.9123678,120.5699053,0.468077332,145.1346705,160.3701306,0.999129057,130.2719135,106.541079,0.464336097,85.30486184,157.9555585,0.391461998,60.79513035,89.16426488,0.797149539,74.43459957,128.8635909,0.032252163,76.94354835,103.0956422,0.263081819,90.11077462,148.9908001,0.025672674,113.4863281,129.4951257,0.100136846,52.09133115,199.0190972,0.166029513,56.90074297,179.6953515,0.021614701,39.54103696,155.4385997,0.00971663,65.15681082,198.3690065,0.006693423,41.40503387,176.3098861,0.009436995,53.80333909,174.0573307
7,0.414375521,0.916500092,142.7740715,134.3121269,0.98769182,150.476187,151.3627009,0.997763276,151.0092487,120.2064192,0.272721052,145.0808316,160.7467472,0.998257697,131.4207217,106.7284547,0.710823774,82.20180097,162.9374415,0.268957138,62.32208519,80.07725938,0.919218361,79.19873717,127.9815148,0.036205858,78.59829144,151.0618685,0.53906399,106.7908035,129.8428356,0.048676819,273.4051186,45.2541318,0.185244709,58.38915955,200.8300903,0.097423464,53.07261797,183.1046153,0.026491612,37.62411549,159.327708,0.015419692,72.9772233,200.6520414,0.013533115,269.391971,58.58308218,0.010391384,274.8780821,54.95200701
8,0.383556208,0.976108313,141.1048323,139.2719428,0.99052459,147.910205,151.7535576,0.998431563,150.4786497,124.5290555,0.515519917,144.4227065,160.4985955,0.998797059,130.889379,106.957892,0.327379495,67.49774452,74.84757822,0.342039227,78.7125651,88.30439002,0.662081063,82.42742836,126.9260348,0.066742271,81.30961176,118.3547421,0.302224278,107.0928429,132.0359926,0.041843951,107.6093238,141.7788311,0.127326339,56.55688568,199.6251756,0.063817024,61.62742129,184.9992929,0.024203569,39.15431943,158.828954,0.008374304,56.06886655,177.4825657,0.048795491,277.865705,52.33014396,0.026247084,274.9383339,51.41911234
9,0.43833788,0.955683529,142.5463166,136.1817016,0.997097135,146.757593,149.7786946,0.999577463,149.7925689,125.0095584,0.623505056,139.5457582,162.4762504,0.997697651,131.330734,106.8881793,0.848390102,87.02633671,160.8733712,0.26755932,59.90889074,86.63751609,0.81905663,81.0888489,127.0555848,0.023780197,81.8907396,88.42781972,0.736565173,104.257398,132.6785854,0.045812398,109.7132734,140.6103333,0.033700943,35.22317074,180.9742948,0.049010038,62.74614008,177.741812,0.018607378,50.11958014,155.2512728,0.020441353,79.86106234,93.69275954,0.007346123,149.0860667,153.6975753,0.00791347,40.68588581,179.1683979
