Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.480789377,0.970737934,141.1672421,129.553183,0.959128022,145.4323087,142.0160834,0.999137759,147.1629579,114.4680721,0.186119169,133.4162253,154.8951994,0.998179913,128.8849266,99.1730064,0.544932187,83.89048601,178.1441411,0.877618968,72.90749234,137.7466034,0.115222365,77.06158927,104.0534903,0.840920806,19.73489864,222.3727908,0.26666671,85.47221247,107.2786336,0.986600399,86.90460777,100.4225553,0.128567517,71.55780616,99.9016732,0.147785664,76.33174596,121.322846,0.085318863,83.64476046,177.4264591,0.035901934,80.57259358,173.4631515,0.0187684,88.66772979,113.9296095,0.011812806,75.47005452,98.02349114
1,0.486450825,0.962746084,140.1721115,129.2426093,0.93446362,145.5176147,142.3746196,0.998035669,146.4420939,114.2743933,0.23003453,119.2229318,154.2535332,0.997288346,128.7571444,99.3135168,0.580542743,84.95316523,177.7073824,0.743768096,88.39209167,110.7456256,0.24026984,77.80871445,101.7376473,0.771408677,22.54445584,222.0582914,0.355747253,89.9937578,109.6996186,0.989968359,84.67334533,99.57377497,0.212429971,75.88965941,101.7985453,0.136704415,76.36030523,120.9743436,0.025411695,80.1899725,102.1015723,0.047806144,71.91552551,104.9027461,0.024383426,-0.757543157,43.15771058,0.018655151,2.152977418,46.83423675
2,0.490910709,0.976715326,140.0221159,129.4990881,0.967054248,145.7445405,141.3176523,0.998689711,146.9859209,114.812027,0.16920504,133.1397643,152.5166418,0.997153461,128.4077764,99.72262455,0.680723786,92.05261611,148.3948531,0.732970715,72.41082924,137.4690816,0.28825736,76.9271382,100.2616602,0.842626095,20.36147747,223.3022443,0.346629351,5.789407452,46.38496923,0.986271441,85.48512358,100.313646,0.104857177,75.07839322,106.3640664,0.146523565,76.93443498,119.198792,0.030914485,-4.593263548,47.61549284,0.020054579,82.97695508,113.9327915,0.032553434,85.94738754,128.6898701,0.024282277,5.340418441,52.13063139
3,0.472134003,0.979939103,141.2263845,128.2076847,0.997266352,144.2171895,140.6999917,0.999731362,148.2296665,114.9006369,0.25782305,133.6363115,153.7881603,0.997255504,129.8867017,99.6407079,0.562093079,91.19461269,147.7020302,0.688810885,88.80861204,109.6348315,0.225290716,23.77315374,222.0041842,0.551400661,23.0506316,222.736984,0.34051013,8.347993963,47.1001641,0.960489869,91.04034995,96.09639562,0.035741568,12.36549101,123.3958041,0.106932759,13.06716976,125.3347744,0.051267743,77.95440636,96.81803995,0.050547957,22.94894901,224.3906543,0.158120543,9.929673937,46.78462225,0.063056767,9.961925035,48.25925601
4,0.497404121,0.992257237,140.6685613,129.0535146,0.994704485,144.1297987,141.2431482,0.999812722,147.9520716,114.6697853,0.302480638,131.7190304,154.7043247,0.994573772,130.3582802,99.82079286,0.768754244,89.04427937,149.9726782,0.765089333,90.87543769,105.5752209,0.140932262,77.96070342,99.97409244,0.863123775,26.52613189,222.6799265,0.283144295,9.631090867,45.74737511,0.823429465,95.52647813,99.17802942,0.049418122,74.16551454,98.04966692,0.158554912,70.80548728,103.1862638,0.023786515,-1.974284045,48.75283459,0.028113604,16.33378199,48.42051683,0.152806491,7.257379539,46.51171509,0.114888191,7.241285612,47.57753979
5,0.509604687,0.984151721,141.0798879,128.2596949,0.994423509,144.4312773,140.5208577,0.999673188,147.9433789,114.4792032,0.347414434,134.1446239,156.1485521,0.996712327,129.7707821,99.69192562,0.665502548,87.64047992,176.36531,0.893994093,90.23678288,111.7100938,0.155864507,29.38728018,222.8415896,0.704095244,30.58063712,221.0987974,0.475179613,11.3172583,46.55133232,0.884364724,94.12626917,95.0684691,0.034596026,66.07512094,124.3739637,0.066309988,82.37407708,113.3663731,0.04309988,86.13973134,161.8845218,0.061347157,25.1911871,224.2180916,0.15138948,9.940318133,46.09496918,0.205161244,8.717416675,49.18803888
6,0.490586279,0.986312151,142.2390957,127.9008417,0.991943598,144.7759393,140.6739013,0.999560893,148.2916252,114.1299816,0.447343022,132.2196132,154.9689109,0.994467735,129.86066,100.1817796,0.481455892,84.45843453,149.5105727,0.816742718,87.31620874,108.7296519,0.185757428,32.12364854,221.9181102,0.790060818,28.64040189,223.7976455,0.462869734,7.111877365,46.38532889,0.886784852,99.62276768,96.44573921,0.060841948,70.53770677,124.428839,0.107661515,81.90839332,106.8189787,0.018517077,-2.526636017,49.65397867,0.019553512,26.89411368,226.9363735,0.042799413,9.029073156,44.3677215,0.047294438,8.091006237,47.11822624
7,0.485279187,0.978935599,142.5939743,131.4497015,0.983543396,145.3993787,141.6878438,0.999703646,148.5998337,114.1571083,0.131752938,137.4567923,151.7334533,0.993853867,131.353301,99.2713332,0.702956557,85.95969516,159.4487481,0.802957892,87.23838854,111.4636855,0.099587858,30.13629509,220.2061388,0.496786922,31.35300845,221.3339771,0.462044626,9.084716492,46.44926874,0.95742774,96.77898355,95.74836874,0.044562101,73.52629891,118.9534566,0.215539217,82.05830968,121.3569098,0.031685561,-5.88344312,49.23557467,0.090248883,29.64161924,223.6354459,0.094354481,4.486000547,48.94563558,0.163804889,8.439805773,48.71905723
8,0.481531801,0.978513718,142.2390225,128.0608102,0.9969244,145.2830324,141.6491105,0.99966222,148.5927503,113.9601499,0.160513937,134.7909108,153.280104,0.9691993,136.7025227,96.78812129,0.704102099,85.81352167,161.0478967,0.730205536,83.50171417,114.3031903,0.187355906,33.21585628,219.189636,0.642252207,30.33512492,220.3154016,0.403556436,6.468329078,46.51949955,0.969890356,91.66339927,101.926998,0.030754238,1.587709577,51.15473334,0.109221071,85.07635109,121.6562915,0.037293166,-6.920469286,50.7499171,0.033020139,29.76721908,221.9867256,0.127203852,8.669563132,45.56003604,0.106372029,7.887606008,47.38980449
9,0.502677705,0.970784783,143.2402124,131.7078018,0.974643946,147.5066567,140.0812827,0.999444246,149.1033791,113.9091882,0.243446022,129.8341429,156.5111726,0.971505284,137.1227738,96.60183072,0.411337852,80.54727123,157.8599626,0.874856472,89.08410995,104.434057,0.14125073,35.03106468,220.5790126,0.72240144,33.97006184,221.7167505,0.743333697,6.436354581,45.31732795,0.885436416,92.08780162,103.3530475,0.022577852,76.96949248,120.3745075,0.258789182,83.70888928,121.5033454,0.047388792,-7.139184692,50.07833226,0.034541249,84.90712293,117.8122927,0.120839268,9.603227289,45.5029114,0.122943759,7.397917368,47.13806838
