Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.544470929,0.997477412,152.8509285,127.8258256,0.992356777,164.5535122,143.9688061,0.999366879,165.3222412,113.2785068,0.110667229,148.4692718,158.1978581,0.984807372,145.3455398,93.06728406,0.262564003,55.08301391,-12.82379874,0.516336501,87.62101572,119.5574258,0.683303177,56.72100548,253.7844296,0.325254947,37.89526398,263.9744021,0.808330536,63.51347924,71.46598978,0.982281923,44.8903836,57.90409083,0.779780746,85.19495284,181.6353338,0.527696967,78.76454481,115.9972885,0.13866514,98.27543452,114.9210338,0.069575876,24.99440092,-23.31289075,0.031817913,101.7990329,93.33872211,0.045722395,102.3255964,93.59038507
1,0.542827222,0.997874737,153.9106512,126.9966863,0.997727871,164.6180921,143.9730488,0.999485016,164.8876648,112.7804965,0.287507802,152.9408552,157.3926269,0.983636022,145.2370938,93.05753063,0.359727085,53.46350509,-14.68925257,0.583043516,89.92629452,114.4083811,0.433108032,45.11570925,34.98479074,0.444288492,38.01209182,267.3878599,0.611309648,104.0437003,104.4208289,0.953094482,45.02738581,57.25078149,0.711306334,85.8280299,180.8188739,0.652735412,83.36821405,108.4668578,0.074840546,47.76830171,-13.06921646,0.086573929,13.65811047,-27.45374739,0.01534462,75.86984165,136.0057009,0.036459237,66.49579261,55.76844252
2,0.579047727,0.997985601,153.7177161,127.0861009,0.997358024,164.1145711,143.72241,0.999531746,165.0443903,112.8611452,0.436700821,152.05795,157.1696268,0.98096478,146.1278626,92.61409078,0.441268921,53.60482624,-15.44972928,0.738606453,91.88493631,113.2411512,0.480822086,64.59134944,254.5847232,0.361451924,78.04321137,105.8244211,0.644907653,65.41859907,181.8538838,0.983718038,44.86829817,58.86246928,0.808744311,86.25696761,181.9746313,0.685738325,77.7919995,115.6534069,0.158525705,61.21054736,124.8102591,0.077915102,13.39654472,-23.66488758,0.027593881,47.23184459,69.5908069,0.021977991,44.57594206,65.73248283
3,0.563616484,0.992779255,152.9393434,129.7610043,0.991065145,165.1967389,144.0932599,0.999617279,165.8711645,112.7847271,0.328572035,153.2215834,157.0434296,0.98384726,145.8698477,92.79255423,0.323975027,53.77919324,-14.19474131,0.820447266,97.62876361,113.0024725,0.672856808,56.84867792,250.2277183,0.256987721,38.85023177,267.38647,0.557211578,63.07737277,64.74146087,0.992044032,46.23023406,59.5264952,0.751926839,88.87845881,180.4213483,0.647103667,74.75989486,116.4842043,0.093560964,100.1341707,118.2294105,0.091202497,14.21019746,-24.16070336,0.041035354,46.49896857,71.64729391,0.037247509,43.91617107,77.76272092
4,0.561781338,0.987852454,152.4534152,129.5126331,0.991741657,164.3163941,142.8963551,0.999466658,165.4832826,112.8174743,0.227511674,154.6472915,157.7465668,0.975333691,146.0072127,92.45057448,0.364722192,53.84649193,-13.08323397,0.757919192,99.69538199,113.3716399,0.661455989,56.57029665,250.4014025,0.203535974,43.23160502,32.38180058,0.654665768,74.91732137,181.3904494,0.938820839,45.53741112,58.67527651,0.81626159,88.48424333,180.8748098,0.681758523,72.63646272,180.2545646,0.105056316,26.69529909,-25.7793176,0.087502062,13.94831778,-24.6150198,0.065656275,70.75373922,247.6445703,0.031021893,42.01322748,69.73085401
5,0.556428687,0.992485166,153.0925942,129.0406767,0.995097995,164.7863998,142.7077237,0.999556065,165.2018351,112.9534371,0.286838055,171.3753194,157.5100948,0.980316758,146.2589975,92.78391025,0.462012619,53.69285707,-13.98699928,0.725661457,93.14300728,117.2381081,0.571124077,57.99267029,251.4202706,0.294400275,39.29704264,266.6777856,0.556567848,60.85097486,60.88859872,0.974382877,43.86112513,58.46335269,0.684038162,87.14549318,181.6245806,0.716980278,71.86127204,179.8819347,0.070052117,44.30248322,-17.78405503,0.081130117,27.50079247,-25.44700899,0.023573726,71.18654782,247.6935325,0.045070082,40.29162156,70.35518346
6,0.563052712,0.986369252,154.6763079,130.0031699,0.987057567,165.5836942,143.681348,0.999725938,165.9242719,112.5161907,0.444467634,152.1519731,159.3500312,0.975956321,145.4566192,92.802393,0.367248237,53.22679536,-13.67857439,0.731407106,94.00148618,114.5969272,0.573044598,57.32276793,250.34098,0.36414817,82.39672333,108.8123976,0.581471205,65.73866407,184.2907791,0.99106282,45.03184191,59.03420285,0.663741827,88.66499273,181.7780021,0.618941426,72.4588649,178.143946,0.0864259,20.2729605,-26.55530075,0.140253335,15.21920689,-24.42317739,0.030275792,43.57265515,68.87160093,0.030298978,102.483919,96.27327413
7,0.542110483,0.987996221,154.1559013,128.7235438,0.995620489,164.8774847,143.9970423,0.999562144,165.3874551,111.7654933,0.444257021,171.449031,156.9763504,0.977774382,145.4546685,93.13566782,0.300677449,53.22552132,-13.44316004,0.592861414,92.83996201,113.9945064,0.553505898,57.8117502,249.9656923,0.334955513,39.98671704,266.1717043,0.465432972,103.1919817,104.4407503,0.956629038,42.08639347,57.08498532,0.686211884,89.5171441,183.5819727,0.677113891,83.66779685,116.0693542,0.098562628,40.68662341,-15.22459718,0.091276139,15.37768951,-24.94958847,0.032341599,70.27276695,247.3388733,0.021099538,97.06998332,92.96465356
8,0.528395744,0.989083648,154.3514942,129.0127331,0.995296121,164.0285824,143.1657206,0.99949801,165.3727275,112.5038404,0.203386903,171.5805073,153.1260851,0.982318342,146.6934764,93.40463093,0.27627182,52.12730303,-13.31748705,0.611314416,97.6567011,113.8967282,0.473881483,60.76789389,252.1745279,0.220475286,36.05674182,267.2423387,0.698645532,58.7684218,61.62748834,0.988200486,43.44705227,58.83842706,0.657183826,90.10539804,181.4447029,0.529905379,85.8570037,116.0463971,0.136668295,54.45931843,131.0062617,0.078184605,25.58869894,-24.4472958,0.051038533,99.37125712,94.90719608,0.091374964,98.07249605,95.83422333
9,0.538946481,0.989184022,154.9594501,128.9742192,0.995082736,164.2764781,142.4644853,0.999587059,165.1723797,112.7036029,0.236448258,171.3816713,153.4812198,0.988967121,146.1267654,93.19677308,0.335350901,107.0132305,160.2073336,0.498011857,96.41920987,115.5950082,0.488071412,67.87025252,251.9993319,0.361271381,40.18605893,268.6911136,0.667747378,59.0674011,64.14572117,0.980096281,42.60835455,62.03618768,0.717679024,89.15593789,179.8575999,0.561009049,81.92028641,124.7965922,0.136200845,48.31380818,-10.98213415,0.139913946,14.47735923,-25.04585028,0.022770941,42.88152383,70.06180019,0.04469797,41.20844733,75.04186661
