Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.498140316,0.994970918,152.2840346,138.0391332,0.992553771,159.0522833,152.4587674,0.999538422,160.0852206,121.3024857,0.136365056,146.9771428,161.3704549,0.995835721,142.3376297,102.5561432,0.430426568,-2.525785068,12.62722134,0.594023943,85.74666798,80.5523735,0.832067013,92.67058755,126.9479191,0.632328331,5.747068789,61.30339395,0.197350204,94.90514786,128.6331417,0.887994289,23.39945094,226.3553127,0.211513728,66.86705705,110.2517117,0.186800838,22.86179598,132.0045866,0.109809905,-5.072090063,10.35767973,0.053627193,-4.272152333,10.69316735,0.123493761,32.87999681,233.4236989,0.089685708,24.45899687,231.4071766
1,0.501621194,0.991453052,152.3907615,137.0323595,0.992256999,159.3902885,151.8236969,0.999530852,159.9306775,121.3607624,0.219590545,148.4741607,162.5820386,0.997158051,141.8034342,102.4250692,0.426704586,98.55841209,120.3310193,0.706339419,84.38330871,82.95936232,0.829828262,93.57048806,125.2220247,0.519498229,7.981490422,63.27979918,0.186646998,89.79358078,134.1149735,0.875727475,26.66639235,225.0853425,0.244993418,80.80424372,177.6838522,0.216366053,27.7774486,135.5240642,0.08950305,-7.190248487,10.00383432,0.108547568,-3.49763144,11.46416711,0.066565901,44.87819181,250.5183218,0.056849837,25.87342604,228.3557906
2,0.574877939,0.992699385,152.3922368,136.7343799,0.996311486,158.4595428,151.3737833,0.998788714,160.0364047,121.1360189,0.389765739,148.1024452,162.0523052,0.991232395,142.3632325,102.0195459,0.527927518,100.870183,113.8389025,0.721327722,83.73480903,82.4704471,0.942882776,95.96875366,125.0699077,0.869348645,7.795242519,58.3660561,0.349345624,120.3404924,131.8317679,0.892906785,24.67841102,226.5681082,0.375181764,56.7249861,135.1886558,0.292576134,27.87662882,135.4342838,0.080780625,74.10962127,190.9493748,0.141116858,-3.717007488,10.03499654,0.145013362,44.79397701,248.5558335,0.065719426,20.4658514,233.086986
3,0.551446077,0.976775289,153.4823658,137.5791247,0.991539598,159.0497352,150.5831334,0.999754488,161.5849329,120.9324282,0.336519033,147.9688719,163.2855293,0.998520017,140.9567752,103.2177064,0.501385987,98.75968028,117.0122918,0.559984386,83.69785571,82.57554034,0.875295639,95.16632652,123.5279021,0.782189846,11.13655157,63.52851172,0.543898046,96.22150778,130.1183091,0.824140906,37.17945342,87.57189499,0.209423989,32.84220225,51.90418715,0.343101144,17.50603951,140.0662502,0.070263624,-8.046966438,10.04275052,0.065758407,-4.752694843,11.58306146,0.201405138,0.877360559,41.19353981,0.094627768,26.23255964,239.9016122
4,0.538353029,0.968458176,152.6192723,137.2759514,0.97959578,159.0738871,150.7227538,0.999565959,161.4718662,120.2806672,0.132148832,149.7198204,163.0111531,0.998759627,140.4383193,103.1973949,0.568595767,108.2481371,145.5338298,0.6812976,83.05462898,81.78626814,0.923937917,93.87093038,123.2950755,0.481453925,10.46453012,62.75044378,0.646556437,105.1279894,136.2816133,0.862010837,58.15466872,96.02048952,0.126424998,2.451448857,91.4563095,0.14134115,15.37546146,143.9314748,0.061226487,-7.619264676,10.66183445,0.061402231,9.219080702,242.052927,0.255201936,34.90313926,241.2552912,0.26402384,24.32369847,227.8983058
5,0.494047012,0.95719111,153.0181389,137.5813314,0.991129518,158.2308857,150.3782016,0.99972713,161.4380462,120.5413034,0.193507075,150.8925123,158.8077891,0.998234391,141.1984287,103.5791686,0.481733143,-3.088633981,13.70453071,0.485555917,80.82501244,74.99353835,0.952409744,96.17798309,124.7798284,0.305043578,9.601369565,61.78367739,0.313383281,96.92307223,128.5133573,0.935562313,60.40657186,96.22745738,0.2106812,75.43227826,166.7201642,0.070856005,12.83253721,143.684713,0.090551466,-5.245370853,10.27518397,0.063480943,-2.34683319,11.04935969,0.226486713,36.58736211,243.7569249,0.123265684,20.92645424,231.2522189
6,0.524690363,0.975937963,152.5378921,136.8660146,0.990389884,158.294978,150.2302907,0.999627829,160.681192,120.6255852,0.269896954,151.7390493,157.2754638,0.997873306,141.9311432,102.9492797,0.395393819,90.78874795,174.1354069,0.699658155,80.41578276,80.10283776,0.923049808,93.63589702,122.5440368,0.46924901,32.09276673,82.67584221,0.437152356,54.33629106,188.7272989,0.950163722,61.85570039,95.45981342,0.22110492,64.59881691,137.9727733,0.109193712,34.56366493,142.9394653,0.037021279,-2.124202504,12.44496625,0.03522265,10.18983458,241.2652154,0.173092902,27.15442977,228.47132,0.235707909,25.41342975,228.8598724
7,0.494691858,0.958153903,152.8661926,137.0584743,0.984328628,158.5546265,150.7398467,0.999579489,159.9777012,120.6389108,0.277754188,147.3817396,162.1285405,0.997411847,140.8150944,103.1959197,0.392440438,-4.023284722,11.78771896,0.40949893,81.53057579,80.48501385,0.768771887,95.4672687,121.7931321,0.468299359,10.56457977,64.91265801,0.354660839,114.8259866,132.1917793,0.83253932,62.83795646,95.08103884,0.247555256,1.174959904,84.87924031,0.125641346,4.793783085,86.08876356,0.031464934,-2.253436256,11.89383632,0.029494762,-2.611762153,7.887823936,0.29138428,26.46934252,228.685798,0.240782171,23.82150029,231.5413838
8,0.465128876,0.968880236,153.9030436,136.5083684,0.986375213,158.0979342,150.8028051,0.999534488,160.3978425,120.2280231,0.176997364,136.5278022,154.8886889,0.997114062,140.1475573,102.718867,0.382086635,95.87286522,108.119599,0.380125999,99.36659986,108.12144,0.942189395,92.84912414,123.8944727,0.207083642,95.07986233,123.7747493,0.332550168,23.24068486,225.446122,0.859988153,25.18658013,226.9248157,0.168407142,80.8522428,166.811115,0.096360981,10.45897523,104.4593794,0.018671244,-0.220128892,11.05411449,0.033152401,17.07356314,246.3105688,0.178305745,27.73944374,227.4423816,0.179368019,19.62555351,229.6257608
9,0.488114504,0.927159071,154.5802854,136.1719969,0.991509616,158.0080441,149.9762748,0.999576688,160.603006,119.7366695,0.257023543,145.4606181,162.275354,0.996228218,141.4313041,102.7622454,0.255129069,109.776939,139.1160098,0.508183837,83.35396184,83.09281367,0.895352125,93.17197497,127.862145,0.148192942,11.61908134,56.44919559,0.399713308,25.18676453,226.9614886,0.741763592,33.61330259,221.9477362,0.210498393,0.227768954,82.99407235,0.232253611,7.532805825,107.1011577,0.038757086,-3.74989637,12.28713742,0.050496787,-4.853899666,10.23182082,0.213745564,28.37515423,228.0449487,0.432363123,12.27221771,49.61916501
