Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.426227946,0.994564235,144.5658503,128.9376682,0.998973966,149.8200248,145.4161912,0.999312282,155.3725324,117.7842882,0.34665674,141.4447273,158.9558218,0.99594903,135.7049416,99.90567211,0.554380894,78.20472212,193.4791228,0.366261125,98.76071658,110.9347081,0.894249201,77.13319166,121.285088,0.077313781,67.37361379,86.64095418,0.666813612,100.2410134,129.990783,0.126020193,-2.530871902,30.46189212,0.04917115,-3.770196084,29.61194747,0.080409437,49.67976126,152.0994143,0.034484774,-8.379253716,23.05944474,0.01184845,0.787110442,20.84173957,0.018279016,154.7227221,143.7904889,0.031187207,-6.850727667,27.51600173
1,0.450609174,0.993757486,145.2651958,129.9399189,0.998226881,151.0384358,145.3386148,0.996980309,155.2091258,117.1573131,0.345781982,141.9075033,158.069125,0.995660901,135.0773813,100.111372,0.806177199,76.32517459,196.1933326,0.352433383,102.4814319,112.9604596,0.932455659,76.54552293,120.8673606,0.055658042,85.66131935,86.12549743,0.59556216,104.3547494,128.0242592,0.334252626,-1.776219819,29.19462854,0.085023195,61.86471013,211.9236452,0.080696195,52.83311632,168.6910161,0.016568959,-12.05027377,14.95895633,0.00951165,-10.91587252,15.95288604,0.01725623,153.3815884,140.1149198,0.044353098,-3.052025841,26.55897657
2,0.43380748,0.977217555,145.1798411,132.2002892,0.993979633,151.9144404,145.0850499,0.999065518,155.0679814,116.2233487,0.434753418,130.5966297,159.9595598,0.998245955,136.1651573,100.0015727,0.570207,67.13542886,70.02571249,0.186954588,127.1727357,103.0315621,0.824541867,75.05625902,123.2533064,0.041428924,71.79165691,92.06099797,0.665383577,104.6346974,130.6609902,0.33630389,3.301115762,32.0367485,0.157465488,68.7762916,215.7169261,0.057203203,49.38786234,157.5378189,0.038124889,-10.2984101,17.3410739,0.020238787,-9.983780345,17.75691762,0.041728169,4.923714437,67.7095769,0.0318847,-3.678749646,27.25630438
3,0.458579777,0.942462444,146.5028334,131.4652705,0.955138445,158.5592107,149.6514854,0.988616288,158.2484175,118.4990564,0.729337335,133.1264996,159.0036868,0.996402383,136.9787887,100.6425318,0.458423346,60.40875419,68.87052805,0.253413618,56.53106347,96.46430731,0.882438302,75.44536614,124.9628638,0.048298895,69.93917515,89.30021555,0.917518616,103.9554683,129.0872493,0.229849756,-0.668736528,30.79691645,0.220420241,50.0686154,203.1789853,0.045674205,48.47221613,165.9837069,0.030733258,-10.68633462,16.99173031,0.017128229,-10.7704374,18.03272643,0.017324001,-4.473371375,19.52954315,0.062676847,-2.62888019,27.80502034
4,0.395935465,0.963579774,146.6018795,130.488391,0.979910016,154.0510641,148.3332114,0.992709279,157.6753423,117.9612399,0.303753972,147.7176601,158.5202579,0.997938097,136.7833543,100.0457558,0.425869852,93.41951101,144.2438407,0.188966364,69.0197251,67.87302005,0.863348603,70.8461591,119.2006696,0.057429284,81.41059028,87.65704247,0.373028755,94.63692235,138.580144,0.138334364,-4.775938494,29.49622298,0.179406285,65.31509685,213.2987818,0.181610167,49.37888918,155.7433335,0.028506696,-12.87843473,15.89251229,0.026023895,52.016693,225.3664121,0.008403927,48.63388843,234.9166325,0.02208358,-5.84709939,32.65661575
5,0.42534479,0.962531924,145.8932194,132.7733522,0.983238578,152.968811,145.8861847,0.996866822,157.7350455,118.3333455,0.357428849,148.0359633,156.5155128,0.997173548,136.8512382,99.82840053,0.722461045,88.69433228,148.858763,0.260489225,54.9765369,89.6616534,0.914634228,69.53608405,119.7228074,0.053627282,61.92750395,100.8233848,0.60156858,94.03692162,140.4689451,0.169419169,-2.674219939,32.27356186,0.127545536,61.36187797,208.6866515,0.028352499,47.9026522,170.0023896,0.016250163,-7.127568201,25.69963815,0.011338949,1.095415323,20.94211459,0.0085949,130.4723222,130.5293676,0.019340128,-7.126073182,26.97054097
6,0.413092834,0.966404855,147.6474475,131.0207334,0.983465075,154.1186066,147.2188573,0.994818687,155.7330802,114.6818918,0.44195503,142.1525949,159.6981069,0.997940838,136.1197795,99.37223246,0.624015212,64.73995518,74.65897121,0.314766794,60.50327715,101.3965697,0.906351268,67.07851758,124.2360867,0.077923059,64.43128341,114.0505277,0.323025912,82.81868733,146.3305024,0.076997757,-7.106941214,32.62049757,0.137331396,51.26680638,214.012343,0.059156746,48.42955095,162.674367,0.04365164,-9.579875436,24.49880764,0.024033397,-10.72043811,17.48081012,0.008127451,153.9708909,150.4221408,0.042613059,129.4374464,143.4966302
7,0.444153232,0.979897976,146.8204661,130.1837181,0.997719049,152.2765976,144.5767985,0.997571647,155.6189894,115.5405718,0.720865369,144.9296777,157.1659815,0.997454166,134.8753145,99.99901246,0.419657409,60.3080378,68.1505418,0.268902421,126.5141352,102.0256052,0.849297941,72.92273208,121.8342306,0.040394664,84.47695995,146.8960186,0.667989671,99.87104742,127.237401,0.12253511,-0.209747581,24.97991402,0.165293425,48.65622074,198.4349153,0.136322558,53.11278992,149.8291442,0.022743464,11.12674708,26.89497625,0.006330997,-7.79017683,16.23676581,0.028697878,2.56981458,34.95332373,0.128931195,2.7764824,34.74591697
8,0.410331158,0.975328922,145.024286,131.947151,0.997920215,151.9908952,144.4273637,0.998332202,155.3406996,116.4521887,0.477828801,138.995689,162.4771038,0.996425986,136.1121596,99.85831919,0.742582321,79.20080368,192.3039316,0.221730381,68.20488671,87.27645131,0.931606889,75.79936091,117.2587854,0.062636882,7.560891141,33.52588439,0.303981155,98.35557726,136.9683525,0.015466243,103.0967516,134.7583221,0.072329879,55.84589088,175.1573716,0.11109668,52.20723241,166.3677727,0.019788593,6.708598048,37.73984302,0.007522821,8.379825968,24.04722369,0.016010135,155.1068123,145.3871503,0.02504158,-4.134206784,58.35568698
9,0.452106907,0.972154677,145.9980566,133.0690884,0.991654158,151.402117,145.2037492,0.999084175,153.8451813,117.3291808,0.71846807,144.026327,157.4238013,0.997019291,136.0404231,100.0214941,0.606245041,91.66711167,150.4242987,0.13870272,126.569876,103.118709,0.915542901,79.19603669,122.2086893,0.035895556,65.7166396,78.80264416,0.585340261,91.08028417,141.0648311,0.525654733,5.709843058,30.53371396,0.022116214,32.17434506,236.4361443,0.042291731,47.84833472,194.8656465,0.016433895,36.33433977,231.0152105,0.010788143,1.982226425,222.1243709,0.058562338,5.094610207,206.4308043,0.049863517,3.174586302,206.8645394
10,0.446662419,0.981899261,144.7088966,131.5934062,0.995378435,152.3148189,144.8053093,0.998916149,154.0295334,117.5158006,0.578073859,141.7968262,158.0588839,0.989251018,134.660483,100.0753209,0.48961702,94.14500185,162.4604011,0.462147027,64.14605035,84.4719857,0.504672825,82.77770463,123.5918481,0.119563311,73.44964302,73.60591741,0.57917285,11.02287988,67.79505355,0.346485615,79.41173387,125.6048104,0.246632159,65.79647145,183.9488969,0.146781027,57.68162721,155.7754711,0.019695401,-4.312921303,46.0276583,0.013180375,7.962676964,242.0131818,0.071275741,2.471661324,52.1929924,0.050519049,4.748207502,47.35439343
11,0.540247311,0.984483659,144.8585752,131.2742373,0.991720855,152.1176045,144.3890937,0.998777926,154.6331612,116.8655879,0.629172802,142.4046114,156.649903,0.997339964,134.2029982,99.84988247,0.405613542,95.51907772,171.0331324,0.562989712,98.0657357,115.5865105,0.915489912,82.57001136,123.112284,0.363350809,9.130932526,37.98197809,0.60017395,86.95211308,142.2867168,0.818397999,40.14660324,198.740466,0.204872429,61.90600373,126.7066801,0.478727639,-0.98595056,216.4073229,0.068560451,40.20717511,57.83112296,0.043696076,18.156339,239.8646467,0.039720953,22.4971837,59.67884992,0.081115603,17.43801388,42.13944605
