Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.450926988,0.954639494,145.5525442,123.0347076,0.947700262,147.6363286,134.8531133,0.998860002,152.80182,108.8128487,0.398354888,128.1254877,145.7427605,0.98941201,133.1945907,91.25666891,0.461554587,100.4165874,117.2797431,0.390544355,100.719206,107.2893015,0.478879899,84.89446785,102.2712942,0.224971831,3.182081206,265.561432,0.603829145,91.12749078,133.1836181,0.767940164,78.25797587,148.6192065,0.192730159,70.11123791,164.8272911,0.049528509,75.57122201,157.7522725,0.03827399,0.073862731,34.01766469,0.060360938,-2.658563964,35.54625322,0.049047023,-2.733254308,33.34375122,0.059131533,20.02483773,243.3457202
1,0.504980082,0.960818052,144.9349812,122.6540189,0.975959599,148.1221349,136.1861882,0.998612046,152.8052947,107.3521745,0.28444925,130.0417935,149.8728274,0.987820268,133.6983312,89.63349036,0.673177004,99.79344667,119.7520433,0.717369497,97.45702393,105.1462771,0.539366484,85.69103684,104.2865851,0.227139384,22.82981387,256.300474,0.824727237,88.57849807,136.680797,0.918857574,77.12955851,150.657991,0.171869576,66.4637343,167.0894536,0.069114417,78.11315567,145.9788667,0.021773636,20.57436444,252.458938,0.040268064,-1.066838525,35.80284166,0.093396008,-0.681080098,33.5627036,0.079943299,1.246372752,34.42432799
2,0.505867981,0.989081681,144.7245265,121.2478299,0.984346628,147.7781313,135.3187178,0.999700487,151.0098949,108.0474236,0.220165968,140.2785946,145.1240027,0.993023396,132.3092107,92.2452769,0.683270454,96.44157572,127.361233,0.865480661,99.85309501,106.5208285,0.650779307,86.90219989,103.3292247,0.250807703,4.41778252,266.7274306,0.772378683,86.86833109,137.584099,0.800526321,83.62088893,144.7922275,0.138667047,72.34994343,166.5569649,0.063879251,73.24884422,142.2602972,0.038823694,21.20589162,241.8734395,0.061564177,17.864626,238.4301362,0.053138494,0.857504893,34.89028607,0.034121722,1.874535759,36.02580515
3,0.481447229,0.979057193,144.9912829,124.1735185,0.992475033,147.5765888,134.7303663,0.999794841,151.8932511,107.1194942,0.230508059,129.1972681,148.3458787,0.996204138,133.2051732,92.89167349,0.656887054,96.76235394,126.3851216,0.790886581,97.76298913,113.3123513,0.605012417,84.18465566,104.005101,0.123510212,89.79389776,107.9073278,0.715130925,90.10490427,133.4097881,0.777511954,81.83079256,143.117051,0.190376937,72.06513708,161.0659039,0.048736215,75.42728572,145.8927561,0.021736503,-4.523822151,46.29860258,0.023180783,-3.204267218,34.46815748,0.019111216,136.4482751,130.5540194,0.014482826,16.87353394,249.0914921
4,0.502292202,0.974955678,144.9977079,123.6768005,0.991055369,147.4003687,134.1146931,0.999720931,152.0630462,106.9289609,0.284256458,139.8613184,143.6984043,0.994714618,132.5002073,92.28541228,0.505639136,96.33678727,129.5248981,0.876064837,101.6754935,104.8927488,0.47293663,86.05411449,101.9073692,0.439362645,20.52247313,248.9346081,0.768253744,86.20369558,138.2793847,0.866835475,83.68100665,142.9439153,0.092068374,78.95435271,149.2926444,0.063815892,71.20262879,146.3479123,0.124129772,20.78337442,240.7391152,0.051516831,18.37768859,237.817011,0.016506523,138.0969711,132.9594355,0.017134517,71.44421524,159.9484653
5,0.483424327,0.984720588,144.9341643,120.9869499,0.988185763,148.6235102,134.3088717,0.999375939,153.005874,106.9041628,0.365567863,132.7494319,147.1436827,0.994767845,133.8662609,92.29426352,0.214356363,92.30457777,125.5320864,0.65683949,100.8175693,105.6146614,0.745450556,85.0983207,103.1436778,0.280776739,24.76918348,251.0655382,0.520078123,91.50340639,135.365132,0.942198277,79.11944176,154.7030811,0.29597801,78.14408625,157.7433238,0.086737961,74.30417788,148.0498742,0.027513236,26.54886043,250.5583841,0.041935384,22.06664125,250.4882081,0.052379102,79.21033766,164.3239408,0.021352321,139.9629126,136.7491198
6,0.44923278,0.979684711,146.1473939,121.5296797,0.993687689,147.4796031,135.4222383,0.999755204,152.9093394,107.3882866,0.164166093,137.8180595,145.2970286,0.992435098,134.6715653,89.72570907,0.325788379,90.16043178,156.2145219,0.60127753,101.48126,105.2632574,0.751608908,85.17635426,102.7564056,0.141364425,26.2193986,251.2290545,0.486634046,103.6063929,117.0925747,0.902754068,80.8145214,157.3996494,0.190177023,80.19475777,161.0584791,0.0216645,73.35683911,154.3471174,0.01284951,28.20723059,249.5730191,0.028106481,28.96676701,250.1766347,0.033481449,135.4960474,139.8580875,0.011522144,71.39069327,163.182277
7,0.45427366,0.979757786,141.9707787,123.1288526,0.99365449,147.5220671,135.4909513,0.999854207,152.8265084,107.1796119,0.24568066,139.1559135,143.8672241,0.996392012,133.7766513,89.63405119,0.395177662,97.32332265,118.9326574,0.507886171,101.0036039,105.6636358,0.841224372,86.22955437,102.6071902,0.203336477,29.47630769,251.1503687,0.481963933,88.09349641,139.560681,0.8400594,80.49338961,150.9385973,0.124616057,77.40105752,154.2861706,0.032901466,78.32897477,165.9093613,0.024942636,51.58051947,69.42346237,0.026609629,27.83303707,249.2921446,0.007370621,131.1578179,136.1358361,0.021224648,29.09617982,246.6050737
8,0.455297861,0.98088342,144.6009749,123.3540106,0.993341565,147.7096379,136.1921987,0.999897122,151.7806477,107.7815085,0.155567914,139.2514728,144.9729464,0.995280147,133.6345194,92.13735516,0.381975561,94.41612291,128.9667213,0.744508505,99.29550342,112.2182355,0.773028374,86.0295846,101.949504,0.114255756,33.43819493,247.8644614,0.409334183,85.87529748,140.2971018,0.895125508,80.44223895,153.8685774,0.144427508,77.76038009,151.3234799,0.036474615,74.48169037,165.6275115,0.040071249,32.7404587,247.8502214,0.02944845,26.30680765,251.4700862,0.020782322,129.974385,138.5111628,0.025661439,67.83767605,173.6288624
9,0.460986937,0.984062433,144.6835133,123.7474153,0.991349101,147.1905236,137.0954885,0.999847651,151.8063114,108.4189075,0.190751463,140.0556068,146.0883003,0.992762685,135.1100797,89.90238033,0.355321258,88.58148506,167.0965736,0.530989766,98.27954315,103.9745118,0.964836121,89.06510904,99.88896935,0.069077611,10.47926237,268.2251434,0.49037233,101.2071885,119.3210026,0.830674529,82.04948892,154.3579681,0.082802117,77.59339522,152.4325062,0.036037862,24.52726328,257.9300045,0.018685549,34.09963315,247.1005481,0.035387188,-4.037834482,35.51380477,0.242990047,49.0989565,200.0718584,0.020830214,36.29448785,242.6704169
