Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.578863228,0.981379151,136.9320698,129.9723978,0.982037425,142.0597056,138.7045978,0.999174297,143.6891873,115.2685364,0.446073234,121.9625371,153.0085196,0.990946889,127.5040843,99.66616436,0.321180761,90.46029499,154.4368246,0.400975049,103.8667364,105.2596852,0.756128311,75.87329803,124.3537253,0.249768108,-1.212134582,238.1933472,0.724559009,103.7959752,119.7313539,0.967874527,22.44720497,180.1332807,0.570365131,60.16524145,181.8003375,0.311259449,41.30156213,164.2635548,0.501468003,17.20066409,59.68851192,0.384562224,16.89648956,65.51727333,0.160154611,2.921293452,238.01147,0.092768699,5.258355492,240.0529611
1,0.53303961,0.980589986,137.0530977,129.4304848,0.993508935,140.9744777,141.7989232,0.99922955,143.153858,114.3299757,0.239667743,131.1366773,148.9983346,0.98973453,129.2744421,100.04539,0.608164847,96.09970569,147.0723729,0.187365294,120.9220286,99.37991329,0.536014318,75.90885539,131.0665745,0.264364779,-0.790613963,245.9617617,0.865869641,103.6361287,119.7056902,0.940547705,23.65623598,179.2887309,0.318700314,57.44857502,170.3117929,0.314108998,41.96322895,163.2113179,0.321826339,19.34366557,56.68735004,0.325084746,15.96877499,57.47034956,0.139739245,13.0756583,247.0722632,0.037156403,4.264781252,243.0623586
2,0.537214048,0.969846666,136.6839912,129.9662775,0.984037578,139.9575482,139.9926362,0.998989105,143.1314982,114.7584806,0.272769868,118.8681263,146.7991061,0.988945365,130.2314368,99.89571142,0.645575821,-2.07141319,7.456100407,0.255336106,77.24739827,86.49360419,0.707907319,75.44615861,124.8801059,0.361407518,-0.161708387,241.2501707,0.694662035,27.58380637,33.81934081,0.914278984,23.84018878,178.2997084,0.316115022,54.36428342,169.9534274,0.359619975,39.26126887,164.7668442,0.333061516,8.996170558,236.2413194,0.221240878,17.75053979,63.06878365,0.083273351,128.7373083,141.1350802,0.025571704,2.193624089,248.7959631
3,0.613018853,0.976899624,138.2556107,130.7383105,0.972131133,140.6346071,140.0135695,0.999556661,141.4848139,114.7486296,0.722950935,131.2984868,150.5256857,0.991446853,129.7101523,100.3996347,0.625340998,97.59776598,147.6558842,0.470840722,77.32735814,83.77422509,0.914405823,74.42875361,123.1734258,0.328293741,0.822962595,243.2691314,0.749016762,29.92693459,34.21014869,0.85827601,24.28017987,178.3974622,0.266415358,56.18353035,161.7886212,0.353093892,40.3191811,167.335996,0.402129233,21.30730752,56.46182628,0.655851007,17.96780818,58.18819615,0.099176943,131.4024218,137.9388557,0.035494804,-0.664158034,249.179785
4,0.606581232,0.937489986,138.5190875,127.98121,0.983675063,142.208226,141.202708,0.999732852,142.6312446,113.910444,0.8027215,132.9409283,150.4033045,0.982893646,128.7297616,100.8113271,0.428265482,94.12119128,150.9842555,0.412768126,43.67079298,80.8804668,0.982310653,70.70043671,120.3521355,0.295494378,0.146196403,239.9044651,0.636302352,102.0828944,124.6739305,0.931342244,24.3829902,178.5115286,0.366618156,62.40483697,169.4105513,0.565173626,39.55410656,94.45180829,0.330304086,20.10706374,54.36706314,0.505796075,15.10945181,55.95322132,0.098741025,-1.118957291,238.5760475,0.052251697,3.270772298,239.5239593
5,0.600396738,0.958547652,136.5606347,127.182221,0.960053205,146.3354767,141.8748781,0.999321222,147.6997991,115.8685676,0.847498894,136.6539628,151.4894346,0.96288085,129.6645672,99.87726523,0.339969456,-2.827919759,7.588460591,0.377579063,43.7326907,81.43632715,0.977336049,74.08693235,122.8780796,0.212584376,2.381346056,240.8126561,0.882811546,27.3095124,34.5652651,0.960157216,24.58767666,180.257515,0.368191421,53.7599485,147.3153675,0.624236584,28.87825155,148.945727,0.296811938,18.70096309,58.23234263,0.221443236,13.12828416,60.08865871,0.196454316,130.5630657,130.599446,0.020867527,129.0216819,134.2808184
6,0.607751112,0.95269227,137.3869577,127.6914477,0.947192788,143.3150456,143.0757574,0.999408543,147.6845471,116.165267,0.904834747,135.1440216,152.5925723,0.988499999,128.2746908,100.0645921,0.7398296,90.85382773,155.908959,0.370355666,104.4713639,107.4213751,0.96385932,74.07670953,121.8523233,0.283540964,0.308587197,239.3190884,0.773415565,28.03136704,33.93314509,0.916278124,24.73556461,179.4769965,0.294310957,42.05662417,149.9550976,0.414798349,42.79332841,165.1241856,0.440951049,10.4154734,236.474841,0.184232026,10.92935588,66.23026149,0.134882927,132.4018073,135.7107205,0.022686005,2.831879615,240.2964312
7,0.600975391,0.941429377,137.8097081,127.6667837,0.98228097,140.4626663,140.3426381,0.999422669,141.1779221,113.70995,0.845568657,132.2322561,150.837759,0.992499113,128.983802,99.57514045,0.398147106,92.79187758,156.27403,0.485679537,106.1982702,107.0860643,0.989538372,74.30803049,119.1436242,0.319087952,-1.6361228,240.988608,0.755393982,27.32227416,33.65612321,0.933163822,20.70691665,179.8846657,0.34200421,52.63147628,147.7475665,0.604667187,32.18822236,147.8590483,0.33562994,17.02630166,59.16018063,0.182942301,7.171042605,68.78602674,0.066334754,129.3436183,141.205695,0.042791694,3.182173025,241.3608965
8,0.638948691,0.967317462,136.9374585,131.1279724,0.990751266,140.9323551,140.353245,0.999182999,140.7215712,114.1950126,0.770650387,131.3960942,149.5970979,0.991115093,129.2229196,99.71526071,0.64726609,94.47015693,156.1300572,0.589131057,49.12695191,69.15120748,0.96713686,73.86287161,120.6375575,0.37512514,-0.166137781,239.7993231,0.89628458,28.07060327,34.16433803,0.937803149,23.64002547,177.1523876,0.345816851,51.90555263,150.126246,0.595243394,32.96545212,148.5294261,0.392225266,19.50686489,55.89162229,0.214891165,15.68192957,57.78250819,0.111146688,20.87205446,185.8971208,0.071040303,13.85373691,192.8483195
9,0.640282396,0.985906839,137.1844155,129.3682092,0.98880589,140.5430102,139.6078266,0.999617577,144.3660512,113.725592,0.778499782,131.8615768,151.1153173,0.992417574,128.681665,100.0736872,0.9337309,96.79327842,153.0369265,0.352559835,106.9072351,106.0117114,0.939987063,74.42213956,120.7919056,0.33346355,-1.231637257,242.8033074,0.805565,28.02493282,34.33704695,0.956691742,24.91146016,179.937578,0.452215046,53.06323029,148.6091726,0.458021104,40.67500463,160.7994767,0.452892274,20.2623765,57.63494484,0.338968247,10.57119458,66.28395414,0.07357949,22.20931721,186.7054122,0.041878819,3.306966298,242.2960069
