Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.473816042,0.944053173,129.4896272,130.4888543,0.98295635,131.0207577,139.6757837,0.997825384,134.1203013,115.3935754,0.368228048,121.2067191,145.9662482,0.991152704,124.156706,99.97966409,0.758165777,69.61411761,174.9936115,0.720331073,75.95482454,74.81049079,0.906563222,81.31806068,114.2406221,0.080841601,5.193006727,56.23672314,0.79022634,10.77332381,185.9244792,0.08752948,75.32463083,121.5169759,0.075641602,32.49162119,178.54213,0.042283177,16.33981693,233.9331939,0.034379095,11.95894125,55.28014299,0.03732878,9.44412822,56.2673794,0.142896622,-3.159758607,53.21271994,0.094470292,-3.719811981,52.72243924
1,0.467905239,0.974967003,129.7969335,126.4260617,0.982830405,130.9397311,139.5616319,0.998898387,134.9027339,115.135207,0.323544234,122.2678317,146.7164214,0.988393784,122.6222471,101.2866607,0.766839504,62.27734741,166.8940192,0.569012165,76.84655045,73.39485311,0.884937465,80.58882086,115.1359872,0.094412923,4.419034465,57.14360345,0.792796552,9.337843991,186.0500302,0.180139393,18.94943028,53.46018892,0.048457563,151.457102,232.3216097,0.08676371,-2.113086639,202.0248371,0.037338167,6.709881234,55.51136031,0.048237562,11.22496797,58.42647252,0.109865278,-3.668151551,53.74965863,0.06695497,-5.218795795,53.11257047
2,0.455054052,0.96392858,129.8570878,126.4290852,0.979839325,131.2396126,139.0590863,0.998657584,134.5317011,115.4172641,0.314717114,121.6668374,146.6189114,0.994118333,123.70016,100.2058584,0.768201888,70.30260027,171.4830095,0.582472563,88.72092867,106.9427498,0.864432931,77.07332387,106.8641127,0.054893911,12.54764019,53.11553307,0.741964281,13.29291754,186.8806814,0.100149035,74.28367739,120.7680951,0.055970788,6.320540944,136.1344584,0.040855348,18.04376152,211.5382871,0.034359872,-4.294979176,59.51904602,0.038075358,7.853650344,55.39231356,0.136845171,-3.47278114,53.89983102,0.066436797,-4.840340108,53.28003692
3,0.489896694,0.959732056,131.1257413,129.1489154,0.981854558,132.3957846,138.1360092,0.999179721,135.4554975,114.6454261,0.531528354,120.9892542,145.4496698,0.987527609,124.0290335,100.3938802,0.8492167,71.08319191,172.0784078,0.405138105,89.56973949,107.825338,0.891508818,80.00187754,111.7813183,0.086540848,-3.529862727,57.33956212,0.826465786,16.78862725,185.5505325,0.097832203,16.90582237,53.8486194,0.126127899,51.57997084,206.8021906,0.074411452,-0.523126819,125.663904,0.019655913,-3.977317858,55.54151061,0.055735648,9.77846448,58.47483127,0.203939319,19.83740112,63.58650808,0.231848806,18.99746898,61.45713854
4,0.463679436,0.950227499,129.819147,130.0411473,0.974202096,132.303322,138.6165487,0.998756289,135.0759671,116.6988896,0.24902162,120.6663424,146.1980508,0.987850666,121.4299143,101.7517776,0.768997133,73.63617743,170.773813,0.362889647,89.34812929,106.215607,0.924774349,72.86855786,106.5999898,0.060635209,78.73746684,83.41087313,0.862686217,103.461847,119.4044676,0.081138939,18.98083633,55.12514874,0.196903288,21.30366979,58.20682521,0.125940174,10.95652758,142.085028,0.045129359,-5.718870699,59.75631047,0.040368378,-5.422013529,55.5153836,0.174444675,23.47120421,60.07137684,0.07858488,27.49952452,61.50948399
5,0.473544556,0.958537281,130.5717463,129.8121489,0.96863234,133.74466,138.4454978,0.999011993,135.7286546,114.789143,0.466685355,107.4245816,147.398162,0.979685307,123.287736,100.2156606,0.731664896,68.92752468,173.3044144,0.440747261,100.72429,112.6825111,0.851405084,79.34273442,113.201028,0.09914127,1.147177478,55.8339734,0.865398884,11.95222967,185.209455,0.138013363,16.89182315,54.6460662,0.095525801,37.79383437,188.2001502,0.052680522,-3.093654142,134.3159795,0.025864094,-2.418355763,58.84281611,0.034594387,9.198192354,57.88722959,0.236377209,2.101442906,55.26223324,0.106292397,0.958847255,53.35563822
6,0.463158548,0.958794236,130.8021711,129.6075462,0.958570123,135.2048587,138.7387592,0.998842955,135.4222871,114.4665604,0.367545962,123.9014952,145.4904514,0.985679984,123.5305721,99.72021058,0.72596395,65.78671192,161.3408776,0.46519053,60.06988335,156.1369211,0.91518569,82.30211503,112.6110306,0.053603858,-5.448507054,55.95590351,0.870951414,11.53699858,185.3122074,0.087553591,16.85364455,53.35411424,0.158963799,27.62132357,58.7042564,0.043883651,-2.99408721,129.5381262,0.027406216,-4.398177358,54.71757105,0.047058493,-6.164674604,54.85899584,0.126000702,22.02661864,56.24087444,0.08250016,21.67985361,52.83933413
7,0.474881274,0.975834727,130.0241154,128.5633802,0.983652413,134.7322926,136.3684433,0.999258637,137.274464,114.5542803,0.361026525,126.3391098,145.6103211,0.987330079,122.571956,101.3491924,0.758344173,64.82345676,161.7914009,0.39568454,110.0542413,104.8366666,0.956729591,81.72368158,112.3806911,0.079093069,108.8129828,127.9766747,0.795994043,11.0793675,185.2036761,0.127711773,14.97112069,56.1690465,0.109814495,44.74889786,205.0637387,0.04568544,4.040710983,130.703954,0.015353173,-1.834562495,58.61254974,0.028600454,-1.261864042,53.18274642,0.305300027,-0.260716628,54.71179824,0.147568494,-0.742436813,52.73681336
8,0.504164279,0.975810289,130.26444,127.6579447,0.976776242,134.7022643,135.0141303,0.999254048,136.9269492,113.4963132,0.617208779,128.0412912,143.5074931,0.991474271,123.6000653,100.251919,0.751104355,66.02561617,163.0918139,0.502196252,60.45234594,156.9944186,0.975385904,83.59832802,113.4709177,0.057744205,75.36510148,82.02254506,0.927516222,12.89324014,185.6052493,0.113614351,17.0804195,53.93974695,0.084422469,37.21156355,121.8363033,0.064768255,7.16938757,141.6240442,0.032993704,-2.35517809,58.68351816,0.033430755,-2.898169623,59.38944118,0.232403636,2.34952167,55.31399959,0.234688997,17.65747832,61.53669607
9,0.466287231,0.967928052,130.3991958,128.3978157,0.931123078,134.7930931,135.7813719,0.999438882,136.4311944,113.4275393,0.369801342,113.7065119,151.6583153,0.995895743,122.8935266,100.2642693,0.857267618,64.01537263,162.0404792,0.46806848,61.33875624,159.4646706,0.940795481,86.09670041,116.3076428,0.12226671,-5.28090421,59.41692148,0.759330332,11.35137856,185.6458236,0.082660705,19.70127672,57.41135958,0.132345557,44.71674811,204.1464527,0.069955915,8.644141722,139.7474592,0.041995406,-6.066203028,66.22571395,0.039253443,-5.250117651,62.13038146,0.107913911,20.82513131,63.33929512,0.040842265,23.66339256,62.95281533
