Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.380870637,0.987991929,142.60018,122.1687368,0.994955778,146.1954905,135.700394,0.999374568,150.9896321,108.5706466,0.377735972,138.3952798,146.8841682,0.998119354,132.3304244,92.37858195,0.445173532,77.4579688,60.6034693,0.42125079,78.81169047,64.92997035,0.879691482,83.17596169,108.719423,0.068209082,85.76307204,79.32612311,0.026623875,101.0968345,132.7590756,0.018448472,54.73292662,129.097905,0.074728429,42.1374527,146.9132091,0.108949363,50.98893107,139.5435393,0.010324776,39.89405333,142.4439787,0.005849302,33.56957977,150.0522784,0.029254615,23.85106538,194.6293939,0.028119504,16.71669873,200.2776071
1,0.375892841,0.973783135,142.7747908,122.6190772,0.996239543,146.5375678,136.7769414,0.998959124,150.1757569,109.0255345,0.455155432,124.9705812,144.0681204,0.998879671,132.3783381,91.55484355,0.416790038,89.58896594,101.1922963,0.345055699,75.20040257,63.57215834,0.89916122,86.02295227,109.318552,0.048180103,87.58934754,76.79833801,0.096310019,94.22346822,121.2905499,0.027916491,134.9243499,122.4613642,0.021982819,1.678757114,137.2156874,0.031469196,13.18797518,127.2248922,0.018312484,33.72523238,225.7467472,0.014387786,28.10482563,224.4951867,0.023375481,27.04976628,192.0702637,0.024220049,27.2412597,193.2605971
2,0.391791792,0.946812391,152.1969243,133.8538009,0.978038192,152.6088849,141.1802142,0.991736054,151.5657308,108.1996991,0.478569388,131.1562695,151.1505516,0.998966217,130.7006257,91.25338932,0.440852374,62.67775632,165.9822683,0.501698971,74.48471393,63.90216575,0.886402369,90.60776081,106.9923216,0.158986539,-0.533563945,198.55459,0.122869134,112.6446312,116.9488335,0.031513363,-1.595423933,199.4095028,0.059805214,39.93522196,147.6916793,0.028410077,16.49900972,143.6500761,0.015320927,32.13063139,130.3714595,0.007658035,80.83033415,79.85403987,0.006386817,130.5838405,131.8268302,0.006434411,128.6402617,131.3834513
3,0.395401625,0.973373592,155.7715697,134.8889572,0.939165711,156.0553215,138.4267834,0.984856665,151.4751214,108.3404168,0.540173531,133.4122874,156.245233,0.99860096,132.0163394,91.46021087,0.529983401,77.78408093,60.70393575,0.306848198,78.44775939,66.03530255,0.724057317,82.64775842,104.5406133,0.030267656,85.13092155,88.43523233,0.408038855,103.3860628,117.2872654,0.038737774,111.2611921,135.5042403,0.056867659,15.35533891,147.1098992,0.121101379,19.25132951,136.0401915,0.023758262,50.08732066,153.7247874,0.009787381,52.42336849,154.2508754,0.017706513,39.32075567,160.4029509,0.018502772,-12.8360835,13.97245143
4,0.405779635,0.945575237,143.4953379,124.3066162,0.968008399,150.2320098,140.1545675,0.998164356,150.3235214,108.4535078,0.668257952,131.4908123,148.4658093,0.998362541,131.4101758,92.42673952,0.642306566,65.15942596,69.1915623,0.218333185,102.7011402,98.24474778,0.57586664,78.61287282,104.1893922,0.012680709,136.2662638,111.0714634,0.294829458,98.62076701,124.8863237,0.161039084,23.89055307,175.3441255,0.176573485,42.62550535,225.6468965,0.070973545,21.70649268,190.696322,0.008747399,53.31888606,161.9087469,0.014123946,-2.912405826,201.5258515,0.040696859,135.9661385,133.9913243,0.103714436,131.0731581,134.3318167
5,0.366638908,0.954925358,145.3155358,125.5019482,0.98256737,150.5009363,138.0348539,0.999690115,148.0392673,108.743392,0.449697763,119.0646214,150.156189,0.99024111,133.5158932,92.1986433,0.344096869,72.83576194,63.76598344,0.192175537,120.8456592,96.26427659,0.59658289,79.08208002,104.4995757,0.026965171,-12.75088116,186.6995601,0.242938995,18.5825747,173.3895619,0.10156402,59.42094477,177.8483439,0.136945963,62.24885519,181.9820683,0.126382589,24.45119565,195.6928351,0.008836955,26.96273213,73.87413682,0.013939977,135.7898696,82.66490617,0.039998263,139.8226704,130.679924,0.025312483,129.6365871,129.6718335
6,0.477500304,0.955082834,145.1430097,125.2172821,0.994776547,148.4676869,137.6654304,0.999751687,148.40457,108.5697809,0.369496405,132.9840629,152.5131428,0.998566151,132.261809,92.98958577,0.525153995,79.74254594,55.37440992,0.491488367,84.18404607,62.56868855,0.697989345,73.29992782,104.4613057,0.213659137,69.35774252,214.2821717,0.571340501,108.332041,122.7581002,0.733756781,51.54288341,167.1410737,0.18040067,60.49245084,205.0911702,0.260007381,40.76564755,223.5632461,0.04637742,21.50336372,24.89140771,0.02045399,49.19494248,231.6264581,0.028114706,78.3779431,210.2564178,0.031089246,117.2931784,135.9151037
7,0.516251643,0.934224725,145.3638274,125.3511724,0.996353269,148.818274,137.9536444,0.999690771,148.2646692,108.5289994,0.369205832,147.6205524,147.8822005,0.990315199,133.3425747,92.10245006,0.793753266,100.9468755,143.9549196,0.658795476,103.0541413,98.65665964,0.97586751,88.67096671,103.2224978,0.113164961,71.53013689,101.5352148,0.391491145,67.01571766,165.1928254,0.755606711,63.08658976,164.5133159,0.411355615,67.59146892,202.5584962,0.119437695,25.44417592,207.3168305,0.17395854,29.11821954,34.894541,0.062759727,43.7127236,66.81099309,0.011823922,-7.22936966,28.34389752,0.018473566,-11.65195575,17.27169042
8,0.510658259,0.966612697,143.8521306,124.4422499,0.992505312,147.8800669,135.7246191,0.999316692,147.9814295,108.3625449,0.44206202,140.4497308,148.2371157,0.921747029,132.3693406,91.35892147,0.677828193,103.2255701,142.6284161,0.582770348,91.78226314,107.3460542,0.238774329,45.18178571,49.77054439,0.061958045,-1.903233141,215.8122415,0.568344593,107.3008593,121.8006666,0.873194933,76.73437378,69.91359677,0.345874518,66.67837688,205.5031796,0.318250537,35.9349062,206.7665418,0.352191567,29.18100117,36.60298894,0.282852083,27.6281845,51.20126331,0.024328351,35.96506259,62.68635153,0.032579154,34.03715327,61.7021204
9,0.481431596,0.944666088,144.1268727,125.4702374,0.993617117,148.305658,137.5032796,0.999448299,148.4389264,109.1183384,0.558384001,143.1789609,150.2273525,0.695519924,136.988725,94.42260895,0.238037974,104.2716136,147.3779602,0.730615616,101.6891239,108.2464181,0.223757714,43.99858758,55.09315748,0.170500398,100.3439426,104.9505745,0.487452656,88.37485858,76.56087849,0.939499736,84.36463698,74.84270151,0.313278466,66.73444693,202.1165438,0.188591629,48.04237013,110.4785888,0.370370805,37.71092104,41.03930146,0.209765017,34.75385992,56.91028914,0.041786164,48.92326974,66.13618963,0.079045534,50.02440492,63.11124766
10,0.553736306,0.975457132,142.7352284,122.2781704,0.983048975,148.7613384,138.6471866,0.998968482,152.0410644,108.846559,0.681764364,139.3974207,148.8170792,0.972474456,129.7617846,88.21730405,0.240781039,99.00780153,152.3198419,0.732892394,97.64697814,103.2703871,0.275031507,58.14940187,56.79978274,0.249927282,100.0998873,99.00146789,0.809183419,86.37620333,78.79560949,0.867853045,85.41327735,76.94373732,0.301632524,63.3610087,201.2956461,0.220434785,31.91876244,217.3052971,0.702863395,40.81914818,35.68230752,0.131841034,47.40876273,62.4998537,0.106892645,56.18755364,64.51559574,0.162470728,52.66840522,64.26253072
