Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.440639768,0.990059435,139.5219964,107.5398062,0.996909738,145.5480576,123.419127,0.998470604,149.7412048,95.20128648,0.728772104,122.0006364,132.8747269,0.98586911,130.573892,80.62780411,0.733842432,64.21718945,173.8171524,0.353119552,52.07701189,47.43031782,0.968904734,79.02313271,95.90082709,0.316616058,6.003352819,185.187144,0.045479268,92.72344506,116.7645911,0.081616193,-2.991893449,169.859136,0.040089726,-3.252129525,152.225575,0.041009009,48.79690792,119.5106215,0.009046018,39.53317326,183.8284908,0.013464808,80.81608804,76.96281747,0.167981923,142.0257027,112.3719252,0.019625336,146.5299967,127.2740617
1,0.432606606,0.992678761,139.3468492,107.2806941,0.997001946,145.2707431,122.7273281,0.998598337,150.0117407,95.33292125,0.544837534,138.7297129,134.1480864,0.995230198,130.098912,80.30334396,0.709223211,63.68788892,173.5323278,0.253068924,51.26923255,50.10478235,0.972836494,80.21529485,95.02947975,0.230764478,4.79110051,188.7225929,0.143455803,2.973752444,23.89658801,0.156109899,4.601871714,23.30810852,0.03567034,-2.107116852,149.7538355,0.058878481,51.71600685,127.3232556,0.007347554,-2.959304219,29.89832046,0.009847939,-2.531857342,30.57415413,0.095297724,6.539064329,26.01330856,0.153464675,8.428956602,28.51099212
2,0.446411256,0.990505934,139.2927907,107.5335396,0.998282731,145.5307087,123.3288833,0.998485029,147.9957792,95.77712917,0.612583339,139.1324443,136.3725153,0.989380479,130.5810852,79.79039872,0.713966131,58.73624766,172.1263216,0.311649382,49.49070315,47.22185647,0.864248514,78.55181633,94.40947839,0.270716578,5.251762019,189.147111,0.136363417,9.410910922,28.61517707,0.04831019,8.613250009,25.35731093,0.064456999,43.99183942,63.52040418,0.039624602,48.4528007,123.9272321,0.013469875,0.161259493,28.9303105,0.013753831,-1.40610989,29.24368831,0.245206594,7.995971984,27.52311564,0.277987719,10.81779947,28.40830676
3,0.431342719,0.993208051,138.9066279,107.8409191,0.996225893,145.277985,123.6838961,0.998291135,147.4762382,95.53975499,0.790591598,139.0306794,137.1160561,0.97134304,132.3847022,79.68174547,0.738490164,64.6141298,43.30684667,0.27656883,52.76931058,46.20064153,0.962989092,79.03601333,98.00397209,0.288318932,5.947611186,187.4686671,0.045185179,5.402798123,25.24793227,0.04023239,90.43836806,106.1064051,0.061768979,48.5352294,118.2296543,0.054390758,48.73829283,116.9950038,0.016654074,-4.253210861,32.9127531,0.017641276,78.75594959,74.72631866,0.048008561,142.5301625,122.7082724,0.032918274,137.4573653,128.0624683
4,0.417961874,0.9830724,139.9730196,110.5885953,0.995278716,145.0865495,124.7287326,0.999030769,147.8152188,95.07614993,0.570081949,118.6448824,136.2179478,0.987401605,132.2739154,79.85614905,0.672221661,63.59585918,173.6976972,0.425830722,49.07924238,52.18535424,0.917206407,77.27794481,99.09111413,0.080761284,2.669072336,185.2135758,0.166016966,13.33748616,186.6006359,0.091579765,114.6863296,127.9895858,0.038861066,51.06096322,119.1591199,0.047929615,49.77289131,118.8857434,0.011375129,77.04383193,75.30116163,0.030743301,-2.095580178,176.9425913,0.043550998,3.761418375,185.6250975,0.044409513,137.6377063,126.6906235
5,0.41456789,0.983329654,140.8676167,109.9512816,0.994557977,144.9781645,124.2376595,0.998221874,149.5296651,96.50444269,0.389244944,137.7111009,135.5215892,0.993746936,130.3850168,79.9015269,0.558374763,65.70733726,169.8356547,0.743157387,59.57234853,49.99720198,0.894426703,79.19857868,93.52194035,0.054650724,5.710341398,188.8220047,0.023432374,95.81046763,104.7805478,0.017439097,-9.832903115,157.9658484,0.104724318,49.32001502,117.7483834,0.173639774,50.91074816,115.9377682,0.022196561,44.73552347,196.7465473,0.012183905,68.21373186,82.35383261,0.069213361,146.520036,119.0402987,0.015113771,142.0915628,125.5992266
6,0.409406753,0.879882455,151.7660907,113.5354489,0.933286071,154.6120572,123.95698,0.992093921,156.5113554,98.28382247,0.599497974,141.9875912,130.8260548,0.945064783,130.3440524,78.33490607,0.637836337,68.59267712,168.7394663,0.623438835,56.54563266,57.07680463,0.944540679,80.92765513,91.84834874,0.074506968,85.21647745,94.58096813,0.053418785,-2.173904628,25.12948292,0.037259251,114.8605259,131.5157811,0.034654677,49.05986657,120.9269541,0.081333488,48.85480369,118.488035,0.038247555,46.30980683,197.415389,0.034921765,46.41652463,197.1146662,0.033640295,130.8661536,122.1195917,0.016290963,275.3185959,54.029381
7,0.439701492,0.85410434,144.999427,112.4131701,0.972866654,157.1103747,124.2794651,0.99428916,158.0007413,97.40768375,0.811851084,148.8748683,130.6854591,0.892273724,132.9383193,78.91808823,0.732756138,70.56241953,168.600553,0.551083922,70.45471115,58.63971305,0.971949279,83.75530343,96.47003745,0.186585814,4.790309949,188.9744753,0.182792157,3.130644418,24.33915004,0.081316441,-6.888631947,152.9477923,0.05028975,48.372216,118.5367656,0.073242635,47.47399186,116.3804156,0.028359264,44.65459131,198.9923972,0.017981648,-4.942375116,27.26471062,0.047303766,134.3187349,122.6980922,0.025879592,22.61890654,173.6241563
8,0.379317236,0.932292104,141.2148023,110.8817104,0.787398696,146.7151412,124.1979142,0.992901087,156.5572819,97.67520824,0.920792699,144.6786,132.3020541,0.936724782,134.7091648,78.93255989,0.335917056,69.8346854,172.0489037,0.205679893,68.83231898,59.29358931,0.966132581,76.78428698,94.90831773,0.094409257,9.120736378,191.7793188,0.046873242,110.753087,106.1688636,0.04848817,109.5099631,132.4245328,0.036382914,47.95522626,121.3415725,0.047198504,53.47959216,144.2029251,0.032253236,43.40362511,196.3291979,0.013229966,44.12824424,193.2779582,0.020762891,-5.898405878,161.8592116,0.03095594,-4.140062654,167.6775125
9,0.403099656,0.986052394,143.2224246,110.0202506,0.972458661,150.5320132,127.7254506,0.990120173,153.5994314,98.20083294,0.755077541,126.3404265,140.4204827,0.982743204,133.4348178,79.56230249,0.385336041,92.87481225,159.0735701,0.223044366,61.47201862,48.28321288,0.925678313,82.52604167,97.44535639,0.086263508,80.13789526,87.56551869,0.11309287,-0.39165354,22.7496696,0.099343419,2.127538483,25.23114418,0.087666899,52.22117373,149.6709192,0.082837135,51.64224041,146.6977557,0.014081955,57.74728611,216.3008885,0.016681582,-3.593235278,26.58677386,0.061345637,-0.423973407,25.40279241,0.070870459,1.179982732,25.21733088
