Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.617988194,0.98760283,130.5722949,121.2996572,0.996601343,136.9901515,132.0489769,0.998818159,141.0245128,107.9661288,0.43864125,128.8072648,143.3947678,0.94710356,127.1830134,92.85417154,0.752943039,100.4645316,131.5914433,0.637921631,104.1338829,100.2131003,0.362595677,78.74901856,104.2303932,0.980408847,41.91773833,97.30351709,0.888116002,84.26988847,133.5618075,0.975116134,38.8392683,168.5176001,0.686581314,72.14025681,134.642939,0.419301331,55.63459494,142.6674786,0.190916002,-5.618008389,24.3947568,0.128505945,-4.684736273,27.13801961,0.082132041,-0.050381465,33.79213483,0.032494187,-5.813358988,33.25363559
1,0.645614503,0.990169406,130.2192694,121.6173874,0.995331645,137.2483492,132.0497693,0.998624563,141.1897969,108.029331,0.433196783,129.3480561,142.6559818,0.977025092,126.1596344,92.84501551,0.808306456,101.9857929,132.2293544,0.798656464,103.8464858,99.2533503,0.880303979,77.20573892,100.2980283,0.914701939,44.33865017,97.80563602,0.756853819,104.0385431,126.7742348,0.918106794,45.19105756,170.3347378,0.741095543,73.52151364,135.544778,0.249320924,53.44415672,151.3465224,0.251694947,-6.160007053,26.69073326,0.18071118,-4.487700159,27.46230908,0.049013227,1.102695156,37.0838332,0.032333791,4.10101425,43.50757842
2,0.617049361,0.958537698,129.4921143,121.5011143,0.927367985,136.3474368,132.1920841,0.996869028,139.8304609,109.261214,0.225209534,125.099863,135.058862,0.972958088,127.7775096,92.48680848,0.732352793,100.5092755,131.8347549,0.662759185,98.8000473,101.3799401,0.787809312,78.50578013,99.6817089,0.85062319,48.17501073,99.80100558,0.436827362,92.61491373,112.0601933,0.972553015,43.95769022,172.445015,0.787084162,77.8543849,141.2220808,0.516627669,54.4439202,152.3967721,0.409337819,-3.545436597,26.77381423,0.189692616,-6.213671509,26.91070366,0.042226076,-0.08590934,34.8889084,0.021003604,2.886132515,42.71830012
3,0.633612496,0.94770664,134.0171465,120.0591546,0.940686941,139.0085269,130.2241339,0.999547601,138.4064597,108.1947614,0.516165137,131.3645906,142.1662619,0.989627838,126.6556453,93.683762,0.697875738,103.264913,129.9542198,0.694638133,101.0465373,112.6486423,0.924037933,83.73661341,98.28192055,0.943265617,47.31534008,96.99751531,0.591417313,92.02425801,109.0730459,0.980811417,46.47441735,174.1130228,0.688782573,75.73979181,143.7496099,0.419736832,62.81079315,138.178205,0.181130409,81.89648194,99.7724646,0.208381027,76.05921065,65.10625146,0.021064878,75.00270658,59.19053819,0.026536405,76.52159654,65.47146877
4,0.695151674,0.856239557,131.634456,120.0116919,0.929577351,136.9628419,128.8013762,0.99847877,140.0571064,107.8710694,0.727884293,130.1810725,136.5670719,0.988700986,125.928222,93.14682331,0.801896334,82.22870826,62.59175542,0.858141303,102.2449843,112.2488247,0.985641956,80.87461474,97.55699663,0.929392815,47.46817942,95.15503082,0.795617342,95.7151583,109.5104386,0.985513091,83.0568296,119.0616466,0.639449358,77.7201167,140.0898169,0.693152428,63.50289677,137.3848607,0.459700793,-5.794359224,25.60291457,0.083172917,-1.780500853,25.40118309,0.047979742,-6.637519903,16.13417188,0.037039429,-8.44463296,21.51188578
5,0.658323327,0.829121232,132.7124785,120.2863486,0.739531934,138.6268263,128.3638372,0.998081803,138.8003399,107.7356673,0.908862352,129.7028495,130.5372435,0.984591722,125.4107658,92.90519419,0.731185794,106.4370708,124.6766005,0.653180182,102.9875376,110.58673,0.992442787,83.68223802,98.69987955,0.899296165,50.44248583,95.45905753,0.703443944,99.76484473,109.2386104,0.988213241,85.1675396,120.3738125,0.786180317,78.37521214,137.0378214,0.579650342,59.49757018,136.7256018,0.233644158,1.468333269,26.46838547,0.076556027,72.19822268,65.73232434,0.029619694,-4.503227929,23.10938841,0.057894856,117.4983297,122.2236365
6,0.613200516,0.870164156,129.240805,123.1458114,0.553369522,131.1675835,131.5330568,0.997417867,138.7332851,107.2685632,0.855568707,126.2513411,130.7505267,0.99316144,123.5088586,93.02657567,0.601961434,-1.134519732,32.81310349,0.701681614,75.08646419,59.12581807,0.991323411,84.57631086,101.555892,0.85369128,53.43383027,101.370272,0.69386816,91.33352596,128.1843009,0.970551729,85.11469428,126.8573463,0.701336503,78.50506081,133.8830124,0.234843373,52.37361989,142.5947912,0.144628465,0.611646559,27.77728401,0.184045494,81.52342531,71.42863413,0.033518553,98.81222081,174.5824799,0.043277055,75.44235477,57.92247606
7,0.667830858,0.968457103,130.1850836,120.2657932,0.891403675,140.3562929,128.5299869,0.997017622,138.2546353,106.3438158,0.807320356,127.9905611,138.1720481,0.973869443,124.6526924,91.33947556,0.798016548,81.43122488,65.90431394,0.877976537,77.79167032,61.80773179,0.990758836,84.97925567,102.1025232,0.894290447,55.87628501,111.2451842,0.594588935,93.04982541,132.5793808,0.984289765,92.40839697,134.5896243,0.529612184,74.44935164,140.6808628,0.305581987,30.00550155,146.0631852,0.364956379,0.626663799,30.30886685,0.248533547,80.26440948,63.21627994,0.065910429,94.67633232,171.6910015,0.060540795,94.30600056,170.7346286
8,0.627297487,0.985007107,136.2206422,119.7890454,0.967645168,139.0296431,127.6052761,0.999820709,140.0853303,106.3404753,0.53528446,129.5101216,135.3973793,0.994222879,122.8689602,89.28250088,0.553527415,99.82154265,146.8581266,0.946213365,78.81564061,61.43500434,0.855864167,82.10703418,105.0467799,0.800666451,59.32255701,123.7325535,0.369170517,92.15607566,139.1131081,0.962010622,45.68970793,190.3367129,0.615313888,81.86720335,170.1137982,0.403474599,19.41600252,140.187144,0.473001897,5.005797197,35.8864042,0.122252733,79.9536529,61.35797051,0.038700372,-4.035558808,26.39182711,0.041880935,56.4894285,117.3895546
9,0.637465279,0.985381246,135.6175874,119.0488086,0.99228996,136.9865183,129.9012953,0.999906003,139.6701877,105.0127526,0.448925644,120.7412122,142.2525554,0.995010614,121.6592662,88.45604371,0.648909688,93.94449565,112.3205734,0.959555626,79.26187846,62.89505062,0.779961228,80.52101011,107.7732059,0.795740247,64.96048031,131.2630208,0.662388146,90.90709977,142.0154251,0.9305619,41.94192074,195.8612282,0.619548917,71.67090941,142.3327774,0.436358541,28.338588,139.7834372,0.312754452,5.200268463,38.57688875,0.110867769,82.83020248,63.67755637,0.035433143,-7.314910317,29.8731627,0.123316616,77.82814207,182.1849397
