Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.535994319,0.965583265,131.2360648,129.8992958,0.967458487,134.2064729,137.4621811,0.999787331,138.9766942,115.9459123,0.446803093,126.3765264,148.724385,0.998001695,120.3396145,101.1897969,0.778767526,81.79965473,162.4415404,0.523030341,75.19013708,76.52263284,0.724946499,76.92168237,116.9014074,0.295892566,-1.624660611,201.2031591,0.782329202,53.81569547,88.59375,0.782830834,49.83730664,87.92935832,0.31409204,24.2442979,131.5907362,0.311039031,61.15876882,105.0961201,0.08805868,6.583158991,30.75133134,0.073973984,75.83089498,73.49821512,0.015958697,-0.303259384,22.6214912,0.04335016,61.21417442,168.5244519
1,0.582291245,0.941477001,131.3231629,130.5408766,0.965226531,136.060442,138.004411,0.999693513,138.029587,116.814675,0.435693651,126.1727162,149.5876127,0.997577012,119.7316343,101.2689095,0.666023135,80.68255745,159.2722232,0.592992485,76.93260621,73.25289189,0.712345839,79.47994694,115.4620689,0.848456502,1.796389995,199.7585781,0.925290167,53.45008802,93.78145482,0.898280323,50.93645151,94.08445742,0.258270085,53.9983346,81.6306765,0.342217922,56.15825067,94.31237077,0.151579052,10.25991909,85.26628092,0.087610602,77.24395409,73.58978767,0.028490871,1.359676213,25.68116758,0.047726482,66.24060622,169.4100392
2,0.565547989,0.934441984,131.231566,130.3130486,0.972578883,133.861945,137.5832699,0.999798536,137.4137918,115.9295266,0.332116574,124.4198048,149.0449926,0.998436689,123.2779948,99.89089566,0.594654202,83.54318454,162.2112984,0.801065207,76.67500585,75.23349719,0.906901479,79.28196444,114.5444049,0.38703686,-2.38305786,200.4108146,0.515728891,49.59227601,94.41414784,0.951125383,49.82278926,95.26975558,0.487038434,49.53968672,84.23825687,0.391783148,56.24032581,79.37830398,0.243942529,3.690543681,32.13472173,0.057439327,78.78781284,74.81069805,0.022750169,2.752595632,30.29837581,0.017477512,-7.805623068,24.80493743
3,0.573463778,0.959189951,132.0958421,131.1280577,0.979889035,133.3879526,137.1873049,0.999821663,138.2975017,116.327491,0.505877733,123.0806097,148.5091268,0.998645067,119.9678381,101.2034639,0.665918767,82.37721647,163.3820883,0.712913811,81.92125566,75.62656055,0.793187439,79.35492622,111.6664838,0.195465088,2.825633226,197.1603367,0.54655683,71.41955734,178.7885504,0.952713728,47.23719984,94.89460196,0.613265872,37.34588661,131.0144058,0.456203043,2.436231977,114.94393,0.217369646,7.795617417,34.59019731,0.099728286,13.45359316,36.45563895,0.031551152,-1.15793902,26.26706851,0.020587116,67.38311729,180.8569366
4,0.554113372,0.978669822,132.4629126,130.9888884,0.980236113,133.8461445,138.0716609,0.999577761,137.9855991,115.8319069,0.435882062,125.195727,147.4834679,0.998696327,120.2036395,101.9042725,0.613403022,82.65256808,158.8785502,0.639569044,76.95380774,104.1391376,0.70506227,80.42011085,115.6708289,0.252403647,15.00233168,44.5504094,0.420222133,54.87010865,175.9364759,0.970907092,48.97095793,94.9735682,0.60391593,34.9524764,128.2472471,0.264213175,1.818774886,114.8813739,0.414074957,7.522504523,37.44271077,0.090029746,7.580016252,38.31126009,0.027763039,1.699196271,28.95154251,0.025301188,-1.051668508,28.71079729
5,0.544797417,0.955575347,133.2967214,130.8424894,0.949976504,135.0566065,137.0025139,0.999557793,138.5582597,114.9121703,0.299738079,125.5936061,146.8621377,0.999552488,121.8030197,100.5274291,0.808243871,80.8371006,159.6155562,0.70670104,71.42390981,64.75356732,0.64454639,78.09375244,116.7395736,0.307709455,1.205691124,204.6372211,0.479100168,74.1355715,173.7390274,0.975736082,50.80438392,94.01919476,0.418661177,68.63402558,157.0412595,0.341970563,10.19008527,118.8229801,0.222599149,5.595631498,38.16747011,0.077489018,6.548756803,36.71886582,0.030002475,0.415067637,29.92624576,0.04439649,-2.259609875,28.74322136
6,0.553771384,0.952182531,132.3504189,129.6795997,0.979618728,134.7514459,137.4290194,0.999249101,138.0529465,115.0228352,0.382413864,125.8606429,148.6674494,0.998288512,123.1393741,100.5116773,0.421548992,79.04901588,153.3104615,0.872684598,72.04915974,66.8757437,0.368344456,85.47496172,112.0021604,0.324649572,83.48831539,115.1012163,0.817414284,79.54239939,142.8912102,0.97921747,51.29706032,95.81848373,0.454333693,34.0726009,137.9607644,0.462053448,56.94817513,128.6203769,0.214163095,8.638736187,36.43573585,0.105702519,61.42783557,104.6127521,0.041856885,71.84996416,147.9534615,0.040391773,-2.796175953,26.36918086
7,0.50402108,0.969614983,129.7600046,128.5235984,0.980422616,134.0824214,136.6465624,0.99962163,137.033347,115.6335708,0.389004827,125.5311476,147.390664,0.998818159,120.1652475,102.2260261,0.377133489,93.93223071,145.7711918,0.681061327,87.67917666,109.8654514,0.287991911,80.3629984,107.7050781,0.505498469,-1.435976159,203.3671777,0.526756406,81.99529641,133.7097061,0.919262409,38.47250873,181.9433716,0.456846714,34.00504009,136.279687,0.23797524,8.49969871,131.9458953,0.068667054,54.08667023,93.76242344,0.049494624,76.09869987,83.49044895,0.058867455,74.60619294,136.5217794,0.06132105,71.42188597,122.9822585
8,0.517707011,0.978769898,131.0179414,128.0101533,0.988073587,134.8517112,136.4936651,0.999459982,138.0919359,114.4421402,0.198726773,126.7003892,148.2983063,0.991673768,121.9253887,102.4152914,0.552702844,82.11312398,157.0649603,0.758953452,82.18770116,103.3975475,0.255644798,89.96250415,112.0602787,0.656225204,1.5262639,201.642088,0.287501931,70.00808316,108.1362652,0.971508265,58.57612677,100.0042915,0.598997653,58.47488003,89.89601621,0.353802264,52.64850821,102.9062915,0.057424337,72.46908162,185.5948619,0.105942458,64.45777007,106.3183106,0.014856458,69.10653675,162.2883993,0.03075552,81.01319274,114.3471418
9,0.478620459,0.935428798,131.7668466,127.9238232,0.957972884,136.1352874,135.6647209,0.999221325,138.1761202,114.1310179,0.344394922,128.0419007,146.272506,0.996487856,121.6393571,100.3485146,0.684731364,88.70240325,145.8856361,0.615705252,76.01378404,97.96389767,0.187439412,72.38013031,76.71606781,0.333884537,9.376074402,45.5045512,0.270703435,88.70102557,139.2672611,0.976892173,62.82255213,100.8222266,0.37144953,71.59713078,155.1618948,0.251630247,6.691486868,104.3354986,0.052311242,73.04789911,82.19714371,0.116983116,74.43503848,82.0367485,0.025828302,71.27571858,160.0631291,0.015483409,62.21835133,171.8050923
10,0.501463603,0.976733923,129.7460938,128.1057126,0.984408855,134.9796031,136.4434593,0.999462664,137.4359687,114.1257266,0.347190499,126.9048821,146.9065767,0.997324347,121.5563431,100.0789662,0.589373291,96.21739915,136.1027232,0.686287045,82.09361711,104.4079178,0.283770502,87.91936715,112.3184276,0.162165254,7.77871807,40.11165852,0.451771319,-0.479988546,32.49477582,0.986963451,62.60008242,102.4668627,0.510527492,62.77351675,82.49105123,0.240990847,65.18038365,127.991695,0.066068232,34.93985484,48.00227133,0.190542698,76.11287282,75.94093809,0.026034713,70.45363218,146.5094413,0.025266111,-2.134036518,29.35862033
11,0.490987431,0.984962463,129.7833762,127.8826272,0.989109516,135.5970686,136.0433369,0.999586344,135.7973675,114.6329661,0.292818844,126.739598,147.0441367,0.998901606,121.733246,99.96471696,0.554091871,92.14675503,136.4109073,0.663440585,87.86946005,109.7704773,0.292958677,82.30280387,109.3912151,0.232547313,-1.994637288,199.3483244,0.339928448,87.54999854,131.3971549,0.931536913,63.99333597,99.86803605,0.385880053,61.23938705,80.45711903,0.316343367,71.8738113,102.7267186,0.062307149,75.18067625,165.29292,0.211280972,78.15498571,75.62945,0.064897835,77.50476089,159.1531094,0.026194364,77.6679907,157.4033069
12,0.503695795,0.98830837,131.3529597,128.2551352,0.988798916,135.0042793,135.7698019,0.99987483,136.4388265,114.3478489,0.239962995,127.8629496,146.1942469,0.998247981,121.7625063,99.6444264,0.501706779,92.4778719,139.6874025,0.865538538,79.93975426,116.2313222,0.340724707,85.96431585,113.3233848,0.221778333,5.695547802,43.70364681,0.452525616,87.48535156,144.9449784,0.8658849,65.86077706,103.3238847,0.447393507,73.63417798,146.9057721,0.308421552,60.25191289,123.6640479,0.07349509,70.98088449,101.3069113,0.200016916,67.1040289,97.93371079,0.040219367,78.58718472,157.0650213,0.029930115,-0.328310634,28.78467955
