Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.391757804,0.974432588,138.6598661,123.7844052,0.979205012,142.4945015,139.8656952,0.999577224,144.9783108,110.3072453,0.207097888,-0.255588574,190.0811486,0.959008753,126.9557097,91.86989164,0.460045695,75.07896623,178.9788643,0.221576482,84.49996586,70.78413945,0.939766526,79.12080115,109.3264889,0.052191257,-3.270245384,196.3359765,0.467034578,106.4666238,118.5971027,0.09042719,-4.347574946,186.6763226,0.094708055,53.50317718,162.9264933,0.034180611,-3.396406043,51.33349548,0.023136258,-4.376003918,46.63950336,0.041284233,80.92126053,85.3601699,0.070932269,125.9369514,140.0978269,0.045278043,-6.433552755,49.20366266
1,0.433808218,0.971894622,136.8952506,126.6391986,0.970776856,143.328481,140.0913165,0.998735487,145.5235033,109.9266786,0.310451269,125.5676498,155.2656348,0.970636249,127.4944284,91.59478386,0.759436905,73.67602631,178.6935764,0.474465907,80.11043934,67.94481751,0.925366759,79.94996489,108.6640601,0.054674774,1.106213345,195.0545705,0.567644,105.870372,118.3369177,0.08836028,0.970773494,43.71902675,0.093012512,57.25367095,157.6259534,0.042224079,23.34568362,154.82684,0.017445087,7.853872844,43.42555814,0.022508204,26.59492102,50.8861116,0.06085214,6.942591292,43.60119309,0.046254575,8.743501775,46.18228069
2,0.433077598,0.964381754,138.0196995,126.5752038,0.969089329,144.0900534,139.3054824,0.998793483,145.7247289,109.6834767,0.479932785,-4.976683961,39.32483687,0.98353374,126.7342823,92.48628423,0.723667562,75.07524164,178.3607649,0.294000864,79.47385105,68.10973588,0.935510635,80.83579608,107.7272794,0.019365251,-1.086050979,194.4794105,0.482085228,105.4054015,118.4772209,0.095658123,-4.181920503,186.3086913,0.145465463,59.25598373,168.8670412,0.060966402,27.04089066,156.9866159,0.034297645,-4.410412201,50.22682219,0.030001968,47.61394448,227.3262914,0.100204974,129.1413077,140.4542905,0.045363963,7.554561315,46.24304458
3,0.389043491,0.961868107,137.9686525,126.8482512,0.923627973,143.1153319,137.5444147,0.998998761,145.637521,109.5214356,0.355147481,121.8456787,149.6791364,0.990656972,126.715824,92.54217141,0.419159114,76.09733439,176.157635,0.293282151,78.24854552,71.05416325,0.960259438,82.91149735,108.8378784,0.04425782,73.66374917,72.6433267,0.287634671,106.4705007,118.2389201,0.094035983,68.77972359,119.7236243,0.035347044,47.82615785,171.4321941,0.063136876,20.90001177,154.2550206,0.017981648,41.05359633,209.1998283,0.037524998,82.15967224,84.86478084,0.093075722,125.1437534,138.4190172,0.037744582,7.184394141,46.03550981
4,0.39777365,0.966158688,138.3618987,127.2051659,0.955426455,143.1230859,137.6293183,0.999587893,145.8549494,109.1960855,0.353182673,123.2931858,146.6208377,0.997597814,125.8878306,93.12109863,0.375856847,88.87411244,144.4259373,0.36480689,79.42689436,69.95044037,0.971601725,79.60835699,108.9989198,0.021322757,74.29032191,71.62798211,0.364187688,106.7804648,119.9357005,0.092127681,-6.774859672,192.6224544,0.110047519,57.18806082,166.8791208,0.06071645,48.67525517,161.4345228,0.015467107,43.63296795,150.17672,0.013613164,81.57888577,81.74968058,0.080261528,124.4207314,139.0311183,0.020189166,3.615436911,43.79718833
5,0.402935684,0.936709762,139.2415121,124.3930317,0.961246371,142.6357068,137.2714039,0.999571323,144.9930751,109.8795939,0.364764571,122.372864,149.6118012,0.998190165,126.0434345,93.29761138,0.263304532,69.81218545,58.27046636,0.504377544,78.8499605,69.25667866,0.982795179,81.30252833,107.2491783,0.024448961,74.88539716,75.08136802,0.23165372,104.5434296,113.4958133,0.15793702,67.41715678,116.25712,0.084175855,60.55297699,172.0612906,0.088541031,46.4289755,161.8208806,0.020716459,41.71433352,149.7276354,0.020337939,84.97725621,84.86118426,0.161606729,127.3228167,140.1590785,0.049529463,-1.901799463,177.6524462
6,0.413510314,0.932359576,135.4791008,124.0821044,0.955932498,142.8380906,137.4315797,0.999699295,145.091475,110.0808803,0.205350399,124.5482941,151.1001629,0.997855902,126.3726128,93.13052288,0.287693083,73.28427356,184.2446941,0.450736374,93.8637677,104.3192835,0.970679045,79.85941645,106.2305175,0.037064433,75.88569098,74.88449497,0.585448205,10.55945159,195.4015732,0.207282692,74.0442306,118.2288131,0.126296401,55.92433287,167.9094735,0.054470897,43.84637002,156.6236296,0.060056895,44.20539389,146.0592716,0.031323105,329.1974875,6.089299996,0.110468358,132.1612511,139.8055165,0.016958177,270.9629808,59.1634968
7,0.432655894,0.971037388,137.9699326,126.3427551,0.974401474,142.1908284,136.8985667,0.999705672,145.4507671,109.67504,0.278135121,129.7286595,144.4317894,0.994978905,126.4520058,92.69344716,0.466539502,69.62282864,187.9106683,0.346125543,78.80794759,67.98625741,0.973175406,82.00637875,108.1143688,0.039490104,76.07365793,76.7444381,0.825744629,105.5662234,119.4709982,0.208156437,71.20537804,120.304807,0.058155,-2.4264193,208.2456256,0.035311401,46.6193808,146.2388811,0.017530084,6.375088543,44.86849324,0.019760042,4.909376128,45.62051952,0.088266224,125.2348139,137.7295714,0.058637261,7.93800154,45.97030811
8,0.446213861,0.972256958,139.5203383,126.4858136,0.985133231,143.1324248,137.4243134,0.999408126,145.7316294,109.1683979,0.362738013,128.6738988,146.0652944,0.978636265,128.2600729,92.16593272,0.420704097,70.22743177,188.0592131,0.445396662,80.55522638,69.27172333,0.98032093,83.42688705,107.0511592,0.033578962,75.70179609,77.36851153,0.882466614,103.6063563,119.5269585,0.175370663,73.4375,121.2996694,0.210411161,41.77011097,164.2643961,0.043288887,30.67814402,152.4395897,0.015042692,47.21396228,148.5700613,0.010852754,86.33191665,86.657852,0.042501897,8.466885265,49.18788648,0.02752772,7.467614792,48.29044871
9,0.415376737,0.990662634,138.9955061,125.2371791,0.990186572,142.2907401,136.5921504,0.999792397,145.201384,109.2740398,0.197075188,121.8463859,147.5803439,0.99165082,126.7197375,92.60244762,0.455320567,62.71228957,183.4916559,0.148300648,80.17088625,74.68069698,0.983753502,80.8572963,105.4188246,0.0252828,76.38725519,77.10088951,0.96612823,11.95672082,198.2592072,0.062140495,115.7469057,134.5253126,0.09277463,45.04938285,146.8018005,0.041829824,0.296954704,206.0454949,0.018610299,9.327980832,44.25933038,0.011750489,88.72022765,88.02336923,0.049016893,1.5843054,46.72034712,0.037128538,1.800438051,46.92586415
10,0.436479419,0.995063424,138.2161214,124.5780787,0.991549134,141.3053995,135.0318328,0.999777257,144.6676152,109.1791023,0.33537221,127.2794261,146.8857532,0.98524344,126.6727138,92.79078642,0.604620576,61.15769595,180.8982424,0.150002837,69.03076477,81.82408708,0.984441876,83.10083587,107.2750736,0.032763064,81.38175059,81.32250458,0.932056308,14.49425248,199.9625712,0.104355752,0.061195894,63.10735848,0.074514091,26.62983526,198.376541,0.040387034,53.91133398,149.8904689,0.014553398,0.17804016,50.7130735,0.030773878,6.793255562,66.0260246,0.092971712,120.0952301,138.078598,0.051704139,8.231880864,65.73826174
11,0.495442783,0.981067896,138.0467287,124.3676362,0.979992151,142.07486,134.675869,0.999556363,144.6706753,108.1919573,0.574089885,126.9426157,142.7749493,0.991669178,128.0378043,92.49995123,0.139192522,85.66080729,98.10389601,0.151737958,118.7404782,99.1456724,0.956412256,82.92706626,107.3632447,0.207481951,0.915608114,51.78357985,0.916029811,106.026561,119.9819805,0.628084898,30.34583541,70.67736374,0.163710445,30.07115434,152.5476577,0.168504924,10.87874852,122.7503219,0.081756592,26.31979801,46.51258681,0.045420557,62.97388884,172.2804015,0.214037061,15.94574622,178.9821317,0.223782867,18.40003615,179.0864447
12,0.516088016,0.969735622,141.7670783,124.5585474,0.987284303,142.6634432,134.6740525,0.999453723,142.7881042,108.7691899,0.783731103,128.9584187,143.4402553,0.981787026,128.1248049,92.44374707,0.324554622,92.21985701,135.1152368,0.324729979,98.90230596,102.0683862,0.643059492,79.8568257,108.2826277,0.153050005,-8.912992061,32.65005657,0.688912868,101.7026751,118.326067,0.823417187,40.22469472,75.8549128,0.223206133,35.23938583,139.0781665,0.440352142,11.81508496,114.4709372,0.07092452,47.40323375,74.22451672,0.11860469,42.29884458,72.36120865,0.161474317,34.35469762,189.256252,0.079218537,33.21322895,184.8408971
13,0.593022648,0.98519206,140.0550216,123.6072341,0.986419201,143.0086659,134.3498849,0.99902761,144.347093,107.4380413,0.483576953,128.5512006,142.9424523,0.952329993,127.0676547,91.92503511,0.650758207,81.86680102,139.4525398,0.779924572,90.25628975,109.3762192,0.421922415,59.29201048,175.7380423,0.203119069,62.0134256,149.981627,0.707824767,78.47705017,120.5817191,0.834212184,51.62202642,74.54989125,0.337598622,44.53691918,198.1300718,0.292224914,71.60467141,136.9708153,0.489198595,68.95521833,67.84774647,0.625078678,60.1577313,70.84433033,0.171884567,77.68529694,117.0040379,0.161092609,78.094996,115.9815246
14,0.636012447,0.987731814,139.8665608,124.7704529,0.993528008,143.4047285,135.494938,0.999559641,145.2287424,107.7632208,0.597359598,130.3458567,146.2248361,0.909164011,129.0660478,92.68485194,0.313434124,90.17230659,151.9373488,0.972124577,86.99150476,106.3981547,0.826772332,66.64141747,175.5258076,0.734699368,-1.464817842,227.6274774,0.910805881,76.24869548,136.0190753,0.987324834,58.48801669,75.4142405,0.128485471,45.8354669,212.5626414,0.074786156,28.41178751,112.6825965,0.747239769,69.10105044,67.64062012,0.430974364,68.0767327,67.40420909,0.023533106,275.7089283,53.31531996,0.174688548,91.17227733,104.6404885
15,0.586738551,0.981115937,137.9373561,123.752036,0.970787525,142.4537565,134.1064514,0.999414802,143.943752,108.3678605,0.278631538,126.7268697,147.4851504,0.926893234,132.9104367,92.81985165,0.470476598,90.08166062,116.480754,0.826181054,94.14214897,119.4496625,0.696444929,72.2326462,175.4665555,0.513781071,66.44212435,176.2237633,0.697100103,87.33830637,130.4487433,0.987095118,61.92138977,76.48153431,0.373724103,78.37670563,145.5451316,0.129934371,81.17987891,138.190604,0.441217273,69.14486165,65.40257296,0.394312888,70.6997052,66.45960128,0.057475626,88.30184194,129.0054424,0.229969203,86.86661205,126.5996606
16,0.545358439,0.97420764,138.6445898,124.2716136,0.953843236,142.0587303,134.8102348,0.998948097,144.6175435,109.1895629,0.591962934,133.31329,142.5717731,0.947631657,129.7431068,92.79198121,0.241910249,99.470352,135.2217077,0.564889252,92.70438929,123.4882544,0.736996889,74.72462401,172.2181502,0.604735494,73.46654085,177.3299977,0.294162512,93.06892995,120.1139567,0.978838682,67.29417208,77.16683491,0.243990362,39.02887504,59.50968882,0.127209544,16.19978353,59.8734553,0.296338141,76.89821317,68.3526939,0.472337157,78.93290735,69.97210518,0.157713145,93.93780236,133.8785868,0.085378468,95.85797294,118.6643283
17,0.547011165,0.979633808,138.2052951,124.5915872,0.879061759,142.5531806,134.6852567,0.998846769,143.9412404,109.6747596,0.585344553,134.1594979,143.8114832,0.941837549,129.5061349,93.25178244,0.414485246,99.11600368,126.0936037,0.221221536,94.85461289,121.3148603,0.873570681,77.10249273,173.8993494,0.588470101,0.700737028,230.164638,0.452666819,109.4819342,109.3150408,0.976138473,67.88418164,77.49305068,0.254702061,47.73073575,87.56091019,0.066397458,38.63699428,70.01253316,0.393530458,93.38449619,119.1543164,0.431467175,93.92645789,119.2800138,0.139708728,92.70742504,146.1251317,0.102106631,99.53157308,122.5333933
18,0.477649499,0.98170346,138.3824906,122.8390659,0.950274289,139.8216707,134.1756764,0.997831702,143.2672416,109.07674,0.454067379,133.0821093,137.4817611,0.93366456,127.3027002,93.78005277,0.14440909,99.95802366,125.8006959,0.139182597,98.98966624,123.504884,0.835523129,76.27474934,172.447429,0.487544,-4.059684839,232.1058881,0.425459832,99.70630584,124.0942352,0.990038991,68.86636455,80.29000614,0.267401934,41.81695793,64.66822478,0.048637807,89.75053156,116.2179112,0.216616899,75.16461966,68.09500819,0.172536463,74.02429093,71.99822244,0.045028806,93.640981,132.6850348,0.030120552,93.50001951,131.3727713
19,0.459251137,0.987021744,139.2552888,123.3615086,0.966466069,141.497469,133.4527397,0.998705268,143.8688334,109.052137,0.212973893,116.0722071,139.2989842,0.900220394,128.7378326,93.61006262,0.181837827,99.9762321,135.460484,0.15164566,99.16790413,120.1833158,0.817508876,74.8293454,173.9068352,0.560439229,1.658402727,227.7075531,0.207769543,103.3242504,113.9604425,0.97443229,69.45974514,79.66234833,0.348801643,43.66175886,65.84984102,0.064543277,8.356150271,141.2485004,0.195686251,74.63764776,69.53454178,0.196972221,73.97082382,70.93728055,0.021672666,132.6259656,133.5902631,0.020572484,93.52514679,134.6694196
20,0.521993504,0.962442636,138.9242817,123.2769097,0.979851127,142.3657074,136.7980454,0.999409437,143.1934325,108.7034395,0.70942843,133.673655,147.2072995,0.773685932,129.2797821,93.51037034,0.073959172,99.76979459,117.5613125,0.324451119,96.7061315,123.4828291,0.847981095,73.00258832,173.810642,0.667316675,71.48513699,176.8739515,0.758001626,97.83560344,122.091831,0.973955035,68.43963356,75.68417896,0.128550589,35.47753114,59.93002521,0.08267957,38.30947705,73.09302093,0.363662541,76.3805619,72.89981761,0.194333792,78.61845057,72.99753482,0.017101288,95.01840351,133.9247328,0.017079502,92.25004999,139.8474319
21,0.652519287,0.982048035,138.443096,124.0512348,0.979274154,143.6892117,136.1249,0.999782562,143.5439221,108.3853557,0.284630239,130.889123,143.3897448,0.946927309,129.8954188,91.61251073,0.853890479,93.95003072,142.7258895,0.930734277,93.52380569,114.0191948,0.918442488,71.25525466,174.5580232,0.312390924,68.05164199,177.2581392,0.90385747,90.77603801,135.6315958,0.953056335,65.108129,69.69213288,0.396329165,81.1738013,140.714951,0.329319239,85.74282147,131.262777,0.395207852,72.71261265,178.9553585,0.307740748,69.33351133,69.38299782,0.339470506,84.82937588,130.699504,0.259726107,85.54572288,129.3260865
22,0.598004576,0.987338781,140.3401388,125.3574268,0.980371952,143.2631574,135.1516903,0.999672353,144.6634822,108.6687295,0.275662184,124.1167535,151.1909917,0.990130663,125.7633403,92.20048426,0.625043094,85.14374122,146.0345589,0.960649788,86.93294759,105.534159,0.6008389,64.25219818,180.2347651,0.731863141,65.65667427,179.8741076,0.772065103,79.0323497,138.0052766,0.381067395,69.355548,68.50724924,0.0721488,43.7048416,125.8408313,0.083371967,60.3361216,89.8869699,0.767571807,76.45415155,66.8712937,0.529049814,66.83351743,181.6451847,0.286404908,68.33800279,69.18491778,0.122827142,77.98263645,140.1495933
23,0.432625574,0.991332293,137.598339,125.0513396,0.99007529,141.0961762,135.8671046,0.999792337,143.4305141,109.5928795,0.423797816,124.947368,147.0048304,0.971657395,128.3851241,92.71146662,0.53391552,95.12913546,130.6726089,0.348787129,92.29924996,107.1784659,0.488644898,73.06728406,112.8402973,0.164234936,-8.668513113,27.27443967,0.516733468,104.3142727,119.8103689,0.534010589,51.36752887,56.79283952,0.080120921,8.889024523,57.48750341,0.074227214,2.056372329,62.86505881,0.05967164,55.5315743,62.57223636,0.036126673,57.26669788,184.5822361,0.079424471,52.00125819,60.70656918,0.062082171,50.68349317,57.01692464
24,0.471294308,0.991653919,136.4153573,125.969223,0.989493966,140.4906708,135.9020219,0.999790192,143.86353,110.4451223,0.424115598,128.4866451,146.8737686,0.989265442,127.5726875,92.64850821,0.337765276,54.25181414,180.2594657,0.144712687,96.43755852,110.9142746,0.880980313,80.76955198,107.6543603,0.239665478,-5.08602109,34.76825843,0.764407694,103.4570556,117.1616534,0.505904794,46.94485897,57.29501331,0.193324119,15.97164616,84.10378141,0.121239722,6.331172186,74.46759666,0.040259391,49.52417267,62.35447878,0.076841056,20.32851239,85.54632637,0.153587639,48.85101814,58.67049733,0.158995956,49.13768983,54.94384461
25,0.462603613,0.990293264,135.8839902,125.3165355,0.990473688,141.2287497,137.4027461,0.99990499,143.3537424,110.6940299,0.317076921,130.6197331,143.460701,0.969005764,125.5452169,93.65943937,0.199898809,63.95759573,178.2090258,0.63439095,64.34268566,79.09795373,0.961873889,79.53908323,107.2873264,0.230947644,53.64548587,73.39893736,0.876887083,104.6975217,119.2056926,0.402408928,15.01409981,46.01706973,0.079614997,33.64052686,211.3390732,0.123995841,25.87513594,99.72846442,0.021864235,55.07420534,134.9539272,0.00757587,77.68857044,73.33295539,0.029087126,131.3390123,124.0103313,0.02896142,139.9408942,139.7802673
26,0.427897832,0.995185375,136.9215726,124.7142488,0.997633815,140.6477499,137.3008471,0.999952674,143.3442084,110.0872079,0.507115781,131.6149735,144.5236179,0.992620587,127.5067543,92.97194425,0.303356737,99.38595432,135.1170656,0.196998239,79.35068957,73.34951184,0.959605575,81.84614203,105.7034298,0.039374709,5.328137497,48.06762543,0.691539466,43.92077042,183.9447273,0.210036784,12.97430031,48.14212337,0.138833672,41.29193671,214.5107922,0.130742162,54.15918091,139.9496601,0.042860389,51.10272316,133.3294076,0.013014078,56.77522847,170.8788331,0.020290524,12.56330054,45.11964415,0.035102576,11.17248307,47.81181116
27,0.449461022,0.995864034,137.5268097,125.4757969,0.998146355,140.1251365,137.0943059,0.999826729,144.5488184,110.094779,0.608198643,131.5026505,145.5135548,0.948973477,127.4544149,93.12943781,0.25208354,70.395075,64.9165228,0.339487493,82.53280202,70.89912024,0.968169212,84.04045115,108.1474207,0.070420802,131.5809584,145.4794178,0.889926791,103.2975748,118.3242504,0.438112587,-6.36627845,205.5817679,0.029693544,42.91626739,135.4023047,0.038770616,17.29849712,222.9822341,0.016315609,-8.807062156,31.25552288,0.00475201,50.06524132,175.4133261,0.016811103,146.630457,125.5092024,0.025284827,133.8266376,141.4342911
28,0.437156896,0.986312091,136.8469345,126.4410576,0.987965405,142.4876985,137.1743572,0.999704957,144.6715288,111.3854386,0.652372956,129.981566,145.095035,0.985072732,127.162836,93.90261685,0.411139905,68.48034805,186.7991914,0.169169873,101.1606098,115.4691645,0.993792653,81.68010812,108.590824,0.065321714,107.6586152,110.3415408,0.811348855,104.8144775,119.8447619,0.055689216,-9.758702348,201.2355405,0.093596846,46.55777873,143.0345003,0.033329636,49.10196788,137.1458772,0.044043958,36.89868865,57.15161956,0.042931139,38.2549584,57.50853425,0.092435271,134.6338561,134.8183301,0.007440031,37.35639898,55.87129248
29,0.434274652,0.977365851,136.6362603,126.9023218,0.983575642,141.69027,136.6023306,0.998990417,144.2813061,113.1303156,0.487154096,132.2117251,144.1496713,0.983753383,126.6633627,93.9340229,0.379267097,63.6057772,64.50402573,0.216134161,69.22069459,63.9824487,0.989265919,83.51828281,108.5130647,0.036819786,109.3395219,109.4861282,0.818159997,104.5243616,118.2545256,0.236069739,-9.115830706,205.6941275,0.112497598,50.89571568,163.5571381,0.048547477,49.22889357,139.9948551,0.033800691,37.81018356,54.22187719,0.01280719,34.51747023,54.22564446,0.056214839,4.267969024,44.94807516,0.012245208,2.459061107,46.64675747
30,0.451892786,0.977022052,137.4292267,126.0092121,0.987680197,141.8106883,138.1326321,0.999333382,144.1790901,113.426503,0.343227744,124.9115973,144.348495,0.93633604,127.8159869,94.57451867,0.411420375,105.5169076,123.1486277,0.245445698,71.3184691,66.84424011,0.991115689,84.08549981,107.1021209,0.053628415,125.9609692,137.6292574,0.956822515,99.08247015,119.5442708,0.551796019,-2.391961678,205.0518639,0.120882303,44.80248079,141.0853377,0.041749895,56.87057438,155.023835,0.015698761,43.67049733,65.33934632,0.014513552,80.78621816,79.41648867,0.028920144,120.7906864,127.5742114,0.006584585,39.86112025,184.9972447
31,0.45489395,0.9712075,137.8721179,127.432238,0.97428453,139.7465814,138.0360609,0.999709487,143.2928322,113.0982634,0.384093761,128.443474,144.3231239,0.963335872,126.5516981,94.9677771,0.297121823,62.90965639,66.22199545,0.153468877,111.4336571,101.2348822,0.990338326,83.16236175,108.7347603,0.073058605,113.4777817,108.439597,0.942590952,102.5901217,119.2236145,0.700001836,-5.24271228,206.0296699,0.08130607,46.95788589,155.7959655,0.045268089,52.67669563,151.9345935,0.11921376,55.66426976,70.16939275,0.01353693,55.23975158,71.51062393,0.01902166,116.6464161,137.3402144,0.005639076,276.4419963,53.95997313
32,0.44179032,0.975590289,137.1129106,128.351365,0.969123244,140.2267917,138.5590765,0.999648333,143.8637738,112.5646896,0.576321006,126.4103221,146.6266532,0.976446271,127.1983263,95.20266415,0.167325914,70.498754,62.90371898,0.230128169,84.0100631,70.25096803,0.977890968,85.40879077,109.2569835,0.082436949,112.1639942,109.1819674,0.890545547,106.1190358,118.5488598,0.485045046,-5.69714645,205.7873947,0.073170453,45.63625607,184.3572731,0.018689781,20.72382819,117.0769448,0.051111281,42.07205593,61.60228182,0.018077463,40.71172936,61.418582,0.012763798,271.2602655,59.17647496,0.00612092,133.1981751,129.0480771
33,0.449038851,0.973417044,136.9668042,127.1053395,0.98704505,139.7751346,137.9992904,0.99955976,143.9890566,112.3762899,0.424343616,127.2349748,145.199348,0.929754555,127.0448438,96.11697536,0.318129361,70.52991012,64.59890225,0.232010186,70.93148335,100.6579666,0.982233286,83.16206305,108.9129677,0.053261429,106.0690129,115.2663175,0.962472796,104.0619636,117.8164136,0.481870085,-6.675463044,208.7943294,0.142356902,42.11402617,214.1200696,0.031286329,63.43271472,142.7487125,0.076027483,42.50788504,64.75943157,0.020835668,45.04980652,64.514023,0.013699204,137.564714,135.0760524,0.005357713,24.31640625,58.21807823
34,0.454303002,0.962561488,136.8602845,126.2622284,0.980481982,139.9717029,137.7211347,0.999539733,143.7246898,112.8387977,0.751919091,126.9609643,143.0628097,0.955208778,128.1654158,95.02715112,0.207014024,67.6835718,63.44870426,0.355474681,67.82132686,104.6363798,0.966444492,83.04928897,107.5369533,0.072431296,110.2104059,110.6587835,0.897312462,105.9525081,117.5670061,0.27219668,-8.479890859,209.6766249,0.18483457,45.08794549,181.5417008,0.020141363,56.46039375,144.9047455,0.051442474,40.68608697,60.01858029,0.013048142,52.25613369,65.75672012,0.022761852,117.9841117,142.0733604,0.010337919,64.23573317,112.6651378
35,0.44791401,0.977664471,136.6409664,125.0765157,0.995124519,139.5260685,138.6668764,0.999778569,143.7412585,114.2193596,0.471312374,120.3310925,147.8872966,0.969757318,127.4948429,95.35473237,0.320040882,63.14120289,65.57085625,0.164040089,71.48485048,104.0060032,0.977281451,84.35372532,108.3415262,0.078215867,67.4417781,107.8309096,0.946346521,105.0914019,117.7518824,0.436389029,-7.45217465,210.7756662,0.094429433,48.86553551,167.2074945,0.094151378,58.39337181,143.3433184,0.009866804,59.37992548,66.33848802,0.016710609,332.5975831,4.872885334,0.045821816,271.0181609,59.91395643,0.017607033,270.9705641,59.52806794
36,0.451314649,0.966349363,136.3670168,123.2880043,0.99598223,140.2581856,139.4350811,0.999625087,144.5136451,111.9203413,0.439402491,131.8552005,143.7798455,0.95317781,128.0629316,95.07650349,0.331412524,67.99913194,63.50098266,0.239331722,69.4356054,111.4349373,0.990917206,86.04852455,109.3868748,0.09822765,113.1837522,111.4941894,0.969866037,106.2938051,118.5505545,0.531835318,-4.225466153,205.7116349,0.040709019,32.46382695,85.16889289,0.067771077,11.58464334,178.4241866,0.023893327,49.96624398,66.00118992,0.004798174,46.25019507,77.30401695,0.01013875,115.218355,136.3077403,0.008911252,23.54385814,197.5672255
37,0.506298191,0.979706347,137.6927888,123.9724514,0.995421171,140.5118968,138.0544095,0.999527037,144.0064665,111.637638,0.617289901,126.432694,145.742285,0.955206513,127.4723124,94.63563612,0.470913321,70.15562822,61.27707187,0.382002085,73.41844423,113.0308306,0.986237884,85.14007759,108.6596832,0.434016168,69.89688183,108.9370952,0.92844218,106.8633812,117.5000488,0.67882967,-0.701858578,201.2298592,0.071273148,58.43856678,155.433345,0.061903864,27.64645999,167.0591448,0.00510785,13.69874876,49.57941977,0.005042255,9.104831424,173.2535502,0.017880023,135.3380052,131.4576872,0.018269837,121.9699497,124.6921938
38,0.49878481,0.976416588,136.3252477,125.1001068,0.996547699,140.0800513,137.9274686,0.999382615,144.3113467,112.4879911,0.706210434,126.6886485,145.2219516,0.881316543,125.1314153,95.82453086,0.552459836,70.3334455,60.7815487,0.212879807,70.99627663,117.2091526,0.987869799,85.87691289,106.8046899,0.19216466,72.79521204,108.6140615,0.978574395,104.6872805,117.914972,0.70460397,-0.72375394,195.4490968,0.06488204,50.94887494,143.3674094,0.057331383,63.82198034,152.5917067,0.045631766,60.10336201,153.7331388,0.015387565,58.68234775,152.1609829,0.090763867,134.1546578,134.0254857,0.016918808,133.9063597,137.4920631
39,0.448918788,0.963455856,135.9006808,125.734653,0.993711948,140.0417203,137.5380872,0.999051213,142.1800386,113.8142873,0.692163885,125.7792871,144.6226641,0.881637096,127.9525349,95.51940689,0.57296598,72.20870153,61.04323941,0.28515625,69.1811688,115.7297884,0.963981986,84.71351728,112.0271048,0.043233991,109.2380374,111.4204534,0.909322023,101.1950699,119.2812085,0.104477882,1.313061565,198.9209289,0.076668262,54.0786846,158.6615607,0.050146759,57.38190421,161.7349285,0.010002673,58.75175562,150.6801435,0.008259863,58.47865949,150.4771867,0.03562656,-0.446481217,197.4469901,0.041757166,0.790550432,196.7476445
40,0.430055676,0.952740073,136.2989744,125.2824229,0.992910504,140.0089244,137.8127073,0.999402285,144.3633325,111.5089415,0.368875206,131.1937471,143.5793149,0.794715047,126.7124468,95.27075531,0.562245309,72.09599451,59.26640771,0.333094478,121.6982678,98.41654231,0.983643055,84.38178473,109.7491539,0.116376281,113.7530358,110.6991139,0.916963816,100.3125183,118.2591707,0.030585796,74.12297129,120.6274384,0.041538447,55.32473446,160.6436047,0.077394515,57.05377433,163.4140552,0.011454284,87.89961645,164.5971588,0.006990701,54.91715068,176.8559564,0.09583503,119.2634939,128.5645994,0.026181668,60.18834489,155.650615
