Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.467433439,0.983958066,135.7926249,130.0596301,0.993109345,140.1555185,142.3139655,0.999335647,143.0736726,117.3926025,0.355007261,133.0500692,152.3425674,0.999359131,125.0524247,100.2131979,0.809513628,63.73664389,181.5266561,0.753192425,94.29038897,113.8851216,0.486148179,74.19812758,117.7296446,0.380708903,3.745084041,58.87856244,0.923157454,4.744040195,196.6493787,0.0657956,83.9681904,148.147567,0.045923144,32.90793125,166.7215297,0.074568063,9.487431177,138.2975626,0.011538088,40.23225058,191.2279572,0.0077326,0.869548288,55.43686237,0.050015122,129.0271926,144.3937022,0.007305801,132.0644482,149.150415
1,0.450358976,0.981534719,136.7805746,129.3181009,0.995853543,140.0528514,141.9752653,0.999617338,142.287558,117.6310496,0.418109536,132.2125541,155.7098671,0.999563515,124.4331914,100.234058,0.797341108,65.06692074,185.2179892,0.484655023,87.05304892,109.319503,0.682712555,72.67665296,120.9387679,0.032686383,51.0520937,187.1672129,0.965338886,5.329134176,196.5395063,0.132740825,87.35833138,137.2797431,0.048764765,34.30483929,229.3480074,0.056763142,36.91990237,165.1631262,0.00605154,38.59165606,186.7091673,0.024936289,50.04393312,184.5795783,0.024426132,143.8354645,139.9428815,0.005007297,55.96009139,121.2482566
2,0.454643539,0.968461812,135.9783547,129.3606381,0.98518455,141.5003341,141.6719945,0.999192834,143.2111838,117.698458,0.56657815,121.1988676,150.2162336,0.999111176,124.973617,100.4291876,0.768165708,63.58330163,181.3701379,0.277589172,84.53938192,110.4647999,0.729989767,73.95379799,118.5367168,0.215945601,3.681057705,56.39193684,0.928354383,9.016818881,196.2412951,0.128494263,-4.956143078,55.98555395,0.036002994,35.02425862,227.3895424,0.064821929,44.213474,167.3838854,0.007240593,0.709106217,53.39017147,0.012848467,-1.807186398,53.76534337,0.030781299,133.8091668,148.5967858,0.010177463,-1.484895913,55.79227138
3,0.432261739,0.959482133,135.7943196,133.6262167,0.983324766,141.5723875,142.1325882,0.99884516,144.0595496,116.7743324,0.556262016,133.3936949,150.5960567,0.999831319,125.1846569,100.9566777,0.80721271,75.39221603,181.8519087,0.194681942,13.5704332,59.9662836,0.592333436,76.51425099,116.4148818,0.195025861,3.509750461,57.87801869,0.774857759,16.35980994,195.9574945,0.061362654,-2.111457891,55.71647501,0.050260305,33.58460616,225.7843223,0.100149155,47.53325006,160.3214488,0.00657317,55.28884792,229.627492,0.007048041,78.96272238,94.96793559,0.046363652,132.6730137,140.8636299,0.014835477,-3.100515644,56.50254077
4,0.432618727,0.978048325,138.805814,135.972783,0.960611224,141.6516342,144.3931414,0.999305606,143.795768,118.2497342,0.497372955,137.3526256,149.727038,0.999650359,125.4892322,100.5866446,0.464615911,63.30262831,183.7206909,0.527280986,88.33825882,104.2771609,0.43386817,76.20145229,115.6699268,0.268493533,4.961526516,55.83718594,0.736512899,12.45894643,196.6312373,0.289296269,7.932477134,55.82664614,0.070710272,36.25874761,227.8061603,0.056406975,11.03071082,142.5589473,0.006889939,37.69754055,192.6328661,0.010981709,42.15304295,188.6628043,0.027952254,5.830485788,54.56231468,0.026520967,6.958249362,56.93155772
5,0.462880536,0.958457112,143.6403348,135.2198668,0.959421813,144.0697907,140.9985443,0.998978376,145.2589658,116.6387597,0.498759359,117.2973724,151.2464156,0.998978972,125.5831578,100.5888026,0.732052922,73.70074516,181.911234,0.374407411,82.86591833,76.27666345,0.891324341,75.10502619,114.7392785,0.289728671,7.234324099,56.01867904,0.715672791,12.0225001,196.4339985,0.247151732,82.09112998,143.6104893,0.07179904,40.44622567,186.9255959,0.066042989,50.43703305,161.0968223,0.011435479,6.590277473,54.16906235,0.013043493,80.72618577,93.7967921,0.023361027,270.7123664,58.0997508,0.018353581,9.699190404,56.9167386
6,0.455025056,0.930338025,141.6558891,135.0477309,0.913689137,142.9249449,141.9419329,0.998507619,142.5792954,115.3405411,0.623091519,119.5048426,147.4538663,0.999295771,125.3929902,99.78853338,0.6397717,73.53608892,182.6757081,0.389026433,90.09633954,108.1231956,0.682956636,68.10145155,109.9868816,0.088253468,7.580010918,56.53033805,0.707364142,9.964386253,195.8261889,0.218535185,-2.822377447,52.20431248,0.059905708,8.330326533,130.2201472,0.143651485,9.420054004,131.8521038,0.01958248,8.696729491,78.60809974,0.022493809,29.78965502,60.42102523,0.147908658,7.463914583,57.88670534,0.151054174,3.221798253,57.05593228
7,0.402459627,0.939725161,137.7383251,128.8961308,0.978973389,141.8878623,141.0399232,0.999234378,144.5738603,112.7965775,0.41647774,133.5114066,152.9011343,0.999149919,125.5200287,99.96088873,0.53641367,58.0201445,184.7135904,0.264817208,92.76558599,113.2983063,0.864257395,70.31659035,112.6150539,0.027822524,10.27075226,53.47899476,0.23645097,100.5178585,126.5501741,0.157289833,14.44029466,74.26720018,0.054900765,40.4994276,163.0373044,0.041518271,48.84166094,168.6830914,0.014121622,1.210295621,54.42715039,0.019502938,10.35568942,51.81414467,0.06270352,6.533341807,57.13686139,0.228454351,-0.285712324,52.5781311
8,0.507191484,0.956320286,145.4272857,138.8395121,0.951965034,142.0522808,142.2331948,0.998838186,141.375039,114.4664506,0.296218455,111.5370801,152.6437168,0.998626649,125.1200038,99.98913711,0.474406391,75.21645307,182.2459231,0.801953912,92.68151749,107.5855986,0.173793375,0.785824208,57.82367378,0.127562732,-6.198463011,58.41682882,0.843878388,9.396060558,197.0521223,0.84049499,44.41113647,92.35165028,0.376568854,48.66163999,168.012738,0.612085581,11.9549332,138.1700121,0.081992745,-8.225458838,47.86432731,0.034647286,-7.347614798,48.93103591,0.026109993,13.51258467,56.04357468,0.026792377,11.46126317,53.72301957
9,0.536677627,0.970080495,136.1432365,127.3281689,0.990112662,141.4443128,141.6959026,0.999013662,141.1755447,113.5961518,0.461784035,127.2690997,155.1422782,0.978127122,126.0231961,100.0197385,0.830651283,73.7006964,180.7568176,0.446878165,91.3477294,107.1356971,0.382092357,22.47333198,67.98674508,0.141999453,7.977720111,60.15670719,0.948346496,6.249699777,194.2074604,0.916018367,71.15309355,101.2951096,0.275488466,41.02411353,158.4151159,0.495653093,13.54854589,141.0364608,0.078860223,37.6535739,57.89249034,0.034815103,-5.617058572,51.25466336,0.147583246,117.2147365,131.4853869,0.026015431,112.8274228,133.9642585
10,0.543892894,0.970979691,138.3850143,129.1381013,0.966366351,143.7830763,140.6635261,0.99950552,142.1155319,113.2014425,0.52350229,135.3704598,150.6583933,0.956881762,130.2233536,98.67583733,0.701973081,73.21503638,181.4263421,0.23044917,112.601582,105.722132,0.456930906,17.12375065,63.75604713,0.225298345,118.3491949,127.5463898,0.864902973,6.059290663,195.0059496,0.945966125,61.77861779,91.59169934,0.326123059,40.2266454,159.3984814,0.334928453,18.45002707,141.827769,0.092943966,29.99029838,51.26161268,0.411400348,63.56911649,86.23101738,0.225976557,123.6479669,130.6347047,0.012050599,120.1640893,134.1471842
11,0.556875813,0.969070733,138.2170724,129.4961376,0.982052565,143.1783513,141.1456992,0.999505401,141.5548436,112.8770677,0.348281026,132.4390045,154.2975455,0.923030496,130.8491583,97.7438846,0.685924351,73.00620318,182.1458041,0.779352248,97.12638865,111.1410907,0.371309251,52.83579851,74.58121196,0.319847465,81.82864071,101.5467116,0.912184715,10.19175859,195.3284712,0.966698349,69.23676337,95.30784274,0.272585094,42.71606903,158.5187583,0.238038927,20.76830689,147.8754584,0.428298086,78.09137504,74.80604079,0.158271641,74.16139981,84.70990851,0.018362582,84.30167247,119.4338498,0.094075888,75.95887221,112.7868119
12,0.549089211,0.968554974,138.3096081,130.4544734,0.950888693,145.0219818,141.8101641,0.999016166,142.3307779,113.5398379,0.504926264,130.1515196,154.0942596,0.921339393,132.6154319,98.96806238,0.614840746,73.65292896,182.8013323,0.683769464,84.09328427,118.2617188,0.27001524,29.10932562,64.23224631,0.09761256,12.87062589,55.23334479,0.982899368,11.78277215,195.4865988,0.96474874,78.04564972,99.60036527,0.258899331,70.73011153,136.5883344,0.311565787,15.46080248,143.8498873,0.324445665,79.5177354,75.40902241,0.422447145,72.74162302,87.20130111,0.039847791,271.5522345,59.31052981,0.018699259,89.24876009,113.9998464
13,0.580711766,0.971240938,138.0409376,130.5746235,0.894329906,146.0290969,142.3566489,0.998970151,141.9190611,113.6596344,0.886551201,133.1797899,147.6912648,0.830245733,132.5399159,98.69391776,0.488479137,61.85311573,180.5977392,0.651313126,96.45779689,119.3532498,0.489036351,77.91000385,72.01393766,0.168635577,92.71436217,107.8789453,0.976424098,12.4293699,195.527807,0.928073645,77.57810671,98.23504311,0.435393155,66.34494358,111.5570868,0.357021332,40.44119655,149.3745245,0.353897095,81.56243295,76.72814987,0.367410064,73.76775125,80.3139874,0.029130578,270.3160112,59.14556877,0.045947939,88.90237911,128.509968
14,0.545243759,0.939089775,142.9707616,128.0845354,0.947973967,144.8188787,141.2210201,0.999523103,143.4178834,113.0546046,0.382613182,134.918949,152.9672138,0.920413256,133.9605279,98.90739603,0.707646906,71.4320966,179.1148759,0.531113565,91.06208792,127.5949619,0.611119747,78.60699029,71.43346208,0.097789794,19.64769685,68.33324799,0.975572705,10.57106961,195.055619,0.806818783,79.29512548,101.4804614,0.426869452,64.00009022,129.8805692,0.270583153,31.55837917,149.7150656,0.348573446,79.83918417,91.1182555,0.238136828,75.46929863,93.61094043,0.022510588,87.46708216,130.1478133,0.042795658,95.2535344,133.2102694
15,0.594661562,0.960254312,138.1553576,130.1070927,0.98219502,144.8640249,141.0865325,0.999640465,142.805124,113.0767449,0.54681319,137.5217989,154.7360721,0.901605725,132.6508856,97.48365081,0.521712482,75.95598885,182.0799684,0.821805954,97.3997408,112.9633734,0.640142083,78.15928332,71.41772248,0.071179688,86.30504594,113.7060852,0.98951453,8.367473398,195.902729,0.950079322,83.5876663,101.2695313,0.429654896,49.69623237,135.8209587,0.5494017,40.7513283,147.9049991,0.44626835,75.81157708,85.19522716,0.245898753,77.13526427,82.31954929,0.038212508,90.9924545,102.5194093,0.014867574,129.6381111,132.3489193
16,0.616274125,0.959832966,138.0454729,131.0307672,0.859348178,147.0923065,139.608168,0.999364614,142.9165082,113.0933135,0.682035565,136.6634724,151.6852835,0.871586919,133.2603898,98.10752916,0.75143373,72.27718891,182.183306,0.872660756,106.2287863,112.6850714,0.674640656,78.52826789,71.10227206,0.067811668,4.209342509,53.71032791,0.951989889,7.579296936,196.2959387,0.966715217,88.71354654,101.374149,0.646770597,58.32324463,73.19741924,0.392093033,12.58197075,136.0270121,0.358245343,81.23756437,76.69853601,0.373857349,77.58035,81.47657225,0.030762225,94.16095481,107.0317742,0.017511427,106.6453188,127.9389411
17,0.616881844,0.950109839,138.5360219,130.9261129,0.924271703,146.7372328,140.0269682,0.998916984,145.120906,116.1778124,0.923144817,135.7116836,152.820254,0.953909516,132.7195376,98.4851699,0.483546346,72.71809896,179.8643785,0.85778296,97.60823873,113.184435,0.453506708,77.64141869,71.08474027,0.136509418,1.467834549,53.60599056,0.993636608,10.03501635,196.4960304,0.941785038,86.16027451,101.3252721,0.580627978,59.30203822,73.31914209,0.368467391,39.76387853,146.3166525,0.521319509,75.07433335,83.38637982,0.311348796,84.59009368,98.65203896,0.048988581,98.15531489,104.7123591,0.039119154,113.2259724,116.7957777
18,0.586396505,0.975192189,141.1247415,130.1784513,0.850831509,145.5149447,138.9615398,0.999311268,143.1190382,113.9924338,0.74917829,121.0685374,151.5419324,0.966644526,133.002631,99.34360614,0.323593855,69.64407893,181.8437402,0.807241142,94.55429249,111.5846403,0.443446577,77.03089034,72.24970252,0.109973103,22.99624249,55.25343687,0.99394691,8.145107312,195.542681,0.95836401,88.74565972,101.4682575,0.675303757,59.96102284,73.41748108,0.260137498,45.5901711,150.8032074,0.503664315,77.15630121,89.71546797,0.28039062,78.45586693,85.59794641,0.028411269,94.48465297,106.902334,0.043109745,108.9865451,116.6231176
19,0.601126164,0.947652102,139.8282908,131.9349836,0.984338164,146.1362262,143.5745967,0.999479413,143.4177493,115.0016825,0.660631716,130.1739891,151.2185208,0.997605383,129.1800533,100.5931672,0.567529202,74.67037053,180.2108448,0.890498161,104.6961074,111.5835918,0.288143128,41.5546241,75.82190962,0.17578271,21.42940374,53.55501058,0.991307318,8.930011802,196.6568888,0.951506197,85.59016196,102.8658025,0.66594398,61.08994007,73.55302942,0.3010028,38.15581171,154.9071839,0.42938,80.85255979,77.43226241,0.296329439,78.56217326,81.56365822,0.049569577,92.17382691,106.7695288,0.0224455,90.84137382,141.5445171
