Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.423438363,0.984647512,212.4767868,126.8124073,0.999017119,220.6279016,143.3971208,0.99867183,222.1365383,108.4703569,0.272064507,208.353084,162.8085133,0.762489021,194.786156,162.2388884,0.504557431,118.8450228,70.89302434,0.154743463,131.0113701,114.871913,0.605888605,127.1073024,118.5977245,0.618909121,13.32229214,14.30214795,0.082578599,66.26461186,44.93654173,0.077704668,69.80373044,46.24669602,0.070378512,98.37463303,237.5348198,0.222905129,57.59759529,189.0086854,0.272488385,7.348452984,152.0925625,0.393007278,11.30645638,15.17472056,0.061509401,76.68638689,33.16371503,0.116891593,72.1065587,46.36535264
1,0.431932165,0.989654183,213.2027836,127.8028075,0.999664009,220.5196873,142.6825721,0.999206662,222.2877897,108.8297221,0.467771083,208.3627399,160.9316601,0.858653784,190.7015035,95.41788585,0.577333927,133.2429556,70.05791101,0.446408808,137.7508827,123.9647706,0.613707364,125.7116593,112.2453257,0.619658351,10.98384481,14.76046178,0.076811373,73.78227167,41.40679253,0.09434846,20.90981549,246.6494519,0.152271628,96.89748776,228.7531455,0.124101371,37.63029672,25.49702886,0.067167968,33.93829308,175.1514464,0.178417265,12.17793097,11.58101933,0.026632816,7.50527295,190.0016337,0.051037759,7.744860703,189.5972807
2,0.427457799,0.985925972,211.5236326,128.4263445,0.992687404,220.5142498,145.5637119,0.999315619,221.4459221,108.5262928,0.441007286,197.5649213,160.8204344,0.880151629,185.5938256,99.13240773,0.480414152,130.6020185,70.20994265,0.122847021,137.0551825,118.6854445,0.900138259,127.5058886,123.9360224,0.51303035,12.77441437,12.46024257,0.209621191,70.32048562,43.25069127,0.096122295,37.40297772,236.5984658,0.055998325,104.5226182,213.294856,0.107977092,92.92717599,163.5953715,0.053342968,11.74876467,12.98376419,0.265337288,13.30073248,12.82825179,0.046188861,16.26453719,186.1282772,0.116676867,12.04240244,184.8738881
3,0.47502828,0.973621488,210.7695703,127.0371386,0.999485254,220.5503131,144.4853235,0.998421609,222.207397,108.9616251,0.590512395,194.6073512,161.4538468,0.834202647,183.4625419,103.0000219,0.865959764,122.9907806,73.45045987,0.548679709,141.4424109,117.8720935,0.509810269,146.6765542,135.2213298,0.571087241,13.96792675,12.12573638,0.201799423,108.0306721,188.5588571,0.335192621,132.0781396,130.2817889,0.164613843,109.2206763,219.6196649,0.096294582,54.5092682,121.1318493,0.065676659,16.62602838,12.54883422,0.175003767,14.0451267,13.05420227,0.093501598,75.57423948,42.73204027,0.051617891,74.53285322,48.07145365
4,0.478786618,0.987159669,213.1182701,127.034176,0.999518573,220.7776656,144.6467185,0.998792708,223.1980044,109.2091063,0.563766897,195.2200862,160.3789209,0.774923801,184.6148613,103.8478391,0.800728202,132.5216648,73.39584065,0.748779535,145.3225948,119.1460625,0.351529837,19.33526543,10.95809194,0.520114183,16.48272149,12.19533932,0.265525997,110.9161278,209.7113959,0.434545368,120.8210684,184.4983809,0.190663338,130.7677903,196.4952745,0.048826993,59.61825062,122.404648,0.111044943,139.6762592,198.5774618,0.269342601,13.41306765,10.77149047,0.040523231,75.59625785,49.51575423,0.033586621,-6.617866735,208.3356254
5,0.532679772,0.988848448,213.1074438,129.4709616,0.994640708,223.5248908,145.1136519,0.998553455,222.796163,109.3013372,0.834111214,195.6335343,161.2885383,0.5879035,189.2281621,96.1894068,0.71463567,157.6966902,174.1416735,0.904783487,162.6494957,114.7716112,0.740972161,133.2614749,195.2122347,0.686730504,14.79504379,12.11178288,0.360309482,115.0771375,212.7218418,0.344854534,139.9086835,163.9269029,0.581369579,128.7205324,208.1035181,0.068846077,119.8580997,199.8627204,0.039648116,13.24666494,12.10429712,0.086277425,15.44975519,16.38864505,0.061250687,213.2319952,126.8978474,0.061821073,-3.70807281,228.9362418
6,0.463614004,0.977791309,215.241495,131.7330144,0.995841026,221.4360224,146.5615368,0.998930573,222.4877107,109.8503945,0.547766507,193.7256164,163.0461923,0.672834873,197.6551405,160.6686588,0.831761122,134.9985126,75.02667564,0.370543063,155.7386641,132.7254872,0.347027063,18.40833266,11.02938344,0.520836711,10.71701678,9.465825799,0.287354529,150.7267039,133.5177708,0.907525063,143.0525076,167.0262514,0.111075908,128.0070566,176.9176225,0.02938652,16.77040662,173.4781474,0.042898357,18.62749383,16.72747323,0.118573725,12.24073241,9.080702345,0.059986204,73.69750215,44.8057299,0.061305523,74.76263801,46.98409215
7,0.483993476,0.994581699,212.70609,129.9042579,0.997724831,220.9182857,146.8354011,0.999069393,220.6032255,109.4290218,0.616493165,210.0439392,155.2787165,0.650690019,198.8757949,85.76246245,0.664146721,163.8503628,157.0818094,0.654298782,170.205322,102.737362,0.153946519,150.2732668,134.4040896,0.527589083,10.38373969,8.168524696,0.463732541,133.841219,206.9736072,0.98078531,153.4125312,166.6211425,0.196436197,109.3334626,38.4107634,0.038848937,100.0888964,56.97493002,0.036235213,22.54775372,14.24438934,0.116260707,12.24045809,7.351293671,0.070487827,-3.227048724,230.1825599,0.066562146,1.008677965,188.5712927
8,0.515015036,0.991129041,211.6051957,128.7689826,0.999406517,220.4560949,146.0904338,0.999722362,220.1902163,110.240288,0.432415307,206.4013489,157.2811208,0.697996855,203.7789921,87.47565299,0.584403396,133.6198526,79.35718779,0.554492116,168.342209,101.6525486,0.187057614,157.4258373,139.2866461,0.548945487,11.40628277,10.57860719,0.931635797,156.7014377,153.7618748,0.937357187,155.4996196,160.953581,0.169493705,108.9614666,34.07160117,0.096574992,71.9503087,255.7290935,0.064089924,134.7789384,68.31802044,0.075424939,14.25861716,10.54061452,0.35547775,73.31880072,46.53414799,0.129632622,75.26729893,47.69417866
9,0.524983488,0.992279947,211.9953086,130.0348807,0.999368906,220.324326,147.3744733,0.999416232,222.6794632,110.4029509,0.549703121,205.9103123,156.6582909,0.820477188,203.9080544,87.40208772,0.900981903,161.7499244,161.784098,0.285268724,158.6160122,98.2868948,0.107070804,23.11144273,11.24092321,0.459626406,13.1477575,10.48612635,0.782967329,157.4392727,153.2245094,0.98656714,157.5409157,154.9921729,0.129515857,115.6524437,40.97356332,0.083802283,88.91734453,239.009295,0.037953317,16.92759082,11.08304256,0.279840827,18.79865134,10.42623722,0.338836819,80.15617075,44.87938051,0.171042502,80.33726762,51.34805858
10,0.530573645,0.993493497,212.0745065,129.7770853,0.999453962,221.2034761,146.7363184,0.998840868,223.2537453,111.0322302,0.614806652,207.414438,157.2771462,0.675803065,213.2889308,93.01589566,0.971539259,160.3658025,165.4757481,0.411551714,162.9852699,97.58102665,0.188312531,112.2055317,8.240831163,0.55891335,14.93931231,9.496942299,0.802823901,157.9153987,152.01968,0.988624036,161.6090239,154.2137514,0.123198867,-3.666468321,236.6373576,0.082994789,81.75633729,240.4436349,0.056370527,-3.418964286,230.7195839,0.103647411,17.22355418,9.249022218,0.30229634,77.79471827,46.9470352,0.147081196,78.8309535,52.06875195
11,0.53076077,0.987308621,213.0730874,128.681092,0.999650836,220.6802532,147.5715536,0.997088194,223.2041979,111.035839,0.583902299,209.2693216,159.4163424,0.789332509,184.1382232,98.65519663,0.960659504,162.0756281,167.8169378,0.522008717,160.6312056,96.28255208,0.300241411,113.944581,12.7367463,0.484332263,15.6128646,10.63327213,0.408963054,159.1794924,156.0038599,0.912222862,160.035088,157.5903046,0.109766304,116.8418505,39.81848251,0.117509484,81.50411351,239.0140498,0.268971801,112.4377365,28.90737774,0.168716431,18.1601337,11.02026398,0.172454029,69.13209684,11.610621,0.239804775,80.64580529,50.90224134
12,0.541978939,0.984973252,213.5276949,130.6849105,0.999159098,220.7180234,146.7753199,0.998512864,222.7960167,110.3926854,0.38186112,209.986906,158.7636182,0.783535957,184.5932696,101.462064,0.861031711,162.1322102,146.3678824,0.768620968,160.1772686,97.1392327,0.262209237,142.9195927,75.9272467,0.596941292,15.08276093,10.52582892,0.944821358,155.5756354,156.3310145,0.99604708,155.4420012,161.2771999,0.077435255,132.4033435,177.0586328,0.091325432,90.75051449,238.6968438,0.073511213,115.0496937,27.93625888,0.053459078,20.67871703,13.54989613,0.221084297,77.40438588,39.80910702,0.11911276,84.93153699,52.17538746
13,0.521083248,0.989199817,214.650632,129.5463191,0.999393225,220.5864739,147.148535,0.998887062,222.6660766,110.4855015,0.663958609,207.2376326,157.8971598,0.738193929,212.0409303,95.79292974,0.489327341,146.7533869,170.0356,0.389007807,155.0629584,112.9319917,0.174076557,150.7231195,115.9269541,0.658097327,14.76296414,10.61382927,0.818218529,146.0650993,158.750829,0.92912823,147.1365993,156.5540633,0.163894147,124.3455081,159.4460416,0.123212397,75.30922041,257.3938339,0.078612745,126.3079842,36.0864654,0.147669137,63.59543247,39.53961966,0.162221402,80.74760675,26.7910839,0.335316956,86.05622976,32.74263494
14,0.474146659,0.996659517,213.3198736,127.4191806,0.999741495,220.9285756,146.0074321,0.999318719,223.0082514,110.8479391,0.484216779,196.1698146,161.4898247,0.822571039,204.042859,87.80434369,0.448519856,164.186137,176.5119284,0.215059191,144.2431214,111.9004321,0.913526654,139.085445,63.63503141,0.54979825,16.62912509,12.34871816,0.811697006,110.9291852,228.5429346,0.144974172,110.4117534,235.4130579,0.375920951,126.4270248,208.5096023,0.062953651,62.42030835,256.4707933,0.083394617,100.6010187,234.0751307,0.068557441,4.034376585,164.0143058,0.05378595,114.1705437,198.2921738,0.029797912,80.96903407,27.42808672
15,0.519810019,0.995235026,212.5582524,127.2463376,0.999479055,220.9713932,146.3045705,0.999599636,222.6388157,110.67484,0.481061608,210.6372162,157.9361248,0.698839903,189.1670934,99.68593945,0.28063485,134.884178,107.2076896,0.535686791,130.9096296,117.4786156,0.39168191,67.61085386,45.24207412,0.501881003,18.16032572,11.84384388,0.555468023,113.2299713,12.9690487,0.836076379,90.74659483,24.03274593,0.352033019,119.6467185,211.4999073,0.210045964,115.5470945,101.3873771,0.050418228,80.99348471,56.74289584,0.070775539,22.54689268,12.83229337,0.550139308,89.09849626,47.82781289,0.327714086,89.68157479,48.89205875
