Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.439706371,0.992847681,222.2370718,129.2472666,0.960632503,236.6574497,141.274603,0.999607146,232.9894273,111.3410483,0.657680333,237.6377185,168.1345584,0.956976295,202.2506657,92.83162892,0.292518914,120.558762,61.36359092,0.332120419,136.3197492,61.49674967,0.918179393,133.2522457,112.866278,0.373659551,36.20735616,11.1951918,0.114818484,264.9642781,120.6257071,0.527571499,22.1797445,25.74131579,0.064203739,156.152039,201.4062988,0.104814887,141.1310569,200.8423796,0.043634802,71.54341985,41.33369055,0.03806743,75.78421261,215.955934,0.076134443,78.54788448,216.5351904,0.021540791,12.28353474,248.5287434
1,0.459372401,0.995240808,219.2910961,124.7412414,0.890810728,234.7536283,138.6464917,0.99895215,229.6690904,109.7167969,0.885031879,213.1370943,165.9687841,0.966523051,201.6454529,93.27854342,0.37190792,121.4848261,59.56549065,0.660700619,142.5250785,61.02383008,0.881704628,137.1694927,111.7857195,0.172793686,72.23513333,28.21632871,0.135422766,80.39025315,214.068986,0.236792654,49.73961991,259.6695293,0.066965431,120.2342775,203.898496,0.119297743,134.108268,229.4926508,0.125131637,64.97004477,214.2607629,0.117823541,62.30100558,214.5582426,0.064858437,49.04945174,190.1636138,0.119373143,47.42127455,194.2081188
2,0.452558879,0.983430624,215.4154475,118.9242207,0.883310556,230.4817464,132.0035381,0.999513447,229.1811017,107.5117041,0.270393848,238.1673543,160.2092843,0.940852404,202.2574809,88.6592565,0.597797453,111.3429136,61.63595554,0.845800161,130.3187788,55.67969238,0.789880693,138.3530353,113.7783337,0.19102329,138.8863042,112.4863818,0.171397448,91.97062022,209.3601016,0.626409173,88.36773857,206.8742929,0.093768805,146.9644634,128.070905,0.060991079,196.2000015,186.9071619,0.049096495,146.4252692,120.1229176,0.114581555,145.77057,120.9385363,0.01135537,72.32816889,191.5454559,0.063898534,87.74778597,206.9441518
3,0.408409787,0.981053948,220.8623254,120.6390084,0.966350138,232.992524,131.8962991,0.999847114,228.6440533,105.9114827,0.685747623,237.9772111,154.5313719,0.925886273,205.7542086,90.50433784,0.283551693,277.2344872,180.7654982,0.717017889,134.0173294,63.95051839,0.872920096,131.7043637,112.2155777,0.077689916,9.868126725,138.6602806,0.075969696,149.1079998,197.3716936,0.086155057,159.3992982,198.9436056,0.081635028,160.6327784,169.7530187,0.028000325,15.23737723,153.5618441,0.013278514,40.90765754,-7.038421821,0.01460585,4.221133876,194.3051898,0.054857194,5.650952895,199.8416042,0.078400016,5.501816044,199.762382
4,0.549140034,0.983470559,220.9611033,118.8089839,0.892482281,236.8572,128.1146248,0.999113441,230.5461435,104.5703125,0.968195558,245.0451828,153.9955427,0.988484025,204.3619426,89.11995991,0.927415967,240.7014913,180.0650798,0.230426013,152.8667779,103.1522974,0.309599996,254.1421855,194.9025144,0.565416932,146.7649081,117.6590541,0.71407032,115.1067513,95.14678917,0.98070848,203.2589634,194.7506047,0.162405878,163.7782971,165.2151364,0.28283155,4.001333782,241.1224007,0.083530903,92.62631306,60.51875463,0.102810502,98.80357073,65.62519507,0.07771787,-0.178985155,189.2863657,0.06670031,254.4258885,198.0884734
5,0.492344022,0.982056618,221.5041989,121.6573765,0.919183016,239.0246079,131.070354,0.999469519,230.4969862,106.69116,0.573690176,241.2962313,159.4856527,0.882700086,205.0767839,87.11165487,0.656274021,166.3816835,143.0012167,0.416088581,157.6143834,96.41773467,0.364629328,151.91772,109.9628394,0.261974365,151.4256106,115.1753423,0.31014514,123.8779285,91.93833636,0.997857392,213.418432,193.5263538,0.27884686,98.18447156,131.9636831,0.280162156,1.948486023,241.9370562,0.220762223,122.5890367,49.71188968,0.123330235,106.4744265,65.04140332,0.033018559,-2.505644609,160.6170266,0.069660097,-0.70902016,160.7673392
6,0.520063532,0.986812353,223.4759773,124.5610224,0.982094705,237.4036361,132.2598583,0.999681592,230.3268132,106.4835703,0.728094101,246.7164823,156.1696561,0.799082816,206.3180546,91.2087064,0.435659289,215.2337654,186.3379272,0.615875542,165.8925732,110.1775734,0.419424057,162.9076082,125.4782596,0.230042875,166.092226,127.8214975,0.218308449,123.7541208,88.22260748,0.952318668,200.6988823,194.3473734,0.264384866,113.7740666,114.5949033,0.229409814,150.7515996,158.7585221,0.126978338,108.5817411,41.01447897,0.751498461,73.14389118,202.4342131,0.018784434,-2.284670674,215.2075531,0.082629681,197.63845,198.0708197
7,0.50735776,0.990234375,223.4133359,123.406289,0.955865681,240.2176722,141.4730244,0.999748826,233.8127146,105.0752234,0.869572878,234.8077354,165.2022862,0.571534514,207.7268161,89.59537882,0.337710977,42.0374922,-22.70557951,0.361726999,154.2758807,107.8692894,0.412494898,159.7462522,117.1304424,0.506081343,161.1534532,116.88301,0.239073545,210.9236257,180.8882695,0.920745015,123.6335196,90.69438349,0.296794474,156.0019702,157.7980162,0.352051079,74.96156538,214.6911819,0.25703609,113.7271648,40.10492256,0.480142325,74.36303376,205.6317786,0.017432898,129.1384305,100.4989613,0.056836009,132.8081963,98.34246499
8,0.503619613,0.991591692,222.9272491,119.8132218,0.943716824,237.9073521,136.6039643,0.999643385,233.2051976,104.9773233,0.849250734,235.1328905,161.9966009,0.748999715,205.4359297,89.72461181,0.659127831,-4.673106066,209.3464712,0.093005568,174.6404519,113.790623,0.336080194,93.50783445,29.86551235,0.392828614,101.4476594,79.98048094,0.564623892,217.6408152,182.1690172,0.96585691,192.2466058,188.7685559,0.25981307,154.9962449,167.5945595,0.331065118,1.226492416,241.655182,0.121920496,266.5564285,118.4840726,0.135204464,88.73296807,66.99935627,0.126021773,98.21864515,69.32424557,0.042783141,2.013151476,241.7439139
9,0.503771384,0.992174983,222.8620962,121.0498474,0.776821434,237.3112467,131.6858687,0.999863565,230.8169963,104.8684506,0.699088454,232.7807526,169.4299606,0.533503413,205.0364778,87.75744187,0.287162066,151.5953447,167.5109238,0.145840645,99.69256569,99.07574029,0.324959099,94.39842043,36.64039336,0.308105767,76.12916106,84.88009373,0.526298881,209.100002,184.7866924,0.840656161,187.7164896,186.8256964,0.257113159,83.23514064,95.87982063,0.543545365,73.07652544,93.76656864,0.3013798,77.0235204,113.4028387,0.191540033,75.19826291,113.6876756,0.439761698,82.58613501,91.91467209,0.396299005,81.21150442,91.61757032
