Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.494224685,0.985517144,222.6214302,126.7747103,0.99728024,235.0114115,143.1676713,0.997932076,229.486628,111.3700404,0.400327832,201.0187705,168.8251258,0.969075501,202.1390132,99.08208002,0.340028107,138.967977,61.85740115,0.222711235,119.2716014,61.42537892,0.419483066,134.5053424,116.2081212,0.573586941,8.00067954,21.29213483,0.3695786,70.47637597,35.51755374,0.639490604,68.70309818,35.03536229,0.309271425,138.4499722,215.8880013,0.185749859,112.2936905,200.8741027,0.100954324,267.3054922,121.1886997,0.158872575,36.5919828,230.9486189,0.292458534,72.04612399,36.06532484,0.439501584,77.6312995,37.11651939
1,0.506073773,0.989433169,223.0455095,126.4593453,0.998885989,234.0183901,143.2737642,0.999312401,229.297192,111.2877824,0.601801515,202.4882227,169.0414814,0.9715662,200.4483287,99.23045412,0.439011931,172.2218687,121.604647,0.254855633,110.394185,70.69834582,0.466209978,140.7063192,121.6278114,0.505429745,8.969575689,17.66465624,0.210227698,169.4213166,118.5015435,0.644267976,68.46056687,37.1373003,0.416283816,139.3868626,214.8322166,0.319404691,110.4937797,192.720135,0.099045396,10.02478515,16.02722549,0.200083524,12.82138324,15.11505394,0.171066731,72.72231122,36.95826384,0.316367745,76.59522277,39.63434988
2,0.495956012,0.981023431,223.0487038,128.9447883,0.998561144,235.4996196,144.3968477,0.99901855,229.3303049,112.2699653,0.731516957,203.6355922,172.5081197,0.915351689,202.104352,98.59757822,0.574494421,92.52883968,39.0711135,0.424666226,121.924962,80.47298055,0.868279994,138.0584694,120.2944927,0.116935253,97.52274379,35.46706753,0.707316995,69.67755759,36.61930765,0.333320916,6.963150463,9.918046777,0.148651898,129.3108468,205.876029,0.08039096,109.9274588,191.9223529,0.235195488,261.1113549,125.971698,0.096820772,32.01111526,225.4627273,0.114682794,75.27762538,36.66686174,0.105024725,72.75876468,35.39264884
3,0.410877428,0.992683291,224.3434476,128.7220198,0.990052938,239.9701057,144.1100114,0.999669552,232.2963727,111.6463673,0.433339357,206.8429844,166.4677942,0.977021813,199.7726231,96.95850158,0.34879303,118.6761177,66.90104167,0.251935959,152.8803473,117.4406991,0.809843898,138.944642,116.656389,0.258615136,190.1823648,232.2438017,0.448100299,74.67553985,32.42392322,0.095803499,71.86795314,30.97606264,0.068168193,11.2658219,11.48335089,0.054565549,14.0012713,11.92174333,0.145989865,261.2339068,126.5630242,0.023013532,185.1697463,234.9840775,0.05793938,79.89672333,34.5726838,0.029380977,80.80968126,34.00624707
4,0.450954018,0.992241263,227.0174977,130.8199346,0.982536912,241.2073287,145.7316294,0.998995423,232.0993046,113.0855596,0.487477362,227.5958031,161.9765698,0.935981452,202.6094335,95.84012416,0.824618697,133.0087269,64.19471998,0.521245301,167.2092989,189.770648,0.562300563,142.4522691,113.5762792,0.669558764,14.08532913,18.02452745,0.323423266,136.2968774,130.718511,0.132541329,218.3927074,244.8743026,0.02908957,116.8812056,168.8110809,0.055913687,163.0674791,206.0629535,0.034511298,209.1950248,232.4539638,0.056525856,19.78034049,108.616573,0.035384357,188.9481044,252.4518912,0.02387321,149.2700774,241.0970906
5,0.448735365,0.993846118,227.8520746,128.8683213,0.993732572,242.4037336,143.8565928,0.999699712,232.7554424,112.8837001,0.634823024,234.9830046,161.2998035,0.993430197,199.8898228,94.68203808,0.61616689,129.5271901,53.607862,0.570913434,168.5113335,195.401622,0.570895731,142.9684818,108.6718994,0.651958287,14.51176752,12.81326808,0.110669792,186.1880535,46.24995733,0.179000407,80.79193611,8.057058194,0.099462092,198.3456227,262.3828369,0.054324597,15.6877161,94.23971988,0.019646406,261.8131145,125.9052527,0.071308911,16.87122207,111.5593058,0.038135022,182.8116953,19.20910629,0.030488014,33.84305994,15.42848051
6,0.4328703,0.973088324,232.4023925,130.9729172,0.946118057,244.621518,145.7876751,0.999642253,233.3058043,112.0270438,0.866544366,211.1319103,167.4409186,0.990616083,202.2590536,93.87719696,0.66398716,134.8054312,64.28209855,0.271772981,160.5012045,193.610404,0.322218955,137.7933833,111.4320844,0.302687883,16.62504389,11.97324146,0.130070418,187.334021,242.7999668,0.436858088,177.3487852,121.8330115,0.053689569,121.9481751,179.4363003,0.068851769,205.3316899,163.2035517,0.042476952,19.00603677,111.5317889,0.208440244,18.9995934,111.8255501,0.028086007,127.1966682,247.7978699,0.053645998,180.7135246,120.398123
7,0.47206599,0.977908552,231.0763645,131.0223671,0.990696073,242.3094423,146.7921568,0.999365568,233.3282615,112.0609004,0.616478086,213.0865227,170.8113881,0.995692194,201.120194,94.19129409,0.591166019,164.8475173,168.4142868,0.338784993,146.1125497,100.5262221,0.80588448,134.4894078,117.7171724,0.101741999,21.75705508,12.93304024,0.402261794,156.3948994,44.94080885,0.761701345,173.5458972,121.9757408,0.097725719,268.8523379,120.8158991,0.032919765,266.3110321,119.3708792,0.064629197,264.2032177,118.9167227,0.134044975,28.01929412,96.98738393,0.035258889,159.1144614,46.42034371,0.07886219,158.660622,43.42024862
8,0.499818832,0.989346266,226.8674899,127.8851997,0.990934134,242.9254448,143.0308672,0.998905838,232.1059125,110.7116105,0.659336925,233.8813544,167.9834289,0.997478127,199.03402,93.8203954,0.680032372,163.506408,164.9420402,0.485341489,156.6736282,115.8013299,0.783346832,135.4356859,112.1488398,0.282257795,3.801957224,237.7044076,0.834240258,129.082397,14.4719857,0.297914267,129.5950496,14.56650866,0.034121305,126.8215878,81.34102392,0.028387338,45.96665057,105.8941582,0.090592593,126.4919461,17.79846115,0.088270098,129.1391986,17.21624215,0.161684155,134.2749176,14.77085528,0.094730347,135.2084674,13.95276168
9,0.487845875,0.991954863,226.1693635,126.2225197,0.992145002,238.1276578,139.1327369,0.998694181,232.5681277,108.6787999,0.590626299,233.8914004,157.8872844,0.983185887,196.4786692,94.44694376,0.29829669,166.5739115,172.7816792,0.427444458,168.9025925,194.0291676,0.651725173,127.0061837,110.4012319,0.67456013,151.7162873,45.27096257,0.398872852,160.3105859,118.5515298,0.305018693,130.1207597,11.32534527,0.08042416,59.84620665,113.8986789,0.070017427,66.48402753,118.0788419,0.022655904,153.4775988,42.11086849,0.100113094,153.2582685,47.24435032,0.308087617,135.188351,13.04730171,0.399557441,134.0350807,11.14640635
