Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y,,,,,,
0,0.530066569,0.984520853,212.0618514,131.7927786,0.995996952,221.0690494,145.1664667,0.993062735,220.6630628,114.2160556,0.207906783,190.4755286,170.5788175,0.540327668,212.8838464,94.21816479,0.809973121,163.6964293,178.3348695,0.558230996,154.5491841,117.3960528,0.902276993,134.0471749,116.8803156,0.535134673,4.611508564,237.8619011,0.768250346,67.55219916,170.9251131,0.676691055,68.26629067,171.5457241,0.288842112,130.2968579,208.0065689,0.112235934,85.12308833,224.3078232,0.221035689,23.75491024,231.1557575,0.169211328,71.95145472,32.6220886,0.144185215,51.80346466,35.13606649,0.103249222,51.88254062,33.16653134,,,,,,
1,0.515568214,0.98217237,212.214517,131.3339649,0.999152303,219.9442104,146.279431,0.998910487,224.2449624,113.2993914,0.280870557,191.0048475,163.9814612,0.618800282,212.335167,93.21714556,0.197023124,123.825711,54.26558477,0.553459823,129.73289,63.12435384,0.947889507,133.1294622,114.0023701,0.424023271,9.436550259,237.0450511,0.760730803,66.79638123,171.5084904,0.820085883,65.30683691,172.2351943,0.368844271,119.6977533,219.4898711,0.072616696,87.93541155,227.3482366,0.251558542,22.95084331,230.2443479,0.062345952,37.27282425,236.1174508,0.281203121,56.62019156,36.32880164,0.144972652,56.1494543,34.23280714,,,,,,
2,0.570292177,0.979078293,213.458665,132.424606,0.9993729,219.5292505,146.9475534,0.998156071,220.6518219,113.4661019,0.538933873,185.9428522,165.6473841,0.689736843,213.4407186,92.34305507,0.631354153,166.0542608,159.5757135,0.641282856,132.5555458,66.72651617,0.931663275,133.6342877,121.0293408,0.355488539,0.436193011,245.1614925,0.71412456,68.16481839,170.1774881,0.646417737,66.69356176,169.6437559,0.290182233,118.3358083,218.704549,0.172744662,72.82193645,233.7119128,0.273015141,9.75286629,229.9842726,0.045021504,25.72075738,247.1896214,0.473742932,53.90736555,36.19528934,0.31465143,50.8455556,35.123576,,,,,,
3,0.543894582,0.995215416,211.5091975,132.9068157,0.998308599,221.3755511,145.8858556,0.998966038,219.038092,113.5743772,0.64822197,177.4232161,168.3053897,0.916210294,201.4753531,92.82993426,0.386077762,136.8635031,107.6814992,0.675956964,120.8233361,71.11849934,0.763440132,133.3965234,117.2568713,0.351077706,8.670828792,238.850631,0.751945734,68.85539194,170.7456256,0.715849102,67.20505618,172.5993143,0.271573544,137.0760426,216.0653431,0.085014671,70.06176362,230.6170997,0.300311834,19.54939139,224.8181716,0.037559003,8.759513407,232.8329578,0.256933451,48.24428449,35.90105264,0.093545675,49.74728855,33.81190382,,,,,,
4,0.535490967,0.980399609,210.9626882,131.5361413,0.998995304,221.4455076,145.9500575,0.999294519,220.3561466,112.7735228,0.291809261,211.6153392,162.3816299,0.859913528,213.3643249,93.23931024,0.237413198,157.1256754,165.6414102,0.51232481,117.4815904,78.5552849,0.804033875,132.3027978,116.5449194,0.519354582,9.507514868,25.901711,0.815502882,66.23072478,171.9668286,0.62269944,68.93026173,172.812817,0.335804522,58.4637855,240.6752789,0.088151574,80.62385397,236.6755423,0.376600236,27.32416693,223.6244002,0.029149175,58.87064997,30.41889167,0.188413173,46.78684116,32.5341614,0.44348675,44.14799189,32.19527227,,,,,,
5,0.519867687,0.984378219,214.3613696,131.9429449,0.999393463,221.7152875,146.2546451,0.99925077,220.1475207,112.5223841,0.556522608,209.5516103,159.0636704,0.622591257,206.5489183,92.12117665,0.48413381,139.9930263,115.4924996,0.427033067,129.9284951,67.46574107,0.857201934,137.8110492,116.5359829,0.267381907,4.657897568,243.5955544,0.875711203,67.10600397,172.3869089,0.809074402,69.60369363,173.5975782,0.18508023,126.5505642,215.9842189,0.181858063,21.39366502,86.96081802,0.396839947,24.02764367,217.6295744,0.039452255,36.79146489,243.7952315,0.058345258,208.131803,122.3344842,0.093502283,10.65899986,248.1289745,,,,,,
6,0.482427914,0.9797014,212.3135631,131.1774101,0.997727394,221.497786,145.4690182,0.99867177,220.9254301,111.7254677,0.526412547,209.5654358,156.3678215,0.733925343,213.9000566,92.54386607,0.196271956,128.8283932,58.85166735,0.483459592,146.124583,116.0103581,0.785524786,137.1142395,115.3765313,0.154453397,3.262710095,237.8726055,0.813048124,67.39533957,174.1139006,0.735689521,70.67974114,175.6706948,0.356131375,130.7520994,210.8707134,0.065171808,7.950013502,258.4950696,0.25811249,25.91564621,232.3953457,0.048089564,32.22445942,244.1187285,0.026633501,102.586135,240.7974651,0.042249978,16.08309285,250.2800698,,,,,,
7,0.492765211,0.982907653,216.1625117,130.7468082,0.999458194,222.204471,144.5392112,0.995738268,221.7189207,111.7351236,0.313418925,213.1233419,156.9237428,0.691120207,203.8929,90.69746801,0.416051,145.9538736,148.624583,0.517657697,125.7423094,85.48646467,0.939162135,135.6902017,114.0631096,0.448159963,18.34988369,25.62793822,0.460060984,68.14982858,175.1505686,0.776829481,66.62690314,176.9939675,0.373404562,128.4966668,210.9026071,0.086614668,143.1688904,216.5539657,0.161874652,26.95296955,219.3671241,0.088169873,29.99712883,232.5429151,0.0560987,63.28788233,171.3166159,0.070281625,63.28174377,189.2861462,,,,,,
8,0.534667583,0.992654204,216.1083558,130.6304619,0.999592781,221.4909586,145.2055048,0.991275012,222.8118416,109.0302039,0.649180889,188.8866456,162.6707826,0.820363939,202.4358956,88.23726202,0.627079368,132.0302259,59.54993392,0.665289938,130.2465302,64.8082475,0.906187296,132.8744465,113.5041525,0.310583919,-4.040498769,243.5525661,0.85144943,73.0798477,175.1100919,0.629770517,69.15883954,178.22963,0.142133802,122.9485482,221.5325082,0.0885773,137.9918047,219.4571483,0.239854932,22.21076956,233.9167106,0.067606479,26.95028431,232.7645375,0.058077961,206.2345164,131.7647131,0.049671143,63.39181736,183.7802113,,,,,,
9,0.494385639,0.996665418,214.7235146,128.1977728,0.999311268,223.26523,144.3148457,0.992858291,224.6083997,107.3359716,0.486494929,189.5396501,156.1114281,0.703027308,214.0232912,90.49173153,0.634670019,142.6255267,104.3535668,0.478244543,130.3944532,90.14130286,0.911400557,136.4055916,114.5707758,0.496625572,21.16144187,23.30830968,0.708759546,73.9119009,174.3548592,0.489307791,75.29411478,174.1051225,0.184046507,129.6825623,213.156723,0.097007513,138.966197,218.5993582,0.080590963,27.64383876,231.3746001,0.034837097,15.48542227,244.5552191,0.041569561,97.96498274,238.723495,0.069138974,57.92840736,179.584455,,,,,,
