Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.476062967,0.997122824,206.5810315,136.5837503,0.988274813,218.863408,155.863569,0.99521625,218.4422792,114.8783015,0.915423095,199.2562763,184.5565602,0.750217736,195.5305868,88.80383895,0.690682769,138.6324955,116.1425415,0.848930955,82.08655806,58.07971969,0.420255184,116.731466,135.9210411,0.115265191,101.4102489,138.7323585,0.230929166,168.0093121,139.4270711,0.358871281,46.30279046,54.2434018,0.18001765,135.4464024,236.030182,0.495392412,121.0050669,199.4230113,0.016426235,153.5396306,234.0347515,0.013018906,8.632074897,142.9536078,0.067701519,65.54923411,48.03816396,0.009324461,72.69404455,57.16868197
1,0.390718586,0.996561408,207.0830651,135.8012689,0.983330131,218.3193859,155.2426288,0.997886181,218.1681346,116.0680741,0.625480711,198.2499537,176.2223978,0.7160694,191.9820439,93.19572458,0.523451984,138.498971,118.3887572,0.845894396,96.92521799,56.13332456,0.188912988,123.1257925,134.8335089,0.104020685,112.0497815,131.5589888,0.086936682,151.7086796,140.1915452,0.127770662,54.46869392,54.56272311,0.234047115,124.0903095,234.0046378,0.121250987,25.57852794,128.8137387,0.024710774,42.10256588,229.2891698,0.02293852,3.964812509,221.9097222,0.027735353,72.25718828,48.26811944,0.01521799,75.14568581,36.08406972
2,0.37617752,0.995032907,206.441338,136.8771823,0.993623257,219.3347427,153.1566255,0.998284459,215.9862184,113.8549469,0.502876341,175.8608868,169.394263,0.517739773,204.2259797,89.18440572,0.487851948,139.9432106,124.8734004,0.82770586,94.11391888,55.39948234,0.238979787,115.2529309,111.4957377,0.124675304,91.78181204,47.34375,0.074191153,34.79128872,1.388090327,0.121040791,45.15813668,56.92407196,0.153456777,123.3150578,199.956963,0.194828153,119.6783318,202.3581363,0.077997148,68.23762167,223.0524832,0.037366331,68.97883993,220.9039238,0.020923018,72.95019409,50.83002936,0.028444827,75.62682877,39.38968501
3,0.400936961,0.983633339,206.0990412,137.4072692,0.996986389,218.856093,151.7019131,0.999156833,214.5826506,114.3414726,0.800174117,182.2844857,168.9723295,0.574955225,195.120272,90.32300932,0.268347561,112.7927615,94.23497727,0.606041193,89.6730893,54.98729006,0.447970301,110.118175,103.1574302,0.308285475,91.3667425,45.72548475,0.043223262,69.00622269,54.74938553,0.181313485,56.96533508,56.79810028,0.266219318,128.5243665,210.5035454,0.086319119,16.2300969,128.7477567,0.033984333,68.14592111,223.0426566,0.098252505,97.36888947,53.29051576,0.053946614,69.03909176,50.72660029,0.067119271,16.14504544,229.6014016
4,0.430236019,0.994057655,205.6671104,136.8067016,0.997870445,217.8842609,154.6882437,0.997912288,218.0754282,114.713944,0.937570214,195.7236072,175.6296816,0.627610207,203.2847125,88.37582173,0.30875957,109.3656489,90.77195985,0.679721177,91.55263074,55.5272767,0.20246318,90.15375678,45.27369962,0.295515239,93.45498303,47.45370777,0.035367906,117.1895604,-16.70928003,0.431674898,58.11107697,58.71471696,0.258859247,132.8185959,224.9258008,0.256550491,116.9008832,200.3138899,0.135506213,69.69791789,224.7519458,0.06878522,66.49473193,221.5179024,0.024725854,68.9239281,51.93957382,0.061062515,68.87430141,44.57047709
5,0.40624426,0.995772839,205.7352138,137.0669476,0.995507002,218.1621362,152.7112106,0.996458173,216.9197926,114.9738364,0.909581065,181.6597539,171.9665604,0.614441395,195.6189651,91.95828213,0.336734653,106.7936686,86.79754555,0.482425749,127.8432477,100.0856595,0.139413476,121.9305702,91.2666418,0.22339642,118.2492465,135.1989822,0.356439412,32.38423589,0.620806024,0.243651956,57.5014874,58.73326677,0.190956712,118.3774798,207.6384256,0.091435701,51.6897823,194.1762494,0.030333191,90.69431643,52.3675179,0.068552762,93.60038233,49.95987681,0.143475115,203.974524,133.7654348,0.087576807,73.09209435,44.83433184
6,0.395692941,0.977555037,202.739459,135.7317026,0.962515712,219.230381,152.3810691,0.998006225,216.2587781,114.8962966,0.923763931,195.9589332,175.8490851,0.742119014,197.2226977,89.59040457,0.420337915,146.8715253,173.9580163,0.504177511,100.647951,62.32960752,0.081608593,124.2664321,127.2289399,0.084236801,89.58507066,45.84743314,0.201640218,31.96934923,-0.391009041,0.31811884,56.18763899,57.31593443,0.203968644,117.7067972,210.9295266,0.105090469,69.06263411,196.0533708,0.05488953,154.0076491,143.0614686,0.075489461,100.9307031,46.02023959,0.02809146,2.02389073,219.2093379,0.045170635,71.83418798,49.54540467
7,0.448016985,0.866808414,203.1848617,133.3633129,0.691187859,217.6938007,137.9878302,0.912220001,216.0217209,110.3367129,0.990879416,219.4313505,149.1593028,0.63414669,203.2527334,93.31991017,0.413886905,141.2754808,167.5951204,0.571141362,90.0690604,53.44410186,0.375774086,110.2046758,108.8034,0.460331261,88.72806697,48.20740432,0.751356721,32.26108661,-0.235438734,0.450836897,51.4187283,57.00603128,0.154922545,122.585245,199.2820498,0.09604463,53.04363808,203.3751512,0.041985989,100.1595662,56.54842458,0.097265124,98.36954295,54.99633027,0.09287852,69.55838893,52.18789014,0.014622331,64.89177956,44.20490012
8,0.399157736,0.907963097,202.0240568,132.2450818,0.887386799,207.8034049,156.0501522,0.547139406,220.1344023,114.123654,0.99268508,219.0515274,151.9015781,0.602893114,190.7649008,88.44284,0.609574258,103.2394078,84.76252828,0.831406355,94.84577384,59.55498742,0.292591333,132.1001092,126.1682906,0.043107599,0.989432365,225.5328788,0.025008202,30.86949114,6.208941094,0.400144577,57.36511611,54.74858088,0.173993915,125.2169042,227.6288429,0.182318687,111.5662185,206.7721013,0.038076252,251.86254,120.4529982,0.062112868,98.14960304,44.03684237,0.05716604,76.47721232,54.64698668,0.132113934,71.30706978,55.30683082
9,0.424593552,0.963150501,215.0063641,139.6454139,0.865804672,221.3945215,153.3135826,0.998210609,215.703125,113.5619904,0.957835197,218.0112506,152.9152037,0.641659558,197.8531109,90.57790311,0.164607346,127.5331373,89.44304239,0.645888627,132.4978664,98.99211679,0.269049585,122.279865,111.8722325,0.075352788,112.0702881,-35.55347076,0.472248018,35.95592484,1.650369289,0.383074582,64.0127453,51.92377326,0.146773338,123.8815372,207.4248254,0.202469438,117.6285502,203.212025,0.110680193,148.1915184,145.3684969,0.135532707,103.1448726,45.47561398,0.097605973,74.70442221,51.62653738,0.088147253,67.02300835,53.37629721
