Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.461435088,0.98364234,199.4370196,141.0457753,0.999015749,209.4849943,154.2355015,0.996622562,217.3278275,120.9659313,0.494583696,180.7956851,164.0125868,0.88571763,187.8916491,96.70248615,0.487854302,148.6892727,116.2518044,0.320046008,135.5164809,109.0010168,0.737036943,108.4228577,114.8307414,0.483764201,120.3735077,139.2383788,0.160364091,133.5350465,150.0198239,0.073342681,9.693144037,12.8424979,0.321116447,100.6415869,225.52393,0.084594518,44.89121874,13.70859668,0.451593727,9.418242761,150.9629687,0.246466041,47.78577255,6.853652173,0.06808418,5.551814962,7.343576267,0.050551385,-0.136890197,216.3737955
1,0.422218237,0.986687005,199.3104079,138.048972,0.999162912,209.4983078,154.1582178,0.998662412,217.0699955,120.7812866,0.923055291,182.428361,161.9651339,0.876808763,191.1060759,94.93773652,0.261402309,139.6746133,117.9991685,0.291933596,55.7631269,5.762944025,0.614662945,116.5548314,133.6073682,0.30889672,13.94393178,7.385765961,0.127325147,140.7060266,142.2077871,0.141817212,13.11810554,13.01563353,0.224908918,94.77405562,222.9268346,0.133009523,82.15903217,204.9607912,0.147178859,6.830777324,157.9012319,0.033723384,46.49772196,4.26179312,0.081427187,189.8681336,155.2565884,0.027047843,9.211482168,14.21269678
2,0.423559447,0.986034393,199.2696385,138.8326482,0.999745369,209.5640215,154.7090063,0.998578429,216.8440085,120.0849036,0.656030893,179.7945683,164.3715863,0.879976034,189.1603026,97.47590902,0.249023378,141.7584343,121.1391522,0.288411498,146.4451784,112.6615169,0.720559001,113.4238696,127.7277183,0.519720852,112.5952301,122.8183886,0.195700139,146.2657884,134.8984424,0.164396226,53.88284176,10.99770002,0.148168385,92.45541462,219.0490646,0.1566585,39.53731542,201.6211913,0.01434496,2.479315102,227.8130121,0.046994418,45.30254235,6.647318294,0.067208171,189.0840307,161.0310598,0.108959943,6.026549607,10.48416957
3,0.455885724,0.971641779,198.7298957,138.3125585,0.996965528,212.5106069,155.8970233,0.997932255,216.0515664,120.4267371,0.852832794,178.2806282,163.0493377,0.961487293,189.0316792,97.79679697,0.601400018,152.0615344,117.8520258,0.158840597,150.9979469,115.7012353,0.868650258,108.9081032,118.5486769,0.257484674,113.1948712,122.2428995,0.176568061,152.6477523,137.0273242,0.409792215,8.236274481,93.10261587,0.184754163,100.573258,217.2746469,0.056921393,88.5615149,152.9662507,0.04073292,8.200351367,2.042268332,0.022035509,7.831497859,0.827591,0.142300516,195.0543022,147.5760036,0.049717337,191.8476538,151.506881
4,0.458197711,0.975737691,198.5792905,139.0495767,0.998703957,211.6820283,155.1635895,0.998014092,216.3718448,120.8968282,0.857830882,182.1759788,164.0232059,0.970548034,188.3871479,98.16619606,0.4959943,145.6120523,111.8470564,0.240029037,145.9064231,113.7247752,0.944413304,112.6498005,116.1844325,0.3418293,117.9719564,117.5810266,0.197242558,148.4724051,131.6772857,0.051058054,2.075326755,239.9746898,0.377577007,101.8973232,223.4779767,0.104074419,96.49523179,203.0424128,0.049972475,14.75010028,-9.363503141,0.097023219,16.59735633,-8.503527695,0.065048337,195.6995528,147.6585908,0.024264425,103.9065182,103.5240008
5,0.426005339,0.982700467,201.4478972,138.6833353,0.999358594,211.5937841,155.9834021,0.99826777,213.3818567,119.7121152,0.740795374,178.9408259,163.2112325,0.986873686,186.9275466,98.31864222,0.218352288,154.8708158,126.538214,0.363104016,133.2062949,107.6730747,0.948356152,110.3985131,120.4584723,0.245220423,24.3015536,58.07625112,0.184287399,155.4483409,132.0993046,0.042878896,171.6567182,159.203876,0.28153193,99.65476504,220.0625683,0.13167122,67.16743231,187.2114691,0.0224199,39.1786512,61.59976421,0.049549222,42.94051076,62.97062754,0.027501673,10.26868423,245.6463844,0.019221753,9.238023698,244.9416013
6,0.345587411,0.985150814,200.6763396,139.078776,0.999376059,208.9238306,157.7316197,0.998510599,213.4694913,119.9188027,0.322599918,176.8580534,168.3022686,0.936002731,187.6630652,98.06307789,0.6555143,141.1689124,120.1127497,0.194099247,-5.140603741,53.78680092,0.268492639,123.3477684,119.2061071,0.02900672,126.5107702,111.922487,0.039683193,70.32466741,3.60928539,0.108770698,151.4673065,132.9437081,0.193536907,93.12840151,211.5651822,0.038990259,195.7937832,246.7970213,0.037171066,62.32040882,4.297883871,0.008654445,86.38877307,221.3540447,0.035200834,190.5137499,147.8335186,0.024225563,19.00804994,240.7800308
7,0.394086312,0.989131451,200.959177,139.5277266,0.999845326,208.8266376,156.0088586,0.998330593,213.2816158,120.8667145,0.724585116,175.538036,161.8707085,0.972792149,188.6465648,98.6506369,0.40104568,155.9995562,131.3968136,0.348492682,-1.248303436,82.1224446,0.241939604,68.04083397,15.30847061,0.265364349,64.32903085,23.67146657,0.149474025,158.3497191,126.7123981,0.183961391,125.7053195,137.2423509,0.108700305,111.3042535,200.4759432,0.105771661,116.9669139,204.0186096,0.069823503,110.6658547,195.0448658,0.058738738,114.4784961,201.2641181,0.039206624,187.8037707,154.3381442,0.042264104,94.17895599,209.9445273
8,0.427426776,0.998166382,199.9968911,144.8209392,0.999793053,209.9749093,159.6387328,0.996569514,215.3531474,123.5895316,0.139791638,193.2868948,183.7376619,0.979859233,188.1080168,98.57407245,0.523276508,142.5559481,120.2304492,0.808364511,146.9686695,139.5035868,0.468079567,120.1143956,48.18176498,0.037843049,83.7926225,18.84558365,0.457887113,141.8359131,131.2806502,0.174152344,119.2436944,199.4815806,0.058473289,99.18901422,100.7118787,0.09782061,107.7576613,153.6173289,0.072796613,118.0649554,47.97325487,0.040296465,123.8332456,55.04613374,0.155804902,9.934661903,187.2140293,0.257280409,7.323719649,191.1136226
9,0.344643581,0.99601984,199.2704066,146.4799372,0.99908334,209.1536946,161.0804244,0.994087636,213.6936495,124.2692972,0.843339682,168.3406484,155.7676683,0.758351445,209.5980854,99.29883788,0.114667803,117.5383432,66.18680994,0.074178874,161.5930161,105.2563934,0.121847749,123.8303683,214.8241456,0.14403972,32.71459382,209.9946356,0.149452329,150.4819781,160.0483892,0.135576099,124.3039828,42.42836103,0.188414901,111.6791145,82.24599622,0.063475996,48.52529309,62.24870889,0.014378756,156.1952101,114.9534761,0.079337925,130.2807404,124.6555941,0.075631827,15.54359693,183.8454373,0.107056946,161.1667301,119.2616285
