Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.512388273,0.990150511,198.5765474,140.8588386,0.999292314,205.4653851,154.8900178,0.997416615,211.1784586,123.7430994,0.080957443,200.3344208,170.4574848,0.970429659,187.053183,106.4731951,0.69139868,41.38528012,221.3758924,0.415601611,160.9773915,121.5793369,0.598050177,127.2567006,118.8774164,0.457195193,1.265488433,247.0601933,0.335424662,58.43960308,159.2982771,0.7719087,56.76376209,157.9018658,0.298278809,100.364181,207.728718,0.251040697,67.35936768,226.7235048,0.50211072,17.22624247,214.6176654,0.248279423,13.0674456,35.27134661,0.040595651,69.18279641,54.0394819,0.06246978,115.4267371,122.6076169
1,0.517233396,0.984130859,199.1220081,139.910817,0.998323441,206.294817,155.184413,0.998457313,209.6043276,124.6737477,0.182534873,173.9640635,171.2602167,0.927985549,184.8953579,105.6772784,0.388437271,92.45055009,109.5021116,0.22885251,150.1617241,118.7601314,0.58311671,126.635029,130.4138626,0.611947656,18.89435081,36.72146267,0.78649354,160.576562,128.1909698,0.649292707,57.24645341,157.3270472,0.718968153,132.6960562,170.9804639,0.129476488,46.88075757,221.0974075,0.176684648,7.392405916,222.0163272,0.226533532,16.45550484,36.25211528,0.03230077,73.95601689,56.45917457,0.169431716,44.41979874,181.5507715
2,0.533800912,0.981046557,197.1216278,139.8114174,0.998843193,206.1888947,155.3592921,0.997489572,208.9989076,123.3138387,0.302330375,190.8892083,170.1450823,0.96765554,184.8902739,105.3838464,0.506102264,160.4627151,159.7198448,0.330109775,152.3358375,120.6395326,0.619786382,18.74741534,38.85270365,0.451543748,19.75341797,37.66789316,0.849565864,161.1782269,146.6262021,0.7973454,58.96970218,156.6045251,0.363269627,128.4258203,173.0863033,0.181602091,68.34498259,226.9900417,0.463135839,12.25456095,223.8662365,0.097026646,12.47068255,35.77985404,0.097119451,40.26970986,197.6581275,0.070643187,2.111030798,36.12681414
3,0.526524011,0.98649621,199.0081124,139.1539628,0.9995929,206.4936408,155.4719686,0.999453187,208.1131983,125.0533269,0.39570716,203.7583392,167.6454968,0.904958129,187.0478186,104.9048796,0.631645501,154.2609092,156.3187983,0.358622551,150.7808233,119.0251931,0.770588219,117.0203383,118.8437671,0.446695894,2.206163918,233.1752546,0.625275016,161.6908064,141.4124678,0.801748633,55.52867875,157.0397233,0.305383861,101.1679675,210.0005852,0.107156038,66.65743138,215.3608526,0.218151361,10.62857829,32.64105903,0.163323313,9.982686132,32.27018473,0.049767613,68.26210889,53.82843589,0.186342597,43.38514235,187.4225821
4,0.530968221,0.993827403,200.3005642,142.0214234,0.9998523,206.2166433,155.8399779,0.999195099,208.6235224,124.349507,0.468467206,203.8943264,166.6402105,0.911381245,187.1769053,105.7932345,0.418333918,142.9928776,168.122391,0.39343977,155.6575521,128.5827652,0.414825857,15.91213498,31.32609507,0.762204528,15.36094408,31.21217497,0.591384292,163.1760958,143.7612774,0.580560565,55.47517507,157.0112189,0.478886783,117.608446,211.225714,0.132276535,67.24299703,216.414321,0.403065264,7.237826191,226.785561,0.364274919,9.556452719,28.7722805,0.071660846,66.3627375,53.23667681,0.042823225,63.4725575,51.73803741
5,0.530460717,0.988506913,199.5540365,141.1298499,0.999810696,206.8250137,155.2797894,0.998212337,208.9618202,124.9512328,0.181222171,204.9376268,168.6606098,0.879843116,187.4260202,105.4733219,0.49662894,148.6379574,166.6210694,0.540746927,148.3315168,121.047153,0.603793621,125.2741202,126.5659625,0.512714028,20.68802089,34.46787707,0.62970835,70.99757505,54.51077389,0.570652544,54.08973037,158.4158718,0.607593656,123.7586562,206.2087917,0.068719119,69.53722398,215.2403246,0.542563736,124.5657893,125.4434398,0.187895298,15.30973246,33.52345213,0.140410304,69.98001156,56.03524159,0.068810433,66.05603469,51.41985604
6,0.532645709,0.98299396,201.9571727,140.031845,0.999863088,207.2505559,156.3535815,0.998714983,208.630618,123.5714634,0.153927624,204.2613481,170.4463903,0.950996637,187.0645702,106.7194327,0.496544868,158.4568606,157.0887953,0.523873687,162.6195039,123.0303064,0.722214222,131.2703359,115.6965414,0.304512858,0.174481812,240.4772843,0.550074816,56.28929414,157.8866139,0.391365498,111.9302532,142.314953,0.654254556,117.3382027,203.1228786,0.085596055,69.01693928,218.7531211,0.620686054,12.41605418,32.94180004,0.294372618,11.11404095,33.83873186,0.232214004,70.4547843,55.9036373,0.09277153,45.02636475,182.5395014
7,0.471089267,0.990701914,199.4695108,139.0695469,0.999818504,206.570766,155.5862911,0.998945236,209.1295792,124.1947809,0.1313788,204.0795441,172.3573804,0.974360526,187.8926001,106.5174513,0.51905632,130.7040394,107.9631418,0.407492936,146.4750239,123.0037892,0.910222709,132.5784786,118.5620513,0.445516557,0.905755528,242.5019751,0.344120145,57.7712125,159.3361448,0.496408254,105.0256881,143.6727772,0.523121715,124.1790657,203.3637884,0.057176679,68.5723656,216.83406,0.099327385,127.807099,230.9267225,0.042858988,205.8781016,245.5065446,0.038887531,73.49653875,48.63387928,0.029123336,41.89390337,180.9733439
8,0.470845803,0.982358575,201.1176581,140.5122747,0.999680161,207.3478952,155.8313461,0.999468863,208.9608936,123.642761,0.383143872,205.6855688,172.5257491,0.927976966,188.1548455,107.0898559,0.422346354,154.7285985,167.2612603,0.302885205,153.2750078,124.4699131,0.89905262,129.5698614,118.5467628,0.439997643,-3.488271192,238.0933989,0.533724904,165.3147189,127.0470749,0.529454052,107.2483127,141.180202,0.265066147,100.4811734,210.9986053,0.051322728,69.82146341,218.6445654,0.100328058,18.01833097,222.5641532,0.024714559,125.8652027,129.8597334,0.025170475,38.49741046,196.9182321,0.117687464,47.09047772,188.2749103
9,0.507300335,0.981305003,201.0372045,139.832119,0.999770761,207.000039,155.1347193,0.998987794,209.5180097,123.7566201,0.160737395,206.1979654,171.1649501,0.89165473,188.6295573,106.0264025,0.541247547,152.6896921,165.2594413,0.614481807,148.6867124,120.9084348,0.806362391,125.5736238,122.0543778,0.425911933,-0.034946211,236.5640118,0.459096819,166.4218067,129.5185949,0.722130537,53.73952725,156.4287804,0.504488051,121.4982005,199.0617197,0.059438169,7.905873121,24.39767673,0.233233482,7.478618646,23.67330144,0.152807355,5.479322188,22.5337164,0.025151342,54.2039004,248.5707319,0.047300577,23.45389644,217.4945868
10,0.492335153,0.978023291,200.0064129,138.7722744,0.999551654,207.6698073,155.1233931,0.999266982,210.9387679,122.6835962,0.31787917,179.6810749,162.9220432,0.767023921,187.4609863,106.4038116,0.479030937,147.2710016,159.0136719,0.458495408,145.2630379,116.0696712,0.915250778,129.0152446,115.7056731,0.402583927,-0.666125484,234.7083967,0.465762198,164.988369,127.2704895,0.770291686,54.32007598,154.7996645,0.436690927,123.3978157,197.334021,0.085001469,66.92604094,223.463688,0.091740668,7.331601642,226.7212127,0.049333453,209.1947566,246.4523594,0.036226451,196.1720579,141.3983497,0.117544681,39.85970296,183.0990559
11,0.558382695,0.992106736,200.4675918,137.30281,0.998381257,208.5665623,154.3525061,0.998806477,208.8737955,119.3917759,0.31538865,177.3791793,163.8269546,0.930484653,186.9407991,106.0460679,0.681347191,151.20639,161.4875205,0.458607227,146.0298162,117.0364437,0.500414312,127.9925728,118.0507764,0.848450065,14.01064679,25.44949916,0.888679624,162.0609736,141.7504608,0.773921251,57.32373108,153.8024613,0.683565795,124.0079661,197.2188817,0.147883445,121.4762065,146.0630998,0.088165373,12.57237733,16.43286468,0.08229211,10.94447599,17.88447424,0.048789173,197.4764211,137.2793042,0.055222481,48.37754687,174.4844823
12,0.518568085,0.982843816,201.4840702,136.5522223,0.998902202,208.9841068,155.2699385,0.99837482,210.3097934,119.3801084,0.458408803,199.948063,164.2722354,0.827419519,186.9480776,105.1887289,0.177174658,154.2684803,164.3959455,0.294293702,151.2718965,115.6226348,0.279304147,129.2372571,110.340468,0.747494221,12.91584067,21.87297616,0.580161512,165.759,141.1021014,0.681761324,55.84525081,155.2344116,0.586330771,49.73249685,215.0175806,0.22938183,50.14767917,218.0503862,0.43155694,14.10831066,223.701623,0.300975233,16.83090381,19.3412897,0.124420255,123.7118763,38.67837932,0.116853684,123.8092643,38.09297216
13,0.494072804,0.982293129,202.4415647,135.0143741,0.999216795,208.1738403,153.8687602,0.999211073,210.7979284,118.6128423,0.55172509,201.9276076,169.6918647,0.826108456,185.7404319,106.2055243,0.29241991,151.8642103,142.881152,0.167019993,146.8730005,113.9656484,0.374027669,120.0520711,116.0806438,0.788636446,17.51459053,19.1600831,0.332420528,60.35778031,153.4855357,0.707378507,157.4210703,122.9988515,0.429373801,110.3407118,206.1344218,0.116804421,143.4027778,159.6118256,0.307586819,20.05850231,16.71759178,0.4202075,17.17764446,14.86743865,0.055395693,65.72767317,246.4998342,0.049411833,132.0694469,42.57532089
14,0.550816266,0.977576196,202.0782006,138.3619962,0.998842239,208.5764377,153.2151217,0.999497175,209.9126092,118.646955,0.438114911,197.6953857,168.7948414,0.825879335,201.0411302,103.7226172,0.57886076,163.2434798,150.5872664,0.188273966,140.7717526,113.3920856,0.223888487,123.9347544,125.7338117,0.725152969,18.29397975,16.72708309,0.623626709,136.6050615,50.49456612,0.877247214,63.53935023,154.3229289,0.549945652,111.8944581,208.5165272,0.058442593,145.0079734,226.1826038,0.262980849,18.2745308,19.30274535,0.331623524,18.58210532,15.36657669,0.44263491,134.2553741,51.27115276,0.26128903,143.4891688,50.7051976
15,0.576688802,0.972953618,202.573614,136.5311061,0.996020436,209.4345447,154.1095115,0.999740183,208.9426791,119.0975026,0.665101647,181.4677088,165.5964956,0.934836745,188.5687081,105.0656894,0.596477747,159.4699619,145.8783089,0.404541731,160.1876195,115.8089863,0.585305154,124.3194664,125.5718438,0.619456649,26.22535429,20.2055536,0.913306952,143.8174206,54.71652866,0.803561687,61.82341043,155.7204495,0.45008409,126.0898486,207.2497025,0.059657127,37.55899913,36.12117544,0.138217419,25.77972298,21.69507354,0.26722765,27.94144343,19.11539409,0.065768838,140.5981659,53.24724709,0.331451952,50.91075731,184.1190699
16,0.58561215,0.988369465,202.5011704,135.8938168,0.99918294,208.9260739,153.9633685,0.999608874,208.9300484,119.0729727,0.733105302,180.2106254,166.9059915,0.935827613,187.5087293,103.6021136,0.596999466,156.3493265,151.8166623,0.263098478,155.0932184,98.41205573,0.750179529,215.1569571,59.6447251,0.713593602,24.13698727,21.26519097,0.598256767,158.9643683,142.2127492,0.91354394,111.5880052,149.1707509,0.30358994,126.3275032,211.335245,0.032950282,38.72808221,37.99346276,0.277626455,23.20539877,24.71452311,0.319265574,25.32827161,21.55161883,0.269289851,143.1019453,59.45348466,0.260918468,142.3484195,58.45875029
17,0.543838348,0.985898137,203.2617919,136.3482171,0.999541521,209.0910288,154.6079729,0.997610748,211.5723022,117.2541769,0.343313813,197.1396228,173.5547607,0.872630239,193.4225651,101.9689012,0.386134177,156.5289482,147.8220706,0.235401273,-2.852252479,85.70774569,0.845090091,216.7106547,61.76618826,0.420809597,23.15639386,16.88029733,0.933833718,159.4357029,143.0119821,0.852177382,116.0178683,149.6254438,0.529031456,123.7019765,207.4238745,0.13246718,119.6087654,145.5464605,0.252217501,22.4093967,21.92182258,0.318417877,26.11945639,17.93850217,0.050449312,65.79344789,245.8396243,0.090227902,48.26248074,188.3174352
18,0.544441686,0.978944004,202.2274891,135.8530718,0.99927628,208.3233361,154.9621933,0.99824369,208.3652027,119.9752994,0.306046337,190.1428268,168.7454159,0.867860556,193.5840331,103.0400842,0.693547726,168.4517156,152.783325,0.303651333,174.4194878,111.1334709,0.234489709,218.3248478,60.4945905,0.644194603,27.13674252,24.72603825,0.874799609,160.7199984,141.4318893,0.864333034,118.9228186,152.9841238,0.520917833,118.4533006,212.9982541,0.042705804,70.89777914,238.4863891,0.323993951,26.73770519,26.46836718,0.445212036,26.68503665,20.76662595,0.095408171,144.8382759,65.09955817,0.061883986,49.90499242,185.9708811
19,0.58857952,0.988388658,201.0030309,136.7648959,0.999354422,207.0720437,155.2490417,0.998102903,211.2682877,120.1641259,0.758338392,193.3450253,170.4422694,0.881758571,189.3112247,103.9461659,0.727723479,165.4701033,143.5187949,0.671259403,151.030499,113.3444035,0.778509855,216.3309535,64.94568557,0.490835816,20.78427661,25.24033069,0.87667799,159.3666364,142.8870772,0.683491528,115.3225704,152.4141698,0.626838148,124.148001,209.401505,0.079185188,40.46690904,38.20778836,0.136930734,20.40940798,26.84047285,0.196586937,22.01333569,24.09047407,0.039670348,145.2040906,66.97915447,0.072199464,55.77715356,191.1599027
20,0.553948357,0.982042253,202.5295529,138.8129218,0.998935938,207.8824321,155.2853367,0.999558806,211.1819454,121.4363637,0.46368289,201.0036527,174.3783893,0.738980412,193.1867514,104.7965068,0.549767137,160.311354,163.271204,0.157062292,149.5570234,105.926442,0.293126822,24.28817311,25.30454486,0.764567614,19.25675029,28.05570186,0.874382615,74.32587927,159.7897769,0.796092629,160.9552756,129.6057784,0.687407792,123.8716131,208.5967736,0.175949037,67.53581339,129.4142941,0.242090702,22.22071044,29.75776739,0.441939265,19.8589044,27.77193791,0.104789495,141.4184052,74.32273379,0.146746367,143.0512884,72.89913487
21,0.537452207,0.976682186,201.9314846,139.2370499,0.995128036,212.3254135,154.8310462,0.999366105,208.785283,121.8655636,0.468184918,189.4629394,178.3663975,0.792085886,209.1384549,107.9389776,0.48038283,160.1174923,143.201979,0.591731608,153.2644131,140.6475548,0.14766112,25.57059108,29.2621162,0.804740429,19.93313412,28.77314612,0.645521581,136.3113979,77.77835079,0.767493367,136.0455315,79.79689695,0.444738597,124.5376507,202.0531708,0.130223274,28.53464724,36.45523052,0.143170327,10.17949365,225.0734434,0.560772181,19.70315883,29.45620343,0.084742248,135.1939348,75.63666754,0.104062825,141.0190753,79.84483507
22,0.438271051,0.917834878,209.0178293,141.3710279,0.997934937,208.6029914,155.2731937,0.971704245,210.8728591,119.8772287,0.639907956,201.6989993,162.8817738,0.207581967,186.8166135,100.9280148,0.290188015,177.162519,155.8152163,0.133175552,-3.396533295,87.89623322,0.162575454,21.89298746,27.45742017,0.630480409,20.13744569,28.34681745,0.806914926,80.01535556,152.9789545,0.764564276,79.31032864,154.5766035,0.176754773,122.1313934,200.7834445,0.065534085,55.77400198,104.7188817,0.112149179,23.28475971,26.83470003,0.474120677,20.11951308,28.13127877,0.066872448,140.5927405,92.5387699,0.032314092,10.73615104,245.3881135
23,0.434946078,0.452193797,213.6439802,155.5443269,0.926022112,215.4682136,156.8578218,0.919367015,217.8628277,128.4560925,0.200775027,195.171953,160.5224792,0.228094995,198.8923148,108.7319927,0.390257597,72.99547441,90.81817894,0.3242006,-3.351150875,103.0553849,0.416992247,102.1250293,67.31222203,0.540610552,20.14229649,30.13266498,0.490162164,132.4216555,104.8181472,0.833543897,127.7016888,145.3680336,0.564668953,98.04398555,76.9618909,0.066996872,112.8197541,193.6731429,0.222558558,124.4286195,74.37601192,0.433133543,19.38737162,30.48060042,0.231590122,139.9568898,108.3964502,0.152915269,135.4811369,105.3840049
