Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.629147119,0.980569363,134.243353,124.5663624,0.993721962,140.2174162,137.6652475,0.999254584,141.0210991,112.6166023,0.31497708,130.0072663,153.1586859,0.99365294,127.1547894,100.0182877,0.74490726,20.75591241,68.58741027,0.840710998,82.6359019,73.77222564,0.988411784,88.48485292,111.3076916,0.556549609,3.977806291,196.0723656,0.733846128,105.508032,116.6737867,0.944458485,79.36317396,128.397767,0.65157485,70.37109375,162.5041818,0.752824426,33.80112323,149.458721,0.051395953,0.173521054,187.0474163,0.063397616,0.255021513,193.7119616,0.061169982,2.572996828,191.6935618,0.024078012,0.94047213,59.29310774
1,0.584604132,0.966401219,134.7029958,125.9138845,0.951530933,137.4322502,138.732139,0.997430801,139.6955344,113.5358999,0.362858713,127.9120826,147.1385134,0.993783176,127.0173879,100.1609316,0.848349214,105.9914609,136.0470067,0.606516778,82.18653075,76.4969935,0.959318638,87.39145038,106.0927381,0.194023311,3.596014625,187.4867841,0.748613238,104.4692425,117.5545583,0.944064021,84.71041447,129.7126639,0.606365561,70.95573892,161.50554,0.57089752,34.53226801,148.5321571,0.10860759,4.676054956,187.3180253,0.048687428,5.394604858,187.4107073,0.025175005,15.89699582,188.3151432,0.005647093,-1.407501183,55.04150695
2,0.57580018,0.988823533,134.8078452,125.2173796,0.992737651,137.0969516,137.0387236,0.999450445,140.1693318,113.7196912,0.378413826,125.4452077,148.7375888,0.993881583,127.173516,99.57475031,0.794980288,106.2427581,136.8173206,0.540810943,79.52721452,78.62937441,0.916916847,86.73118563,110.4489505,0.136606604,2.142143869,190.6786195,0.770273089,19.47276902,190.4086689,0.951232314,85.71097651,131.3053263,0.632351875,70.42014133,160.5037039,0.59289968,34.51141396,143.1317664,0.021740586,-3.503298718,188.9582602,0.031351119,-2.004753618,195.1028256,0.033716321,1.992525441,192.1623361,0.012416363,-12.2420316,194.8364593
3,0.553446424,0.996132135,134.7339995,125.4660434,0.997896671,138.0495816,136.0359365,0.99994278,140.6356434,113.7213249,0.413077801,125.4488164,148.7246655,0.998110175,126.9591477,98.9251107,0.710861683,105.7903329,135.7229245,0.375345111,82.3152273,76.01617363,0.836664915,85.10524564,110.7840297,0.132731229,-2.813300658,195.3362252,0.810808539,100.3489656,138.6203403,0.925727487,86.03812495,130.7557448,0.670996249,69.99731171,159.0542705,0.494036317,34.50180073,142.4492334,0.010925323,83.07977455,154.7171261,0.014167607,85.58743709,82.23632812,0.014563888,130.4176786,144.9589502,0.006601304,127.5145082,142.4236184
4,0.548345403,0.981547475,135.2271331,126.5869567,0.996442199,138.9295973,136.6930863,0.99992764,140.7863096,113.8272106,0.334860831,129.0714122,152.2748054,0.998510242,126.6123157,99.25715414,0.809184432,20.04187118,69.98697917,0.487668186,87.42106425,78.63892059,0.773599267,85.45956349,108.0099095,0.07651794,4.460182904,187.9701886,0.787835956,101.5175976,133.4130433,0.948594332,82.95402841,130.1705632,0.441079587,68.75420007,161.9111365,0.591696858,33.21989481,147.3667437,0.035915971,0.244660229,188.7615578,0.018238902,5.493856328,191.2957924,0.028336287,131.722054,143.5392283,0.011915743,-6.568143275,190.3114027
5,0.533312917,0.985299408,134.0293749,125.6709752,0.975612283,139.9215336,138.5469335,0.999776363,140.2518702,113.9662458,0.285593152,132.1806726,146.8387904,0.997040391,126.914733,99.57170236,0.687863529,105.0595325,144.7597486,0.358086467,82.74480508,77.88843048,0.961725533,87.92475592,111.0896901,0.068989605,84.22162117,80.63240042,0.851861238,21.69590563,190.4371245,0.911015511,84.55523735,130.3022711,0.40750432,51.37761758,174.6088629,0.506363153,34.14357541,142.6151759,0.012836844,79.71894263,77.4275198,0.03060326,85.89378633,77.75212625,0.01644212,127.0969394,140.9791228,0.009706408,277.2717209,51.06595272
6,0.573323453,0.972994804,133.5435686,125.8544129,0.984872699,138.825138,139.4090029,0.999781251,139.9334572,113.886353,0.222141951,130.3559028,146.9229259,0.994877338,126.5997581,99.41319688,0.85308075,109.4042847,138.6028451,0.425539732,4.826078379,66.8849485,0.97111547,89.03634861,107.8425528,0.288080215,1.547942239,186.2343214,0.693581045,103.7884041,135.1865344,0.944581151,86.71164219,130.7988428,0.600032449,68.2343177,162.1173972,0.466555685,32.98494984,147.8976962,0.11087653,4.803350594,188.2484053,0.166341364,3.873889175,190.4783084,0.037632257,5.663079918,193.4756115,0.014414012,8.988098068,191.1470281
7,0.574932624,0.960998416,132.9581066,124.5947327,0.966382384,137.3966868,135.4620445,0.999778748,139.9871377,113.9006418,0.343195468,130.5157981,147.8960382,0.995078921,126.5704734,99.53579754,0.797925174,110.3341039,135.3596091,0.395590454,81.43388879,75.93078232,0.988279939,87.40339224,105.4709323,0.099153697,83.59971179,81.02728035,0.819909334,19.20909715,190.3642663,0.974891245,90.07686925,130.6571741,0.724507868,71.92822327,156.8971525,0.631545961,34.53527024,148.0152373,0.018613547,70.58945483,40.75894512,0.043255746,84.02935661,83.32496976,0.008442372,9.429808961,194.3556151,0.006305337,-2.643578728,191.3180302
8,0.591735258,0.949415565,132.7733156,125.3353962,0.980218649,136.8971525,135.6245855,0.99970752,139.8405314,114.0914311,0.31545186,130.6270604,148.1436291,0.995742083,126.0552727,99.12761636,0.790475011,111.373832,136.8286224,0.672429323,81.06498347,79.62786995,0.992334962,88.62581441,106.2518166,0.088479728,85.20252394,116.2857829,0.874703288,17.83813019,190.6880072,0.958835602,85.47863145,130.0430492,0.645064592,72.39463244,155.2905182,0.567060351,34.53761716,142.7979918,0.065579742,75.73812763,84.2780143,0.136505961,83.15021872,82.95177903,0.020748913,277.1888167,53.01888265,0.006746233,276.1310813,52.26201013
9,0.605732576,0.945952058,133.2934662,125.151227,0.962249756,137.2678195,135.8385514,0.999488831,140.3033318,113.6623044,0.407558024,130.5195288,148.5778153,0.996158719,125.7895526,99.02029202,0.672348619,108.6339463,141.6324199,0.704374909,79.09578969,72.41418198,0.992075086,87.40526978,104.68038,0.197054088,66.9764418,111.5920895,0.9185884,105.115822,114.9238866,0.973064423,87.04737364,129.9202169,0.663712859,73.08234702,154.4218896,0.566087008,33.81614656,142.3536132,0.075469255,79.04346861,74.9789082,0.110310912,83.92011816,77.33995835,0.090232849,130.0348807,143.2394809,0.022727996,127.5084611,145.7664492
