Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.570858694,0.976805687,188.7165579,116.341219,0.981568992,195.4121435,128.6542579,0.999455333,195.6696585,100.9351958,0.633105636,174.321478,135.3572439,0.993849874,177.087442,88.76734892,0.65973407,109.9443079,55.3179985,0.881747365,112.8040755,62.01326711,0.806907654,122.3261694,100.4805029,0.719211102,83.55207236,49.47485077,0.133726776,29.00256515,42.92918764,0.922294378,132.1238467,182.1887679,0.154650837,132.931943,208.3120952,0.035669982,109.3049825,207.9390996,0.55829823,25.46114385,40.48670851,0.100141704,33.47769634,173.6776783,0.12505275,189.9976714,128.1807896,0.022377431,21.14953507,42.97804624
1,0.557448817,0.973513603,188.0343784,115.630023,0.98531425,196.6158147,127.7532723,0.999503255,196.2296641,100.9158108,0.524310589,177.2176503,132.1803556,0.998372674,177.1579349,88.99366515,0.785619617,147.3417384,150.3435159,0.921343327,115.8753828,62.39851553,0.644450903,125.1756471,100.2698287,0.785664856,86.87250678,50.84081909,0.226799011,139.9504404,118.195688,0.732463062,148.7913546,180.7891503,0.190072149,132.1998869,214.3480805,0.062874705,107.0349441,216.6174118,0.434473038,24.61883583,40.08364788,0.154174507,29.41645209,40.58877209,0.034074128,23.94094631,39.64988832,0.023606211,13.3180814,42.04861111
2,0.497799763,0.982656777,188.7315172,116.4522252,0.980691791,196.4507257,126.6457821,0.999450803,196.6019039,101.0137109,0.309708953,186.6748717,142.8405533,0.982950926,178.4804761,89.74747142,0.463342369,150.9859746,150.0947912,0.758044899,118.251819,63.41122669,0.374937594,22.53309614,42.93734395,0.789613187,86.72696117,50.4992051,0.127402186,186.050335,197.855342,0.596018314,143.4114096,184.5470993,0.126554132,75.37750054,95.29301752,0.064263433,106.2150339,216.9638538,0.428220958,28.12649349,40.24701789,0.29648754,27.98174645,40.00184706,0.057374001,23.65982341,41.655627,0.124878109,26.06352655,45.24718248
3,0.502424428,0.981101513,189.650315,116.1271067,0.992087483,197.0608639,126.5204505,0.999516606,197.2289643,100.6103942,0.482488573,175.2943098,140.8349061,0.974406421,181.7166896,90.4469145,0.42892164,150.8034269,152.9456587,0.879442275,120.183267,66.31459211,0.286541283,-2.580133026,43.00158859,0.846781611,87.29368441,50.90468579,0.172406822,94.98467492,51.85258539,0.802896976,162.2973846,182.8958675,0.158488035,83.62202276,99.14978104,0.073354423,108.5933599,216.045373,0.180893421,28.96850434,40.77576979,0.083518833,28.29413063,39.80418764,0.118029743,26.14718967,39.96803312,0.080339611,28.52635378,38.79282367
4,0.586077373,0.983799994,187.7863486,115.9846578,0.989790201,195.9456319,128.5243421,0.999348164,194.364003,101.0445805,0.558010459,178.636214,135.177354,0.961431146,181.6243977,89.16363091,0.563175321,149.0695834,146.4596135,0.791892052,112.499683,64.07817864,0.620544076,130.5826091,97.5386236,0.840995431,84.75622513,50.56610146,0.222549349,151.695037,111.6424172,0.857220888,153.1022379,182.8035756,0.335365504,82.67829885,156.3182253,0.099223584,118.7247264,218.1538945,0.60602355,26.84335011,41.34852187,0.357625842,29.48917918,40.75022799,0.109762967,15.23101921,41.71259924,0.066556811,21.01609286,42.91709338
5,0.525522721,0.974614382,190.2089673,116.5984536,0.977413416,195.393612,128.0069347,0.999657452,195.263233,101.811432,0.229397476,180.834772,135.4021828,0.961867213,181.8455202,88.55335859,0.684039354,150.7077945,147.6527875,0.584137797,116.4476167,60.63666145,0.631474137,130.2037005,97.72815719,0.576867759,84.97761587,50.50356976,0.228551805,153.8812446,111.715824,0.818744421,163.6771784,180.3549031,0.210306764,80.89468852,150.4722612,0.128106445,67.18715253,181.489398,0.446720749,25.57349578,41.1813785,0.274675667,28.74826877,40.515536,0.089314938,22.31996229,43.22691728,0.117996484,28.86386219,45.21468526
6,0.582439097,0.983748078,188.0881686,116.013845,0.975023389,194.0753745,126.0122723,0.999596417,196.1693635,101.3713449,0.520273447,178.9702935,137.3706695,0.872704804,183.7619114,88.43322068,0.577300727,151.7673099,144.8116856,0.766696215,126.3873893,62.96261753,0.898323417,130.9082763,97.67602509,0.726122379,83.79005004,52.56532362,0.382342339,154.9932823,113.4522033,0.925654888,164.211569,179.8155626,0.289041102,149.9163643,203.1554795,0.222199589,84.75780397,92.28904543,0.464678913,27.61028999,45.46235541,0.251826584,-7.661806409,41.17310028,0.020306945,194.8897009,184.9638635,0.025625408,21.43478489,44.36912965
7,0.547725495,0.991988957,189.3865212,115.5439368,0.992066145,194.7411073,125.8117295,0.999628186,196.0480308,101.0873981,0.527646244,180.8287614,141.1731673,0.965592861,182.8975134,88.37089624,0.409461915,152.3586849,148.8207124,0.770341039,124.6963634,66.55199068,0.79396069,130.9787448,99.63891571,0.771634042,85.63188836,52.35694152,0.393103331,152.9096808,113.8569342,0.831245542,161.7349773,178.9253911,0.083096474,143.9924825,202.4048796,0.077866286,12.63609087,124.2390981,0.468148649,30.03100677,42.54804175,0.167362273,-6.328086139,41.75839161,0.047283173,74.96080339,156.7671636,0.020907611,16.05998026,44.23563563
8,0.562091252,0.994915009,190.1011797,115.0166296,0.990733743,198.0182974,126.5910166,0.999648213,196.0199897,100.9775378,0.455572456,176.5204749,134.8995153,0.946273923,183.3287736,89.38458275,0.546225071,151.5850548,149.549111,0.73499012,111.172704,64.31434584,0.634772182,130.5524345,98.68839488,0.900916815,86.62244704,51.155093,0.410649568,153.9910073,111.6959879,0.888346076,168.4917047,177.8211074,0.138248056,95.39340473,104.7009597,0.057278872,8.621787311,123.8982156,0.286126494,26.36099102,41.84857429,0.357712924,28.2035639,41.58007447,0.159023374,24.10404505,45.07369328,0.054118395,30.45588156,45.32271063
9,0.57462992,0.991104841,190.3685091,115.5562505,0.990403414,197.7434945,127.4457343,0.999620438,196.9479313,101.0919578,0.371226996,188.8669924,142.5516079,0.884822726,183.817189,88.8891693,0.669946373,151.0423616,149.5085977,0.834617734,116.1550747,69.173299,0.910985827,132.1043764,98.56920792,0.876128435,89.31809481,50.48828735,0.357269913,143.1203062,128.7400881,0.878020883,168.1644161,176.5730581,0.152854472,150.4807345,204.7334874,0.076921374,64.8586057,173.9239769,0.135513306,30.47926237,42.91665447,0.301019073,27.1805202,41.69237306,0.202508211,27.14014708,41.17122884,0.135744631,26.90518383,42.71986067
