Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.674582387,0.990000784,124.0560384,120.1842789,0.994474411,127.504133,129.8750585,0.999908566,127.595925,110.2214517,0.77276051,110.6910673,142.7773023,0.978745639,116.2344433,100.3398218,0.817531288,88.68067138,142.2664053,0.784460068,77.48771067,89.39031289,0.683708847,19.31006195,187.2646009,0.352562129,19.47582612,188.9569191,0.787856817,94.46189699,121.7631403,0.755405784,70.17682974,139.7101402,0.584613204,60.00037185,137.1934984,0.331157893,48.22973663,141.7596535,0.309712946,19.6979697,186.7241144,0.643158317,22.07206812,188.1496518,0.261663556,64.55726119,139.4818976,0.420179814,73.13045583,137.140525
1,0.700133886,0.986276746,123.6592931,120.4546075,0.993394136,128.2575857,129.6258705,0.999880314,127.9049625,109.8877989,0.86447084,111.3482536,143.2371035,0.976988792,116.5032601,100.2428605,0.870185614,82.1481449,124.1475012,0.823899269,78.31171729,88.04218116,0.630256474,81.05991168,126.4685379,0.682802618,19.65155707,187.6795851,0.643990159,17.45803738,103.1915184,0.794184625,15.92162781,100.4417696,0.528794289,61.07855293,143.1907747,0.415622145,47.24457587,142.2338898,0.803484797,44.18869419,62.98153919,0.39018327,21.01586274,186.9754604,0.169311136,18.50765614,103.1122596,0.328550845,72.12780899,136.0296699
2,0.657753992,0.991097093,123.6427122,120.2267186,0.99480927,127.3940655,129.3877648,0.999843955,127.8445156,110.1419246,0.812347889,110.4019999,142.0437466,0.970618844,116.9349348,100.4817464,0.905022025,82.17377814,123.9589429,0.895614028,81.2378265,89.08123878,0.50534004,19.12803393,186.2957924,0.633634865,20.96411773,187.104669,0.620729804,90.40287775,159.1912819,0.861973107,71.01019356,138.8931316,0.401271254,62.00721998,146.1622801,0.308383822,48.53415348,140.9645536,0.731213868,45.09452601,61.75422811,0.326816499,46.28528,63.80133963,0.046652675,17.8943313,106.0961762,0.176448822,72.45994387,134.5777007
3,0.636426938,0.995504737,123.0491671,119.3995055,0.993212461,127.0529514,128.6129765,0.999863982,128.4509963,111.0096876,0.665845633,109.2501804,142.3096861,0.977416575,117.3635617,100.5366217,0.877480447,88.98597822,141.1374088,0.85206598,88.93745489,88.32270209,0.728824914,21.06247958,186.6668374,0.698218942,21.95026298,185.8452813,0.60253036,74.60634534,138.4478264,0.917723954,72.26079705,136.6328954,0.427251667,60.72424118,145.116078,0.334221542,52.88040218,142.8331529,0.370312214,48.03639006,62.40268512,0.16602239,19.57411329,186.8608088,0.047645748,125.6194162,134.3605405,0.1651164,73.27725719,136.2755296
4,0.688057707,0.975954533,123.1135763,120.0946815,0.993993521,126.3118612,127.7477128,0.99946022,129.446261,111.0235984,0.755320847,109.8957236,143.1924084,0.984422803,116.4673431,100.6254023,0.597040713,87.029025,145.9100319,0.916198492,83.2859987,86.54551683,0.502095163,21.30953099,185.7696678,0.770568073,21.89880295,185.5592862,0.492650658,76.62925006,138.5334738,0.894660115,71.80234911,139.0105386,0.618754685,66.00859034,146.1075633,0.453755647,53.8414994,144.9179371,0.865107477,43.933139,60.68244772,0.437647849,43.46361787,60.89052503,0.08172521,18.62878616,96.41374795,0.357625008,71.278669,135.1839132
5,0.678069926,0.943946183,123.5323399,120.7312027,0.994459987,126.5449682,128.5258783,0.998389602,128.7365646,109.6586908,0.651608944,111.1972095,141.6674104,0.98545754,116.7224441,101.134751,0.74665606,90.08078891,142.3497362,0.64812851,91.03354693,83.44340083,0.690605879,71.95160103,130.0546558,0.889047503,21.16909832,186.7141659,0.750352144,72.8985009,137.9969252,0.989434838,73.04115095,140.3218267,0.511707425,60.36461991,145.6262801,0.403290331,54.01507393,145.6516025,0.599081695,46.13790257,61.92659566,0.152755171,45.94414757,62.30535805,0.076280534,71.7031506,136.0689275,0.495986402,74.18175401,135.9709055
6,0.674504305,0.967378378,123.4919973,120.6566499,0.979608834,126.2141439,127.9814295,0.998582125,129.2454378,110.2381301,0.571723461,112.0468921,141.3512406,0.985560179,117.4280197,100.5789028,0.814151287,44.75512787,69.73111004,0.654512823,84.52667808,101.0119918,0.786777496,77.20381262,128.1059808,0.717744768,22.00919505,186.2970847,0.626532614,78.12407952,139.0775447,0.993065,73.52167822,140.7124395,0.469180346,38.79216836,140.8819542,0.439829856,57.23432258,140.4398798,0.640344739,47.73152517,64.48678654,0.288434565,19.54157797,185.1661254,0.198368102,68.41474402,126.5341053,0.334778607,72.98177693,134.7080676
7,0.673701171,0.978050172,122.830678,120.3744587,0.994824409,127.9082909,128.9122362,0.9992944,129.2483029,110.9495821,0.571152449,120.6078096,142.2733668,0.991060078,116.8070064,100.7684852,0.754522085,79.58762484,122.0230693,0.733818173,88.17224319,84.69471754,0.641376853,22.7648941,187.4152427,0.722448409,23.03007776,186.0218916,0.645912111,73.56598319,141.1619265,0.9797225,72.10235253,140.0114237,0.482596338,59.85596618,146.7537526,0.540310621,51.08546873,144.9731903,0.641344666,47.87221539,60.95716536,0.413016379,20.29035971,187.6323053,0.085577011,51.92405977,166.5872006,0.277893245,70.28537936,135.4575214
8,0.681391337,0.988299727,122.3750829,120.4151061,0.99400568,126.6145589,128.8006569,0.999635816,128.2092087,110.9499966,0.48504135,120.476443,141.8262085,0.983210981,116.6078047,100.8212391,0.714368463,86.13362325,139.8992958,0.612216413,89.23524549,92.51653207,0.630037248,22.22636591,186.8390342,0.730712891,21.42413383,186.7537161,0.665401042,74.91605952,142.9308457,0.958497643,72.71620313,140.4263835,0.51750505,57.58143507,144.3408996,0.358252764,48.582689,146.41871,0.697081447,48.78775188,61.04975592,0.60159719,20.91260589,187.2459718,0.140379757,75.4755774,139.9475509,0.507409275,72.2304212,137.2154924
9,0.721404751,0.987651348,122.0906118,121.0868982,0.981279075,126.4225382,129.069681,0.999715269,127.194559,110.7507827,0.580612004,110.263233,138.925318,0.978277445,117.5766254,100.6866417,0.783689499,83.68834001,142.4734219,0.625442564,86.63421212,84.52371547,0.648488402,20.06625324,185.9569581,0.725992262,19.60716829,186.654548,0.678706944,97.15059545,120.8074745,0.927929401,74.52117348,140.3705573,0.628909469,62.15341175,148.2266308,0.419761032,50.45012704,146.4598817,0.858232141,47.76140115,60.61263752,0.529440582,49.98698221,60.88485584,0.31741792,69.85983707,138.0586279,0.592335403,74.23551371,135.5277583
