Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.62252096,0.948957443,201.0860082,124.854491,0.957452059,205.3867968,130.8459396,0.998673916,207.9080836,111.8437281,0.31479758,198.6382135,141.4143941,0.992563844,193.2483809,98.79595086,0.485863417,161.1446995,139.642683,0.835353374,151.4517498,99.74261909,0.462979019,78.66658986,191.7951681,0.647272885,84.55038502,54.0917603,0.912451506,145.2628306,116.246696,0.942918658,124.7741593,171.2047685,0.386003524,126.5463215,98.8670412,0.348697007,98.23569537,138.587203,0.415781349,82.37244948,55.12301518,0.752742112,79.67681999,54.2289911,0.169752657,197.0393332,136.5978074,0.010595977,108.3042193,178.8182009
1,0.576770285,0.908448339,200.4701033,122.5851962,0.82288605,205.9290877,130.3645833,0.997866571,207.6499834,112.1595198,0.399395883,198.0873152,140.0951569,0.993554831,194.0338737,98.7024764,0.56126225,159.1080241,123.9799616,0.535997987,148.9394239,82.28446132,0.714484811,78.11226567,193.0476797,0.599946976,80.7448636,54.19961498,0.32537511,149.8309364,142.480993,0.97730571,137.6297694,118.9491163,0.652037621,138.4413282,148.4030338,0.354307175,113.5567357,230.683228,0.215024263,81.06825696,57.23403607,0.221070915,79.30420227,56.42122152,0.511292279,196.7902427,135.7977455,0.01483807,11.54378103,72.92599339
2,0.587382083,0.947170079,200.0874883,122.0725436,0.898543239,205.1953613,130.7965141,0.999441087,206.4179297,111.8840097,0.571602821,199.6534849,139.3879233,0.990873337,194.2686144,99.03688505,0.483713448,167.3520526,142.8199614,0.711252093,151.4324624,82.35316206,0.591922164,76.8475258,192.1518756,0.623511076,74.80024969,193.2103182,0.378764987,158.9208436,131.9202437,0.892505169,125.9994221,172.8963795,0.561567605,136.3752707,142.1800752,0.557498515,97.90123795,133.2849441,0.245963722,79.74630711,56.28279592,0.412578285,82.00904265,58.60832529,0.104961991,198.1470184,136.9906635,0.013625801,128.9732561,175.257515
3,0.5250078,0.925373197,200.6956149,125.3953798,0.885113537,205.2769975,131.3167988,0.999533892,207.4703496,112.4518302,0.367250025,197.395748,141.9881154,0.995265961,194.6891947,99.56398496,0.569568932,165.1498981,140.9712713,0.317576587,153.8699672,82.45768229,0.422757208,75.48876892,194.6862077,0.828661501,73.88542032,193.4576408,0.446528703,138.9174664,120.6315348,0.954633832,137.7131247,119.8423358,0.422610044,136.0617222,141.6905992,0.418745786,103.9859843,127.6448751,0.112121642,78.87161312,56.03840536,0.218082696,82.36017234,58.85048475,0.027414799,191.7334777,138.5184901,0.01389426,128.7001112,176.3433891
4,0.569170317,0.932098925,200.5054351,125.3075623,0.913489699,205.3375907,131.9883227,0.999464035,207.5447195,112.4122557,0.413214743,195.0082904,136.2325048,0.996712446,194.7633329,99.22122493,0.637940586,169.6707119,141.2202764,0.523295522,151.6325784,82.82875166,0.488176942,144.7457158,119.5545485,0.882470608,75.33768824,195.5795978,0.27526027,161.0247079,129.8944922,0.968420267,134.8368251,121.271677,0.553895056,117.6465819,133.5125161,0.422325075,96.54752238,136.6621801,0.105319291,79.6285283,56.50584474,0.354180813,78.2292642,55.75443415,0.060901165,192.4325916,138.2892478,0.14872995,129.7516166,176.6047324
5,0.601105949,0.954109073,200.9714054,125.2758027,0.870524168,204.8433599,131.7631159,0.999584913,205.9421573,113.0171758,0.320276022,198.9991149,140.7368841,0.994540691,193.8673948,99.57868826,0.477991074,159.4303629,140.3736662,0.33637169,162.3990032,104.1317372,0.627245069,79.23767776,197.0907459,0.896425486,77.74167179,198.5535659,0.851549268,139.2754784,122.3202564,0.909178138,133.1191357,122.4840897,0.36059618,128.9925435,148.5594545,0.448319495,113.206685,228.3485731,0.325074434,79.93401193,55.26041057,0.664843976,79.80118846,54.38622864,0.101438463,128.0111287,176.0448853,0.080733001,133.2478689,168.7392956
6,0.61677403,0.917664886,200.3839683,125.6718531,0.865729213,205.2418364,131.8505311,0.999488473,206.8868992,113.0247591,0.389450371,195.0363803,136.3774286,0.99420476,191.8108468,99.70549508,0.623365462,169.1223983,141.3095691,0.322592318,160.7935028,107.6879852,0.833646059,80.53283006,198.9921534,0.830476165,78.95018312,199.2842443,0.881752253,133.8185301,124.8113808,0.939027905,133.6724114,155.321339,0.399598449,145.1169315,139.4792398,0.292566657,116.1459796,229.616178,0.286747813,79.07316172,54.49341887,0.517628849,80.39417891,53.26358409,0.278701574,129.0258881,179.3329871,0.112517297,130.1928863,174.1309447
7,0.636726157,0.976373196,201.2808574,125.2670612,0.917084813,204.8632325,131.7742714,0.999704719,207.2905938,112.5892317,0.389118761,198.2122445,141.9504184,0.99396497,193.3886963,99.32113667,0.739118516,170.3368104,123.7646423,0.260869592,154.9705324,81.29497552,0.865029693,153.1015918,115.0224817,0.825568974,77.01161512,200.5913994,0.95506382,137.1153612,125.2919568,0.977126837,137.0360292,153.0365486,0.421668172,144.2261992,141.1162439,0.442717969,137.6602733,137.5294432,0.268951952,81.58250673,54.38755145,0.663567781,82.19646097,57.69735463,0.051869541,135.4869645,177.9821366,0.076545358,137.6249781,172.6528119
8,0.637489378,0.963902712,200.6299255,125.7540623,0.868481517,205.1744402,132.1280772,0.999487281,207.1871586,112.7605752,0.462736189,199.9810418,140.5415716,0.955880105,195.6597466,98.89682575,0.578726351,170.6172582,124.0088927,0.224305153,181.4959816,105.7800674,0.919446349,150.8663731,112.0342126,0.846226096,79.07073556,201.4821805,0.983342469,136.2699214,124.47963,0.898275733,135.092682,124.544344,0.652739465,143.7109863,157.414121,0.38590312,113.6657303,229.7253189,0.272917509,84.54227748,54.76112013,0.625908494,82.76084338,56.47622479,0.130441755,125.0914506,184.0526734,0.068599135,127.6686125,181.7279182
9,0.627113945,0.959215045,200.5726484,125.6418612,0.922638893,204.5547558,132.1105454,0.999538183,207.4682038,112.7456646,0.389875531,197.9843799,143.0190289,0.992607117,193.3396609,99.79940845,0.483050585,123.603284,177.0726289,0.324100435,151.8044583,86.22122737,0.648312688,150.139657,116.2968652,0.839910626,79.09418647,201.0864349,0.96577698,136.2264089,122.7148316,0.89898777,125.9596647,164.9802493,0.357701957,113.4744899,153.5560652,0.445998907,114.3156991,232.0340297,0.340437353,84.66588395,55.15311061,0.613122761,81.72465083,55.91762128,0.307010472,125.3921855,179.2691509,0.172651768,119.5801391,181.6794437
10,0.695559851,0.977978945,200.9952159,125.4834167,0.944737911,204.5421617,132.1425732,0.999550343,207.2656982,113.0875468,0.529159367,198.0636753,142.9076813,0.993981123,193.8637982,99.60429102,0.590393007,169.8402875,132.7788994,0.839441776,151.1708753,83.20829432,0.617845476,150.3103421,120.8155089,0.879222393,79.58697258,203.1272921,0.994432509,138.9380706,123.8205783,0.872761726,124.469523,167.5293822,0.721611261,146.4057379,152.7682926,0.470949531,135.0388552,149.7553107,0.346645743,86.28358229,54.32928078,0.672003031,86.7272111,53.98825809,0.112475336,131.8853996,175.9546173,0.261327982,126.91238,170.7481127
