Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.499977866,0.969355941,201.2401978,127.6394741,0.998246193,207.3973451,140.854096,0.999319315,209.9461367,112.8686798,0.191654354,189.3504213,147.6382549,0.994624496,191.8730859,96.73961016,0.582274795,137.0429419,187.6016308,0.621183336,130.4410746,68.55746723,0.969400287,138.5620879,108.1400569,0.305850267,16.57673392,55.40181097,0.862192869,67.56159293,52.02138684,0.149585307,167.1399886,121.6022087,0.074713975,114.7371937,224.112974,0.173879743,118.6904187,225.9656143,0.031434625,6.415996575,52.42640425,0.014204293,137.7373498,75.87815036,0.3707259,65.60219525,52.80149081,0.19097802,65.34917291,52.8916613
1,0.536513579,0.979675293,201.8077257,126.9099295,0.994074762,206.9127702,141.1601953,0.998289466,210.5956665,114.2036566,0.583657026,214.1606439,100.2630135,0.985790133,189.738608,98.03419554,0.464426965,153.3805278,138.2128662,0.792818904,129.9580237,67.55469238,0.986453533,137.2743909,110.8062554,0.560674548,17.45950192,55.61977582,0.713379025,160.6017746,123.477294,0.180657893,158.3161551,124.9907464,0.084808528,131.494226,220.5181268,0.181557447,119.5081344,226.0615149,0.033398867,150.3612915,168.9674772,0.037991613,138.3896716,77.26532021,0.398347586,66.0298894,53.25328203,0.144729257,65.71446946,52.75174221
2,0.527442015,0.97037816,201.5637314,127.7100646,0.997909784,207.1116671,141.5626341,0.997906089,211.7817816,113.7610945,0.333511233,213.6140615,100.547704,0.991949499,190.8207392,97.76436681,0.616720915,139.9496723,186.4491163,0.575855911,124.6771736,67.84423523,0.705813408,135.1454115,123.3594969,0.538324654,13.43948421,55.8449643,0.856134415,68.33533888,51.924901,0.117185116,154.1133763,125.9465585,0.184312761,132.9575092,220.543949,0.318804294,124.5754696,224.4005296,0.022756249,148.0740627,170.4993758,0.03851828,116.6759446,231.9258642,0.524844229,67.4243987,52.36355557,0.175589263,66.70629608,52.63103128
3,0.5394522,0.988800764,200.8236652,128.0160176,0.993004978,206.7652251,140.9994587,0.999123037,210.1343779,114.7786946,0.407153457,191.1604391,149.2363062,0.996994376,190.1534215,97.32259724,0.760428309,143.42059,151.0469579,0.682317138,128.2020887,74.7437895,0.893298805,134.575494,115.7541842,0.610611558,6.774992258,53.00314304,0.89005661,67.26086411,51.04273954,0.130661458,64.10822531,49.3721837,0.056078613,134.8115027,220.8948531,0.242590755,122.6380964,226.6849544,0.030716836,120.5364754,242.5648116,0.100082964,116.545846,228.9587479,0.254789025,67.09206875,49.83993397,0.133978724,66.06050908,51.01618582
4,0.516328784,0.97598207,200.8072185,127.5497059,0.994038224,205.3530255,142.0105605,0.997411847,210.175318,113.1332051,0.392590046,219.8080281,151.6884534,0.993056595,191.5804219,98.01798045,0.862990737,134.1200209,113.3520233,0.562190831,131.8759144,75.24056843,0.778230786,133.0820117,114.0407133,0.353956163,5.87468408,56.43697941,0.88685441,67.98325214,51.67788311,0.078321666,167.8931243,120.8598871,0.039589375,105.4063036,127.0275071,0.149269521,121.7524847,229.7666003,0.050911307,114.6867197,142.0540243,0.103471249,116.4467267,229.3109443,0.348190397,66.49628028,52.67512289,0.210534096,66.14101148,53.2063924
5,0.544906609,0.982710838,199.8059554,128.1779368,0.993507743,204.984809,143.0676864,0.998114765,209.3018005,113.9411307,0.332931876,190.67662,151.1336537,0.996470094,190.3242041,99.40458948,0.741859496,139.0814217,111.6519999,0.550971448,130.776739,74.38727713,0.978765607,133.2578174,112.720391,0.57756722,11.38361746,57.09160546,0.904231429,68.34542759,51.14949697,0.17479077,64.10179414,48.92336118,0.075941473,133.6289233,219.6146662,0.359458148,115.7698263,229.3773652,0.039002955,113.040901,223.7517069,0.147948503,111.5880418,227.0044037,0.297633618,65.49332256,48.85135036,0.111506373,65.63988618,50.83383929
6,0.496665394,0.985398531,200.6688661,127.5384651,0.990732551,206.6190699,140.8153017,0.996972799,209.3839,115.1587127,0.181721807,213.4832924,102.0524271,0.998015285,190.7065997,98.6987579,0.716345549,138.0378409,114.0893219,0.391924113,125.3039901,74.2343433,0.968166947,133.5902388,115.1877292,0.121464431,7.863064693,55.55482405,0.930264711,65.80021433,51.08435622,0.173520505,164.8124171,126.3255403,0.065412939,126.1351533,223.8670168,0.29052332,118.5685861,229.7519702,0.050709546,112.5377824,225.6338756,0.210947007,112.9816977,227.4693011,0.236285716,68.45058179,49.27688046,0.134905934,63.73521745,48.86278017
7,0.52786608,0.991366208,199.6475963,127.9317967,0.998946309,205.6306326,142.2134929,0.998170495,209.5461971,113.5657698,0.283718109,197.0094633,155.4852699,0.997439742,190.3025393,99.32669612,0.708445966,136.3290516,111.2608629,0.570732296,131.4157596,69.80226133,0.921912611,135.6984312,116.6819796,0.177797586,72.14826072,205.8995348,0.87700808,63.74827486,51.00383554,0.13121894,160.4483653,124.0828115,0.081032991,103.4746484,121.5152324,0.228542686,118.5516517,226.8670997,0.240785509,113.6559159,223.4794154,0.192544401,114.4892127,224.3436671,0.351969481,66.84524593,51.6718116,0.222091943,65.92366841,52.42816596
8,0.519584668,0.99811554,199.3438378,127.3588069,0.998720288,204.9139747,142.8376639,0.998772681,210.19185,114.0049182,0.382662773,220.3631935,152.9330281,0.986481071,192.4663263,98.82652788,0.667366803,152.2416803,151.8011299,0.698946178,126.7877921,67.47401929,0.885467172,21.59632155,53.26311471,0.226020962,20.79788265,51.39250985,0.839056611,63.32839566,51.95200945,0.109492779,158.9608936,123.6160488,0.070666134,113.5095779,221.0328398,0.17287448,121.2229464,229.3088961,0.110318422,18.00634949,48.49227162,0.151432872,111.3135192,229.5619489,0.373805225,64.0794283,54.49550367,0.162739366,65.20225573,52.6807555
9,0.530264062,0.985294759,201.1418222,127.4466,0.996587992,205.334494,141.1118792,0.998402178,209.0838356,113.9032021,0.408006668,221.1605123,152.0289092,0.993389726,191.2925372,101.0460435,0.473092616,139.4086493,113.1791803,0.701470017,131.4406187,69.1755301,0.950077951,23.98008654,53.44933213,0.180426419,75.60526759,206.6979264,0.962076128,65.83404046,51.2758405,0.451947212,62.99214605,50.98895546,0.036272079,124.3254282,223.0470945,0.250319779,119.3414238,229.3068479,0.174657941,21.78995006,48.81519561,0.096656024,114.7672221,228.1460918,0.190456003,67.182605,52.72727328,0.165355563,67.5407023,53.09250888
