Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.507936138,0.966632903,226.2022813,143.6405055,0.987654924,230.3863823,156.7058267,0.999447703,233.0030577,132.5973758,0.478962094,218.7269575,164.9251424,0.976451278,217.165189,119.7543842,0.711950302,167.8277885,193.2556716,0.418331355,168.7183257,99.4042603,0.892810106,171.9059915,141.7078749,0.317596972,84.25605688,208.5611248,0.844882369,194.8917613,137.2365476,0.639876127,83.14443372,206.9725587,0.09655714,153.5307672,224.6289794,0.052908927,13.65555629,158.1424586,0.051494509,58.23096496,86.15996362,0.01949653,88.51371698,202.5622757,0.097145647,118.9155158,85.04245182,0.082715452,116.8853386,84.36560013
1,0.524011221,0.985809922,226.827769,143.1603684,0.982802331,229.928361,157.5140328,0.999669313,232.4643756,132.0875029,0.518426955,218.3929268,163.5863252,0.993842244,217.4278977,119.6197258,0.358403981,166.9038824,193.8432428,0.492130458,171.519658,98.19933335,0.975311875,170.3880647,137.6880096,0.261754215,59.49831388,82.91519146,0.862112522,-1.934193243,197.6353045,0.760169446,85.27082236,207.431604,0.113913924,154.947112,225.724485,0.066854954,52.78685457,222.1866466,0.232758909,81.94205485,83.09786107,0.033504874,172.2691362,109.3618694,0.176422119,118.6064295,86.4677454,0.094302714,114.4114656,83.04246157
2,0.550026003,0.950707436,227.2123469,144.9476363,0.960317552,231.906845,156.9269248,0.997693896,233.5395697,132.6112013,0.549273372,218.709889,162.7705968,0.989030659,217.7538819,119.5613637,0.541413248,164.9727757,184.9408698,0.486555368,169.5892464,98.2112935,0.954584002,170.5012045,137.4318723,0.518875659,55.69207314,84.47780119,0.874128401,195.3562441,137.2848149,0.786925435,86.87309808,206.4897882,0.131888062,128.1304863,227.6107015,0.039084285,146.4674772,233.7373205,0.184298933,78.8009373,82.4607912,0.021078438,118.8044485,84.1836986,0.166820198,111.7002307,84.87826496,0.197767109,113.9569069,82.44362516
3,0.487721876,0.922193944,224.2117519,146.4328647,0.752249062,228.8318069,153.8524354,0.981822729,231.2233975,131.5878345,0.891881585,225.508227,156.0302551,0.979403377,218.9980542,121.369382,0.494147509,172.0426371,192.793749,0.217125863,210.0659088,122.2146267,0.979819536,175.0105703,134.2955827,0.194811523,82.9571617,209.8490169,0.833625197,-0.239721315,198.0526539,0.507885635,87.68798523,206.9539784,0.186251104,154.0941011,221.8486413,0.060715288,10.73207136,243.4440836,0.04475221,78.09483751,79.00652749,0.023702025,59.50871347,82.2042881,0.138463736,114.2364281,83.12493904,0.082421571,111.8245504,83.54787229
4,0.540913531,0.889133453,222.3873966,147.082102,0.711119354,228.8639933,156.1771906,0.941475153,232.0491232,131.8356571,0.706729531,220.7677903,164.953915,0.959087491,218.4024852,121.2070239,0.729015768,170.3181204,192.6730991,0.250394166,170.8351011,98.58445985,0.963084221,170.8112296,139.2823302,0.727001309,86.11523194,208.0248566,0.875864983,0.955568807,195.4216897,0.316153705,114.7626014,79.25257003,0.135078877,136.4119314,225.1978484,0.169128895,14.05327081,156.2705066,0.215477824,81.30413765,80.15882247,0.043642968,86.93474587,205.2939441,0.313956678,1.361019596,72.60489817,0.249185652,85.92887431,208.1485789
5,0.53213759,0.91406846,222.6719774,146.8073721,0.613490701,238.4288682,154.6620192,0.977241874,233.5476163,131.0959323,0.786332667,225.1000215,154.7252458,0.982441783,218.0100314,121.1419076,0.661210477,190.7596705,149.0082465,0.298658729,167.6671129,97.34451808,0.937531114,174.938273,134.9771282,0.341339946,52.26483863,82.56414102,0.872726202,0.37984848,196.3312705,0.793718219,91.47005574,206.2487321,0.327106178,159.0852743,179.5071103,0.160439819,13.71884845,157.2754028,0.089978635,55.08756145,82.03204247,0.052310228,53.74798226,81.11610975,0.19660005,0.585346198,71.69450053,0.041143954,2.788257004,78.05304405
6,0.523005936,0.945381105,228.28125,147.6574814,0.862095475,232.284888,156.8572975,0.993136764,232.5696883,131.5588425,0.504816294,219.6489739,165.9141405,0.973936319,220.4719199,119.2799894,0.721668005,187.8679117,155.2641108,0.257594824,167.9885251,97.21805263,0.970098495,172.7800089,133.9755725,0.643011928,84.32300201,206.7786361,0.838602781,-3.238794753,196.4331207,0.264496237,5.453847059,79.05330739,0.245225132,159.1896848,177.0041598,0.136928171,13.68050069,158.0749161,0.065068692,158.2062949,188.6219862,0.044808537,85.04287243,205.822312,0.183747619,1.721467627,75.51962635,0.240484536,89.21796973,208.7383446
7,0.505573522,0.963889897,224.1720798,145.2776193,0.900695086,233.1484082,157.8769824,0.996429563,231.5349222,132.114398,0.558543444,226.0102606,166.443752,0.990979552,218.2590366,119.7409,0.533180237,189.3712693,148.4733683,0.247278452,204.131664,122.7152583,0.965042591,171.8655148,134.6948029,0.617894471,88.23051386,206.1571717,0.862724245,-1.169350632,196.7861706,0.186611086,-3.09736921,194.817367,0.345026791,156.9853967,176.9423475,0.150270969,6.726171753,165.3589507,0.058084697,156.3139094,191.2954998,0.036507159,132.5914506,84.29477801,0.12015745,-5.019805946,198.2610116,0.06143418,-4.761400544,194.240744
8,0.50589972,0.952821612,224.0143424,145.73141,0.962196767,231.4257325,155.0825019,0.999340415,232.8451009,131.8202223,0.395191252,224.3817055,164.3367422,0.994152427,217.5244567,119.4478338,0.441583425,187.3222803,151.5723266,0.159311771,198.1827647,127.818096,0.981349289,171.3123976,134.1172655,0.612331927,87.76167852,205.4288828,0.861959457,1.046617677,199.2955827,0.254381627,119.7143829,79.10206236,0.538169622,159.1760665,177.0602177,0.069476068,121.2623137,225.0730044,0.05569908,55.1012894,80.03369811,0.0838525,90.49712639,201.9834582,0.097192347,228.5805829,157.7302664,0.141285658,84.43772067,208.4776354
9,0.514794408,0.943188548,224.9017585,144.8793013,0.917217255,230.4785278,155.3493436,0.999653578,232.1689197,132.0331885,0.574298739,225.0764425,161.9697302,0.993069172,218.2267039,119.8880672,0.624798954,187.348834,148.6869319,0.268758595,203.0673572,123.2593657,0.973584771,172.8599017,131.9906148,0.212167978,55.81053468,81.64912268,0.883056283,-0.348830015,199.2237486,0.60445261,86.21788073,204.7156874,0.393891364,158.7375034,176.5223402,0.073465794,11.33851774,158.6195966,0.058071971,81.05435832,80.37256896,0.022054046,60.95697029,84.41575716,0.150806546,0.988787438,75.60756574,0.058968723,0.120732204,77.72623088
10,0.526828033,0.947669566,225.7473324,146.204866,0.871230006,230.1728065,154.9581334,0.999403238,233.0009119,132.092721,0.516031682,222.7915301,164.3540301,0.984549463,218.0271974,119.8541496,0.450325251,167.908681,189.5799928,0.538652956,198.0737579,127.7953583,0.973704517,172.8923562,131.8149676,0.148271263,51.31426903,79.04499259,0.763155937,193.8031074,139.4282903,0.819705546,89.94271077,205.8665438,0.278475225,152.8048679,223.7577052,0.053264648,119.9780304,228.1385329,0.030483454,62.98674508,83.52678049,0.019697011,63.68651734,82.24459416,0.43987444,1.816478639,75.57918325,0.121582359,1.184404352,78.54683599
11,0.503534333,0.936673641,224.3483244,146.4516644,0.968266129,230.0881223,156.5874444,0.999618173,232.7905304,132.193218,0.437939793,223.1645989,167.8616085,0.995967984,218.2164872,118.7530479,0.835450888,188.5233302,145.9195293,0.291101485,204.2202252,122.0979757,0.943074822,174.27037,135.0259807,0.378328741,53.0802866,78.73183423,0.798675299,193.0111043,139.0422251,0.348700225,119.1352728,78.80454608,0.156524867,149.5196556,221.6616436,0.06575647,10.50524232,156.8339502,0.086119831,57.8471064,79.96739915,0.048706174,55.9931921,80.08780528,0.100905806,88.42726499,208.0469725,0.16827333,87.72526773,208.9170519
12,0.564373691,0.967329383,226.2947195,146.2836493,0.955015779,230.2520775,156.9516132,0.999806702,232.526383,132.8679239,0.457857817,222.5287482,167.3955407,0.995608211,215.9904611,119.5467092,0.620148242,165.412302,188.6340073,0.555416644,165.7416145,99.79907928,0.95626688,172.4973178,138.9928483,0.92154026,86.84328305,205.3232044,0.863583684,-0.767669154,198.7000137,0.315310001,114.6461089,80.15659137,0.209324867,152.3180497,221.7355015,0.100218862,7.046394491,168.0725997,0.069993556,93.33794793,206.3793061,0.229214728,85.02307906,203.7132539,0.146686405,226.5611589,157.8170475,0.231030732,89.82635231,208.1472866
13,0.564381657,0.965477109,225.0637875,145.5306477,0.963670969,229.0669622,155.8084011,0.999802589,232.4122679,132.5321498,0.601821303,222.2531894,166.4420695,0.991933048,217.0667769,119.3323043,0.74835062,189.1517805,158.4644926,0.239942491,186.1678151,131.2933174,0.944039524,173.121757,135.1652597,0.870020807,88.49861135,204.3122854,0.743026853,-2.66539994,198.8357814,0.245481104,119.6166413,76.67911449,0.219632298,158.2919056,180.7282889,0.095604002,12.38939531,153.6286307,0.263478816,83.43479342,80.47029836,0.122904241,86.54037799,203.1912746,0.229045957,1.183271658,71.12588756,0.350256443,91.85932745,206.8520307
