Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.542659823,0.982165337,228.6847495,109.4925411,0.990471959,232.9341009,121.5437734,0.999349117,237.0638509,95.53606088,0.367386699,224.2615432,134.9703983,0.966645181,219.4863354,83.24162668,0.636470854,158.6674128,159.6475231,0.93643564,164.7027641,61.46693464,0.905344248,165.8612525,102.3289126,0.683649659,79.43936047,172.4716663,0.343009353,194.1005872,102.2790969,0.960774541,103.6094043,108.8225534,0.15035221,62.11449555,186.763567,0.132508487,33.13182436,180.5765254,0.022578895,117.4196927,5.788430965,0.042024553,172.8457592,72.87317855,0.050077468,103.4722588,88.20152788,0.055972785,106.0518468,98.3108029
1,0.539364964,0.995362997,227.9039628,107.9274198,0.987389863,232.4871742,121.1811164,0.999620199,233.7381252,96.54687012,0.351747334,224.3750244,134.6661034,0.995211482,215.6985897,83.83275788,0.632767975,186.9978201,130.0217136,0.550833106,166.3689187,56.03533913,0.88056016,164.7386933,103.0581158,0.565729976,78.7874288,170.9727587,0.607598066,106.7720891,105.2117836,0.970937967,108.4571044,107.3361301,0.116922945,-0.536271951,116.0434711,0.196013957,132.0732995,62.95786273,0.067248672,85.53955383,157.122091,0.110255122,172.4822609,65.12068654,0.049696773,114.2887675,90.05292457,0.091307789,116.5133793,44.97023984
2,0.540858987,0.980378628,228.8148603,109.5831261,0.971377969,233.0872786,121.3640664,0.999515772,237.2608702,96.54050601,0.282461703,219.6058881,131.9137577,0.995049119,217.7260846,83.56396545,0.495253623,156.9454076,161.0078101,0.527374744,180.6923596,62.65839576,0.925132394,165.2455671,100.605042,0.663332462,80.20730313,170.9937773,0.574791074,195.5406694,104.9038677,0.969716549,107.6265264,108.5851914,0.144008696,140.4789423,60.17807331,0.216046363,-2.109691606,78.91588152,0.072406203,85.85397404,155.5375361,0.082397133,29.08423187,177.3032976,0.166079491,226.7294788,127.8507335,0.129280865,103.7435627,109.1925864
3,0.589067494,0.912832379,229.8580875,111.5940036,0.956172585,234.4669749,120.6628189,0.999589443,235.2053585,97.21422441,0.455607057,229.5856742,129.5838576,0.997026801,217.9202511,83.97668198,0.707701802,166.0478723,46.87063534,0.898385167,173.9331817,59.4317345,0.836898208,162.890564,107.0343345,0.615279913,81.17493514,171.1599027,0.703708291,195.8110467,104.2860609,0.908725023,110.6429951,106.8072746,0.167904317,141.721103,119.4743753,0.231091976,140.4366002,62.06257071,0.079138398,87.68569318,160.3239237,0.095950991,172.1608487,57.04675186,0.147239476,225.9626882,126.6432219,0.300895572,107.0494767,107.4176079
4,0.557215056,0.963240504,230.6605756,110.2524554,0.95967567,234.2387689,121.328442,0.999629796,233.8649686,96.85729752,0.367855191,229.912341,130.8407459,0.993673205,220.2204032,83.62956948,0.541082323,164.2535698,42.33285054,0.453674227,163.4778426,71.97992256,0.949115276,166.8662341,101.328186,0.651805878,80.94345569,172.2212956,0.704509556,192.3686944,36.11897482,0.835658729,112.030994,106.922487,0.118374795,119.517644,3.067180429,0.189700097,138.193908,52.10972856,0.125828683,164.2540452,53.95760183,0.084328532,172.2506657,59.6484436,0.143768996,114.1252024,99.90683033,0.390734494,103.0346832,106.4684281
5,0.55198484,0.967618346,229.5385651,108.8576779,0.961821616,234.228284,121.9272662,0.999594688,235.1183823,97.37775291,0.412072003,220.4731634,134.2319049,0.989953756,219.4251083,83.74914657,0.40521431,167.6588225,44.74947697,0.83071959,178.9551635,60.76593101,0.782682896,154.320905,106.7667247,0.633317769,80.80796831,170.4906708,0.763420701,191.0510787,33.87886724,0.824158609,112.2280377,107.2817913,0.16552332,111.3080207,-0.089225626,0.112402469,138.0382432,49.65228401,0.112118602,131.1302035,35.39558096,0.055364966,75.10108214,172.2973724,0.086664319,234.2159215,125.4916706,0.281094313,103.5885075,111.4588698
6,0.56395185,0.983677745,231.0135768,110.4901344,0.980490983,233.8701379,121.1943201,0.99963069,236.339122,97.78344696,0.260407269,227.7241827,134.1606439,0.994302392,219.8943703,83.84902173,0.561529756,163.7647521,43.54662873,0.841516376,174.9218384,59.49522935,0.96420002,162.6923133,103.6373478,0.737820446,80.54803322,172.0954032,0.777786136,197.5480844,105.4651047,0.827268124,109.9436008,109.9817367,0.085025609,136.1068806,53.19901027,0.096277863,-1.167375562,76.26644673,0.107310683,118.3912565,-14.75600415,0.07359007,12.66798993,178.9076399,0.055788994,223.0272462,127.5833187,0.240558296,106.8684896,109.6712971
7,0.598684248,0.96205616,232.3234872,109.6669934,0.961824238,233.6261314,123.7397589,0.998804986,235.6685735,99.25964127,0.297376812,226.7551791,137.1987164,0.995645881,219.3848266,83.67021692,0.503939688,166.179824,45.98261572,0.555981696,167.4584869,71.08621547,0.983592987,162.0843453,100.3489778,0.796933293,81.21685661,173.1425318,0.852831244,197.98833,106.3920344,0.858018279,194.2378302,34.13954603,0.201305091,153.8135924,148.1838132,0.079550236,157.0882466,149.1830524,0.499525428,132.0199726,-3.413320629,0.087405562,12.90868562,175.3870162,0.108003527,227.1295402,125.9727587,0.434837103,105.1854006,107.6314519
8,0.596795331,0.96694088,232.1680907,111.3697234,0.966187358,234.2051196,123.1622947,0.99973017,237.7020668,99.96781367,0.236393988,227.266576,131.5844818,0.951001525,219.6461454,85.03206441,0.681230247,164.4668164,46.37530723,0.812779665,167.6652475,71.94500527,0.97505635,161.7350992,101.999149,0.911675632,82.3548872,172.5310891,0.786485553,196.9689865,107.132576,0.905039847,113.0257588,114.7598461,0.170089036,152.6172972,40.82634744,0.153710395,133.624388,121.9396896,0.089538872,161.9166594,61.22538477,0.063608974,161.0424226,51.40748747,0.259529531,117.5251273,106.6237394,0.216522604,108.2332387,112.9008051
9,0.587258248,0.983153343,230.9551049,112.0008559,0.972851455,233.2640108,123.4747337,0.999796033,238.1656718,99.14703788,0.09150663,218.6342267,136.5344467,0.982072532,219.5405889,87.0593155,0.619387329,189.8287907,120.9423036,0.760541081,171.8203808,57.91069269,0.9732337,159.2153607,100.6129545,0.805728853,81.82162434,171.8054336,0.645241857,172.6424123,30.84769526,0.829856455,113.598261,116.9937115,0.111889929,134.2223832,165.3444425,0.101617485,129.6328686,120.1043008,0.083870679,95.51140908,150.441989,0.07422775,28.15704308,176.2005745,0.413337588,115.3645224,105.9156035,0.535077512,108.5711586,111.4566387
