Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.570342162,0.978408337,143.7578027,133.0538121,0.993256211,149.453442,144.2562885,0.99970305,149.419622,118.7968287,0.735896587,175.6781562,149.7697946,0.998629034,131.9102221,100.6109794,0.220840424,102.9082909,135.9620908,0.894802451,105.9380242,120.2831787,0.072299212,94.12500732,240.6783025,0.658895075,9.298043888,11.46341731,0.718322456,174.8000668,172.7897745,0.810545564,96.49574994,114.4583553,0.676856816,76.97191865,151.653975,0.39449212,53.13013884,136.9897248,0.213301659,97.97992987,235.1436193,0.282865345,88.83268473,234.287975,0.02643314,150.1051176,149.0956373,0.020269275,99.96188236,116.3251624
1,0.518980363,0.989584088,142.1549479,131.7834275,0.990460515,149.5838576,144.0126234,0.999754012,151.4523228,118.8876575,0.307121694,173.8142507,149.7627599,0.999256551,131.350753,100.8511821,0.156760007,104.0112945,137.4828461,0.951795816,106.8312193,121.119365,0.150360763,99.4944125,115.7584148,0.549198449,104.8159283,117.1055346,0.639225721,174.7537624,171.9031874,0.715792894,98.30380481,112.407952,0.572010875,81.58157406,155.7443698,0.444939613,53.30325009,115.7924786,0.203181684,14.21518085,27.09676869,0.107307285,96.81838742,236.6514269,0.015252203,129.8040901,234.6876707,0.030663997,134.3082134,128.9321819
2,0.537977291,0.983077526,143.4054112,131.8800108,0.993136406,149.4154158,144.191355,0.999537647,153.0885953,116.8460079,0.515014827,174.4688402,149.5317499,0.999278545,131.3510456,100.5674547,0.12443164,91.00767595,188.3154358,0.812006116,101.4542308,113.1763884,0.108079046,83.81759739,77.15292408,0.580969691,14.33737918,17.14112852,0.513195515,93.45949399,117.6414979,0.788923621,98.59490822,117.7372766,0.719182491,82.6053127,155.0707733,0.475649744,52.73605137,118.5014094,0.203600913,100.6415016,238.30617,0.266355634,90.49316406,234.9706665,0.021748215,101.9631527,170.3399071,0.041426361,134.6178605,127.3422748
3,0.512627942,0.98971504,141.5491988,131.679785,0.945821047,149.9096466,142.9601914,0.999811828,149.8887011,118.5820825,0.177562088,151.0964932,154.8577218,0.99958694,131.9280709,100.7436505,0.192809194,100.6844898,145.0276754,0.94146657,101.1464368,115.8608136,0.165535659,11.97008912,17.47142854,0.533290267,106.8589556,243.7403197,0.295529544,172.7915789,174.4499795,0.886667252,95.03399681,110.7295446,0.686851859,80.22332314,157.2462035,0.430094719,45.86291976,113.5573575,0.156147838,108.2243387,198.6933813,0.143765479,92.36434194,238.1957368,0.040867805,137.9085835,147.2390103,0.129151881,182.8182545,174.5306648
4,0.540809311,0.986755848,142.3298514,132.0111214,0.928691745,150.1290379,143.1150759,0.99980402,149.4295583,118.2277646,0.431573987,176.253243,147.0710074,0.999430299,131.2493782,100.8490242,0.244624406,104.32694,144.1241783,0.913002253,101.0895804,112.5688227,0.236897707,12.96071256,18.3367958,0.470480829,99.10874956,245.308306,0.458171248,173.6113549,176.6809798,0.903142929,99.75358561,107.359514,0.504125774,84.86869441,163.1212815,0.555140555,48.27422143,115.8785039,0.179047167,100.5625902,237.7851416,0.307069987,93.45314816,239.1342365,0.033522218,146.0257808,148.8346476,0.042277306,13.76466825,44.87458304
5,0.505783135,0.987596631,144.0136231,131.9733024,0.941395998,150.9604206,143.3983887,0.999810338,150.5350368,117.9305653,0.377239108,166.6010626,151.5290701,0.999538302,131.4764503,100.7950145,0.140680611,104.9216799,137.5655918,0.942308426,103.3756023,112.5567528,0.356567085,16.18950433,19.67807575,0.361121058,95.77051513,238.6583421,0.503528416,90.37695191,121.5604762,0.758376956,97.68980791,113.231922,0.52176708,81.49382973,153.7308101,0.411440909,48.99882227,118.3988276,0.069641978,99.95348832,238.1176118,0.156738907,98.12119616,244.7175893,0.028680831,142.8180107,150.3691674,0.041880667,13.34112084,43.19939431
6,0.516632266,0.990017533,142.5604225,131.5406279,0.929363608,149.5748357,142.9901954,0.999693632,149.3249771,118.6863467,0.385862142,178.0810974,144.7915082,0.999517202,131.4464585,100.5517151,0.249415994,98.34059964,114.8400437,0.936644495,100.1548297,111.6515001,0.296672583,13.98139258,22.280182,0.344581246,96.08702013,237.8374688,0.467755884,173.084572,173.3866846,0.907406569,97.13092399,107.6012528,0.566925049,82.14700496,152.8652905,0.354719698,48.7955272,123.788014,0.063889414,102.6052395,191.6969998,0.238845706,97.96393424,246.6761763,0.015288323,135.4318942,147.7458719,0.036149442,177.6799143,186.4719638
7,0.532476301,0.987027228,142.4769575,131.4631491,0.90448761,150.5573234,142.9164228,0.999820709,149.9223139,118.4355127,0.622517407,166.423477,151.9609399,0.999545097,131.5320449,100.836491,0.144651294,2.567627106,6.054955719,0.951127648,103.6646087,113.583009,0.305846334,12.21643188,21.62625697,0.475376934,15.46260686,19.33954017,0.29362607,91.67382934,119.265664,0.7981534,96.92592511,109.9349812,0.725990713,81.79584479,154.5904899,0.415861785,48.07839992,116.6523657,0.141874999,95.77928712,242.510363,0.207583219,97.80288068,247.6580788,0.031978846,47.6918165,198.8238823,0.04662782,178.4246986,190.1559818
8,0.509276713,0.978302777,144.0680351,130.9149452,0.976388216,148.6389206,142.4310188,0.999867678,151.8851558,118.7324316,0.59245795,176.9283269,144.7471179,0.999074101,131.9515766,100.7246435,0.210465163,18.98825961,39.72594072,0.931282282,103.2194254,114.1217643,0.141947448,83.00016215,73.60063836,0.354555607,5.410782603,11.76387792,0.307844341,172.7788994,174.8029319,0.804389,94.43044827,113.0428639,0.537744105,76.7912241,150.9533006,0.492765963,46.77373803,116.1373357,0.098034173,95.79959865,241.5169271,0.161947101,3.266831683,8.679750897,0.021911621,146.8312437,148.017127,0.048726588,13.45865733,45.1994699
9,0.537203859,0.980482876,143.7466716,131.9460538,0.930850029,150.6972364,143.0488623,0.999822974,151.7831227,118.6393595,0.497480094,177.4176688,146.2990354,0.998514414,132.737935,100.4617885,0.315726042,83.54553146,101.4222578,0.941976786,105.5488988,115.8188373,0.209418297,95.94415062,120.0919139,0.401217133,101.4349495,122.8190958,0.695489466,174.0317279,172.0625585,0.760309875,174.3076769,170.6684759,0.598210454,79.28342745,159.5109019,0.418196768,47.84194927,116.0014581,0.152217448,1.455739911,7.015790808,0.175902605,98.68428015,246.5821532,0.014093518,93.23460421,110.2974188,0.042556822,175.7294349,181.3642371
