Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.457355703,0.957972407,141.1238881,135.0147643,0.979949951,145.3456617,145.3569391,0.999715209,146.6701291,121.2593023,0.463676214,136.3293808,155.6093092,0.948819757,136.0839966,108.1561135,0.663590908,86.08836732,149.025059,0.782719016,85.95663502,88.58777602,0.712789774,87.11787877,129.3647345,0.225632191,-8.928132742,73.68165282,0.36936599,109.1750668,126.7394273,0.261520028,21.17072288,75.90593545,0.084997535,78.90243397,173.2497708,0.175497055,41.03252587,174.8383125,0.021483272,74.78966112,235.444147,0.049422085,67.05264659,228.9652827,0.063586026,28.97759941,72.2128955,0.014309525,65.03642298,15.44189758
1,0.387066375,0.944630265,143.4798177,133.2474422,0.981898785,145.4816611,144.9313114,0.999542475,146.3715156,121.6516951,0.35208568,135.9089712,155.1243319,0.966364503,135.8235677,107.5635802,0.663119733,83.29692864,185.6477255,0.745264649,86.36262777,88.73412629,0.234302402,81.81003604,140.8355644,0.165511191,10.54926916,75.35587839,0.152394444,105.1192723,133.3203003,0.039820999,20.39798122,201.7825131,0.02961123,36.65255467,166.9131847,0.094790727,51.93079573,178.3934389,0.051959127,68.91012089,236.3758193,0.082468927,63.75016459,233.7093282,0.059185296,14.35525844,67.93663682,0.017177939,27.21085642,194.780182
2,0.395489382,0.981478572,142.0146448,133.2408098,0.995921135,145.2752297,145.0833797,0.999771595,146.5547094,121.6245928,0.39636749,136.1857249,155.5621879,0.973997235,134.9000273,107.860304,0.675443232,78.66319444,182.5992656,0.710581124,84.89223675,89.69650973,0.122808605,19.20817667,199.0368485,0.226050436,17.78778419,76.45656552,0.17631793,103.6569766,132.7103328,0.04754436,-1.423688072,194.0382627,0.044632614,45.60278046,188.9032508,0.098846167,64.64854723,177.634256,0.067984879,71.90183413,237.3298514,0.045533538,68.61326906,230.5680643,0.112680942,19.96410737,195.1205768,0.047359645,23.1691541,196.2126444
3,0.451414094,0.972616792,142.5502789,134.5045744,0.991876543,146.6112062,144.7850465,0.999854386,148.0496303,121.2411853,0.657082558,138.1368504,155.1553722,0.954146266,135.4259324,107.6308789,0.473139942,89.15655967,147.2775486,0.685929477,83.30732215,88.82493075,0.28863126,78.68260378,145.3241919,0.090171725,12.0005305,200.1194796,0.245235175,100.5169015,141.2394663,0.060589522,14.38492717,205.7143414,0.349008381,63.87486223,176.9372513,0.325230956,52.53539277,176.9073082,0.048375726,66.00948643,231.0428371,0.127783448,62.97936905,225.6140518,0.332046181,12.42927618,74.29563144,0.072321266,10.26827047,75.08380637
4,0.413341599,0.93585813,144.1877341,133.9485189,0.989802122,148.8937656,144.2262114,0.999600053,149.9807614,120.3539155,0.477535188,139.1126083,156.1652427,0.919650316,136.8633568,107.7119055,0.448428541,86.31308033,178.1441655,0.609973669,84.11215717,89.15140254,0.196472794,20.98285651,197.2998108,0.128595769,-7.99893459,76.29506086,0.412864387,96.2332119,141.4146258,0.234505594,23.31445739,76.4038726,0.405495614,62.74262884,174.8895911,0.068009526,38.48157028,218.4117266,0.08057186,62.96753692,232.8908201,0.093292415,61.07204861,227.4741046,0.019512504,132.9355761,147.5921578,0.006638706,19.153466,76.00171417
5,0.441303024,0.965528011,142.7880433,134.048516,0.99289161,148.5694396,143.5428737,0.99988991,149.2455597,120.090268,0.452652723,139.0739115,156.2836981,0.96384567,135.9879374,106.4451296,0.42488873,86.70066348,121.7903646,0.591751397,86.93110662,89.36072341,0.387604654,88.31658791,126.3873405,0.206916898,56.79913048,217.4503794,0.59353447,99.90417861,135.6653183,0.204741657,23.5520815,75.52539306,0.23029089,61.37326511,173.7382959,0.194912851,47.72488979,169.4744363,0.029867917,73.11873342,232.3855191,0.1322335,62.64274759,226.8157723,0.103284538,20.16812176,74.55963249,0.027315974,22.7210448,75.5710879
6,0.448136824,0.964436173,144.89003,133.8925952,0.986533165,149.2481932,144.1059881,0.999509692,150.0993997,120.3282274,0.455154568,130.122625,146.7111423,0.922663629,135.3331773,106.0000805,0.590564907,96.30047402,138.1788999,0.789035439,83.92545207,89.34888518,0.479590893,80.70216794,129.9923436,0.1775814,-7.181117597,72.50320644,0.461435169,97.58695186,138.1624898,0.164371699,25.99413087,78.09493504,0.207059234,65.9563607,181.0261831,0.090033829,52.50160932,172.9784547,0.01841408,65.78016493,233.4287463,0.145203024,62.34637733,227.0702637,0.13666591,31.12945976,77.10674157,0.030073196,23.18865334,177.8470759
7,0.450641963,0.950219035,146.3960333,133.1921768,0.975612998,150.843672,144.9832607,0.999388397,150.6343267,119.994026,0.404771298,138.6385914,155.4308335,0.899022222,135.8173621,107.0302868,0.382720768,105.932416,154.7777071,0.752544999,91.76890093,88.5300357,0.596349955,80.32666686,140.8795768,0.210453361,-7.067184543,71.51307448,0.614452541,105.3193762,132.0154982,0.16851604,22.51176203,75.4801859,0.194130987,69.51264533,176.8413263,0.208464116,52.21873537,185.2373254,0.025973052,69.17951681,232.4021243,0.094848067,64.95837113,228.3792232,0.094651222,29.66567669,191.022233,0.088794321,28.49992502,190.4005491
8,0.429798826,0.963366568,146.1090629,135.7075019,0.976433635,151.1286673,145.1811822,0.999618232,150.1722091,120.3973671,0.407576203,133.6342633,150.476821,0.966377378,136.3215049,107.7035907,0.390446901,88.16078291,186.9151354,0.606715739,90.27882627,91.56556014,0.528587401,80.67518141,139.5599007,0.206465244,17.01228567,197.7328632,0.382608652,96.46181409,139.8462249,0.095728308,22.23793135,200.0240178,0.213362932,63.40056497,179.0344833,0.14264822,52.26730747,168.7534869,0.033850133,63.40990998,221.8543715,0.256075978,59.50261758,227.3232434,0.091967106,32.67179453,78.46985701,0.044751406,7.444958633,183.2875166
9,0.499556114,0.982657313,145.7956851,135.4457929,0.971759915,151.5748503,144.9413575,0.999885678,150.2571127,120.6103577,0.430270076,129.3053117,148.9920193,0.992744386,135.0687251,107.0911727,0.528561294,99.41440387,152.7381057,0.677284062,83.9026839,88.06951516,0.911089182,87.12939392,121.0895926,0.319799483,-0.385651511,72.63345135,0.845877528,97.02403246,137.581941,0.08693403,-0.097889418,210.1484473,0.269979447,63.91792974,175.6489934,0.159491241,53.72559813,175.5795978,0.05019924,10.44086737,202.9875497,0.143395871,61.37530723,228.2443089,0.066227764,17.13309108,75.36886265,0.056297421,2.922372806,187.9193976
