Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.445472221,0.981559396,135.7656079,106.3864018,0.99702853,139.4395799,118.8136046,0.999636352,141.5595496,93.99765186,0.472348988,117.0613393,125.3668632,0.979387105,127.3912492,75.91877341,0.775665224,92.78180107,113.9684038,0.322291553,92.43701721,92.59212118,0.758353293,67.78085621,90.5237106,0.091906875,7.150221311,166.1543676,0.755670309,7.870343955,168.7583148,0.111115515,6.138304902,166.938251,0.056022972,39.752848,40.74038921,0.09288919,33.78927586,132.8209611,0.020288765,-10.38763496,25.62565836,0.036692828,21.35320809,34.14427644,0.105379015,17.61705339,34.58415628,0.01679185,18.68959272,35.31410322
1,0.451122989,0.996605694,133.8280762,105.76434,0.995056093,138.312973,120.2318025,0.999321699,139.1397716,93.69221091,0.14685452,125.5589327,134.3895082,0.975703835,126.3505945,78.66879048,0.604787946,92.86587566,115.1567255,0.750130296,64.28665218,52.78345915,0.709850371,69.56148564,86.79140089,0.163837731,3.522868829,166.9135504,0.62199074,10.81387676,168.357278,0.122888207,28.25804902,33.30608468,0.049011201,21.52909144,101.189163,0.265011549,38.46459321,131.3309657,0.040078402,31.16681845,30.35535415,0.035878718,27.70217038,29.42958875,0.144037724,30.63622254,34.67343677,0.048046082,17.89079569,36.99160229
2,0.446377858,0.991901755,134.9032338,106.23576,0.985782981,139.3577242,118.1496396,0.999788642,141.4659532,93.93109687,0.410926521,117.7528212,125.7555497,0.992764235,127.065131,78.43473246,0.560351014,91.33817104,113.2870655,0.468190879,95.6346498,95.73707914,0.423539191,64.25275291,93.73886889,0.114258319,-9.168756035,30.07180356,0.917239368,6.658359485,168.3189958,0.233870268,28.21639272,32.25521931,0.106036603,39.8107773,195.3357619,0.130871624,15.60341901,103.0190533,0.017685682,-11.69089404,25.46268458,0.021385461,48.5729508,170.0916335,0.202367842,27.61654438,34.05208821,0.011463195,-8.698675606,28.30755379
3,0.473946638,0.995842814,135.4079983,106.0882271,0.996126056,139.8251209,117.5902193,0.999747634,141.2705676,93.94512962,0.550906301,-0.716383764,159.6454261,0.993993163,127.4243987,78.4810125,0.72163713,94.6318018,117.6478986,0.615934134,96.09373781,95.32516727,0.493381113,68.66097554,86.13884744,0.051928371,-0.694556457,167.9416598,0.919604659,12.85218885,167.2668442,0.30629164,26.05804939,34.16906845,0.07578066,2.672017415,127.3406777,0.101116836,19.32645991,92.52765098,0.041381031,53.17391347,125.9061305,0.059584409,46.75702918,157.149547,0.103080332,28.73399827,37.62841614,0.030756563,17.51496238,37.95467458
4,0.492515333,0.996510923,134.4898711,106.1082826,0.998107851,138.4559218,117.9385875,0.999741077,141.2673855,94.30807926,0.472419798,120.5188339,127.0121333,0.9850384,128.4988003,78.21020843,0.811871171,94.8771616,113.7975114,0.609104872,89.35638313,88.98866651,0.83789438,71.48551493,89.0305697,0.035492152,-12.19287963,24.25714805,0.925879598,8.446788621,168.3495728,0.311924964,23.92303505,33.71068147,0.158731818,67.06252195,129.113547,0.097369581,33.77241461,135.4474022,0.010541856,-9.933711706,26.79713712,0.019260824,45.23353377,156.4018244,0.097618282,26.85300296,39.05842794,0.005253106,28.20954093,35.92971554
5,0.489247837,0.970966697,135.7139269,107.5220671,0.981045127,140.5061544,119.4635856,0.999619544,141.6661668,94.21247123,0.488085032,118.0940085,129.0095754,0.985607922,129.3933974,78.67186281,0.756314874,96.30580183,119.5035746,0.660372019,87.70444415,90.53762143,0.674596071,68.1613925,88.32103182,0.180016994,-10.19859895,26.44012489,0.958117843,8.240770204,169.2308199,0.445744097,24.22786336,35.0920907,0.054822028,57.558228,143.0765498,0.040443808,8.356171607,107.3760704,0.024806499,-10.24464887,26.76974217,0.039095044,48.92416584,154.0682301,0.046416461,21.1054404,35.70808096,0.011143178,22.46082473,36.8747013
6,0.464055722,0.972565055,135.5855352,107.812817,0.990488648,139.452552,121.0286093,0.99900341,141.6373698,94.1823575,0.456795722,115.9252838,125.5362072,0.996101022,127.1209938,78.52035542,0.63012445,92.83333577,113.3922928,0.451407194,101.2715612,90.99324087,0.7100631,66.9269797,99.14290487,0.043729663,-10.49075314,28.24569264,0.906071961,7.995721291,167.777217,0.375880867,21.28940997,37.03761412,0.029568762,54.09091907,126.6525973,0.066505522,38.05882905,135.0840014,0.021745354,-9.089483483,28.3841731,0.027416736,49.19158059,162.8478074,0.179074645,27.79023474,35.69473095,0.032405168,20.27816487,35.98373127
7,0.466722834,0.977134824,135.0604957,107.6317933,0.990040779,139.3360838,120.584633,0.999803364,141.4778402,94.77436651,0.516421676,117.0203993,124.1592662,0.996806204,126.3242724,78.66683979,0.59996295,83.26791218,131.6674835,0.452008188,85.71837084,87.480103,0.73940748,70.48328262,93.62546085,0.050701648,0.837590555,168.2626453,0.854432464,11.16170095,167.9562656,0.350507021,19.49875278,36.24739096,0.055207223,52.69291072,141.3700404,0.151226252,33.12382349,130.4833436,0.013795018,54.21568986,156.9378975,0.069716692,50.53459482,152.3930292,0.085820973,30.02209762,33.64483361,0.031295419,20.21574594,36.54629711
8,0.466190589,0.959386647,135.9561169,110.0022555,0.978574097,140.1395472,121.1412248,0.999684215,141.6290672,94.82268258,0.739318609,115.5981659,125.5815728,0.9966259,127.3523818,78.51714897,0.652051091,82.0425396,147.0103167,0.374031276,102.8094033,92.83593262,0.71010679,64.30464727,99.44756554,0.044593155,-13.59200353,28.48945532,0.903243184,10.49798287,168.6462966,0.361243188,27.11699182,34.24615715,0.029041499,2.123091146,133.7290667,0.068590969,11.5914555,98.72848149,0.017545491,6.924312749,143.7432701,0.017383367,23.6975692,36.51019721,0.051543474,22.48458653,36.10272316,0.022277057,22.39747313,34.0864081
9,0.461205973,0.981007814,135.8259451,108.9241475,0.992063046,139.3424357,120.9534712,0.999787927,141.0648798,95.47832056,0.385344774,119.3842536,125.7165116,0.994418323,129.2321,78.13340014,0.763497114,82.1591358,133.7292008,0.555092752,107.0521711,87.47660395,0.794217706,67.65285459,97.11348363,0.024949521,-14.20523845,23.82894185,0.912033319,6.032209646,169.8809106,0.191214621,13.58773945,36.19176591,0.089607388,70.03777627,149.0567089,0.072074264,6.258413098,167.5956568,0.012414694,63.26064587,125.8773213,0.014209181,29.54941577,39.70202652,0.047488868,23.63544136,37.4835167,0.011080235,270.7828593,59.14947624
10,0.473676405,0.969081163,134.8128438,109.6220667,0.974227309,137.3583801,122.416791,0.999125838,140.8399047,96.44615373,0.595314682,116.7307955,125.6467502,0.995107472,129.5197775,78.45604371,0.694387555,82.71855005,129.9495016,0.721810579,101.799862,88.08465736,0.608779609,70.93384246,98.25662258,0.144251972,-0.130110799,33.41039155,0.977859318,11.77425618,168.6690465,0.126514643,25.74066657,36.20090366,0.05597508,29.5602939,122.5250663,0.095913559,51.70811266,144.2401832,0.014811695,58.74896979,127.6058248,0.049983591,50.24745984,158.6037107,0.019301653,20.98486511,37.11729357,0.010053158,275.6387767,53.40179024
