Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.534496686,0.927612364,132.1850007,133.9690133,0.979489207,136.7821595,145.742407,0.995427728,141.3138118,121.0242934,0.202512234,125.8605332,153.4229918,0.997260094,125.7659737,107.050513,0.850250304,82.00976197,183.8671631,0.816212177,69.81663546,135.4351738,0.18445003,36.01352192,219.6033523,0.943999588,35.16459223,219.4690231,0.396333873,87.91799557,122.7828252,0.997668982,83.68707816,109.6413785,0.092791915,70.36623532,109.2001697,0.260948062,78.56722066,127.5038404,0.08426711,74.71115817,121.4971764,0.154341102,71.92026203,118.8113003,0.158279002,96.22205641,129.2880116,0.044599891,73.65307526,110.2682438
1,0.523690136,0.956512809,131.6654719,133.6928083,0.989126444,136.5364583,146.117207,0.996672034,140.9594452,121.4131262,0.127798229,126.2078896,152.7046758,0.997296929,125.6530777,106.9612203,0.802416682,82.09327574,181.3568732,0.751133204,68.49394799,136.0871908,0.461146057,37.68831746,219.4971374,0.94474566,34.90252053,220.3939168,0.335763454,79.95121455,124.5630584,0.987270355,86.10462508,110.1588103,0.05578053,42.12731217,126.92128,0.22369042,80.40733385,122.8559881,0.066481739,78.42277232,121.4780718,0.059751272,33.88558187,221.0306453,0.107809454,88.61624386,131.6839546,0.039337039,4.863195145,181.7866827
2,0.563376153,0.974292636,130.6732307,133.6389084,0.993637443,135.4993758,145.534354,0.998567581,140.7194254,121.5840795,0.127807647,126.1324955,152.9839166,0.998373568,124.5818947,107.1391108,0.86791718,83.10815704,182.971993,0.590224743,71.81757666,134.2664077,0.541829646,40.43374432,219.7821815,0.925058424,38.25028285,218.9009588,0.494075805,89.9551464,124.5850646,0.993177295,88.64325477,109.3190641,0.085889578,45.12517922,131.6020989,0.359080374,78.65275827,122.7979552,0.116932213,78.53387002,124.0002853,0.132025778,35.24749337,220.878638,0.214743406,84.18931902,116.5256808,0.163761288,73.92768317,115.1497396
3,0.564079201,0.960959554,134.316833,134.6832694,0.99134016,136.0350709,143.7400759,0.998661697,139.1231176,121.0340468,0.263328493,124.7688924,153.5727435,0.998452425,125.4302849,107.6458748,0.610602617,82.11047226,173.3988033,0.779423714,69.13073136,137.5290896,0.338933468,38.62462876,220.6688661,0.816330791,40.70135109,218.2806404,0.803837717,89.07966604,122.4722393,0.98886621,88.28563295,105.8953164,0.060909629,77.03948556,122.3768629,0.346855581,80.44331183,122.1874025,0.214679629,79.44186588,116.9364222,0.113564342,76.97350968,114.8969062,0.195061207,83.58208246,129.1088044,0.107539177,73.22349748,129.7003501
4,0.559230428,0.913358808,134.1580715,136.133032,0.869584143,136.6999868,143.7223734,0.998345137,138.1478352,120.7868704,0.731493235,130.2703164,156.1743621,0.998566508,125.5418398,106.7119104,0.60141176,80.6805458,173.3322605,0.456733465,72.73678897,139.8594652,0.462309033,42.41227701,220.4239574,0.94347316,38.28816579,222.9502429,0.647029281,88.7587659,123.163075,0.994422436,82.36598173,112.5346369,0.118507862,45.11617253,128.8770141,0.154654682,78.44088932,119.6458041,0.047187328,81.10774618,120.738408,0.110619634,76.05137133,118.9008125,0.284081757,13.95853602,65.48490412,0.17513904,76.45756525,127.4053795
5,0.518278073,0.85038662,135.2763757,136.3374395,0.968624651,136.9245109,142.0625585,0.999552369,139.136492,120.8969501,0.597698092,127.2769756,153.2004672,0.999207258,126.0019336,106.6252755,0.504340827,82.1444203,171.6883924,0.617844164,75.80903509,137.4657776,0.263485014,42.40425481,219.6972534,0.943799257,41.97891673,220.9817074,0.612013161,89.24849188,125.6088459,0.988553524,83.46154221,109.1313714,0.089625597,54.44513328,114.8220974,0.059949458,73.23931024,117.9599597,0.043510228,79.36411883,109.4717784,0.053468794,74.25545339,117.1394643,0.128313363,15.10301149,65.69710225,0.09035486,12.70426127,67.88914979
6,0.483161053,0.903412461,136.3309535,135.5938256,0.894655943,138.2704846,141.4444591,0.999508023,139.6320273,120.8227996,0.36141482,129.8648052,156.3336723,0.998285532,126.3671997,106.885936,0.491986305,83.76900091,160.8524257,0.700765491,76.15857376,138.0629316,0.144598067,-9.254435374,64.35173806,0.828546286,43.89922448,220.4302727,0.394492805,88.22375961,129.0655358,0.985872865,87.86322395,113.2793603,0.058805674,50.84211752,126.3744294,0.05998385,85.99825779,123.2189378,0.065803945,78.35195629,118.9296095,0.034837902,75.93247698,119.1607658,0.19732523,27.03512394,65.97111277,0.093442708,32.17705468,190.93928
7,0.501608186,0.824306607,136.7741251,135.8475855,0.869947433,139.0038575,144.0176708,0.999205351,140.478601,121.5120991,0.26121068,126.2620089,158.2058925,0.999532342,123.8607746,107.886236,0.708435893,81.88396097,162.4814929,0.745703757,74.67692362,142.4665335,0.171292871,47.88675411,222.3517966,0.861869454,44.82400844,220.5745991,0.562815011,22.96247123,67.34117753,0.974788666,84.31857029,108.9521155,0.049625665,79.30362316,122.7031762,0.110796243,83.89766698,124.6920232,0.065087765,78.18089327,115.7842858,0.058385104,75.13825492,117.3000424,0.163915575,15.85113335,68.06578447,0.100420743,26.50228474,66.23087108
8,0.511150127,0.931555152,136.3419505,135.3980254,0.93317759,138.62579,144.1743597,0.999604583,140.717426,121.2583636,0.203923106,135.4259202,153.5092243,0.999811232,124.3792793,107.570115,0.582073092,81.8066772,159.9080007,0.805472493,82.00316011,130.0035356,0.10879609,49.23549238,222.6230152,0.881127536,45.69106732,223.2505267,0.760634542,22.01756014,67.74756652,0.938638568,89.94515523,106.5713025,0.021658152,60.67773559,109.2672368,0.084638745,86.06537361,132.9592892,0.13377437,79.43848875,119.1263606,0.037485689,82.47903621,119.2641522,0.149611801,24.17551181,68.70331763,0.117569417,22.89618141,67.37535112
9,0.491113394,0.93978852,136.3684433,137.0591936,0.948777437,138.688273,145.4204583,0.999769092,140.9993733,122.9326867,0.251010656,129.3042998,155.5560067,0.999627948,123.7412829,107.7689509,0.4301956,84.13251136,158.3526086,0.595898747,77.1476938,128.2709114,0.141488403,48.92930163,222.4006613,0.791944027,44.67446393,225.671402,0.592166662,22.6921914,69.73942484,0.963507831,92.78552566,105.5320985,0.040128112,78.20720925,130.8682262,0.159846991,82.45763962,131.8217584,0.027233809,83.93754633,121.0750722,0.078335464,80.21295402,126.1130374,0.134921521,31.08377102,190.5297821,0.254286885,28.84133481,188.7809915
