Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.501832902,0.976689637,147.1747718,121.1975631,0.991250396,151.9826535,135.0583377,0.997633696,153.5929331,107.379667,0.341590941,141.2894648,145.6584543,0.993913651,136.172131,89.24466975,0.411557555,103.2957095,150.8306389,0.860539198,97.35268049,106.6651549,0.19447583,3.223998871,-8.556418734,0.346702933,82.49114876,102.4779572,0.585136235,93.70969394,150.3689602,0.804939628,63.86549284,73.55012777,0.322251201,74.55337201,153.7268112,0.352596641,77.0691299,104.1665813,0.135008186,72.73924562,55.69834582,0.091979414,71.2095964,56.96151905,0.024540216,26.86406701,13.31566133,0.100353986,10.98872991,249.2658835
1,0.532908157,0.978881896,147.4627541,122.1194698,0.994078696,152.0253614,136.3964112,0.997026801,153.8155918,106.9374707,0.203821629,144.4980152,143.7231293,0.993471742,135.9614813,89.23567221,0.614646971,108.3482195,140.7899793,0.835990965,95.84901198,106.3047533,0.149772435,54.20483917,205.1772443,0.246153861,76.54084738,84.35190875,0.911417007,84.50934135,104.8428966,0.799805641,30.98352097,46.96375624,0.429842383,61.20712147,109.81082,0.404230386,72.91444166,103.5630145,0.222303092,89.84786473,108.7561569,0.079592198,89.78418091,107.6184189,0.122378528,29.65762097,48.0390052,0.076024443,20.5138642,242.4462098
2,0.556166561,0.965967417,148.176937,121.601465,0.99435091,152.1956319,135.7410659,0.998556554,154.1686417,106.6292866,0.261996031,145.6349485,145.2830934,0.987211525,135.6551381,89.26127497,0.6244241,108.3885134,143.5922138,0.913332641,109.2115447,104.6772833,0.218077123,60.5465763,40.26827428,0.292206764,2.98960063,-4.814575043,0.720239639,77.94927361,143.1059686,0.818082571,33.10683118,48.28009788,0.50078243,63.91468062,115.0790638,0.60668987,76.96095213,100.9259056,0.206225216,72.61191455,58.00544729,0.168656439,85.08727494,108.7122054,0.093804598,78.77778509,136.0034454,0.084227711,80.92496684,138.3953408
3,0.547221278,0.947565973,148.5119309,125.4276515,0.993989408,151.832536,136.6205207,0.999367118,155.2437383,107.4538419,0.209324002,140.5451072,148.8915955,0.99473846,136.0220745,89.86954783,0.519207478,102.0482088,153.7448794,0.96409142,103.0183584,101.8030197,0.448150098,52.00754916,178.045729,0.282445103,50.70038185,178.8554834,0.806972504,66.08961698,167.8654368,0.942740858,37.38343123,50.22577979,0.466837138,62.79457197,106.1676444,0.206762582,76.27095159,103.5368021,0.20177108,111.6219472,93.37316392,0.176565439,73.80909361,58.04411356,0.061200917,135.6831061,140.0714439,0.081032157,59.66592053,170.1017527
4,0.498070014,0.97337079,148.4402797,124.407674,0.996107101,150.9914487,135.336786,0.999582171,155.3318606,107.2533113,0.256500006,140.6588322,148.2901866,0.98827225,136.1322273,90.79301508,0.715035915,99.08412214,145.0739676,0.944605768,101.9946137,98.8443157,0.091409713,65.26490934,194.7413633,0.086928993,5.710911745,260.6242197,0.592788756,74.44580383,72.09048991,0.927684426,41.51728065,47.1117585,0.428885221,59.6586847,101.7893283,0.116965204,24.92020625,95.81872757,0.054728359,76.92875361,64.09818537,0.037616342,11.50622802,256.7592267,0.229350507,47.99208814,219.6052298,0.027358711,39.63514845,208.6798728
5,0.495024267,0.986945033,147.6409249,121.568474,0.995382786,151.5552337,133.9497869,0.999624729,155.9268688,107.4683379,0.219653338,142.0479649,146.5982829,0.992480159,136.0846062,90.06183677,0.81171155,100.6262497,147.3298514,0.783890367,96.59505818,107.6305985,0.115460545,62.32750444,170.3158649,0.196323454,7.130527758,6.09689853,0.574765027,41.68976706,193.5889708,0.864122689,42.73368312,42.07623771,0.588371813,56.0701406,101.7323804,0.11696884,39.2373943,44.61872001,0.062701166,15.6296725,252.9308579,0.03427729,15.59602468,251.5341419,0.037527651,42.28536656,192.411195,0.035206109,40.08437939,191.1139396
6,0.527814103,0.984910607,146.2459279,122.4379438,0.994453192,151.4328281,134.0712049,0.999777675,155.8087547,107.3386538,0.162725717,140.3782381,148.7146804,0.997920394,135.8559979,90.01294768,0.753467619,95.29325526,144.7045441,0.807107389,101.2543098,104.691889,0.204876006,72.66619241,158.1516147,0.242144197,72.69779353,165.6820332,0.904499531,80.7515508,177.2893502,0.932034373,42.07958436,38.6657913,0.448099047,55.05808779,99.48232434,0.403838456,37.63929731,46.59552756,0.046380877,15.36369333,253.3829539,0.052541763,70.82390298,161.1328735,0.023371637,45.69032971,193.2747152,0.014691263,23.86861394,241.9344716
7,0.528668616,0.974518299,146.3508749,122.77512,0.995064378,151.7631891,134.1653987,0.999551415,155.9838776,106.9140503,0.305822968,142.4073668,148.1017503,0.996166289,135.6642941,89.99802493,0.362105608,95.23973329,155.3801888,0.793094635,104.6211401,105.254272,0.072385877,69.70587913,169.7977869,0.218337923,64.01158098,166.2849173,0.928682923,74.74850772,185.8031221,0.950953603,48.37173138,32.71078998,0.40980643,70.76221252,164.6767712,0.665397704,66.36354825,160.1529094,0.052763611,21.92818059,73.96335635,0.163542271,16.91887521,71.9107951,0.060698658,46.99376938,192.0008681,0.038473874,24.05823897,243.2095623
8,0.519438829,0.97462523,149.0902851,124.7865583,0.997578263,152.6918378,136.2654592,0.999229789,156.1446263,106.8122732,0.173555702,141.4707446,150.2009085,0.99190712,136.6138274,88.60394234,0.469238102,95.60873615,149.854491,0.786634982,105.4607766,103.3649832,0.107982397,72.49267273,165.7734716,0.176049978,95.81004701,93.24717394,0.969096422,76.56342658,183.6968194,0.97300142,47.80405718,34.69619884,0.346103787,80.69207924,153.616061,0.65901792,69.24683379,157.3352401,0.054641932,20.94435788,73.17392566,0.072504193,70.50786127,162.511253,0.047963262,78.24226675,185.3468321,0.031329602,77.53510017,183.8221023
9,0.516673277,0.980971158,148.8470345,123.7890625,0.99780345,151.7953998,134.3430453,0.999300778,156.5420422,106.3910346,0.470206976,141.5913702,147.8109273,0.991224349,136.4955061,91.72862535,0.729672492,94.53051849,153.7466838,0.823485017,98.36792145,107.8515503,0.097337812,70.66163633,165.1810969,0.17218858,67.39505915,172.1430243,0.760558486,79.84967521,174.7557984,0.935261369,47.66465014,32.12476104,0.322497427,58.05969467,100.8275544,0.228652775,61.88927049,170.416496,0.064692587,14.19107463,-13.89794434,0.165956289,17.61967005,-12.61400544,0.020300359,28.5834967,243.6085996,0.023335814,24.35220287,244.4644877
