Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.52845564,0.979672313,135.1680638,122.249288,0.989907265,138.4666384,132.2043978,0.999590337,141.0747918,108.079488,0.113717943,122.6301839,134.4801908,0.992890716,127.3010422,92.0110482,0.54634124,83.89998342,105.3474782,0.651648939,64.94825804,65.45974027,0.921409369,81.51929229,109.8949433,0.735486925,6.254791374,221.3531426,0.863749504,55.19925045,136.7287229,0.822918177,55.54505842,134.0485282,0.152325809,72.37156557,143.7865144,0.053346604,57.00917067,161.1176581,0.033717424,12.75302235,211.9150866,0.024015248,14.00278156,212.3561856,0.023623824,56.9559413,139.8668291,0.079384238,44.63673338,147.5101558
1,0.507404778,0.992376864,134.5195093,121.2879043,0.980857015,139.2924006,132.2719403,0.999648333,141.6246416,107.3068211,0.154825866,123.5333275,135.6227811,0.997062624,127.3826052,92.13926927,0.62846899,97.87792115,138.8855727,0.457316458,77.96495835,67.27443967,0.93954128,76.88151042,113.2117568,0.394102305,-0.762436351,222.8557565,0.726774693,55.94966131,137.3492607,0.929910541,60.21628238,130.3466492,0.209688991,69.54933043,144.9066231,0.029296786,57.18985302,162.2740008,0.083935559,16.0719145,215.3034293,0.046046048,37.4479441,50.37864047,0.021572113,49.23615683,150.1341219,0.03445676,33.55044171,152.5877565
2,0.527320166,0.989095092,133.9537492,121.7508998,0.987128615,138.5134061,131.8518966,0.999497831,141.4858624,107.3748025,0.068856806,128.4426449,141.3765996,0.993960261,127.4885275,92.72597486,0.667972565,99.39041652,135.1923621,0.644266784,63.00830017,64.91975363,0.945080161,80.85652822,110.2593926,0.537177503,6.186832423,221.1030158,0.926170409,54.52704383,139.8273277,0.781427503,44.46528326,145.7821156,0.075689048,26.04136797,152.3694137,0.026042432,-9.266363518,35.61841643,0.093875557,11.47293377,215.7722525,0.093871146,8.551567163,217.0919895,0.057439357,54.82554156,147.8637055,0.07689175,41.06583689,156.4634905
3,0.534149063,0.97253716,135.3289345,122.7591243,0.955575466,138.524013,131.3557638,0.999773264,141.6004774,107.1275773,0.434323967,118.9554439,145.6285112,0.990435362,125.3909664,92.22132003,0.592907667,86.21537531,106.3176035,0.305865616,97.47677464,96.43797304,0.900012791,82.65499425,107.8398828,0.523607671,1.68702753,225.0100704,0.793412805,52.5923894,139.9034654,0.857702255,55.42960825,135.4731025,0.262666821,70.10496523,143.6031864,0.050585061,13.41031535,233.7464888,0.083640367,18.73910206,219.8391659,0.073755205,9.991301157,225.8262133,0.04734838,29.34161583,50.70716048,0.236384213,55.09754652,156.6293598
4,0.519200733,0.915656805,136.481961,122.7335094,0.922213972,135.9384753,129.4259373,0.99892509,141.5261928,107.3229264,0.701769352,116.5682911,146.6971218,0.968084335,125.9986662,91.24907342,0.386329532,84.60579671,105.194008,0.417626232,63.72425094,103.5642946,0.940903664,81.16722993,110.4353445,0.512808561,6.268770406,220.9727099,0.69759202,55.53361643,138.5567235,0.932613254,57.93111394,134.6925474,0.162018836,70.52193669,149.2189573,0.036714971,55.90971491,146.4042262,0.0205715,19.36447848,218.2940758,0.052406311,6.31394747,219.9994636,0.113343954,4.870381826,40.15318986,0.046834081,11.05677077,40.40312159
5,0.534312182,0.908500552,134.3056287,122.2263065,0.959785819,137.2930078,127.9706032,0.999166369,141.8801206,108.269424,0.657304049,114.9494772,146.759178,0.962506294,128.4762821,88.83841487,0.358669698,80.44337279,158.2199619,0.517977417,82.32579149,74.96785025,0.823981643,82.04591673,109.4455905,0.346832871,2.195317034,225.2687071,0.762231112,54.99517205,138.9872279,0.957758904,58.61733502,132.5800757,0.221461743,69.57851148,146.6772979,0.026941448,-10.20018998,30.2694203,0.118177116,17.68437951,217.2300737,0.117519617,8.918841073,220.3890645,0.146443576,55.95327008,149.1056589,0.19804886,10.89236599,37.64610643
6,0.538749209,0.953191161,135.250078,122.8329091,0.970430136,140.2463961,128.1790096,0.999713898,143.0991778,107.0754452,0.341214299,118.0929112,148.3585338,0.982584178,127.1052054,90.8387343,0.665490746,87.03418213,104.4481142,0.32464391,95.89381681,98.51156513,0.945628524,80.89958353,110.5999215,0.502933919,1.466379916,223.3593018,0.86215198,56.32663151,139.95372,0.918518543,55.0378738,136.7629574,0.171584696,74.85639289,142.0041842,0.046531975,61.13683579,136.5549045,0.149760574,13.38662823,212.9628979,0.016500205,30.37539136,33.57006744,0.226643533,11.08047162,36.95976953,0.081214279,9.647262516,32.22439846
7,0.525074862,0.982952952,136.866161,120.5321351,0.956666768,141.0240373,128.8593116,0.999541581,142.9853308,106.9879326,0.301651061,132.3847388,137.8827979,0.937009454,128.4175542,90.20538292,0.540404439,55.89893127,59.60986267,0.371674299,68.17084114,102.5421714,0.744357109,81.07917471,111.7013645,0.388792574,0.619392443,229.5209114,0.692487478,58.85360584,142.5220184,0.873862684,63.88261621,134.7776827,0.109872431,75.77519678,137.7041637,0.110894263,60.518206,133.7667149,0.054072231,48.46075584,45.11903456,0.028699189,25.96775393,41.6229469,0.174034894,5.754022682,37.58103884,0.659299254,9.516529936,30.31202452
8,0.529754334,0.954592943,137.2634061,120.524942,0.965983152,137.9962059,127.6274896,0.999680996,142.2556033,107.0402475,0.562003076,115.0168734,145.198397,0.933908701,128.2803234,89.79400749,0.650668025,85.62501829,105.1160902,0.456664115,71.63598602,115.4226163,0.869974852,82.38289784,107.8738735,0.345025152,1.11795585,225.5488013,0.808124304,58.25424518,140.951801,0.916587472,63.17199936,134.3547616,0.179135919,78.29155816,137.1864637,0.108730972,59.44348739,103.0368777,0.064932376,21.92536124,215.6742305,0.033737928,11.14384988,220.7043686,0.092702031,4.726576216,62.86019429,0.063371658,11.69163546,39.58582046
9,0.649607944,0.977599382,136.8845949,119.9160351,0.969954967,140.1003019,130.3252282,0.999747634,141.8690504,106.4298411,0.699619532,119.206863,144.6225178,0.940804601,128.675374,90.374288,0.445724458,82.8665645,98.96603855,0.649015367,96.79875254,100.3320313,0.920245647,83.68022638,108.2796651,0.546628058,66.60731703,116.8677215,0.6229316,62.02642205,135.5492646,0.949195981,56.82562934,140.7598046,0.517138541,33.22140659,124.1182409,0.636116624,-1.266780763,142.7868729,0.119627237,17.59419378,53.98800206,0.07565251,13.82562111,56.28741661,0.486726582,18.47631562,51.03290077,0.48660633,27.58994494,34.78903934
