Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.593595643,0.982093632,131.7136538,125.4720662,0.975329041,135.0036088,139.4573677,0.999226093,137.1681638,115.4207631,0.524007797,107.3613793,146.2581807,0.956359029,124.2419144,101.4117851,0.637388825,67.36797509,58.43070308,0.348816156,75.0136609,133.6884558,0.810998023,70.93612842,68.16965853,0.527037501,70.80633461,68.90592082,0.759224236,41.21379952,41.13543983,0.946856558,43.38513321,185.4458782,0.372535467,68.88476806,144.427827,0.374954492,62.3795451,83.62199838,0.426508188,43.9913487,71.97950804,0.261996776,21.6415592,82.92031201,0.095210016,68.36833597,134.1730552,0.092584103,14.6797826,201.4424596
1,0.607147355,0.97672534,131.2013426,125.1745377,0.939574778,136.0023847,139.9599012,0.998538852,139.6694561,114.3387538,0.4821392,117.1191284,147.0468799,0.973164558,124.4908098,101.9026876,0.66721493,66.40384212,57.94618909,0.24065277,73.68980303,127.8807131,0.824978948,68.99895638,67.76041667,0.397142321,73.6035522,67.88813787,0.936130822,40.24467097,41.03925879,0.956566989,41.19186954,187.5842453,0.796204448,66.33270302,93.39975421,0.645696878,57.90984536,153.312083,0.163460523,78.28037829,70.50992168,0.26202336,33.06564122,70.90653285,0.030914873,45.4205528,180.3642663,0.030375451,39.64245438,42.43749268
2,0.622114225,0.972645879,131.5024189,125.2271818,0.98006916,135.1004726,139.8840561,0.99858129,136.8219169,115.3782991,0.576344609,109.8381174,147.6068732,0.970147014,125.729569,101.3379272,0.726032972,67.28611331,58.05309281,0.547695935,91.0866239,100.5464849,0.847448468,72.5407023,69.63781845,0.299809903,73.64672943,69.43104567,0.929175198,39.92057048,40.70309452,0.938756227,43.68923611,186.1648281,0.694756806,67.56011163,90.18303537,0.506924629,55.95001487,157.7148316,0.168634623,37.59753128,61.25202993,0.250713825,23.96593492,81.65046378,0.055602044,124.8254014,133.1139299,0.112603247,42.41336208,42.03274959
3,0.595659624,0.971938968,131.5403597,130.5893024,0.978411913,135.6564914,140.1096164,0.998997629,137.4683379,115.4495723,0.371818662,109.8620499,146.0638557,0.960257173,125.5371947,101.4164545,0.65844202,71.99661312,58.41217155,0.698164582,87.37799065,90.33766386,0.792444468,73.8248576,67.99727879,0.322160929,5.812590905,246.788926,0.84692812,39.74680087,41.10838625,0.929631233,44.47706358,185.7591829,0.544977546,68.82138904,93.23394585,0.356455207,53.29127775,159.2215663,0.188685566,63.73506506,174.1270433,0.340817273,24.44112066,78.80661868,0.07506296,123.7450379,130.79727,0.091019362,41.48561247,41.26060686
4,0.534892745,0.97658217,132.4851138,129.9043798,0.985050082,136.3310266,138.8809886,0.999531746,137.8367251,114.5409669,0.292345226,125.61877,146.6573034,0.954838037,125.8978645,100.5976538,0.521389008,-4.010225408,19.78385173,0.381411761,83.76367919,97.81915672,0.78654933,69.56465551,66.92796114,0.222364277,8.04593547,245.2623917,0.856083155,42.63528317,40.96106673,0.873294473,41.35894585,188.3299928,0.429260015,71.15599519,160.9583967,0.461667836,56.0150337,157.2382422,0.072678566,-1.155320833,16.95684959,0.087388605,28.61186395,77.64687451,0.06290561,40.69626407,42.74198268,0.129836768,12.5478825,197.3263645
5,0.605478411,0.985288978,129.9754945,129.5616441,0.991715074,135.4654338,139.9167179,0.999068499,137.5162882,115.151227,0.314345896,111.7618602,146.6439656,0.951946735,126.8629179,101.0885197,0.678969324,-3.372276582,19.55585913,0.502970338,63.15006023,67.43421309,0.673340201,71.17865364,63.78418578,0.342227697,73.5193435,62.78759217,0.926511347,39.45730983,40.52620991,0.944557667,41.23496143,189.1076828,0.490972787,67.32096354,162.0578403,0.427568585,62.22390469,155.8894765,0.367026031,56.15328252,67.06977606,0.382248491,43.76598953,94.32637914,0.087686837,15.93852259,198.5856303,0.226688504,14.50175044,198.4188222
6,0.556206053,0.979375243,133.0262831,129.9965741,0.985775232,135.6981873,139.4797275,0.999234736,137.9172884,114.7200643,0.256732821,116.3558248,147.1346608,0.969445705,127.4247157,100.8166793,0.248763353,71.14406552,60.14289999,0.549075425,61.36950394,67.91731283,0.782717764,77.92990086,117.9254691,0.222638935,5.538990721,247.3552103,0.92077893,39.53173158,40.99737389,0.956060052,42.61654743,187.7930663,0.272903323,67.08736882,158.5052864,0.285547167,53.08946093,160.4643853,0.47753194,60.22265259,69.20171807,0.383002281,22.24072936,82.63980327,0.072977811,127.9777963,135.3473076,0.092942178,42.71215546,42.7144719
7,0.605210853,0.964215934,132.5378311,130.1428634,0.989536762,135.9688451,139.367246,0.999381661,137.4395409,114.9218994,0.647899926,116.2018668,147.2395224,0.973836303,126.7976187,101.0530172,0.481559515,69.56355825,72.8659732,0.755288899,62.33400876,79.823853,0.834336042,75.88519721,118.0448512,0.253971785,6.579876351,245.3736296,0.882303834,39.30348295,40.64512865,0.916509867,42.19081312,187.4755433,0.282453477,71.90374824,151.7318562,0.209634393,51.89869475,161.0241471,0.526578903,56.20386017,73.52098939,0.329650223,22.90305606,83.9074326,0.108878285,43.53544581,43.73706451,0.13254869,43.2499171,42.82674611
8,0.631881284,0.975416064,132.5198604,129.8342038,0.97654438,136.1204378,139.4860794,0.999571443,137.4220457,115.0634217,0.418889701,113.6556112,146.1749717,0.975982666,126.709216,101.0144424,0.699653864,72.87394663,64.7195766,0.762448728,62.14267078,75.62464644,0.782094836,81.2335167,115.5995557,0.411026359,62.57074287,161.2702628,0.79340446,42.2446155,41.39393629,0.920515895,42.61069232,187.6789755,0.578097105,65.10900681,159.653363,0.565770745,52.82113179,159.2544232,0.444972068,57.01102382,72.85257442,0.210728496,36.99734768,72.18392781,0.134257257,57.92600558,78.97699897,0.092607766,44.69905782,43.83159356
9,0.611588922,0.980784774,130.4056941,129.9754579,0.990490675,136.136592,139.7888747,0.999434412,137.5471944,114.7733912,0.563890278,63.20098534,74.8924684,0.973429501,126.9303385,100.9135553,0.612481356,69.09218092,82.6550552,0.590772808,60.25034625,82.18585411,0.885611415,81.65833358,116.1410785,0.307231486,63.30048865,160.8818201,0.883543253,41.83580034,41.16096335,0.964157939,43.58634958,186.7716624,0.544635117,64.53329213,161.1741061,0.424797058,51.22394614,160.7611701,0.16074568,50.95649176,74.33726641,0.144522339,19.44782462,69.91070732,0.183214456,125.0770643,132.759612,0.187269121,42.86444313,41.76453018
10,0.567368655,0.990202904,130.6949687,129.58109,0.996888995,135.6997844,139.7815231,0.999759912,137.4217775,114.7625771,0.4010759,63.44979542,74.3124683,0.981853724,125.7988671,101.0415082,0.705364764,68.05216624,75.77732424,0.503864825,60.10333153,81.12984989,0.64830488,83.57749834,116.4863623,0.401473671,75.13017176,114.3530426,0.858726561,42.94779536,41.35667208,0.822946966,44.56284198,186.1714117,0.207739145,68.36350802,163.3278958,0.294796348,50.37081334,162.0340785,0.242605537,57.09381827,73.41956587,0.182260007,-9.934172708,16.04225187,0.180073649,43.30932465,42.06899579,0.227329344,45.29418488,42.96988384
11,0.53910385,0.96329093,136.1076486,129.7903743,0.966733336,139.3778407,139.4997464,0.999833047,139.3670388,113.4760017,0.336980879,116.4557974,147.2842297,0.988268852,125.5199555,100.8401607,0.364414275,66.69025778,79.22017644,0.437513053,90.77642815,108.9076155,0.777276158,81.99496723,116.6815772,0.256015301,6.763000869,245.1538116,0.722430825,39.89713786,40.98985765,0.7440992,39.82001258,184.7244411,0.352828503,69.21884753,166.2472447,0.535125732,52.27856049,158.566477,0.216613501,66.81269995,174.9774208,0.217449725,22.56631573,86.484375,0.095216334,43.66012516,42.82413097,0.190675795,44.06289319,42.52135392
