Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.398016407,0.984467626,141.8841682,123.2290813,0.972673535,146.7021814,135.8828564,0.999400258,146.3585069,108.6147321,0.262717009,123.2621089,148.4489359,0.988881469,129.8073697,91.36638284,0.764927089,68.98091253,175.0903412,0.437070429,78.93381564,63.03682896,0.629787326,78.25576306,101.7143122,0.124910414,3.562159544,43.01403031,0.163849533,-4.382333363,39.69807638,0.140304029,-4.377250148,39.85826433,0.037962854,46.15339529,194.5042818,0.039182514,20.64703362,232.2197595,0.021699101,0.693281605,196.1838961,0.022542149,0.804080654,197.6979459,0.072734147,-2.450959471,196.4218799,0.103169441,2.07013229,199.256764
1,0.423646138,0.987553418,140.901583,124.3926293,0.989449978,142.5905241,135.2032494,0.998844028,146.6023062,108.8518015,0.179947972,131.0203798,146.9215117,0.98840344,129.51256,90.6639162,0.678416252,70.5713866,173.7463181,0.42329964,77.08927074,62.11800679,0.619360805,80.92628965,108.0794393,0.066170633,53.16575106,100.7020887,0.561502337,94.50668964,134.6737111,0.237155527,4.16977405,45.49669968,0.087431908,51.6112184,193.9989076,0.020334572,49.70780848,159.1981215,0.01273942,55.03231434,220.5236131,0.021675169,49.80151154,222.0421495,0.115610749,6.048283381,41.1619265,0.2140885,9.117385159,44.65390552
2,0.434605712,0.949262679,142.8031977,125.9539467,0.983270526,144.4513572,135.4473168,0.999313712,147.5497547,107.2170529,0.65275687,125.3998908,150.8927195,0.990724325,128.4386338,91.21246147,0.831219673,75.52382032,61.96303693,0.337012768,80.65747893,64.08657879,0.83591485,84.70117919,107.2051049,0.011308223,108.1745718,85.93256232,0.240906537,97.69300216,126.4557974,0.109297633,1.764950603,39.50657991,0.033608437,53.87197887,190.7299469,0.027104169,40.14150403,149.8558808,0.014275104,54.89729025,226.2833324,0.02500093,38.25082538,47.76943859,0.193688542,5.81819951,42.35763645,0.153632134,8.802164104,44.00623488
3,0.408381935,0.945305467,142.325633,126.2558764,0.905995727,148.7151315,133.0498986,0.999509454,148.0768668,106.0009583,0.680650115,134.6548748,141.1524901,0.987027407,128.3623132,92.68716838,0.803763509,74.50469018,60.08711645,0.31583029,73.67488637,64.93787063,0.717695475,84.3675752,106.7484736,0.029200613,89.66542676,111.8220267,0.116803944,8.086012175,43.48221949,0.191073954,7.381553698,43.84173714,0.031023711,56.39138821,162.826228,0.02020663,117.8504165,235.9104586,0.014378399,57.99840044,213.4130189,0.02001518,-7.85483752,42.81232322,0.135049671,5.945207498,44.20275437,0.028963357,-0.312837822,42.5467799
4,0.422973531,0.978954375,143.5738164,123.7682633,0.955819368,148.6296426,135.8361009,0.999263585,148.9783523,106.5015167,0.738349199,139.5343223,139.4057111,0.993807316,128.2970993,92.63658464,0.729554653,72.58225802,58.57513923,0.274573654,73.96588005,63.95148155,0.641351581,84.68657342,109.1696415,0.015875101,110.6769126,120.4239208,0.250930756,89.65247908,139.3006666,0.089251339,10.0846598,44.21166047,0.029284745,59.72426435,161.1111965,0.052230865,16.95051596,156.1474548,0.00937283,58.65718389,226.8668559,0.016933471,-5.384929147,44.27204642,0.216900259,3.860275897,42.34350616,0.198096931,10.01043313,45.25536926
5,0.415701659,0.957863212,141.3939972,125.991912,0.96718967,145.9894126,132.1148247,0.999670863,148.1983702,106.5066128,0.722256243,129.8644882,144.8296441,0.993503928,128.3111199,92.93113832,0.749828696,72.62421607,177.1355874,0.260609746,80.78304829,65.88511187,0.840738535,86.58954139,108.166257,0.008193493,119.8856898,143.3114856,0.388287842,104.0051742,114.0847134,0.016699851,2.926096255,199.864793,0.03219679,40.05625902,140.5552995,0.047668934,49.5573191,143.1186968,0.029174626,38.57793725,142.5548874,0.015066266,51.27343872,210.2682438,0.020143837,11.79907562,45.08739076,0.017835677,13.48256696,45.76994211
6,0.432829534,0.96792084,138.9763162,123.7548767,0.982199371,145.266159,135.857022,0.999681115,147.7037492,107.5008412,0.377833694,136.1314348,143.4412551,0.983427644,130.1285624,92.74770063,0.650502622,64.30243446,62.83099495,0.484062731,68.32842614,88.42892917,0.765990436,80.02021399,106.5730337,0.026790082,79.79862818,76.04006954,0.628135324,-2.065161468,204.0711562,0.096603483,-0.487489546,202.8425406,0.183320016,57.75552166,193.6271311,0.029709905,83.50631657,226.7057292,0.056857258,47.83788636,212.2177356,0.020328611,49.37837408,228.9580651,0.070406586,130.9488871,140.0036332,0.034332365,-3.64016796,203.2229732
7,0.432295896,0.965933561,143.3990715,124.4864574,0.976288676,145.2852513,137.0458558,0.999650717,147.5029382,107.1695903,0.713046372,123.3895253,147.1560574,0.988017797,129.9931726,93.34559828,0.615264595,67.65189753,58.10795588,0.418086171,87.24576457,101.2259822,0.901545763,79.64604791,107.5800147,0.073172867,82.13430112,76.55045451,0.260426998,105.1036546,110.1144931,0.112245709,-7.001397636,196.0804122,0.129807681,53.36535507,178.9655753,0.135233879,17.27513003,229.618275,0.010288745,54.62902207,228.8023516,0.01421845,40.38884805,228.7538282,0.025805116,125.8932438,137.7774486,0.009997129,274.4132822,52.22472154
8,0.377459884,0.939890742,143.0175659,125.8666535,0.965198994,146.125595,136.514318,0.999874771,147.4295924,107.7650983,0.409271657,139.6199819,144.1220569,0.98276931,130.195983,93.2555497,0.374281317,72.41607171,54.78672899,0.435796738,85.65009071,102.5345515,0.759060144,81.05363901,108.4339278,0.019897312,80.11456626,81.40155616,0.280020952,10.93821551,189.0788614,0.13277027,11.92753519,192.99189,0.028814197,61.09614569,157.0575355,0.071256876,12.70531815,134.9724587,0.003328323,75.66323346,179.4603182,0.004710674,74.1242819,172.8773603,0.006272823,127.4196805,136.6464893,0.003602922,10.05608986,193.498337
9,0.446922381,0.912772894,141.2251287,126.462637,0.942587733,146.1128302,137.3803863,0.99968183,147.0064275,108.1561866,0.360421211,119.9198024,151.2387957,0.97710216,129.8634519,93.68811447,0.453508615,90.85809486,144.3443133,0.617879212,93.40793491,105.2672319,0.957945466,82.86866149,98.49520375,0.030427247,73.34005711,91.12543647,0.286787033,108.8699185,111.0689885,0.836357296,14.25057972,193.4355737,0.092971087,61.18901666,177.2269039,0.040723205,11.78114911,71.6780538,0.040988505,-4.124494498,42.22094208,0.014338672,-6.03764109,34.36477718,0.008398503,-7.385988462,32.51940324,0.02478981,-10.55391728,33.01313422
