Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.369008985,0.976028562,142.2280377,120.9476314,0.980250716,150.2183306,136.5007364,0.999437869,151.013784,108.3262865,0.328316808,121.3338551,153.9566143,0.809886038,128.6307277,97.54115949,0.807816446,77.02476397,184.8889328,0.458092511,60.74788716,73.29436837,0.107298821,50.12663614,124.7967506,0.080232084,-5.124494193,212.0689714,0.299432576,7.351747815,44.11813724,0.101562351,22.05732672,211.0705856,0.033395231,1.822374894,147.0837235,0.054881752,12.07995849,164.975909,0.012443125,20.75676279,170.7555985,0.014970243,0.714973897,159.1477328,0.107544422,17.10943596,208.490388,0.101563185,12.13227957,208.6982337
1,0.404778321,0.980384469,141.9158425,120.6407152,0.985910416,149.8533206,135.298894,0.999187827,151.35018,108.2090258,0.52222079,125.3973183,149.6248708,0.788424015,137.1776856,95.68822663,0.774720192,76.02742665,188.1781318,0.478289604,-1.904576715,57.89021048,0.614639401,89.15495645,110.9730513,0.057339072,-2.590778937,210.724168,0.234492481,5.130888788,43.23115393,0.086949557,1.440228523,45.7742702,0.036502868,36.62582721,223.592921,0.042175412,124.5612052,236.4799372,0.010510355,-3.812024977,64.99330671,0.01939553,93.87383812,84.26834621,0.208910227,141.4930312,131.3515942,0.04117924,-6.329877189,214.7960313
2,0.394384686,0.978720307,142.0261782,120.6862881,0.995527387,149.5483185,135.615783,0.999677777,151.0437758,108.8030709,0.441516578,124.9075496,152.8871869,0.728043377,130.1821576,96.09421329,0.64410758,79.76653329,186.1230591,0.493978441,54.4485226,84.30212966,0.427517086,88.5794917,109.3002277,0.044509053,-6.194986827,211.9358127,0.613295257,4.666799862,44.1637955,0.102000624,44.10433918,209.2947536,0.027621388,53.15899681,219.9541101,0.040597916,15.86806165,166.341219,0.012215644,20.45705655,46.78453691,0.024855494,94.16801996,84.28154992,0.085345685,143.4988247,130.9133237,0.04501006,11.74423542,210.1961903
3,0.352598883,0.968888164,144.9243499,123.3589117,0.98082459,150.4678356,135.7220345,0.999255955,148.6587079,108.0492646,0.357672632,122.0151325,152.1922792,0.839296877,129.5550362,97.07706675,0.606643617,99.81717799,155.3974158,0.426444829,88.95051839,102.0428322,0.041230291,30.74995062,54.8909749,0.035985798,1.102101091,41.46956197,0.18633917,8.065182499,44.29986199,0.216673285,43.44096552,204.7659664,0.039863944,-2.435809075,36.71034986,0.045269787,109.1266532,235.5602616,0.034355491,18.55690031,60.48193542,0.03270793,23.1907991,59.39576872,0.110267043,3.285801348,45.04731634,0.072461605,6.765574099,46.92286497
4,0.351942429,0.974119425,144.2536673,125.7780314,0.940406799,150.301247,136.9900174,0.997224033,149.867463,106.4406065,0.296112955,144.4154767,145.177354,0.863421798,132.6038009,94.208643,0.623354197,76.86132081,186.5250468,0.317006469,88.67357575,102.7613311,0.073482901,86.36388352,111.9328379,0.059336901,22.899048,43.67764172,0.217735499,12.06958175,42.72059218,0.283037543,11.66897244,42.37620455,0.027166665,-1.343551426,38.55533366,0.031650841,122.7333265,236.0931892,0.038743556,-0.645272711,40.66512319,0.057769775,-4.36301585,44.47055317,0.122650743,6.762882761,43.69566119,0.059801191,6.275201957,44.42256018
5,0.376001176,0.934519947,149.1746645,127.7772291,0.944358826,154.01355,137.258188,0.995456398,151.9602816,106.6695561,0.363522351,125.4710664,148.712876,0.796171427,137.9721271,94.07367987,0.822174788,67.87830519,184.3991885,0.552112997,84.61987823,92.31307545,0.042482883,53.9790228,110.1850714,0.027895331,71.3131291,83.41526217,0.269707322,6.870940133,42.44748995,0.308796167,7.949601267,43.27865315,0.044553518,48.35788455,134.1696293,0.044014484,111.1840546,237.9408796,0.013917416,-5.493278742,45.14766088,0.024980187,-5.780430102,44.13504116,0.146030664,6.326017725,43.64623566,0.061325282,6.08744532,46.67245777
6,0.424475591,0.971536279,144.0914067,122.1855371,0.942080915,153.2519775,136.6545358,0.99503082,149.580834,107.9415867,0.477345109,122.7940172,152.6036058,0.878278077,128.9574921,96.99291901,0.858549237,70.85653431,184.7119811,0.497872651,92.12624844,101.0914945,0.926726639,87.38628716,108.5535537,0.034132332,87.96174582,80.75475724,0.073930711,9.346178605,41.48459445,0.053582132,8.887648374,44.6564536,0.020683259,53.90400061,142.1066075,0.078674853,117.2336094,236.4626248,0.018687069,-0.455440231,45.38766239,0.03987214,14.77306352,40.95647652,0.134842217,6.125305785,44.15534659,0.214260608,7.007438669,45.88441694
7,0.376601903,0.973262787,143.7390396,121.9392873,0.980941594,153.804924,136.3014128,0.999375343,149.0095267,108.1445313,0.485214561,125.9293071,150.6793022,0.927311957,127.500256,96.14074936,0.65562588,75.37177039,65.21785512,0.432346702,90.20351148,100.0804902,0.414263934,87.83763947,109.0545266,0.02445966,105.0788077,113.7768829,0.087068498,8.050070773,43.95219477,0.139678031,6.215432461,42.67608604,0.032355458,50.47949097,190.8927805,0.022499472,124.0120626,238.8943996,0.010133207,24.03103299,53.26413882,0.022916436,40.23032428,226.6050494,0.08888647,5.180378317,46.21838668,0.10589236,3.191324108,47.11494665
8,0.416161821,0.971583009,142.5505106,125.442367,0.989001632,150.9032045,137.1625678,0.999628782,148.7925859,108.4424986,0.47704196,123.4966058,155.2427873,0.903182149,128.4562754,96.01154075,0.74627459,74.37261041,66.12231537,0.497291982,90.35371435,72.21838181,0.658593774,75.3362679,106.4530299,0.057068765,84.68628692,90.22512143,0.137010247,8.785329526,46.11506735,0.098282814,6.710263751,46.20498791,0.059993804,55.97781825,162.3392025,0.065329105,118.2478689,238.9063232,0.058521092,57.81332295,217.2627721,0.197595477,40.43993165,222.1734551,0.082860798,3.645514061,46.27512728,0.075490981,3.39538498,47.49075862
9,0.399206246,0.979372561,143.6377989,124.6511928,0.991676331,150.0021579,135.8784795,0.998866975,149.2786483,108.7647886,0.507611454,121.0854596,150.5409254,0.864827096,128.5980537,95.21252731,0.588615716,78.45202652,67.19276685,0.394046277,91.14949697,70.6854469,0.601465106,74.02379106,112.5368436,0.038259268,2.670867958,191.5627195,0.086709619,12.12709805,44.2757832,0.102477163,11.25238121,44.5137304,0.093838245,51.20807852,210.5183706,0.084212601,28.61062039,221.2011597,0.012732834,59.21734794,230.8217755,0.099220812,25.99296351,42.19810686,0.152062684,8.506610694,46.4640269,0.190511435,6.851709106,46.24797616
