Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.420954224,0.991489232,134.7282815,127.2864486,0.997281671,140.4061573,142.3917979,0.999104142,143.7552669,113.8514479,0.320948899,132.85077,150.4693352,0.998503327,125.2435676,100.5392307,0.847602248,70.35016044,186.6015869,0.363143444,88.43202589,110.9648584,0.910344243,78.98530158,116.8909591,0.03725785,78.68267083,93.89552122,0.181035161,106.8077745,122.8812251,0.057748914,57.24072327,152.2923372,0.127532005,48.85518773,170.3592433,0.144402027,16.72813768,168.035244,0.025009185,44.37621918,148.7215444,0.033032954,39.33067369,151.8141386,0.062088907,-2.053493543,50.89153695,0.059697598,-0.378865636,52.07143414
1,0.437200807,0.98508358,134.164911,128.2986843,0.992704988,141.7811598,141.6373942,0.999383867,143.7106937,114.0930039,0.568175733,133.9011416,150.7852977,0.998772323,124.5661795,100.5655041,0.845921636,70.16693001,182.9177152,0.43060571,86.63040828,108.6839571,0.943051159,80.39540418,116.1184871,0.019640923,73.40205237,97.54682867,0.25928086,102.3543203,124.3840341,0.027493984,-5.676975893,201.2261529,0.091636032,47.55225707,167.6797314,0.082314849,49.67848417,167.9936213,0.026076436,32.50457497,149.1255803,0.02680698,33.8891632,214.6806238,0.071640223,2.096818979,52.52295714,0.063824445,-3.38221594,53.84801591
2,0.427062862,0.986573815,133.54391,127.3641469,0.995464921,141.6083168,142.7528943,0.999499261,143.7394541,114.0458582,0.48082003,135.060008,151.3612135,0.998417795,123.781784,100.7441016,0.842692018,73.66224348,185.6832768,0.440953761,61.82544646,77.45519517,0.939486146,80.77329486,117.3376907,0.023376912,76.02323268,111.0167588,0.104328424,103.3067918,120.665684,0.05024609,3.852335993,45.79207021,0.086846262,50.75568381,209.471559,0.055411786,45.37460194,163.2099158,0.032896221,-3.550115959,53.53994153,0.032696754,-1.854516266,52.37451599,0.078710526,1.987033039,52.13275276,0.111647934,-2.576711895,53.35475431
3,0.415110362,0.977342248,136.5279607,130.3450887,0.994106293,141.4061159,139.6313324,0.999423981,141.6955856,114.564875,0.76998198,133.1044081,151.3719179,0.999040365,125.1685881,100.1234297,0.562761962,83.07870167,105.7762636,0.372835159,82.67557399,102.9116802,0.929098964,77.82077213,116.5199385,0.062753826,79.96735648,93.06121255,0.181518346,78.01860833,128.0764157,0.063667566,66.28837366,122.3189153,0.054514498,55.90164394,201.6481839,0.057127386,47.03797073,164.3466663,0.007076949,38.74154804,157.8462591,0.010790527,81.4658069,93.09550806,0.007824749,274.005101,53.71275408,0.007011354,-4.035253632,54.04929019
4,0.420139101,0.975215912,136.4312797,130.4718223,0.995005131,140.4761138,139.246023,0.999311686,143.8112394,113.831368,0.729261279,132.367524,151.3020468,0.999016166,123.7621308,99.85772179,0.601912379,74.26753545,190.5661624,0.372435272,57.29010002,85.07635719,0.937865376,79.63176523,114.6530338,0.081040919,80.95915872,94.04624834,0.192748606,102.9932433,125.9043139,0.043665022,71.40256808,128.118453,0.12213257,47.61797387,166.3302708,0.029708505,38.30705697,151.2670929,0.007738292,43.43956041,145.3833709,0.006495059,3.837868527,54.37703603,0.031952113,4.441656334,53.22564933,0.016860425,3.940838875,54.3479647
5,0.404079209,0.975278795,137.2486906,130.3281055,0.993715644,141.5487964,139.6732234,0.999447763,143.5921407,113.3993885,0.798338592,132.4886251,149.6675542,0.999336839,125.0557409,99.74139991,0.382769585,68.57051245,66.64380706,0.319974214,57.26363774,75.16997796,0.723719478,76.78471369,115.7566835,0.057192594,100.9257349,126.1299718,0.248970926,68.85041159,127.5429151,0.0477992,67.40713512,128.1419466,0.132053822,52.26724041,219.6753326,0.048340917,40.23052544,147.3155138,0.011262059,-0.031661972,53.71452189,0.01591441,-1.744304376,52.67514728,0.068961978,3.763194566,54.13802205,0.046269745,4.580770009,53.86412736
6,0.414461953,0.980366349,137.2209665,130.2120153,0.99485296,140.8600334,139.9175469,0.999317884,141.8401437,114.6307838,0.78820312,133.1146614,150.8438061,0.999581933,124.3958723,100.0440611,0.479533821,67.82856878,187.401661,0.515019298,58.03628033,77.32792505,0.796968699,80.33561564,113.8095081,0.085714549,78.87444162,92.55853279,0.085965246,83.44837508,132.041101,0.128003985,64.64280489,124.8771067,0.037847996,56.18645638,207.9056941,0.045839965,13.28774822,133.6675957,0.02039057,276.5023945,50.6490544,0.03074035,16.02726359,145.1198087,0.030672252,7.637905164,50.13422553,0.02683422,272.4818586,49.38492412
7,0.411031243,0.976648211,137.2677951,130.6773272,0.990705907,141.3268205,140.0405133,0.999510288,144.1479401,113.8459616,0.712635756,132.9628857,151.28827,0.999711156,124.5990973,99.65666696,0.527919531,85.19168544,110.6392522,0.70152837,80.94617446,105.838649,0.49450326,80.0484197,116.7961557,0.081627041,79.98397389,94.95181804,0.076662511,2.906175821,49.13650417,0.068162501,6.433598474,49.79865256,0.029821396,49.14312127,217.2438748,0.022387028,-3.18068677,55.39498357,0.012714237,1.363309844,53.54742729,0.023959786,0.89369375,53.61006262,0.153372198,1.922191186,53.64675991,0.115661949,1.369260105,52.62048538
8,0.410987365,0.964914441,137.3679507,130.5806585,0.985730886,141.0411668,139.9092321,0.999354839,141.656011,115.1632725,0.799693048,132.9219335,151.0621733,0.99969244,124.9710689,99.71550455,0.560596287,69.08651783,186.3106176,0.29591316,89.96219935,111.3532157,0.899525106,81.57484419,115.9104342,0.026207924,80.08808569,93.78458811,0.155606389,87.23646223,126.756508,0.079226375,66.55498986,124.637538,0.047035575,55.43307072,179.2728816,0.044479728,14.16090452,159.6790999,0.019758344,-2.950260196,54.4014318,0.017133504,-2.838131908,54.33997908,0.03865248,1.224689079,54.39124556,0.053264678,-1.604298986,54.11402251
9,0.432536677,0.959467053,138.2228757,130.444976,0.982355118,141.7716502,139.7885578,0.999295473,144.2994962,113.4901198,0.924235404,134.2175552,150.3689724,0.999583185,124.9408698,100.0300528,0.579422474,76.48372884,180.4511938,0.28806591,55.6668788,78.58803205,0.919726372,79.95893805,115.6009578,0.030060351,74.92417315,83.52137953,0.10072431,60.280716,121.5432248,0.053993613,59.07706919,123.3536205,0.088362247,53.39419476,209.3726592,0.066761047,40.357951,170.7897843,0.039439261,-2.853557953,55.88241749,0.037162811,-1.030263246,54.34598354,0.120220631,3.148171643,56.15187437,0.164248258,2.494439781,55.76280992
