Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.450836613,0.975861073,137.0348832,128.7039638,0.948926449,139.0248639,142.1435974,0.998791218,143.9891786,114.6650915,0.413430065,124.088371,146.8472271,0.997268677,126.6090239,99.57399442,0.670744359,87.4495077,109.7059218,0.489326894,56.2788214,80.22859609,0.736511528,82.68519941,115.5228206,0.164941132,81.78466492,112.1416954,0.910614848,11.69383684,195.5691128,0.123898625,9.447397906,195.6693294,0.102940589,44.59123057,199.5498547,0.054430157,41.29289377,236.6996577,0.017163485,46.82549523,164.4851406,0.020071715,79.8046936,93.53212049,0.022441715,-0.016092973,42.59412063,0.016859889,-0.118284178,44.07656323
1,0.437551391,0.980988801,138.1314007,128.0827554,0.982612312,142.9727001,143.6496128,0.999584436,144.7229781,114.6837205,0.379571825,125.2109302,146.8099324,0.995092273,125.9733073,98.92759783,0.774792671,86.6406311,106.3390976,0.315738082,68.42557033,96.93615403,0.817525744,84.85083343,111.8758412,0.053938627,66.25735165,78.80255881,0.854768872,14.74978177,197.133661,0.076137424,12.08256144,200.5383651,0.070569843,0.389496116,159.4270833,0.036017895,-0.106680938,200.836235,0.013238311,56.24620835,121.3909493,0.017721862,80.31224397,94.59396458,0.041128606,1.059167317,44.08251892,0.028946072,2.03930706,45.47642473
2,0.442110423,0.985280514,137.9012928,128.1295963,0.972525716,142.2706724,139.9067816,0.999160171,144.7188207,114.6960586,0.444091678,132.4492334,153.1695976,0.993720889,126.0447268,99.18111394,0.655279279,75.32041857,177.8434915,0.324328125,50.34187003,88.60612467,0.875018537,85.57531845,111.4325965,0.061478406,65.75845135,78.87524627,0.770708144,15.1819381,196.7535698,0.173294604,7.888588209,50.47512631,0.074782908,24.86230895,172.9534615,0.060689449,28.48778809,219.0682545,0.006354749,98.27387397,118.1438607,0.017153084,80.00451706,93.87601436,0.053162783,4.732382556,50.34382681,0.048848152,7.601710783,53.39880935
3,0.453553266,0.975076556,141.7393785,134.4807394,0.993251443,149.1665082,141.4157474,0.999837101,144.8634276,113.9714639,0.615159214,135.0610931,153.4044602,0.998142004,125.444147,99.94850187,0.442182928,74.08474392,178.32397,0.442682505,72.83679214,102.8929049,0.630167603,84.46444508,110.6844106,0.060574025,83.49028436,114.0744967,0.869835317,13.06652207,195.0940475,0.223965138,6.289842775,49.85636241,0.142912328,35.83124244,149.7868265,0.11417371,27.52110399,222.8229606,0.018575102,9.294751342,49.51641259,0.030191839,86.43453496,83.03414677,0.079127282,4.506519713,50.99925142,0.074551433,6.02391618,51.28049167
4,0.455411604,0.950364947,146.697134,137.5840502,0.979935765,149.9954525,143.1229152,0.999450922,145.8865993,114.3776212,0.680182815,135.7584757,151.9238037,0.997603893,127.0897096,99.9190465,0.684943616,75.84893883,180.2015303,0.466790408,74.46921816,105.3517088,0.546781838,78.85299625,103.3290784,0.169182092,82.03284103,112.0589132,0.541644871,14.21680389,195.7157069,0.188129365,14.03215006,186.8752682,0.28450036,39.67333619,160.2626478,0.1176081,27.87436115,221.8909712,0.034387022,9.415511037,48.93635153,0.017721742,7.833949171,49.17056194,0.035998911,-0.498302665,49.43303293,0.046770602,-1.254821377,50.35589059
5,0.446043223,0.922929406,140.8993397,130.3274106,0.929080248,147.672587,142.2030933,0.998400033,144.8418237,112.8315314,0.555268109,126.2280792,158.2530626,0.995332599,128.2956729,98.8781845,0.482733071,79.59267225,171.2758222,0.436290354,85.20078661,104.5526588,0.805403233,83.0335006,113.411885,0.104786187,82.4107378,111.4910073,0.702898383,14.48910602,196.4817903,0.231507361,5.338501281,50.99909903,0.137843788,44.06625202,153.3226289,0.114282191,27.29577835,222.1427317,0.034345776,-2.284637908,198.3430868,0.040381759,82.60525174,90.03262523,0.065118581,-0.080821172,51.05427298,0.026133716,3.585263751,47.26090068
6,0.45708213,0.921305656,137.5057911,127.9215068,0.945733786,146.8626253,141.0001048,0.999574661,146.2593511,112.7498464,0.565755844,121.3353182,158.5766327,0.993866563,127.8607063,98.51228445,0.714148521,77.01447409,180.3236677,0.279839009,59.68309267,64.58874649,0.968228459,86.21631408,109.5564626,0.035744667,123.3116198,122.9479386,0.553967476,15.82361648,198.4639318,0.142458558,60.18277324,115.5909605,0.374178231,59.18923977,176.195966,0.186116964,50.14249461,154.5391625,0.011656642,-3.937673581,198.1339975,0.02419436,79.06593199,81.45007949,0.036514491,131.1961732,135.92504,0.017112315,131.6328832,141.4656728
7,0.43581904,0.955500841,139.1759934,128.1743646,0.967474878,145.3105859,141.6583641,0.999314785,144.8587215,113.669778,0.530693769,141.9656825,146.8729396,0.997435331,127.7131613,98.60649042,0.814067006,69.66845033,60.19117948,0.571727872,84.12314807,99.85888001,0.925093651,85.7451562,111.8840341,0.078251749,79.18881915,93.55808901,0.084935784,-6.469552067,191.2446844,0.110281765,-7.021874512,195.9223822,0.079019904,61.14149915,174.391337,0.189823091,48.4603718,149.5703247,0.009463638,4.190540099,122.7295958,0.048800141,12.50234235,118.5172587,0.039318204,129.6407932,141.2764562,0.007721275,272.742958,60.6449092
8,0.435991221,0.977518201,139.0950399,130.7324219,0.971785545,144.7265625,139.1540604,0.998288393,144.5024774,114.0739481,0.572436333,129.9758846,153.5682082,0.997338831,128.3142898,98.18703184,0.738230288,84.92694679,105.3849314,0.622756362,93.86666325,107.8703257,0.843090951,84.68584801,111.4484336,0.107111394,82.51181385,82.08122415,0.10979259,12.61895074,199.0964419,0.053347737,63.91452823,116.6156806,0.193763584,58.42572883,180.2047733,0.113187462,49.55139694,155.5110799,0.012165099,-6.525783658,202.0904046,0.069164038,84.74708129,84.40866154,0.024293661,127.5538999,141.4787302,0.00758028,-1.646528685,187.7606117
9,0.446807479,0.981415212,138.2771779,129.8618304,0.99245286,143.1626726,139.3476904,0.999240994,145.5981537,112.4182662,0.170601457,135.5978855,152.4959645,0.995709896,124.9688987,99.64141503,0.748198152,74.17724914,63.75616905,0.44380933,89.98656465,106.9272784,0.902317584,82.97636987,114.1957075,0.070899487,81.52240729,81.87019643,0.766241431,17.81668483,199.7250263,0.104379475,110.3899179,121.503443,0.099075407,60.89531031,178.2755442,0.098257929,25.20436795,225.0454266,0.016511023,22.66778039,57.7420985,0.032241315,-5.809506001,207.8879916,0.072310656,6.960642001,53.87222881,0.102064937,0.90451187,50.62257993
