Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.433430779,0.972794831,204.6673835,132.0214478,0.985248029,213.847705,146.1770565,0.999560475,214.8904202,112.7780704,0.438791543,208.4656387,152.924128,0.979336262,187.7279499,93.20235692,0.253968596,138.3769556,160.6986628,0.910734892,123.1263289,63.58283835,0.708531916,-1.205390235,15.18826564,0.160307705,118.3440987,119.0095145,0.155328423,137.7899574,131.2620577,0.194311947,33.7205111,29.84341473,0.14735806,116.0689641,241.4103952,0.116010606,101.8217036,192.260602,0.096937358,16.35140523,116.4383022,0.213700533,16.32579027,117.2114447,0.023591787,76.48499678,240.7822253,0.011810273,9.620977014,233.5992851
1,0.456234054,0.994174242,205.1960684,131.0701711,0.97782433,212.9224456,146.2860389,0.995470762,215.1430341,112.2592121,0.695870399,209.7276354,151.1955271,0.979667604,190.782396,91.35331324,0.337922454,91.88831344,53.04144356,0.758953691,124.3416798,67.66463795,0.911018014,1.321160725,16.60331812,0.244657844,119.0542462,112.617029,0.327767193,141.6773101,128.0437661,0.086031467,61.87507925,220.3926488,0.252663136,121.6185091,228.9891054,0.066084981,122.2429605,227.9282489,0.03015849,20.05697377,109.7016912,0.080972284,20.82034755,106.6271653,0.011516958,118.118197,226.3651149,0.005225062,67.5301564,231.0339371
2,0.463271623,0.989822984,207.9708958,129.7395346,0.982745707,217.6283064,143.3319557,0.990589142,216.011748,111.636492,0.671207488,210.8178985,152.3676703,0.947403312,191.7290521,91.37861121,0.430942714,92.07515264,54.21837815,0.847302675,123.5098827,65.81083948,0.897824168,-1.27687147,16.77916642,0.28786242,119.8759119,114.2890357,0.20901072,142.9032557,129.9389435,0.130017072,66.85058594,216.98319,0.215258151,124.2726133,218.3120952,0.063075662,201.128265,233.6135739,0.029614657,115.383505,57.00779299,0.153106034,18.73241182,97.71496567,0.021310031,53.2227294,219.8412629,0.008524656,14.4386823,235.6984434
3,0.439389311,0.978451431,207.24446,129.904075,0.994341493,215.1330124,145.5364388,0.998064697,216.1669495,112.0456119,0.575350642,205.7456987,158.905933,0.894066572,189.8365203,94.15969296,0.283746958,153.4790131,112.8835538,0.85425818,120.1400593,64.78649735,0.84857595,-0.952514096,15.6287185,0.066059589,-2.317063883,16.54978396,0.150081128,147.6496055,116.8911297,0.146196812,63.98641713,219.1480864,0.166274309,123.2624259,237.2806209,0.194287598,11.6757846,100.2389713,0.097308785,18.37544988,106.2256652,0.197906166,8.018266961,113.4646024,0.018365115,202.7152217,139.7188573,0.006282866,-4.081396515,162.0477821
4,0.471444964,0.961968124,206.4230747,131.5517956,0.997728229,214.8769361,148.2728499,0.998848081,216.0246957,112.3872747,0.429504722,207.7112594,160.3175352,0.944427967,189.9652534,93.26724163,0.447622329,147.7290716,108.1233541,0.784068346,123.1955905,63.83097788,0.67535156,3.80708654,15.68873869,0.767457843,30.69042725,23.81561622,0.261375457,154.1716531,118.0389869,0.076627105,156.5297772,114.1475987,0.24967283,124.3905202,218.4474973,0.162626654,15.64688884,98.80615539,0.064657897,15.92106851,115.0045475,0.137985379,19.48163398,114.0733019,0.031875044,209.7427776,146.1960513,0.022766829,53.33996567,24.32217906
5,0.459911639,0.994441569,203.4761358,132.0684228,0.996761739,215.796441,147.5128989,0.999438405,215.0230425,113.1589541,0.331471741,167.9693108,158.4920948,0.962830067,189.3626375,94.72724524,0.443540365,131.74367,103.7789311,0.851784348,146.2851367,110.9636636,0.820815325,-0.080067585,15.38184691,0.076422006,32.17346725,22.85595154,0.22965771,150.7931126,122.3528938,0.282438666,68.66188383,218.2365305,0.141227484,117.5298943,231.7441821,0.067959994,84.70854913,212.3625985,0.125194162,16.29300502,115.0696761,0.373345196,11.42513356,117.1346364,0.038656622,216.7999961,154.9069766,0.082512468,59.71637626,33.81123937
6,0.442150498,0.987196803,205.3502702,131.0027139,0.999855757,212.4832485,147.322073,0.999691308,214.2647374,113.0647725,0.249189168,174.8486511,157.3453593,0.954648972,189.5023798,93.93924099,0.341796875,120.9084348,93.67392322,0.749537826,117.0969638,114.6188846,0.320305198,119.4101611,108.7354674,0.595357835,6.280695121,19.00625927,0.561868131,150.0539609,120.8445376,0.055834919,164.4078569,147.1337464,0.293071985,115.8089863,227.658981,0.085850924,17.82919513,102.6434242,0.037118316,19.62358453,115.5986657,0.121763587,19.47562648,110.186315,0.066619277,13.17035042,161.2599363,0.096851587,219.7858634,149.4180858
7,0.422504592,0.990616918,205.2452988,131.1851153,0.99953866,213.9603816,147.5026822,0.999437213,214.6154953,113.2148657,0.341980457,206.7280401,160.6826306,0.978886843,190.4677015,93.84348666,0.217850089,109.6115695,97.66618631,0.546279907,125.4914633,58.91937446,0.454439521,117.9327354,108.7793822,0.625286281,5.783762652,17.86989286,0.133902103,147.4015879,126.8942752,0.347043395,73.54722612,217.1874025,0.276417375,116.3844145,236.3096179,0.103426903,113.5841916,198.0170539,0.034878194,27.10738164,116.1576838,0.071379989,12.82726578,112.631964,0.036345571,205.4861599,142.977016,0.024868637,211.8021419,153.7958655
8,0.456197842,0.989543557,205.9935091,130.988291,0.997398496,214.8960528,147.6903017,0.999454498,214.9056355,113.3185203,0.320077986,209.6390254,159.7448258,0.974991202,192.0712878,93.98403363,0.327203959,117.8660463,93.65140498,0.848872721,126.7125688,62.10045061,0.807304621,5.27324586,18.14181248,0.523954093,122.6129813,112.6322566,0.194250673,138.9012392,123.8915955,0.139461905,74.7512143,216.7728816,0.183857948,120.3310925,226.4875205,0.107954413,17.78481701,106.5127697,0.034824759,26.73995762,115.9044237,0.10363093,19.33539192,113.1675737,0.038949668,202.4373342,144.0183291,0.163631886,46.28904421,27.42192377
9,0.442285036,0.983069301,204.9818586,132.3762899,0.999054909,214.3420822,147.0302015,0.998928905,215.4905733,113.0155299,0.312828451,207.9235185,160.1069952,0.929485261,193.8884988,94.04077423,0.422878712,99.7030994,63.88996177,0.591062546,126.4006052,111.271421,0.444488674,126.3790501,118.4271126,0.634017527,8.283959626,12.02261821,0.29611975,139.7927152,127.0955861,0.163993537,38.94221883,26.1981605,0.327322245,123.5807779,215.6826428,0.148848206,100.9855539,199.5053546,0.055136353,126.4999439,234.5869665,0.159405768,26.98702123,111.3863164,0.027225167,207.4347983,148.2916496,0.024980307,122.2989817,233.9917388
