Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.478723132,0.997497916,229.8732541,132.0112311,0.998786211,241.4920558,147.8672777,0.999700785,247.1024744,114.3496045,0.334164798,218.2387982,164.5760183,0.990533233,215.1754643,92.83560344,0.535810053,164.1666179,106.8192591,0.424387991,152.6533605,60.75757964,0.768602371,142.3414336,124.8832758,0.461375564,29.7754973,227.8923806,0.132645577,177.6962391,129.8619645,0.188468128,188.9685257,118.7672514,0.118221819,151.9931994,229.7468009,0.067457944,5.934165164,144.5539389,0.543955743,29.02509863,238.3657879,0.541902483,26.6875573,239.7073482,0.021987885,26.87050732,9.960864349,0.012794733,170.9272223,236.5841039
1,0.503302799,0.992792904,231.4340961,132.3517966,0.999261141,241.2564616,148.7215444,0.999479294,247.3828369,113.9627711,0.59971571,205.9989222,157.9119119,0.982781112,220.6169534,89.27106498,0.298417896,130.9465585,55.32602679,0.71719873,171.0715731,109.9565606,0.795524418,144.6343194,122.0175586,0.543751895,31.69504306,229.7152485,0.130578816,175.2557472,124.2825862,0.161968112,119.8745343,223.5104801,0.213373482,153.2954534,229.7653812,0.088318437,16.95135719,102.0536829,0.399511069,30.90448158,237.9011587,0.572227955,27.97344994,238.7352235,0.041255087,27.92789835,10.93125475,0.019991517,44.85015374,14.93827296
2,0.486541986,0.989896417,230.8649832,130.0284922,0.998363256,244.1020989,147.8375297,0.999625266,246.6933423,113.6327272,0.605019331,205.4029387,158.107834,0.988795757,219.9561583,90.00191411,0.240576446,152.2799016,57.54147038,0.600676596,154.2493148,60.54860623,0.848697543,142.2737447,127.3281079,0.776988626,26.27119848,230.0000975,0.222250789,174.3078964,127.3657196,0.072424382,125.7831763,102.7705115,0.157531023,150.5382554,237.9900125,0.07685262,15.636887,105.6980532,0.247036695,27.92580137,239.2771731,0.294020832,23.75479747,236.9140381,0.072719634,50.28453508,22.00647018,0.079738557,26.65417618,16.11337878
3,0.541989,0.992813468,229.0485038,132.3002253,0.996882677,243.6383476,148.1773516,0.999474406,246.728284,114.3138338,0.95549202,203.5229523,161.1458577,0.974635124,215.0706149,94.81737915,0.354874372,149.8100275,59.82327998,0.726435423,148.7294324,69.08475002,0.914574385,140.5732702,121.6688734,0.543571174,28.36720823,231.5109775,0.082363725,180.0149959,127.6740622,0.156362057,143.3189714,229.7275866,0.148813725,156.6347607,226.3061798,0.123324752,79.63999468,32.31646477,0.387259483,26.36769346,237.1607268,0.546550333,24.72611902,238.5453486,0.28110832,226.1521731,147.4232039,0.029277563,24.52479597,17.9472193
4,0.537180541,0.989661038,232.0258368,131.1864442,0.998099625,245.1857541,150.7770804,0.998968184,247.9306628,114.3548226,0.881985784,205.3757754,161.5546485,0.987375498,218.7648252,90.9019975,0.372047126,179.8439207,112.3492973,0.680601835,147.1063636,63.75970467,0.919934094,142.682377,122.2317562,0.494892627,27.13225594,230.2474202,0.097617716,178.7953291,131.2006354,0.084910512,115.5009241,226.9812393,0.126613468,151.9965156,237.6205037,0.112203777,162.8219608,230.4545588,0.371654868,28.31477133,239.2012426,0.675034225,25.02040296,241.5674499,0.245903939,235.0701028,144.7759758,0.094564885,249.5392966,149.7334631
5,0.483005252,0.985117316,232.6228201,131.8502872,0.998894036,245.3018444,151.2075604,0.997742295,245.7508437,113.1617704,0.830934763,204.4107219,160.818691,0.790634215,215.9165057,94.6462064,0.186098605,176.8912517,110.5301844,0.52852726,150.8689334,53.64894834,0.830553532,147.0722266,119.7620772,0.46924156,31.47875763,231.4591136,0.164517462,122.3226094,239.1269946,0.139948696,11.13271573,20.90097339,0.242866725,148.6511368,228.2816158,0.117148191,162.1627385,233.5066518,0.209953815,32.28748488,237.7220125,0.322728872,27.86298011,238.4152622,0.346698046,233.3690797,140.524564,0.049483895,228.0918627,145.2889211
6,0.511046455,0.990398765,233.5944815,131.2405392,0.988566756,247.8312266,149.227906,0.998387337,248.30617,113.8787331,0.938429713,209.3203808,165.9558121,0.864033222,218.5918237,95.47785727,0.519846141,138.589873,89.59996294,0.68505311,150.1385597,55.54986808,0.870190024,145.7687412,113.2756418,0.590106428,28.69895906,227.3240481,0.193635732,123.0562383,247.1811847,0.131619543,37.36442118,13.86471257,0.079737753,154.0801293,246.898774,0.101606131,166.7027544,235.1178215,0.176538765,32.04820878,240.0132403,0.364162922,28.38552334,240.0610077,0.076772273,236.9123556,152.1866588,0.118705124,239.2230415,156.0725485
7,0.490877623,0.975351214,234.9813709,131.7420607,0.986581922,248.6263021,147.1489617,0.999217629,247.1761373,113.6473085,0.932945371,240.7948804,159.2494733,0.741003454,219.4197926,94.15554775,0.694736958,176.9599524,127.8619865,0.482534409,141.5469798,74.49563778,0.838968396,145.5581402,114.2282718,0.522464573,31.44384949,233.5377653,0.365004003,174.1989505,132.0892585,0.131273985,13.11527857,17.31667813,0.079866856,157.9442323,226.6562793,0.186644197,15.16192528,87.4460879,0.107631534,30.0808712,239.5727021,0.223445952,27.63473149,240.1816089,0.0251531,111.7138367,33.96352704,0.052096039,95.31776685,27.67743933
8,0.48642462,0.98718977,234.388606,135.4007564,0.995781779,246.8057262,152.0689348,0.998753786,248.5122357,114.4049918,0.418183923,204.5152544,159.0314231,0.749481261,224.2862194,94.34188709,0.529302895,179.5936842,115.0955105,0.565547943,150.6765835,60.26936544,0.780492961,144.7467765,122.6453383,0.658912838,26.31237321,225.741456,0.10087654,176.531289,124.5238252,0.177735031,19.79502551,23.03987082,0.070067465,150.133939,228.8500458,0.116925299,164.1898311,235.0652017,0.561721861,25.22478463,235.438807,0.430532455,23.26278248,236.3348549,0.067004859,229.2352333,147.8371152,0.060707867,239.0829578,154.3670144
9,0.51756099,0.990373015,233.7562666,131.6164365,0.998375475,244.5758476,152.4572434,0.998722792,247.7352772,114.1623386,0.857358217,205.7074653,162.5816972,0.896219909,224.1600343,93.10073833,0.513296247,181.971876,115.8128389,0.653174639,172.515764,126.8902885,0.650859952,35.87467265,224.7171748,0.432609141,89.02828983,22.97430336,0.243722916,105.9988491,29.96385743,0.10983023,110.7510265,224.7187598,0.240519941,151.4603937,236.2267868,0.176745802,166.7132637,232.1216399,0.32952553,30.3119087,235.9490091,0.322147727,23.70429907,225.6715726,0.237866133,225.730459,144.0732288,0.14718917,240.0166784,151.3096057
