Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.537380694,0.977615237,224.5161322,124.9806029,0.98526895,242.8541472,139.3102006,0.999811172,234.6381232,106.4047504,0.381441563,226.6329686,160.3426991,0.979552746,205.4834045,90.32569152,0.496938258,164.0521736,166.0083587,0.399126977,125.4400383,73.08321873,0.580630898,127.7230732,118.653441,0.86502707,27.93913614,230.6823746,0.311796665,-8.535186729,52.41120109,0.669936299,50.25504313,31.76158586,0.135787755,134.5933916,205.3437354,0.162745118,113.9787424,225.8381369,0.194337815,33.78140605,237.3305341,0.123639762,16.58688206,26.3957041,0.362318099,50.99714224,32.58057555,0.509497404,53.80129087,31.52191353
1,0.499032259,0.985376716,225.171758,124.9728733,0.974379838,244.677649,144.7211981,0.999583721,234.3716838,106.3189324,0.500812054,234.6662375,166.1980386,0.987872541,205.0082904,90.36073073,0.486744374,131.0364973,50.16881364,0.309949517,128.7961825,71.69012367,0.956180215,131.9399822,119.2844272,0.894461632,27.95768595,23.08827223,0.425149709,-6.91672793,51.68975182,0.221019208,53.35766205,29.44979664,0.074776828,136.8258183,201.4281465,0.148860306,12.41220234,122.043771,0.246032387,32.80189924,236.7034615,0.120244175,28.94953696,237.8421748,0.045408159,26.23146543,36.32680219,0.106697023,55.53818835,32.00499498
2,0.503773091,0.986008286,224.294266,125.4230064,0.98336482,241.3993738,143.1004579,0.999419689,234.7017644,106.52245,0.401730627,208.2921007,165.7313856,0.986741483,205.6622825,90.81294866,0.523504674,155.5865349,155.2976016,0.289646924,130.1107259,81.49968789,0.653269351,127.2565909,123.5034332,0.799145818,24.48636287,229.6933764,0.176545382,-3.200278217,42.59913755,0.73665899,1.941459741,42.32784581,0.160018474,138.4608595,202.7819961,0.129046321,132.7175747,191.1456626,0.329897463,33.44266322,239.1580836,0.179579794,26.84407857,238.4389386,0.090355277,56.974357,31.19160132,0.139209181,61.12049879,35.61675225
3,0.500970441,0.987784266,225.6514562,123.695076,0.97688055,243.5339371,139.3198443,0.999730766,234.1806385,106.3837683,0.244520456,225.8606917,165.5163468,0.974301636,208.0965687,90.23713034,0.372064292,167.4790057,154.1455505,0.628957987,141.7200423,71.6863686,0.563524544,26.76443569,237.0753843,0.772348046,27.70982988,20.38118855,0.089856297,-3.342990756,47.6003994,0.40631783,6.202006251,38.69574043,0.28012383,132.3578193,186.8375224,0.22611475,215.8817835,173.447668,0.227618635,32.56991992,237.9296387,0.299648345,20.0961399,241.1085508,0.147423148,1.657650456,209.4625127,0.319282115,0.631652146,212.113886
4,0.496663442,0.990169942,226.9029192,122.2231732,0.993979633,242.3583558,146.6987433,0.999461293,234.4656094,106.8855337,0.603968382,191.1972461,158.0782567,0.931669295,207.5679814,89.90088074,0.411576152,152.2688924,95.27513216,0.425918579,141.9240476,63.16630579,0.511594474,144.664994,106.0060423,0.462247729,24.76077571,233.5263782,0.582787812,63.48966868,29.29456466,0.181617051,60.32679488,26.3958504,0.290589631,134.6612511,187.9254691,0.400822252,210.6408006,171.6545724,0.168093741,20.9986586,22.58189836,0.246196598,16.13429075,20.25386358,0.131533474,59.96530826,29.97654909,0.111052483,61.0524625,29.11123669
5,0.433284842,0.987079144,226.8744636,122.1402324,0.930143058,241.1448336,142.3073087,0.999436378,233.9230259,107.9956817,0.368522465,181.3080573,158.1222081,0.818624735,206.852177,91.70233985,0.460714728,170.2644521,113.9543588,0.684900105,142.7872508,58.78485024,0.51141876,129.7715014,116.7583855,0.195675671,41.97050745,21.24660459,0.411567599,65.78284712,24.73867504,0.140960455,185.0446585,158.7256896,0.202999949,133.7125956,189.128677,0.12802282,38.82298311,179.5076467,0.121898711,27.5364687,14.92588,0.088984072,29.67891393,17.31566011,0.237832457,67.99783352,26.78107444,0.077061206,66.29501209,24.49113291
6,0.409585919,0.992888093,226.6885387,122.0001853,0.961510241,245.1278919,140.9336352,0.999585032,234.3271838,107.0838942,0.264012694,237.2063729,158.244955,0.850225329,206.6232883,91.46835499,0.444352597,164.4925533,169.7375839,0.622461677,142.4663872,61.33870138,0.397348076,142.5163004,107.9094613,0.099795759,189.8868358,240.2390079,0.084947497,170.3666803,121.2937563,0.115291387,189.7420583,164.8139533,0.074151993,131.6009651,183.1045422,0.146292686,219.6694561,171.5216087,0.275696874,54.97707334,25.92171773,0.49353683,63.28850412,24.87269331,0.107683361,58.64576018,17.94056867,0.033180505,58.23968209,18.3962064
7,0.444313928,0.99767375,226.1459796,122.3847144,0.977053285,246.6829549,145.4440494,0.995837688,234.9879301,107.729669,0.296258867,234.152768,166.6006847,0.468748719,204.6202257,95.8283347,0.56864816,-2.408826164,202.7851904,0.650512338,215.51681,176.1701194,0.555881619,137.2485809,109.8831295,0.746570051,31.31814297,13.87692874,0.172079235,25.82008086,239.6762104,0.330466032,27.16561573,238.4808052,0.242441565,-1.220441382,238.2886382,0.321061432,1.883255748,238.1290964,0.053262889,-4.950753163,216.7570322,0.05146277,-3.522077887,219.9182175,0.070849836,-1.57479104,176.7975334,0.054528534,17.16203287,167.9796495
8,0.467329518,0.997780919,227.5843184,122.9183857,0.98352921,242.1838912,145.7593901,0.997967541,235.6634041,107.4146453,0.532950819,240.6796192,166.3078866,0.699069381,205.5132744,92.4169739,0.360132784,136.1921987,54.73340819,0.73985219,137.6765006,67.81157342,0.648045421,140.4287,112.2814256,0.128000736,30.90500583,8.76616022,0.120776087,7.177979735,235.7736911,0.547584891,26.74180773,242.8540009,0.106792718,-1.054495765,242.8886987,0.220915735,11.475571,87.49761041,0.123778403,-1.857508208,206.0605396,0.260128975,75.04876717,219.4978201,0.238239706,7.002708254,204.6379526,0.239056289,4.540784362,203.9989808
9,0.437632938,0.993494272,230.188607,121.9541735,0.956684113,247.5071932,144.6968511,0.998709679,238.1398984,106.4501404,0.384247333,197.7307418,153.6158903,0.69778347,211.6547187,90.46515342,0.55728668,-3.052072323,216.6969755,0.757970631,145.9301971,71.93007032,0.284263849,-2.29008402,237.1806482,0.079159975,0.273033266,237.2238559,0.16108501,24.57721001,244.3098958,0.578368008,24.85740328,245.1896067,0.215589821,2.021496948,216.0651237,0.230264276,-0.994101726,242.5998995,0.06461063,35.68972317,-34.51964113,0.073514283,137.5150569,226.7001453,0.346512496,146.9883837,247.145609,0.060215414,10.23140935,239.4184028
