Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.46782976,0.996320486,192.4770429,142.9913902,0.998631597,197.2256847,158.8321239,0.999591708,199.8807643,126.3584338,0.220013112,186.7956558,168.4048991,0.991374433,178.7591682,108.7678854,0.544363737,108.5285727,77.77244996,0.660875916,94.65980025,76.89849358,0.034021676,170.4983517,260.8873186,0.3928155,29.7996401,51.0212698,0.41758132,117.9245548,175.7364086,0.915415645,94.4687244,212.5214088,0.119754821,54.53693747,118.8501312,0.108736396,112.2485077,237.8451252,0.250609338,9.680829566,30.14052868,0.225976706,11.25479518,30.75025237,0.015604109,102.318513,245.3572683,0.061419427,15.12750023,37.57866144
1,0.436795072,0.995778918,191.727333,144.3641127,0.998378277,196.7325999,160.8535961,0.998997092,199.4441153,125.8938778,0.202944756,186.1709484,178.4697839,0.971552849,182.47775,108.3261402,0.583763301,106.0943962,77.0328837,0.469018012,140.7497586,107.1994601,0.080602974,23.90239435,26.60762182,0.55892694,38.44266322,48.682427,0.236776888,121.5062836,179.2851953,0.848398566,91.17033274,219.5255199,0.104481369,121.9290706,229.8368007,0.070362329,94.59968253,248.7980844,0.089224428,27.16568584,29.14643439,0.149709016,25.16080211,31.83952798,0.021309644,19.47909656,34.59139211,0.045290858,23.01827458,34.39259276
2,0.437699877,0.994593501,191.8794134,144.9146697,0.999403596,198.4639562,160.8451228,0.998217404,199.356822,126.3070332,0.360149115,187.6696975,172.0749454,0.977201462,181.266337,109.5043549,0.702727616,105.2232317,80.17224563,0.447864175,97.28112686,81.32244363,0.207282275,90.04225065,212.6239174,0.476345867,40.63249795,42.57496733,0.181954682,92.12790652,218.0583109,0.791257083,91.80259295,218.889596,0.048535049,113.8598846,269.5685569,0.044422209,46.45909837,253.4422548,0.02183038,34.72954339,24.90709245,0.049879044,35.59771477,248.5312549,0.089955091,205.685642,158.4207119,0.049279362,47.70341699,252.4410161
3,0.350389162,0.952287316,193.5909581,147.6129813,0.993330777,199.9321039,164.2144829,0.997693717,199.2743202,126.1949053,0.258453012,189.2607629,176.0646848,0.872153878,185.4061086,109.528263,0.320559084,123.5538585,190.8312851,0.187814653,131.5131354,109.5310793,0.060043305,86.44749483,222.3871772,0.108798891,66.61707655,51.82904304,0.415908068,90.00232863,221.8831441,0.535740733,89.95968784,221.8108468,0.052129477,62.09191026,235.2204276,0.034654915,9.42434018,69.36302766,0.022779077,106.4442274,79.19757286,0.021199375,45.22584379,249.5291774,0.092306554,193.4161156,158.1935544,0.030762911,47.83727982,253.47488
4,0.331020976,0.974688888,194.1299328,148.8921075,0.989037514,198.4583602,165.498693,0.997651219,198.5714268,127.0841258,0.192946464,181.3414141,178.114832,0.944818377,177.5289189,112.2259895,0.542358756,134.6909747,137.4216068,0.301237285,140.595947,104.1615583,0.055653006,169.9966716,258.6999649,0.037595809,167.6862174,258.480342,0.085143685,139.0931136,141.9010295,0.266194761,82.74189734,229.146282,0.124835819,108.7927444,225.0318937,0.055673331,30.58509322,173.7793822,0.012115836,191.9305214,229.3795597,0.02477783,166.6205817,219.4837995,0.014200598,106.7148486,242.5529124,0.008427411,51.44595866,243.7159118
5,0.378002275,0.971294701,191.9696936,145.5135183,0.989210844,199.7428751,163.7290057,0.99722755,199.5940621,126.834572,0.143101275,188.2138172,176.9249132,0.943153083,176.428244,111.8469589,0.678938866,127.2785971,184.3438865,0.345789969,0.006826052,89.98065163,0.048208117,113.3933291,234.9054405,0.060434908,127.0344077,132.0416496,0.609311581,126.4992002,171.1985019,0.212957323,83.3036768,227.208226,0.221534461,97.76191626,246.2694337,0.052269012,110.381725,228.8619694,0.05009526,186.6035376,240.9296729,0.018153787,164.9948185,249.6368797,0.074547529,186.9385314,154.7902402,0.009810418,42.95862777,241.6660571
6,0.400769384,0.983045638,195.6099431,143.5175391,0.998240829,200.1933496,161.2223978,0.986558974,200.0553751,125.7837737,0.224143684,175.9483385,173.9074936,0.663794577,174.7652471,109.8747537,0.502436042,124.6326247,167.6583958,0.25999999,79.81751936,63.79507305,0.232201904,118.1141371,227.632476,0.06983155,104.7418022,216.6300181,0.657542586,125.1098724,159.6043032,0.813431859,88.65467238,211.3252477,0.204012871,109.2291252,259.1925133,0.134635121,122.0273121,183.7785532,0.026655793,176.1653646,239.5629243,0.01396963,185.5981781,258.5063105,0.028259218,185.9234794,150.281923,0.014319271,47.65759719,247.0248127
7,0.495454448,0.978391707,197.1383915,145.5148959,0.999049544,200.0496328,159.4308506,0.997909546,202.0522199,127.4959157,0.458910406,191.1005774,168.592287,0.922565579,194.6516805,107.713527,0.700802445,135.7045149,173.3744197,0.613972902,78.36069781,61.2107851,0.174289256,115.953008,232.7277183,0.230779409,179.4308506,112.0291286,0.75375098,125.5860107,167.3003716,0.911845803,93.76734892,205.6658913,0.394821972,114.7760368,173.0828408,0.078361988,85.78223754,245.5633339,0.026427805,202.1782952,77.39106634,0.027442008,28.99145233,252.1133008,0.112899989,187.9395629,156.0889221,0.040504277,66.85873615,74.6528997
8,0.457297793,0.929982424,193.3939265,133.0533001,0.993875504,202.9717004,161.1101845,0.998035669,205.8580583,125.5709904,0.45118016,192.0947327,167.6045568,0.209134191,192.3227923,113.6398837,0.415668368,158.842621,120.4540467,0.201299936,7.393079512,259.9873693,0.451989084,159.9207777,43.93385222,0.190685183,122.3934681,215.3760436,0.548385978,185.1113476,57.28180351,0.876752615,98.64280367,199.5094023,0.131139219,108.0250517,228.2673757,0.076973706,95.91837108,47.74106829,0.232053429,74.26240271,-9.264935554,0.077804893,99.55978489,46.92561422,0.496904254,84.96352216,43.59915096,0.492197871,84.52750102,34.7800296
9,0.512625365,0.948547542,203.625217,142.0752502,0.998052597,202.3148433,157.2752321,0.998757124,204.9481361,144.908464,0.1680592,182.9872937,173.4083129,0.133344412,170.7391396,121.7110082,0.709949613,116.0623439,172.2654299,0.162354589,169.1404543,102.6102504,0.749230742,176.0255857,57.14953476,0.059933901,161.4565289,128.4749654,0.526560426,192.7064924,72.75094364,0.887785673,102.3805083,199.0627438,0.076209992,91.03121221,85.23205856,0.089714527,13.67424783,230.5585547,0.43732968,83.89162595,-4.005192484,0.123241991,86.42300762,-2.679335157,0.8396945,94.316772,53.25308696,0.805864692,107.1439143,46.60728045
