Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.455546973,0.992852926,204.6824526,138.9059574,0.998951316,214.7144195,153.9529202,0.999184012,216.1129643,119.1757739,0.638777733,187.420924,166.7354284,0.994083762,188.0377068,100.7241071,0.325823843,149.0058447,127.9210557,0.747402787,108.4003882,62.41364554,0.622655272,112.1563256,130.7757271,0.313260913,118.5736701,118.001363,0.125892013,139.6567767,142.0030382,0.059255451,20.04552415,37.31737915,0.149092197,121.4692694,253.3131193,0.19857356,92.91595345,203.8543617,0.04720816,141.2076335,233.9444591,0.135823399,30.56534861,32.7169956,0.352194428,38.04245852,45.92800869,0.043266773,18.92793005,36.75264318
1,0.481824054,0.991101444,203.458543,139.4052113,0.999389887,214.6072049,155.2553083,0.999186873,215.9699058,119.0034917,0.895931959,187.6897165,170.0393063,0.99703598,187.7300469,100.5726972,0.544913411,149.759334,122.8779577,0.758467913,96.25042671,61.96716994,0.435918093,111.6979264,124.0934793,0.213937223,6.925242373,25.77904938,0.493825763,3.331116713,233.9507257,0.078092277,11.82505633,236.1922841,0.167311251,118.043376,216.2800162,0.181481868,92.93389367,210.1392546,0.029985756,136.2737984,233.5204529,0.137598991,27.66228189,16.76607244,0.229786426,202.7898477,149.7697214,0.03704381,203.0396087,153.8480098
2,0.504606745,0.997116625,204.8836659,138.7844662,0.999568582,212.9356127,155.2776681,0.998188972,216.0024579,119.2516313,0.689582348,184.6882071,162.4455271,0.994725049,187.728206,101.3113491,0.413933486,151.0141986,122.7070288,0.722242892,110.3381637,61.96407323,0.695681453,113.3456592,121.9939187,0.446405202,52.93610648,33.99387241,0.194080144,146.530655,150.3688261,0.050430059,190.2695849,162.401149,0.29259935,116.1975387,204.8671339,0.179938704,94.70728118,209.1355776,0.045187354,138.6689977,234.7001307,0.311539233,26.60500363,27.88306609,0.356538385,32.24013806,38.32464059,0.190556824,19.45199421,38.50550581
3,0.468900951,0.995307803,205.5575062,138.0951789,0.99970603,214.1218009,154.2732473,0.998738885,215.8797841,118.8166769,0.872351408,181.9356542,163.7102304,0.97895062,191.119365,101.0252565,0.195592761,140.6366066,137.6400837,0.854853868,108.8075209,60.34783181,0.633646429,108.1779977,121.1705827,0.24372378,29.9224663,37.02019205,0.080388904,57.47899354,41.09101904,0.153615832,79.76382061,76.02909693,0.176415533,124.8538204,228.4267956,0.107609063,94.74441738,196.0120894,0.028029084,46.62601009,214.6968389,0.072054952,59.83283225,39.02290106,0.547795117,199.0414082,140.9215531,0.032536089,198.8237847,144.2268332
4,0.52401515,0.996512175,204.5009534,138.0894731,0.999785662,214.2670051,154.2355747,0.998752415,215.6288282,118.6896019,0.897838891,186.8246845,167.6459357,0.986186206,188.087303,100.7564641,0.622241914,149.0252541,121.9740461,0.92195344,109.9935262,61.33996323,0.377458453,108.0881564,129.36521,0.368716776,34.94635002,33.12638986,0.210339636,143.0536902,143.1044446,0.083103627,112.9912926,135.5518249,0.271233767,98.6179568,124.5576087,0.092448384,42.05261611,166.4296339,0.041368425,54.55027529,210.5987145,0.099307299,52.0979452,211.5161712,0.874842167,198.0385968,143.7452452,0.066168308,-1.975625523,234.1862223
5,0.479388698,0.986448169,205.644897,138.62223,0.998346806,215.3534644,153.769641,0.998942196,215.3478318,118.6488569,0.391744018,182.6877658,164.5032333,0.986622572,188.0253809,100.7871508,0.358916223,144.3788282,112.9605083,0.655804396,110.5142132,63.35902144,0.580253065,108.8214439,129.9756408,0.372396111,56.95230205,35.84042896,0.210740507,146.4712322,141.8584435,0.126322955,111.8219901,137.0461971,0.275436759,116.2982307,209.6230542,0.086707056,41.38206149,170.2932126,0.047279149,36.97900817,215.2948707,0.074640214,43.75362096,213.319264,0.911933601,204.0976855,145.8487438,0.087074071,-18.38401461,17.68204783
6,0.527202739,0.99316287,207.1634822,138.2199009,0.999469638,214.5373459,154.0457851,0.999079108,215.7855903,118.9087249,0.933230639,185.4440494,166.7819522,0.987595439,190.0847695,101.5763011,0.909137845,147.1912673,118.8163965,0.895144999,107.6007042,62.30547997,0.451204687,108.6424684,129.1262753,0.350188702,47.81217387,36.27015303,0.229546756,137.3921026,145.4735779,0.070039451,114.294266,136.4701716,0.301137805,120.9378536,208.8396341,0.10876745,112.6082143,209.2248947,0.055554241,46.06919268,213.9009588,0.065371603,50.7140397,213.5739993,0.577181816,199.7174308,134.8874698,0.036633521,-3.967398692,237.4080007
7,0.463050481,0.988833666,206.628994,138.776188,0.999155521,214.6519731,154.6022428,0.998979926,215.8038536,118.8244309,0.823587835,185.4093516,165.8451594,0.985455215,189.3386319,102.0062568,0.34522301,137.4515132,129.1766274,0.719771326,109.1010017,62.63221998,0.339303911,106.4379243,129.2196522,0.544831574,30.77177088,20.40359097,0.144454449,147.396577,135.0605322,0.076084971,112.1224202,144.1012943,0.269625366,119.202669,207.1611901,0.149818182,97.4641988,203.2683755,0.077784628,53.08260914,209.864793,0.188152611,35.72971835,212.3017371,0.140141487,199.9369319,134.3576511,0.080654502,28.87178076,224.6765518
8,0.46736188,0.985752225,206.5640118,136.8928244,0.99977529,214.0743504,153.7228489,0.998822451,217.5490842,118.5048962,0.907689333,186.9604645,167.0703857,0.985530734,189.8760339,101.4473241,0.290546805,146.7166164,116.2315172,0.44248879,111.2126444,61.81789365,0.769582391,113.1313032,127.7821668,0.560695767,25.06426903,22.830617,0.138566405,110.5201018,135.3981351,0.155869782,-5.169114245,241.1498079,0.246275067,119.2106547,205.1206744,0.085804671,114.8028343,196.5217794,0.02651915,92.20033796,36.08238725,0.05328387,92.95927088,35.87512679,0.211159587,36.60724997,38.78204612,0.086789638,-8.419747228,241.1874317
9,0.492994759,0.975365996,208.3857093,140.1159561,0.99627322,216.9086981,154.1610828,0.999258995,216.2895989,118.8568732,0.749580622,185.581329,165.5195654,0.98956877,189.0615734,101.1339585,0.288947046,133.9806565,160.7374937,0.688928902,107.239181,63.76955563,0.799277067,109.5987438,126.2954754,0.71622318,53.64763772,32.28229118,0.170118272,141.4403748,140.811827,0.164249539,-1.52447685,240.5238081,0.198929816,117.900159,207.9013782,0.157229245,95.16581446,198.9981761,0.030291438,14.62239279,223.7885504,0.076269448,54.88754901,31.64586747,0.335201383,199.0866763,152.0810413,0.045197964,-5.884185296,235.5736238
10,0.4691284,0.978634596,209.7962995,138.5922992,0.950634122,216.1770687,152.6580178,0.998106956,217.1243709,118.1884095,0.851472497,214.0610858,156.4282318,0.962790728,187.0968418,101.8915199,0.242481023,148.0434125,123.8293929,0.779365182,109.8581119,63.40915408,0.501407087,113.9726099,127.3041389,0.495912611,49.16953174,29.27029689,0.251317143,139.8890547,142.15813,0.140653461,2.519635833,240.7985867,0.3148655,117.8411263,202.6261607,0.131506652,39.04973519,168.2157557,0.057745576,68.72164189,214.9116583,0.236613303,25.94333377,26.76497518,0.042807132,200.7178405,156.6176557,0.038869232,15.58403558,30.96594345
11,0.491980961,0.966048658,209.1431121,139.4619153,0.981369495,217.8296173,153.6876999,0.997352839,216.8886548,118.2235463,0.659746349,185.5252102,165.2791433,0.956685424,188.3137411,101.9753384,0.467777997,145.6458845,115.9816465,0.719364345,101.1366163,59.0099168,0.745828986,111.281528,129.692267,0.769675255,65.19146599,36.71984117,0.300069392,3.252139812,21.83391366,0.233227491,14.40958354,26.95352733,0.158537,119.3391927,227.3105396,0.066637844,52.82147316,175.215941,0.043046653,139.3867651,234.1028548,0.116130978,41.34088676,32.26781952,0.095693201,22.06580611,249.0052961,0.086484432,19.58533584,25.66468428
12,0.477094166,0.984060705,208.8941801,140.8200199,0.997753382,217.9283952,156.6491349,0.997797787,218.184374,118.2909547,0.739153564,189.3985789,168.4631028,0.959461689,188.2008451,101.8732078,0.22360611,137.675257,160.7486248,0.660516202,104.5924406,60.76992383,0.633383095,108.7609604,126.8799743,0.136806816,117.9211898,119.9626809,0.514643133,41.32139513,31.20021482,0.433502376,46.69639635,28.7134673,0.259483695,106.132142,203.5333275,0.085368216,21.12562696,176.5981976,0.092677146,21.1309624,215.1895092,0.191549271,29.71243221,220.6912014,0.127423942,199.2815743,142.5691518,0.0734137,-0.607811146,37.00253833
13,0.480028734,0.978794575,210.231961,140.4415867,0.998988152,216.8465687,155.7458328,0.997497082,218.9114681,118.137716,0.713738084,188.0482283,165.6247562,0.933578312,190.5545436,102.0791394,0.338887036,118.4750507,122.0847476,0.725111008,109.5426859,60.68685505,0.770679116,113.6486374,129.7189304,0.551007092,111.0230376,127.0091829,0.243857741,157.4148647,144.0148301,0.235255748,162.2049952,123.1459943,0.164331168,67.57496123,173.0133476,0.131114483,47.64609119,175.4064256,0.083241969,47.28992019,211.9181102,0.169013053,44.0922815,212.1935715,0.09459576,43.96878475,231.6183872,0.030798107,39.12861304,231.3085206
14,0.466957794,0.992621779,206.8315485,138.9904221,0.999774456,216.3206149,155.7160727,0.998779178,218.3214098,118.9734268,0.866582453,182.2680999,165.5138109,0.959104359,190.6353021,99.93066528,0.412916958,140.7269478,171.4080056,0.870981276,113.0145058,62.96807945,0.524004996,120.0013655,114.7434725,0.043475986,101.2375522,40.35636607,0.042079896,138.3943654,140.7088186,0.373605251,162.439041,130.0173855,0.311938405,116.5442855,223.4431814,0.140693903,106.214912,201.3964722,0.090448469,115.8970842,211.9320332,0.073264122,81.20286044,222.721281,0.154232949,70.03175352,228.5601494,0.083778054,68.46065221,228.0499229
15,0.383154895,0.978308678,207.5807097,138.1877512,0.995821357,219.1405031,156.5147813,0.998426497,219.4116485,119.127214,0.554203451,198.4347203,170.3015518,0.975125194,189.1910381,101.5926625,0.548668385,108.8014372,98.0589083,0.294298112,146.069025,112.3805692,0.213443935,118.804668,113.899191,0.037345886,2.835616399,248.787185,0.164121896,25.61634383,238.692918,0.495360285,159.3661122,129.729391,0.064005584,109.3333285,75.20161566,0.032675982,24.09672998,260.6572107,0.023517191,113.2325072,82.22213688,0.074575871,112.3390927,77.89024705,0.054679215,202.1419637,156.9227431,0.009055704,175.6890435,215.327374
