Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.499812854,0.988237381,190.5974344,132.6572375,0.997052908,201.4062988,147.480676,0.999415755,201.2344677,113.639774,0.195150644,193.0089951,159.0939914,0.99431479,179.2841346,100.1839619,0.225583851,128.6409444,130.9731366,0.539523244,120.7144634,78.42388177,0.936035752,121.5923455,136.4130896,0.838778496,7.293352182,240.3109395,0.11561653,128.7720793,132.422509,0.656760871,13.84033203,40.81766688,0.31419608,94.22942391,241.7856829,0.205985993,-2.480184719,198.0030089,0.168153465,13.11227177,36.14661361,0.142724097,14.16232944,30.71742597,0.09664616,7.996996095,36.43170646,0.082642496,5.629032435,35.56991139
1,0.528293915,0.991392493,191.416991,132.284949,0.993713677,201.0688666,144.9282879,0.997919798,204.7070313,115.097766,0.226126015,190.9558608,159.5839185,0.962573409,180.8498288,99.72199058,0.368458748,134.4011392,141.4263299,0.41553539,123.5780714,79.13478513,0.832740664,126.2628136,131.0981512,0.665321052,18.40550874,36.72474227,0.385348678,92.3355876,235.2462742,0.643550038,4.93879454,46.87762124,0.671169996,101.6868075,239.4106244,0.176066995,66.91277627,221.1755569,0.104406953,16.0243848,31.73530036,0.211066693,14.00285166,29.95994996,0.067422181,-3.100725572,45.77487979,0.268183768,-1.705796222,48.51728918
2,0.515045308,0.992247403,191.819125,131.4467755,0.99490577,201.7212249,145.4445005,0.999364078,202.5509373,113.7613262,0.210613906,190.6614778,159.2149462,0.987740993,183.4181029,97.80708684,0.464856267,129.862818,139.4026632,0.465779215,106.1093311,82.58793939,0.976842403,125.3572439,129.9024047,0.598607421,19.86511002,37.48138313,0.292425096,87.23583436,235.4459026,0.743324876,5.784616839,46.04207509,0.416380107,60.44012367,230.5593106,0.213360727,62.09783547,218.8950336,0.086593866,15.40054302,33.05394624,0.092907369,13.36649653,30.82654251,0.063291371,-3.522508028,39.42412073,0.156529367,40.53905092,47.73824589
3,0.492464097,0.989021778,190.7015035,133.2210104,0.973718286,202.7747054,147.0168393,0.99767971,202.9391361,115.5692713,0.439060926,187.6689904,162.7583075,0.983646989,181.8555175,99.28912102,0.305990279,132.8469906,131.7211762,0.416663766,125.7771536,77.77422997,0.842479706,123.0496913,128.9803151,0.769522429,7.766126997,241.3710401,0.358884156,154.8351304,131.1806409,0.437540829,15.71299121,42.02074677,0.314488828,58.6019246,225.1636626,0.138024956,58.95633388,223.2182916,0.142913163,115.1973607,201.4348276,0.135709673,12.1529416,29.01877414,0.067272186,182.4649486,151.5194874,0.059271991,4.524054938,34.38251624
4,0.501606696,0.994826078,189.9729464,132.4173884,0.990296721,201.7269917,146.0982853,0.998069167,201.9669749,113.4571532,0.217531502,189.084494,161.6939153,0.984124184,181.6770175,99.10762182,0.396694899,134.1370406,138.4387679,0.432289004,125.0334665,80.57158776,0.962042093,124.8796914,130.8012811,0.593720078,24.65631492,41.51089824,0.374145687,154.443018,128.0270024,0.867005229,8.950361426,47.17416218,0.372274756,51.6886058,228.5727801,0.104323477,65.42937051,220.4178858,0.083535671,114.0955763,201.3552395,0.058535129,10.39938328,28.69842263,0.04414162,4.484390849,236.4680624,0.053758532,-3.767524557,49.01262338
5,0.452471353,0.986480534,190.3416018,133.6274115,0.981562734,202.2934711,146.7264186,0.998086572,201.9993685,113.3048655,0.69145,188.385246,159.6763079,0.975114465,185.4270175,96.90023701,0.210379928,132.3916759,159.0622684,0.301393658,122.0563041,73.30058618,0.427797407,125.5069225,137.5963517,0.496391863,21.04165295,40.62235438,0.111187786,158.0646141,129.7556277,0.741679311,16.54791557,42.93946532,0.401657373,56.11018453,229.8119538,0.098996013,69.35588937,230.7620357,0.09609893,14.63142538,31.51086167,0.105977863,10.09309423,29.65105264,0.034910798,22.36969108,202.4893931,0.032847762,3.678146915,41.49935871
6,0.481387084,0.992017031,191.9375439,130.7880043,0.989178538,201.4446541,145.9340619,0.999157846,201.1980264,112.8346891,0.481254905,190.6247805,161.1662668,0.986382723,183.9245377,96.81387036,0.214549124,138.8031074,128.3042437,0.346882045,127.7826789,79.54659947,0.850144744,127.2435579,132.3704134,0.728333652,22.34733743,33.91527193,0.104512781,124.2085455,135.0394039,0.685659885,16.03280781,42.1061076,0.362755597,100.133305,237.4074643,0.158430308,58.07882359,224.5251541,0.079272985,16.54972605,30.46386109,0.14667961,13.43974177,28.86963805,0.026221931,4.746132992,270.5540925,0.032146722,5.851147446,271.3654075
7,0.468928437,0.993242383,191.9218043,130.9945942,0.993736625,202.8137679,146.7729913,0.99915719,201.8124927,113.2589878,0.320909858,189.3863384,160.0028895,0.979907393,184.277929,97.22663565,0.154386014,138.9725612,118.6590858,0.414808869,122.9758334,75.25563748,0.780903935,124.6139225,134.1488179,0.700829625,21.83840329,35.0476821,0.112312227,124.5625707,135.6034449,0.730011225,17.17833787,42.82316782,0.301163137,109.9190099,181.8950677,0.106096327,53.95561456,227.472983,0.162816316,16.71383061,30.89459709,0.15158698,12.67740733,28.44768624,0.033271819,3.447103322,238.0434369,0.036643505,1.499053155,43.05086781
8,0.471310298,0.995557427,190.7487711,130.6614778,0.990717411,199.7463376,146.2992426,0.999574661,201.3169207,113.2097817,0.18841967,189.450138,161.4185271,0.981704414,185.3642054,96.78937705,0.211816877,137.8383466,121.4609058,0.435070157,125.2583441,80.3390903,0.813679218,122.362696,131.2459401,0.744126439,19.01676707,37.57443089,0.142739236,155.1819503,127.319659,0.755165756,15.10662331,44.20234594,0.187945724,54.41764689,226.4033971,0.118204176,61.39176006,224.1633749,0.113013059,14.4211947,31.42936564,0.21084699,11.96619765,29.78133412,0.102761,191.4968228,147.9759797,0.020932853,195.0347222,152.3009324
9,0.467023599,0.991273999,190.9558608,131.9099051,0.993988693,201.4960547,145.327374,0.999512374,201.9346301,113.1218423,0.487205625,188.9548465,160.4460489,0.984779596,180.7046246,98.8575316,0.160948992,108.0135426,80.83672265,0.640391529,124.0107702,81.09260397,0.717706203,124.913036,125.8965843,0.795048594,19.33314101,35.69891274,0.200545192,153.2750322,128.2314709,0.393821388,7.340067317,45.02370694,0.23873961,58.01695025,226.4966156,0.098497659,136.9328501,234.2134588,0.127084821,10.78217353,35.31515171,0.06575793,12.18917409,29.66723724,0.017073542,2.563031372,32.23868114,0.027025431,3.126489494,40.14610643
10,0.449038143,0.993629336,192.2795968,131.1314104,0.997367978,201.7308077,146.3878038,0.999748945,201.0923723,113.0332812,0.279412508,189.8254257,159.3870455,0.981813729,184.1020258,96.86225958,0.168745846,108.1177337,82.11484911,0.605300546,124.0019312,80.09247474,0.740631223,124.1361018,126.7704554,0.712095678,18.58302122,37.36134885,0.145960301,151.5130013,128.3394902,0.467220873,2.816044001,41.87742617,0.177512705,99.01314763,233.8689919,0.12757653,0.336710183,191.6771272,0.071791142,6.902090161,35.40924187,0.051185101,10.18732459,31.17754418,0.068897575,1.373225675,32.68574194,0.044758409,0.483403914,38.97599314
11,0.438096334,0.992786646,194.3923611,129.8246333,0.993901372,204.0080758,146.4728172,0.998527527,202.1589224,112.6820356,0.393733144,193.8228216,154.3430697,0.985036254,183.6135129,96.82813475,0.513024628,139.7344262,157.240449,0.317106485,126.161768,77.10416911,0.537810326,127.6295134,128.287163,0.430696785,21.21819162,35.11771784,0.325913876,13.44267237,30.56775344,0.24577406,42.28938071,50.73509797,0.315701485,114.500356,184.6238588,0.06574586,14.49518516,214.513133,0.052675247,2.424589579,112.6629799,0.04392314,2.548903181,112.8913321,0.043581486,-0.777721429,185.7838347,0.191699356,-0.659669502,186.9933335
